town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PUNGGOL,2005-04,292800.0,292800.0,292800.0,292800.0,292800.0,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182,2661.818181818182
PUNGGOL,2005-05,281500.0,245000.0,318000.0,263250.0,299750.0,2806.5656565656564,2722.222222222222,2890.909090909091,2764.3939393939395,2848.7373737373737
PUNGGOL,2005-06,255000.0,255000.0,255000.0,255000.0,255000.0,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802,2802.197802197802
PUNGGOL,2005-07,235000.0,235000.0,235000.0,235000.0,235000.0,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941,2764.705882352941
PUNGGOL,2005-09,302888.0,302888.0,302888.0,302888.0,302888.0,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727,2753.5272727272727
PUNGGOL,2005-10,310000.0,305000.0,315000.0,307500.0,312500.0,2818.181818181818,2772.7272727272725,2863.6363636363635,2795.454545454545,2840.909090909091
PUNGGOL,2005-11,300000.0,282500.0,305000.0,291250.0,302500.0,2727.2727272727275,2568.181818181818,2772.7272727272725,2647.727272727273,2750.0
PUNGGOL,2005-12,271500.0,252000.0,318000.0,264000.0,285750.0,2830.06993006993,2500.0,2977.777777777778,2701.9230769230767,2912.626262626263
PUNGGOL,2006-01,314000.0,292000.0,330000.0,305500.0,321000.0,2816.170555108608,2654.5454545454545,2894.7368421052633,2774.2558326629123,2837.3205741626793
PUNGGOL,2006-02,318000.0,318000.0,318000.0,318000.0,318000.0,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091,2890.909090909091
PUNGGOL,2006-03,296000.0,280000.0,303000.0,288000.0,297000.0,2715.5963302752293,2545.4545454545455,2754.5454545454545,2618.181818181818,2724.770642201835
PUNGGOL,2006-04,299000.0,268000.0,316000.0,286000.0,308500.0,2718.181818181818,2436.3636363636365,2872.7272727272725,2600.0,2804.5454545454545
PUNGGOL,2006-05,298000.0,253000.0,313000.0,295000.0,308000.0,2786.3636363636365,2636.3636363636365,2845.4545454545455,2681.818181818182,2800.0
PUNGGOL,2006-06,306000.0,297000.0,312000.0,303000.0,308250.0,2794.620517097581,2700.0,2836.3636363636365,2754.5454545454545,2821.4762301918263
PUNGGOL,2006-07,290000.0,228000.0,328000.0,266000.0,308000.0,2800.0,2563.6363636363635,2981.818181818182,2681.818181818182,2845.4454545454546
PUNGGOL,2006-08,298000.0,235000.0,320000.0,258500.0,304500.0,2763.6363636363635,2568.8073394495414,2911.1111111111113,2695.012067578439,2801.098901098901
PUNGGOL,2006-09,270000.0,235000.0,345000.0,255000.0,303750.0,2770.1160541586073,2527.2727272727275,3023.529411764706,2646.4912280701756,2851.509090909091
PUNGGOL,2006-10,296500.0,239000.0,368000.0,257500.0,309000.0,2780.1897642323174,2357.1428571428573,2945.4545454545455,2714.74358974359,2839.4894894894896
PUNGGOL,2006-11,260500.0,236000.0,369000.0,253000.0,300000.0,2785.714285714286,2500.0,2976.470588235294,2709.090909090909,2838.4615384615386
PUNGGOL,2006-12,298000.0,224000.0,320000.0,261000.0,310750.0,2763.6363636363635,2481.818181818182,2929.4117647058824,2688.5135135135133,2834.090909090909
