town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,2 ROOM,01 TO 03,15250.0,13500.0,19100.0,14100.0,18950.0,340.97222222222223,293.4782608695652,462.5,326.0869565217391,415.2173913043478
QUEENSTOWN,1990-01,2 ROOM,04 TO 06,18500.0,14000.0,19100.0,16250.0,18800.0,415.2173913043478,304.3478260869565,440.4761904761905,359.78260869565213,427.8467908902692
QUEENSTOWN,1990-01,2 ROOM,07 TO 09,19000.0,19000.0,19100.0,19000.0,19025.0,413.04347826086956,413.04347826086956,477.5,413.04347826086956,429.1576086956522
QUEENSTOWN,1990-01,2 ROOM,10 TO 12,16000.0,16000.0,16000.0,16000.0,16000.0,347.82608695652175,347.82608695652175,347.82608695652175,347.82608695652175,347.82608695652175
QUEENSTOWN,1990-01,3 ROOM,01 TO 03,23500.0,18000.0,46000.0,22000.0,30000.0,446.15384615384613,305.08474576271186,638.8888888888889,379.3103448275862,532.6530612244898
QUEENSTOWN,1990-01,3 ROOM,04 TO 06,24000.0,18000.0,46500.0,23000.0,36500.0,460.0,321.42857142857144,694.0298507462686,420.62937062937067,561.5384615384615
QUEENSTOWN,1990-01,3 ROOM,07 TO 09,36500.0,16700.0,43000.0,23000.0,40000.0,593.2203389830509,257.57575757575756,699.1525423728814,442.3076923076923,615.3846153846154
QUEENSTOWN,1990-01,3 ROOM,10 TO 12,38500.0,23000.0,47000.0,35000.0,40000.0,607.6923076923076,348.4848484848485,652.7777777777778,546.1538461538462,615.3846153846154
QUEENSTOWN,1990-01,3 ROOM,13 TO 15,40000.0,40000.0,40000.0,40000.0,40000.0,615.3846153846154,615.3846153846154,677.9661016949152,615.3846153846154,615.3846153846154
QUEENSTOWN,1990-01,3 ROOM,16 TO 18,40000.0,20000.0,56000.0,30000.0,48000.0,677.9661016949152,357.14285714285717,767.1232876712329,517.5544794188862,722.5446946830741
QUEENSTOWN,1990-01,3 ROOM,19 TO 21,40000.0,32000.0,40200.0,38000.0,40050.0,615.3846153846154,492.3076923076923,618.4615384615385,584.6153846153846,616.1538461538462
QUEENSTOWN,1990-01,3 ROOM,22 TO 24,37000.0,37000.0,37000.0,37000.0,37000.0,627.1186440677966,627.1186440677966,627.1186440677966,627.1186440677966,627.1186440677966
QUEENSTOWN,1990-01,4 ROOM,07 TO 09,91000.0,91000.0,91000.0,91000.0,91000.0,1000.0,1000.0,1000.0,1000.0,1000.0
QUEENSTOWN,1990-01,4 ROOM,10 TO 12,84500.0,70000.0,99000.0,77250.0,91750.0,980.0802139037434,795.4545454545455,1164.7058823529412,887.7673796791444,1072.3930481283423
QUEENSTOWN,1990-01,4 ROOM,16 TO 18,65800.0,65800.0,65800.0,65800.0,65800.0,765.1162790697674,765.1162790697674,765.1162790697674,765.1162790697674,765.1162790697674
QUEENSTOWN,1990-01,5 ROOM,04 TO 06,123000.0,110000.0,136000.0,116500.0,129500.0,1051.2820512820513,940.1709401709402,1162.3931623931624,995.7264957264957,1106.837606837607
QUEENSTOWN,1990-01,5 ROOM,07 TO 09,140000.0,140000.0,140000.0,140000.0,140000.0,1196.5811965811965,1196.5811965811965,1196.5811965811965,1196.5811965811965,1196.5811965811965
QUEENSTOWN,1990-01,5 ROOM,10 TO 12,155000.0,110000.0,167500.0,132500.0,161250.0,1302.5210084033613,940.1709401709402,1431.6239316239316,1121.3459742871507,1367.0724700136466
QUEENSTOWN,1990-01,5 ROOM,16 TO 18,110000.0,110000.0,110000.0,110000.0,110000.0,940.1709401709402,940.1709401709402,940.1709401709402,940.1709401709402,940.1709401709402
QUEENSTOWN,1990-02,2 ROOM,01 TO 03,15000.0,15000.0,15000.0,15000.0,15000.0,326.0869565217391,326.0869565217391,326.0869565217391,326.0869565217391,326.0869565217391
QUEENSTOWN,1990-02,2 ROOM,04 TO 06,15500.0,13500.0,19400.0,14500.0,17450.0,336.95652173913044,313.95348837209303,421.7391304347826,325.45500505561176,379.3478260869565
QUEENSTOWN,1990-02,2 ROOM,07 TO 09,15000.0,13500.0,15500.0,14250.0,15250.0,321.42857142857144,319.1489361702128,336.95652173913044,320.2887537993921,329.1925465838509
QUEENSTOWN,1990-02,2 ROOM,10 TO 12,13600.0,13600.0,13600.0,13600.0,13600.0,295.6521739130435,295.6521739130435,295.6521739130435,295.6521739130435,295.6521739130435
QUEENSTOWN,1990-02,3 ROOM,01 TO 03,29450.0,17000.0,41000.0,23050.0,39750.0,522.0130932896891,326.9230769230769,694.9152542372881,426.4030612244898,611.5384615384615
QUEENSTOWN,1990-02,3 ROOM,04 TO 06,40000.0,20000.0,46000.0,23370.0,40100.0,594.2028985507246,357.14285714285717,686.5671641791045,410.1004394224733,677.9661016949152
QUEENSTOWN,1990-02,3 ROOM,07 TO 09,35500.0,31000.0,40000.0,33250.0,37750.0,526.0021668472373,436.61971830985914,615.3846153846154,481.3109425785482,570.6933911159263
QUEENSTOWN,1990-02,3 ROOM,10 TO 12,39000.0,23400.0,42000.0,32750.0,40000.0,606.1997703788749,440.0,677.9661016949152,555.0847457627119,629.6153846153846
QUEENSTOWN,1990-02,3 ROOM,13 TO 15,40000.0,40000.0,40000.0,40000.0,40000.0,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152,677.9661016949152
QUEENSTOWN,1990-02,3 ROOM,16 TO 18,31000.0,24000.0,44000.0,27500.0,37500.0,476.9230769230769,400.0,676.9230769230769,438.46153846153845,576.9230769230769
QUEENSTOWN,1990-02,3 ROOM,19 TO 21,46500.0,46500.0,46500.0,46500.0,46500.0,645.8333333333334,645.8333333333334,645.8333333333334,645.8333333333334,645.8333333333334
QUEENSTOWN,1990-02,4 ROOM,10 TO 12,65500.0,65500.0,65500.0,65500.0,65500.0,798.780487804878,798.780487804878,798.780487804878,798.780487804878,798.780487804878
QUEENSTOWN,1990-02,4 ROOM,19 TO 21,73000.0,73000.0,73000.0,73000.0,73000.0,858.8235294117648,858.8235294117648,858.8235294117648,858.8235294117648,858.8235294117648
QUEENSTOWN,1990-02,5 ROOM,07 TO 09,110000.0,110000.0,110000.0,110000.0,110000.0,894.3089430894308,894.3089430894308,894.3089430894308,894.3089430894308,894.3089430894308
