town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,3 ROOM,33000.0,16700.0,56000.0,23000.0,40000.0,538.4615384615385,257.57575757575756,767.1232876712329,428.57142857142856,615.3846153846154
QUEENSTOWN,1990-02,3 ROOM,38500.0,17000.0,46500.0,23625.0,40000.0,595.6089119619295,326.9230769230769,694.9152542372881,442.5,646.073717948718
QUEENSTOWN,1990-03,3 ROOM,36000.0,17000.0,57000.0,23400.0,40000.0,566.6666666666666,288.135593220339,814.2857142857143,440.0,615.3846153846154
QUEENSTOWN,1990-04,3 ROOM,37000.0,19200.0,51000.0,24625.0,40000.0,569.2307692307693,333.3333333333333,761.1940298507462,455.5357142857143,613.053613053613
QUEENSTOWN,1990-05,3 ROOM,31750.0,17000.0,48000.0,23000.0,41450.0,500.0,303.57142857142856,754.2372881355932,401.7857142857143,650.299054601582
QUEENSTOWN,1990-06,3 ROOM,34000.0,17000.0,54000.0,23400.0,40040.0,525.4237288135594,303.57142857142856,805.9701492537314,410.7142857142857,666.6666666666666
QUEENSTOWN,1990-07,3 ROOM,34500.0,16600.0,46300.0,23000.0,40000.0,538.4615384615385,286.2068965517241,749.1525423728814,431.2409288824383,618.4615384615385
QUEENSTOWN,1990-08,3 ROOM,32500.0,17000.0,47000.0,23000.0,40000.0,507.6923076923077,284.61538461538464,758.3333333333334,410.7142857142857,615.5384615384615
QUEENSTOWN,1990-09,3 ROOM,35000.0,18000.0,45500.0,23200.0,40000.0,523.0769230769231,316.6666666666667,679.1044776119403,413.04347826086956,615.3846153846154
QUEENSTOWN,1990-10,3 ROOM,39000.0,17000.0,90000.0,24500.0,45000.0,600.0,300.0,932.2033898305085,438.54515050167225,677.9661016949152
QUEENSTOWN,1990-11,3 ROOM,37500.0,17000.0,68000.0,26500.0,40000.0,581.140350877193,283.3333333333333,944.4444444444445,446.3598901098901,621.5384615384615
QUEENSTOWN,1990-12,3 ROOM,38500.0,17000.0,58000.0,24250.0,40000.0,581.2255541069101,246.3768115942029,865.6716417910447,439.3668831168831,615.3846153846154
QUEENSTOWN,1991-01,3 ROOM,40000.0,17000.0,88000.0,24000.0,40000.0,615.3846153846154,303.57142857142856,936.1702127659574,419.64285714285717,630.1369863013699
QUEENSTOWN,1991-02,3 ROOM,39000.0,17000.0,54000.0,25700.0,40000.0,575.430539609644,283.3333333333333,743.0555555555555,465.1923076923077,675.1412429378531
QUEENSTOWN,1991-03,3 ROOM,36000.0,18000.0,48000.0,25000.0,40000.0,576.9230769230769,318.9655172413793,813.5593220338983,465.38461538461536,615.3846153846154
QUEENSTOWN,1991-04,3 ROOM,32500.0,18000.0,52000.0,23000.0,40000.0,537.1970495258166,321.42857142857144,800.0,416.31493506493507,615.3846153846154
QUEENSTOWN,1991-05,3 ROOM,40000.0,22000.0,58500.0,23875.0,40150.0,613.2478632478633,323.943661971831,858.2089552238806,442.3076923076923,659.2242503259451
QUEENSTOWN,1991-06,3 ROOM,35000.0,19000.0,50000.0,27500.0,40000.0,576.9230769230769,316.6666666666667,769.2307692307693,444.2307692307692,658.427495291902
QUEENSTOWN,1991-07,3 ROOM,38000.0,22000.0,78000.0,26000.0,45000.0,583.3333333333334,336.81159420289856,951.219512195122,490.90909090909093,644.0677966101695
QUEENSTOWN,1991-08,3 ROOM,35000.0,20000.0,68000.0,23400.0,40000.0,553.8461538461538,289.8550724637681,931.5068493150685,414.2857142857143,644.0677966101695
QUEENSTOWN,1991-09,3 ROOM,40000.0,19000.0,61000.0,23200.0,41000.0,615.3846153846154,281.6901408450704,910.4477611940298,442.3076923076923,677.9661016949152
QUEENSTOWN,1991-10,3 ROOM,40000.0,16600.0,60000.0,23300.0,40000.0,615.3846153846154,276.6666666666667,1016.9491525423729,452.8301886792453,677.9661016949152
QUEENSTOWN,1991-11,3 ROOM,38000.0,17000.0,63000.0,23400.0,44500.0,584.6153846153846,303.030303030303,828.9473684210526,430.0824175824176,674.2824339839265
QUEENSTOWN,1991-12,3 ROOM,40000.0,20000.0,63300.0,30250.0,40000.0,610.7226107226106,322.5806451612903,944.776119402985,467.056856187291,677.9661016949152
QUEENSTOWN,1992-01,3 ROOM,35000.0,18000.0,55000.0,23900.0,40000.0,553.8461538461538,339.62264150943395,864.4067796610169,428.6589099816289,643.0769230769231
QUEENSTOWN,1992-02,3 ROOM,33500.0,20000.0,66000.0,23900.0,40000.0,515.3846153846154,338.2352941176471,1015.3846153846154,391.41705069124424,643.2692307692308
QUEENSTOWN,1992-03,3 ROOM,40000.0,22000.0,66300.0,30000.0,42500.0,632.6530612244898,383.3333333333333,983.0508474576271,500.0,686.4406779661017
QUEENSTOWN,1992-04,3 ROOM,39000.0,17000.0,76000.0,23950.0,46875.0,615.3846153846154,303.57142857142856,1055.5555555555557,412.94642857142856,677.9661016949152
QUEENSTOWN,1992-05,3 ROOM,40000.0,16700.0,80000.0,30000.0,46500.0,615.3846153846154,283.3333333333333,1095.890410958904,494.04761904761904,747.2014925373135
QUEENSTOWN,1992-06,3 ROOM,40000.0,19000.0,68000.0,23600.0,44750.0,615.3846153846154,307.6923076923077,1046.1538461538462,441.7420814479638,732.925407925408
QUEENSTOWN,1992-07,3 ROOM,40000.0,17000.0,72000.0,36625.0,46375.0,637.1023914557697,309.09090909090907,1110.1694915254238,576.9230769230769,779.1666666666666
QUEENSTOWN,1992-08,3 ROOM,40000.0,23000.0,73000.0,30750.0,50000.0,638.4722222222222,362.3188405797101,1150.0,521.1864406779661,736.6245694603904
QUEENSTOWN,1992-09,3 ROOM,41250.0,20000.0,78300.0,38000.0,60875.0,705.7692307692307,333.3333333333333,1327.1186440677966,615.3846153846154,944.0934065934066
QUEENSTOWN,1992-10,3 ROOM,40000.0,16800.0,87000.0,37125.0,46500.0,672.0430107526881,280.0,1191.7808219178082,535.7142857142857,803.3653846153845
QUEENSTOWN,1992-11,3 ROOM,42000.0,18000.0,70000.0,33750.0,53500.0,674.8039463698457,318.1818181818182,1083.3333333333333,567.3076923076923,814.1168599464763
QUEENSTOWN,1992-12,3 ROOM,40000.0,18000.0,72500.0,29750.0,47500.0,643.939393939394,300.0,1030.7692307692307,517.8571428571429,858.728813559322
QUEENSTOWN,1993-01,3 ROOM,40000.0,18000.0,63000.0,28500.0,45675.0,671.6417910447761,321.42857142857144,1067.7966101694915,527.4725274725274,740.5475880052152
QUEENSTOWN,1993-02,3 ROOM,48000.0,18000.0,80000.0,40000.0,54500.0,769.2307692307693,339.62264150943395,1194.0298507462687,615.3846153846154,864.4067796610169
QUEENSTOWN,1993-03,3 ROOM,40000.0,21000.0,84000.0,35000.0,53000.0,711.5384615384615,375.0,1238.8059701492537,615.3846153846154,847.457627118644
QUEENSTOWN,1993-04,3 ROOM,40000.0,23000.0,110000.0,33750.0,50500.0,678.5714285714286,410.7142857142857,1264.367816091954,566.4335664335664,880.7692307692307
QUEENSTOWN,1993-05,3 ROOM,45000.0,20000.0,74000.0,39500.0,60500.0,798.0225988700565,374.83870967741933,1254.2372881355932,615.3846153846154,1000.0
QUEENSTOWN,1993-06,3 ROOM,56000.0,18000.0,92000.0,47000.0,66500.0,895.5223880597015,321.42857142857144,1346.1538461538462,775.0,1016.5535956580732
QUEENSTOWN,1993-07,3 ROOM,65000.0,34000.0,99000.0,54500.0,78500.0,1030.862635972679,653.8461538461538,1432.8358208955224,951.9230769230769,1237.1575342465753
QUEENSTOWN,1993-08,3 ROOM,70000.0,35000.0,92000.0,60250.0,77000.0,1131.2046004842614,694.4444444444445,1457.6271186440679,1035.477453580902,1254.1108019225903
QUEENSTOWN,1993-09,3 ROOM,72500.0,23000.0,118000.0,63750.0,84250.0,1200.0,410.7142857142857,2000.0,1062.026515151515,1346.1538461538462
QUEENSTOWN,1993-10,3 ROOM,74000.0,38000.0,160000.0,60500.0,85000.0,1230.7692307692307,584.6153846153846,2000.0,1059.308807134894,1382.6923076923076
QUEENSTOWN,1993-11,3 ROOM,80000.0,50000.0,135000.0,68250.0,90000.0,1284.5238095238096,916.6666666666666,2000.0,1211.5384615384614,1443.9102564102564
QUEENSTOWN,1993-12,3 ROOM,82000.0,40000.0,121500.0,73000.0,90000.0,1307.6923076923076,769.2307692307693,1694.915254237288,1211.3297150610583,1400.6944444444443
QUEENSTOWN,1994-01,3 ROOM,83000.0,52000.0,305000.0,72000.0,91000.0,1353.8461538461538,928.5714285714286,2824.074074074074,1237.2881355932204,1469.3877551020407
QUEENSTOWN,1994-02,3 ROOM,85000.0,50000.0,128000.0,70750.0,94000.0,1351.0430247718382,882.3529411764706,2169.491525423729,1250.0,1450.0
QUEENSTOWN,1994-03,3 ROOM,85000.0,40000.0,123000.0,75000.0,91000.0,1353.8461538461538,677.9661016949152,1993.2203389830509,1250.0,1458.6049543676663
QUEENSTOWN,1994-04,3 ROOM,85000.0,60000.0,136000.0,72000.0,94000.0,1379.3103448275863,967.741935483871,2229.5081967213114,1250.0,1525.4237288135594
QUEENSTOWN,1994-05,3 ROOM,85000.0,58000.0,128000.0,74500.0,97500.0,1383.974358974359,1000.0,1910.44776119403,1252.7985074626868,1528.4863945578231
QUEENSTOWN,1994-06,3 ROOM,86000.0,62000.0,200000.0,74000.0,99000.0,1384.6153846153845,1014.9253731343283,2531.6455696202534,1322.0338983050847,1525.4237288135594
