town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1994-09,EXECUTIVE,532000.0,532000.0,532000.0,532000.0,532000.0,3746.478873239437,3746.478873239437,3746.478873239437,3746.478873239437,3746.478873239437
QUEENSTOWN,1996-02,EXECUTIVE,680000.0,680000.0,680000.0,680000.0,680000.0,4788.732394366197,4788.732394366197,4788.732394366197,4788.732394366197,4788.732394366197
QUEENSTOWN,1997-07,EXECUTIVE,620000.0,620000.0,620000.0,620000.0,620000.0,4000.0,4000.0,4000.0,4000.0,4000.0
QUEENSTOWN,1997-09,EXECUTIVE,569000.0,569000.0,569000.0,569000.0,569000.0,3897.2602739726026,3897.2602739726026,3897.2602739726026,3897.2602739726026,3897.2602739726026
QUEENSTOWN,1998-07,EXECUTIVE,435000.0,435000.0,435000.0,435000.0,435000.0,2979.4520547945203,2979.4520547945203,2979.4520547945203,2979.4520547945203,2979.4520547945203
QUEENSTOWN,1998-09,EXECUTIVE,522500.0,515000.0,530000.0,518750.0,526250.0,3473.376049491825,3419.3548387096776,3527.3972602739727,3446.365444100751,3500.386654882899
QUEENSTOWN,1998-11,EXECUTIVE,523000.0,523000.0,523000.0,523000.0,523000.0,3582.1917808219177,3582.1917808219177,3582.1917808219177,3582.1917808219177,3582.1917808219177
QUEENSTOWN,1998-12,EXECUTIVE,473000.0,473000.0,473000.0,473000.0,473000.0,3051.6129032258063,3051.6129032258063,3051.6129032258063,3051.6129032258063,3051.6129032258063
QUEENSTOWN,1999-01,EXECUTIVE,538000.0,538000.0,538000.0,538000.0,538000.0,3493.5064935064934,3493.5064935064934,3493.5064935064934,3493.5064935064934,3493.5064935064934
QUEENSTOWN,1999-02,EXECUTIVE,590000.0,590000.0,590000.0,590000.0,590000.0,3968.4904297580356,3782.051282051282,4154.929577464789,3875.2708559046587,4061.7100036114125
QUEENSTOWN,1999-03,EXECUTIVE,550000.0,518000.0,585000.0,534000.0,567500.0,3716.2162162162163,3547.945205479452,4062.5,3632.080710847834,3889.3581081081084
QUEENSTOWN,1999-04,EXECUTIVE,583500.0,575000.0,600000.0,578750.0,590250.0,3827.634408602151,3709.6774193548385,4109.58904109589,3733.8709677419356,3962.3972602739727
QUEENSTOWN,1999-05,EXECUTIVE,580000.0,490000.0,612000.0,550000.0,606500.0,3769.230769230769,3266.6666666666665,4309.859154929577,3718.1081081081084,4184.763989341454
QUEENSTOWN,1999-06,EXECUTIVE,579000.0,525000.0,626000.0,539250.0,613500.0,3897.9591836734694,3500.0,4229.72972972973,3686.9932904668717,4090.0
QUEENSTOWN,1999-07,EXECUTIVE,588000.0,494000.0,640000.0,576000.0,600000.0,3920.0,3383.5616438356165,4324.324324324324,3836.889608886832,4054.2391453225587
QUEENSTOWN,1999-08,EXECUTIVE,581500.0,395000.0,731000.0,556250.0,606250.0,3902.6845637583892,2705.4794520547944,4716.129032258064,3739.4680754580086,4115.525114155251
QUEENSTOWN,1999-09,EXECUTIVE,616000.0,597000.0,650000.0,600500.0,637500.0,4177.853881278539,4013.3333333333335,4333.333333333333,4083.484763768521,4280.952380952381
QUEENSTOWN,1999-10,EXECUTIVE,638000.0,605000.0,640000.0,621500.0,639000.0,4172.413793103448,4102.5641025641025,4340.136054421769,4137.4889478337755,4256.2749237626085
QUEENSTOWN,1999-11,EXECUTIVE,620000.0,605000.0,695000.0,610000.0,631800.0,4275.862068965517,4143.835616438356,4455.128205128205,4149.659863945578,4449.295774647887
QUEENSTOWN,1999-12,EXECUTIVE,613000.0,557500.0,683000.0,585250.0,648000.0,4227.586206896552,3716.6666666666665,4646.258503401361,3972.1264367816093,4436.922355148956
QUEENSTOWN,2000-01,EXECUTIVE,720000.0,720000.0,720000.0,720000.0,720000.0,4897.959183673469,4897.959183673469,4897.959183673469,4897.959183673469,4897.959183673469
QUEENSTOWN,2000-02,EXECUTIVE,661000.0,661000.0,661000.0,661000.0,661000.0,4436.241610738255,4436.241610738255,4436.241610738255,4436.241610738255,4436.241610738255
QUEENSTOWN,2000-03,EXECUTIVE,673750.0,670000.0,677500.0,671875.0,675625.0,4537.00344639942,4527.027027027027,4546.979865771812,4532.015236713223,4541.991656085615
QUEENSTOWN,2000-04,EXECUTIVE,618750.0,555000.0,642500.0,588750.0,638750.0,4238.013698630137,3580.6451612903224,4370.748299319728,3977.3530711444982,4367.51584195322
QUEENSTOWN,2000-05,EXECUTIVE,700000.0,585000.0,728000.0,700000.0,725000.0,4666.666666666667,3774.1935483870966,4898.648648648648,4487.179487179487,4827.586206896552
QUEENSTOWN,2000-06,EXECUTIVE,683000.0,630000.0,710000.0,656500.0,696500.0,4583.892617449665,4256.756756756757,4733.333333333333,4420.324687103211,4658.612975391499
QUEENSTOWN,2000-07,EXECUTIVE,650000.0,600000.0,720000.0,625000.0,685000.0,4577.4647887323945,4109.58904109589,4615.384615384615,4343.526914914142,4596.424702058504
QUEENSTOWN,2000-09,EXECUTIVE,710000.0,710000.0,710000.0,710000.0,710000.0,4733.333333333333,4733.333333333333,4733.333333333333,4733.333333333333,4733.333333333333
QUEENSTOWN,2000-10,EXECUTIVE,609000.0,590000.0,628000.0,599500.0,618500.0,4027.0800627943486,3782.051282051282,4272.108843537415,3904.5656724228156,4149.5944531658815
QUEENSTOWN,2000-11,EXECUTIVE,590000.0,590000.0,590000.0,590000.0,590000.0,4041.095890410959,4041.095890410959,4041.095890410959,4041.095890410959,4041.095890410959
QUEENSTOWN,2000-12,EXECUTIVE,638000.0,625000.0,640000.0,631500.0,639000.0,4194.6308724832215,4142.857142857143,4353.741496598639,4168.744007670182,4274.18618454093
QUEENSTOWN,2001-01,EXECUTIVE,618000.0,618000.0,618000.0,618000.0,618000.0,4262.068965517241,4262.068965517241,4262.068965517241,4262.068965517241,4262.068965517241
QUEENSTOWN,2001-02,EXECUTIVE,597000.0,597000.0,597000.0,597000.0,597000.0,4089.041095890411,4089.041095890411,4089.041095890411,4089.041095890411,4089.041095890411
QUEENSTOWN,2001-04,EXECUTIVE,631500.0,583000.0,680000.0,607250.0,655750.0,4309.50051253378,3993.150684931507,4625.850340136054,4151.325598732644,4467.675426334918
QUEENSTOWN,2001-05,EXECUTIVE,705000.0,705000.0,705000.0,705000.0,705000.0,4731.543624161074,4731.543624161074,4731.543624161074,4731.543624161074,4731.543624161074
QUEENSTOWN,2001-06,EXECUTIVE,623000.0,590000.0,640000.0,606500.0,631500.0,4153.333333333333,3831.1688311688313,4353.741496598639,3992.251082251082,4253.537414965986
QUEENSTOWN,2001-07,EXECUTIVE,648000.0,648000.0,648000.0,648000.0,648000.0,4207.792207792208,4207.792207792208,4207.792207792208,4207.792207792208,4207.792207792208
QUEENSTOWN,2001-09,EXECUTIVE,673500.0,647000.0,700000.0,660250.0,686750.0,4621.455399061033,4313.333333333333,4929.577464788732,4467.3943661971825,4775.516431924882
QUEENSTOWN,2001-10,EXECUTIVE,647500.0,620000.0,675000.0,633750.0,661250.0,4331.767337807606,4133.333333333333,4530.201342281879,4232.5503355704695,4430.984340044743
QUEENSTOWN,2001-11,EXECUTIVE,596000.0,560000.0,632000.0,578000.0,614000.0,4130.114017437962,3809.5238095238096,4450.704225352113,3969.8189134808854,4290.409121395037
QUEENSTOWN,2001-12,EXECUTIVE,615000.0,595000.0,663000.0,606250.0,630750.0,4220.769824426008,4066.6666666666665,4510.2040816326535,4073.1735159817354,4402.198907732107
QUEENSTOWN,2002-01,EXECUTIVE,590000.0,575000.0,613000.0,582500.0,601500.0,4068.9655172413795,3758.169934640523,4086.6666666666665,3913.5677259409513,4077.8160919540232
QUEENSTOWN,2002-02,EXECUTIVE,602500.0,600000.0,605000.0,601250.0,603750.0,4019.9697562711262,3896.103896103896,4143.835616438356,3958.036826187511,4081.902686354741
QUEENSTOWN,2002-03,EXECUTIVE,600000.0,600000.0,600000.0,600000.0,600000.0,4000.0,4000.0,4000.0,4000.0,4000.0
QUEENSTOWN,2002-04,EXECUTIVE,540000.0,540000.0,540000.0,540000.0,540000.0,3673.469387755102,3673.469387755102,3673.469387755102,3673.469387755102,3673.469387755102
QUEENSTOWN,2002-05,EXECUTIVE,635000.0,635000.0,635000.0,635000.0,635000.0,4471.830985915493,4471.830985915493,4471.830985915493,4471.830985915493,4471.830985915493
QUEENSTOWN,2002-06,EXECUTIVE,650000.0,603000.0,654000.0,626500.0,652000.0,4391.891891891892,4020.0,4605.633802816901,4205.945945945946,4498.762847354396
QUEENSTOWN,2002-07,EXECUTIVE,573800.0,573800.0,573800.0,573800.0,573800.0,3930.1369863013697,3930.1369863013697,3930.1369863013697,3930.1369863013697,3930.1369863013697
QUEENSTOWN,2002-10,EXECUTIVE,627500.0,615000.0,700000.0,622500.0,647500.0,4211.711711711712,4155.405405405405,4761.9047619047615,4163.851351351352,4383.043758043757
QUEENSTOWN,2002-11,EXECUTIVE,606500.0,550000.0,663000.0,578250.0,634750.0,4082.940322873209,3716.2162162162163,4449.664429530201,3899.5782695447124,4266.302376201705
QUEENSTOWN,2003-02,EXECUTIVE,670000.0,670000.0,670000.0,670000.0,670000.0,4496.644295302013,4496.644295302013,4496.644295302013,4496.644295302013,4496.644295302013
QUEENSTOWN,2003-03,EXECUTIVE,525000.0,525000.0,525000.0,525000.0,525000.0,3387.0967741935483,3387.0967741935483,3387.0967741935483,3387.0967741935483,3387.0967741935483
QUEENSTOWN,2003-04,EXECUTIVE,650000.0,650000.0,650000.0,650000.0,650000.0,4333.333333333333,4333.333333333333,4333.333333333333,4333.333333333333,4333.333333333333
QUEENSTOWN,2003-11,EXECUTIVE,615000.0,590000.0,640000.0,602500.0,627500.0,3929.242201535195,3782.051282051282,4076.433121019108,3855.6467417932386,4002.8376612771517
QUEENSTOWN,2003-12,EXECUTIVE,610000.0,610000.0,610000.0,610000.0,610000.0,4121.621621621622,4121.621621621622,4121.621621621622,4121.621621621622,4121.621621621622
QUEENSTOWN,2004-01,EXECUTIVE,670000.0,670000.0,670000.0,670000.0,670000.0,4557.8231292517,4557.8231292517,4557.8231292517,4557.8231292517,4557.8231292517
QUEENSTOWN,2004-03,EXECUTIVE,650000.0,650000.0,650000.0,650000.0,650000.0,4362.416107382551,4362.416107382551,4362.416107382551,4362.416107382551,4362.416107382551
QUEENSTOWN,2004-05,EXECUTIVE,555000.0,555000.0,555000.0,555000.0,555000.0,3775.5102040816328,3775.5102040816328,3775.5102040816328,3775.5102040816328,3775.5102040816328
