town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,30900.0,13500.0,167500.0,21925.0,40000.0,508.6538461538462,257.57575757575756,1431.6239316239316,413.5869565217391,615.3846153846154
QUEENSTOWN,1990-02,35250.0,13500.0,136000.0,23050.0,40000.0,569.6870925684485,295.6521739130435,1192.982456140351,402.67857142857144,669.2307692307693
QUEENSTOWN,1990-03,32000.0,13500.0,167200.0,22500.0,40000.0,499.88518943742827,288.135593220339,1429.059829059829,408.0357142857143,615.3846153846154
QUEENSTOWN,1990-04,29500.0,13500.0,135000.0,20600.0,40000.0,483.3928571428571,293.4782608695652,1153.8461538461538,415.2173913043478,608.3916083916083
QUEENSTOWN,1990-05,30000.0,13500.0,170000.0,20000.0,43000.0,461.53846153846155,293.4782608695652,1491.2280701754387,347.82608695652175,661.5384615384615
QUEENSTOWN,1990-06,34000.0,14000.0,180000.0,21100.0,45750.0,524.2503259452412,303.57142857142856,1538.4615384615386,382.29813664596276,684.4168985580571
QUEENSTOWN,1990-07,34500.0,13500.0,180000.0,23000.0,40000.0,538.4615384615385,286.2068965517241,1538.4615384615386,411.2965838509317,658.2627118644068
QUEENSTOWN,1990-08,35000.0,13500.0,170000.0,23000.0,40000.0,542.3728813559322,284.61538461538464,1428.5714285714287,410.7142857142857,666.6666666666666
QUEENSTOWN,1990-09,28500.0,13500.0,171000.0,18000.0,40000.0,481.9277108433735,293.4782608695652,1436.9747899159663,366.6666666666667,610.1694915254237
QUEENSTOWN,1990-10,36000.0,15000.0,188000.0,22250.0,45000.0,580.4432855280313,300.0,1606.837606837607,411.4130434782609,688.722294654498
QUEENSTOWN,1990-11,38500.0,13500.0,166000.0,25000.0,43250.0,590.1741293532339,283.3333333333333,1418.8034188034187,416.6666666666667,667.7058111380145
QUEENSTOWN,1990-12,37000.0,14000.0,153900.0,23000.0,46000.0,593.2203389830509,246.3768115942029,1251.219512195122,404.25531914893617,652.1739130434783
QUEENSTOWN,1991-01,40000.0,13600.0,164000.0,23000.0,40150.0,604.4285153181461,295.6521739130435,1378.1512605042017,410.7531055900621,654.379956741168
QUEENSTOWN,1991-02,36000.0,13500.0,160500.0,22500.0,40000.0,538.4615384615385,283.3333333333333,1371.7948717948718,408.2458770614693,677.9661016949152
QUEENSTOWN,1991-03,36000.0,14000.0,165000.0,23450.0,40000.0,576.9230769230769,304.3478260869565,1410.2564102564102,442.85195936139337,645.433789954338
QUEENSTOWN,1991-04,36000.0,14000.0,178000.0,23000.0,44000.0,555.7692307692307,304.3478260869565,1521.3675213675215,412.58116883116884,677.9661016949152
QUEENSTOWN,1991-05,40000.0,16800.0,170000.0,25000.0,45000.0,615.3846153846154,323.943661971831,1452.991452991453,442.3076923076923,677.9661016949152
QUEENSTOWN,1991-06,40000.0,16000.0,163000.0,29250.0,61850.0,623.0769230769231,316.6666666666667,1393.162393162393,483.59674329501917,794.1369606003752
QUEENSTOWN,1991-07,38000.0,13500.0,186000.0,23240.0,46500.0,567.1641791044776,326.0869565217391,1568.6274509803923,419.64285714285717,677.9661016949152
QUEENSTOWN,1991-08,37000.0,14000.0,186000.0,23150.0,46000.0,580.7692307692307,289.8550724637681,1589.7435897435898,413.9751552795031,677.9661016949152
QUEENSTOWN,1991-09,40000.0,13500.0,195000.0,23000.0,48250.0,615.3846153846154,281.6901408450704,1638.6554621848738,411.87888198757764,736.7706919945726
QUEENSTOWN,1991-10,40000.0,13500.0,170000.0,23100.0,43000.0,615.3846153846154,276.6666666666667,1452.991452991453,450.9913655260633,690.9817351598174
QUEENSTOWN,1991-11,28000.0,14000.0,165000.0,20000.0,44000.0,485.989010989011,303.030303030303,1410.2564102564102,402.1392229417206,667.9104477611941
QUEENSTOWN,1991-12,40000.0,15000.0,200000.0,23000.0,44625.0,605.6618819776714,322.5806451612903,1709.4017094017095,413.04347826086956,679.6284224250326
QUEENSTOWN,1992-01,33500.0,16000.0,170000.0,23500.0,40000.0,548.4615384615385,339.62264150943395,1435.8974358974358,420.16227801592163,677.9661016949152
QUEENSTOWN,1992-02,30000.0,13500.0,179000.0,20900.0,47500.0,489.2857142857143,293.4782608695652,1455.2845528455284,407.81573498964804,744.3181818181818
QUEENSTOWN,1992-03,40000.0,13500.0,158000.0,28525.0,46000.0,635.7709750566894,293.4782608695652,1464.2857142857142,473.0769230769231,721.9279661016949
QUEENSTOWN,1992-04,37000.0,13500.0,198000.0,23000.0,55000.0,558.8235294117648,293.4782608695652,1692.3076923076924,384.61538461538464,753.4246575342465
QUEENSTOWN,1992-05,40000.0,13500.0,190000.0,24000.0,50000.0,615.3846153846154,283.3333333333333,1623.931623931624,455.7692307692308,748.1343283582089
QUEENSTOWN,1992-06,39620.0,14000.0,190000.0,23000.0,46255.0,615.3846153846154,307.6923076923077,1623.931623931624,423.93048128342247,754.2372881355932
QUEENSTOWN,1992-07,40000.0,14000.0,128000.0,32500.0,57500.0,644.0677966101695,291.6666666666667,1505.8823529411766,530.3030303030303,844.1295546558704
QUEENSTOWN,1992-08,40000.0,15000.0,195000.0,24500.0,50750.0,624.3589743589744,326.0869565217391,1666.6666666666667,428.57142857142856,849.3644067796611
QUEENSTOWN,1992-09,40000.0,13500.0,209000.0,30000.0,62000.0,690.9090909090909,293.4782608695652,1786.3247863247864,500.0,969.2307692307693
QUEENSTOWN,1992-10,40000.0,13500.0,200000.0,20500.0,57500.0,622.9096989966555,280.0,1709.4017094017095,447.61904761904765,884.6153846153846
QUEENSTOWN,1992-11,44500.0,18000.0,225000.0,28750.0,60250.0,681.4488042721151,318.1818181818182,1923.076923076923,517.0537010159652,947.5961538461538
QUEENSTOWN,1992-12,42000.0,18000.0,237000.0,30000.0,61500.0,678.5714285714286,300.0,2025.6410256410256,546.1590296495956,906.1583577712611
QUEENSTOWN,1993-01,40000.0,15000.0,240000.0,25750.0,52000.0,671.6417910447761,321.42857142857144,2257.4257425742576,473.9010989010989,817.1703296703297
QUEENSTOWN,1993-02,45000.0,14000.0,80000.0,38000.0,54500.0,760.0,325.5813953488372,1194.0298507462687,615.3846153846154,847.457627118644
QUEENSTOWN,1993-03,40000.0,14000.0,250000.0,30000.0,60000.0,711.5384615384615,333.3333333333333,2100.840336134454,537.0879120879121,984.6153846153846
QUEENSTOWN,1993-04,40000.0,14000.0,250000.0,30000.0,66250.0,686.5671641791045,326.0869565217391,2100.840336134454,519.2307692307693,1113.4887005649716
QUEENSTOWN,1993-05,45900.0,20000.0,260000.0,37750.0,65250.0,809.5238095238095,374.83870967741933,2222.222222222222,642.9765886287626,1024.2503259452412
QUEENSTOWN,1993-06,58000.0,18000.0,255000.0,45250.0,75750.0,914.2136248948696,321.42857142857144,2142.8571428571427,762.5,1252.8977871443626
