town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,low,23750.0,14000.0,136000.0,22750.0,37750.0,453.0769230769231,304.3478260869565,1162.3931623931624,417.4407114624506,578.4382284382284
QUEENSTOWN,1990-02,low,24250.0,13500.0,46000.0,20750.0,40000.0,450.1851851851852,313.95348837209303,686.5671641791045,381.54853620955316,662.3207301173402
QUEENSTOWN,1990-03,low,34000.0,13600.0,142000.0,19100.0,38000.0,507.46268656716416,295.6521739130435,1193.2773109243697,410.7142857142857,584.6153846153846
QUEENSTOWN,1990-04,low,38000.0,13500.0,51000.0,18000.0,46000.0,575.7575757575758,293.4782608695652,761.1940298507462,428.57142857142856,615.3846153846154
QUEENSTOWN,1990-05,low,21000.0,13500.0,43000.0,15125.0,23375.0,361.74242424242425,293.4782608695652,694.9152542372881,313.98809523809524,432.6923076923077
QUEENSTOWN,1990-06,low,36000.0,17000.0,54000.0,27000.0,40000.0,523.0769230769231,303.57142857142856,805.9701492537314,477.5,677.9661016949152
QUEENSTOWN,1990-07,low,31500.0,14000.0,138000.0,20750.0,40000.0,521.8124341412013,321.42857142857144,1121.9512195121952,390.7608695652174,650.3780964797913
QUEENSTOWN,1990-08,low,32500.0,13500.0,150000.0,23000.0,40875.0,525.03259452412,337.5,1219.5121951219512,407.17364532019707,638.0803242446573
QUEENSTOWN,1990-09,low,23000.0,14000.0,40000.0,18750.0,37250.0,426.510989010989,304.3478260869565,615.3846153846154,338.3152173913044,489.1259955074536
QUEENSTOWN,1990-10,low,30500.0,15000.0,53000.0,23500.0,39500.0,475.0,326.0869565217391,791.044776119403,430.83554376657827,630.7692307692308
QUEENSTOWN,1990-11,low,35000.0,13500.0,87000.0,21500.0,46500.0,578.9473684210526,283.3333333333333,1060.9756097560976,365.5797101449275,679.1577825159915
QUEENSTOWN,1990-12,low,23200.0,16200.0,46500.0,18500.0,35000.0,446.15384615384613,246.3768115942029,664.2857142857143,327.6021080368906,557.6923076923076
QUEENSTOWN,1991-01,low,27400.0,17000.0,110100.0,23050.0,44875.0,458.0357142857143,303.57142857142856,941.025641025641,402.7173913043478,615.3846153846154
QUEENSTOWN,1991-02,low,28000.0,13500.0,40000.0,24200.0,37000.0,482.7586206896552,293.4782608695652,677.9661016949152,442.1087533156499,590.9090909090909
QUEENSTOWN,1991-03,low,35000.0,19000.0,41000.0,30000.0,40000.0,576.9230769230769,413.04347826086956,633.3333333333334,508.47457627118644,615.3846153846154
QUEENSTOWN,1991-04,low,23000.0,15000.0,70000.0,21250.0,29500.0,401.7857142857143,339.1304347826087,843.3734939759037,383.974358974359,509.61538461538464
QUEENSTOWN,1991-05,low,39000.0,22000.0,135000.0,23200.0,46500.0,636.986301369863,383.3333333333333,1184.2105263157894,442.3076923076923,677.9661016949152
