town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,mid,35000.0,16700.0,140000.0,21200.0,40000.0,588.9178617992177,257.57575757575756,1196.5811965811965,434.99163879598666,615.3846153846154
QUEENSTOWN,1990-02,mid,23250.0,13500.0,110000.0,15125.0,37750.0,386.7881200244948,319.1489361702128,894.3089430894308,325.3105590062112,570.6933911159263
QUEENSTOWN,1990-03,mid,25320.0,14000.0,167200.0,22025.0,40000.0,434.53177257525084,304.3478260869565,1429.059829059829,396.06601731601734,601.6073478760046
QUEENSTOWN,1990-04,mid,27000.0,19000.0,87500.0,23300.0,40000.0,461.53846153846155,353.84615384615387,1067.0731707317073,416.304347826087,597.7611940298508
QUEENSTOWN,1990-05,mid,24000.0,13500.0,84000.0,17250.0,44875.0,422.74844720496895,293.4782608695652,943.8202247191011,324.9223602484472,646.3468309859155
QUEENSTOWN,1990-06,mid,23700.0,16000.0,109900.0,20500.0,38500.0,400.33222591362124,333.3333333333333,1130.4347826086957,345.93412249099333,644.0677966101695
QUEENSTOWN,1990-07,mid,29000.0,15000.0,176000.0,22250.0,40000.0,504.4642857142857,304.3478260869565,1430.8943089430895,409.4967532467532,652.2727272727273
QUEENSTOWN,1990-08,mid,35000.0,17000.0,65000.0,25050.0,40000.0,607.6923076923076,326.9230769230769,792.6829268292682,451.44230769230774,624.1851368970013
QUEENSTOWN,1990-09,mid,23100.0,14000.0,40000.0,18750.0,27500.0,397.0238095238095,304.3478260869565,615.3846153846154,331.52173913043475,487.2473924380704
QUEENSTOWN,1990-10,mid,28700.0,19000.0,80000.0,22250.0,51250.0,494.6573323507738,372.8813559322034,975.609756097561,405.87006079027356,833.777239709443
QUEENSTOWN,1990-11,mid,27000.0,13500.0,120000.0,17000.0,55000.0,456.08108108108104,291.6666666666667,1025.6410256410256,347.32142857142856,718.5741088180113
QUEENSTOWN,1990-12,mid,35000.0,19000.0,153900.0,23000.0,40000.0,593.2203389830509,323.943661971831,1251.219512195122,400.0,615.3846153846154
QUEENSTOWN,1991-01,mid,29750.0,13600.0,46000.0,23000.0,40000.0,466.1749482401656,295.6521739130435,630.1369863013699,350.96153846153845,615.3846153846154
QUEENSTOWN,1991-02,mid,27800.0,13500.0,88000.0,18500.0,37000.0,496.42857142857144,293.4782608695652,1035.2941176470588,337.6577840112202,593.5897435897436
QUEENSTOWN,1991-03,mid,25100.0,15000.0,165000.0,22475.0,37250.0,475.08361204013374,319.1489361702128,1410.2564102564102,441.08539765319426,631.3559322033898
QUEENSTOWN,1991-04,mid,29750.0,14000.0,49000.0,23100.0,40000.0,459.0659340659341,304.3478260869565,753.8461538461538,443.67106773823195,662.3207301173402
QUEENSTOWN,1991-05,mid,33000.0,23000.0,120000.0,26750.0,40000.0,508.47457627118644,391.6666666666667,1318.6813186813188,460.2842809364548,610.7226107226106
QUEENSTOWN,1991-06,mid,35000.0,19000.0,50000.0,23000.0,40000.0,530.3030303030303,316.6666666666667,769.2307692307693,442.3076923076923,677.9661016949152
QUEENSTOWN,1991-07,mid,26500.0,19000.0,78000.0,23375.0,38000.0,495.4545454545455,347.82608695652175,951.219512195122,417.99301242236027,584.8030018761726
QUEENSTOWN,1991-08,mid,23000.0,14000.0,65000.0,21750.0,31500.0,413.04347826086956,304.3478260869565,773.8095238095239,402.4725274725275,542.8571428571429
QUEENSTOWN,1991-09,mid,29000.0,13500.0,51500.0,15875.0,40000.0,467.50663129973475,304.3478260869565,872.8813559322034,347.51011122345807,615.3846153846154
QUEENSTOWN,1991-10,mid,40000.0,23000.0,65000.0,36500.0,40500.0,666.6666666666666,410.7142857142857,730.3370786516854,561.5384615384615,680.6497175141243
QUEENSTOWN,1991-11,mid,25500.0,17000.0,50000.0,23000.0,40500.0,455.3571428571429,321.42857142857144,714.2857142857143,408.56762917933133,611.1487854251012
QUEENSTOWN,1991-12,mid,19000.0,18900.0,32000.0,19000.0,23000.0,413.04347826086956,322.5806451612903,581.8181818181819,410.8695652173913,413.04347826086956
QUEENSTOWN,1992-01,mid,25000.0,16000.0,50000.0,21000.0,40000.0,500.0,344.92753623188406,746.2686567164179,411.87888198757764,658.9830508474577
QUEENSTOWN,1992-02,mid,23600.0,13500.0,179000.0,19000.0,35000.0,417.85714285714283,293.4782608695652,1455.2845528455284,407.81573498964804,576.9230769230769
QUEENSTOWN,1992-03,mid,34000.0,13500.0,58000.0,23500.0,40750.0,576.9230769230769,293.4782608695652,983.0508474576271,421.389751552795,688.722294654498
QUEENSTOWN,1992-04,mid,24000.0,14000.0,90000.0,20500.0,37750.0,444.4875776397515,304.3478260869565,1071.4285714285713,384.61538461538464,601.2443438914027
QUEENSTOWN,1992-05,mid,30000.0,19000.0,65000.0,25000.0,44000.0,500.0,413.04347826086956,738.6363636363636,448.16053511705684,660.6334841628959
QUEENSTOWN,1992-06,mid,30000.0,20000.0,53000.0,23100.0,36900.0,492.3076923076923,307.6923076923077,815.3846153846154,429.67914438502675,651.4830508474577
QUEENSTOWN,1992-07,mid,40000.0,19000.0,65500.0,32500.0,46000.0,631.7663817663818,410.7142857142857,1110.1694915254238,576.4423076923077,694.092039800995
QUEENSTOWN,1992-08,mid,40000.0,18000.0,51000.0,23000.0,46000.0,597.0149253731344,410.7142857142857,850.0,428.57142857142856,707.6923076923077
QUEENSTOWN,1992-09,mid,43000.0,18900.0,105000.0,29500.0,59500.0,724.6376811594203,333.3333333333333,1327.1186440677966,495.42124542124543,793.7199786514855
QUEENSTOWN,1992-10,mid,40500.0,16800.0,135000.0,20250.0,47000.0,598.6263736263736,280.0,1534.090909090909,449.53416149068323,735.3976531942633
QUEENSTOWN,1992-11,mid,40000.0,18900.0,180000.0,31000.0,42375.0,620.1923076923076,410.8695652173913,1440.0,538.0434782608696,693.75
QUEENSTOWN,1992-12,mid,57000.0,18000.0,237000.0,43750.0,70000.0,876.9230769230769,300.0,2025.6410256410256,668.1235431235432,902.3066485753053
QUEENSTOWN,1993-01,mid,40500.0,18900.0,227000.0,32500.0,51000.0,677.9661016949152,384.61538461538464,1907.563025210084,572.9166666666666,796.887222946545
QUEENSTOWN,1993-02,mid,49000.0,19000.0,73000.0,24000.0,60000.0,732.1428571428571,404.25531914893617,1152.542372881356,413.7931034482759,816.6666666666666
QUEENSTOWN,1993-03,mid,40000.0,16000.0,205000.0,31250.0,61500.0,644.2307692307693,347.82608695652175,1722.689075630252,557.6923076923076,1000.1865671641791
QUEENSTOWN,1993-04,mid,40000.0,23000.0,66000.0,32000.0,45000.0,678.2687651331719,410.7142857142857,1118.6440677966102,477.6021080368906,822.1153846153845
QUEENSTOWN,1993-05,mid,45000.0,23500.0,72000.0,34000.0,62500.0,865.3846153846154,391.6666666666667,1220.3389830508474,665.3726708074535,1046.936114732725
QUEENSTOWN,1993-06,mid,65000.0,31000.0,130000.0,48000.0,75000.0,902.7777777777778,630.1369863013699,1566.2650602409637,813.5593220338983,1268.6567164179105
QUEENSTOWN,1993-07,mid,60000.0,23000.0,96000.0,51250.0,70750.0,1013.4594882729211,500.0,1432.8358208955224,807.6923076923077,1137.4223602484471
QUEENSTOWN,1993-08,mid,65000.0,51000.0,157000.0,54000.0,85000.0,1061.2244897959183,850.0,1914.6341463414635,1038.4615384615386,1440.677966101695
QUEENSTOWN,1993-09,mid,73000.0,30000.0,180000.0,66000.0,87500.0,1215.3846153846155,714.2857142857143,2045.4545454545455,1061.5530303030303,1331.8122555410691
QUEENSTOWN,1993-10,mid,70000.0,48000.0,183000.0,65500.0,90250.0,1290.942928039702,872.7272727272727,2231.7073170731705,1050.8333333333333,1398.076923076923
QUEENSTOWN,1993-11,mid,75000.0,30000.0,315000.0,65000.0,95000.0,1285.7142857142858,652.1739130434783,2647.0588235294117,1160.7142857142858,1519.2307692307693
QUEENSTOWN,1993-12,mid,81000.0,35000.0,293000.0,53000.0,93900.0,1233.3333333333333,744.6808510638298,2394.9579831932774,1064.922480620155,1467.3011734028682
QUEENSTOWN,1994-01,mid,73000.0,36000.0,192000.0,66250.0,85000.0,1269.9215785479382,782.6086956521739,2341.4634146341464,1153.814935064935,1400.1068376068376
QUEENSTOWN,1994-02,mid,75000.0,35000.0,105000.0,63500.0,90000.0,1288.4615384615386,760.8695652173913,1807.6923076923076,1121.7948717948718,1408.974358974359
QUEENSTOWN,1994-03,mid,73500.0,29000.0,325000.0,43750.0,100750.0,1303.9596273291927,630.4347826086956,2789.4736842105262,989.1304347826087,1478.3974862529458
QUEENSTOWN,1994-04,mid,82000.0,39000.0,163000.0,72000.0,95000.0,1388.888888888889,847.8260869565217,2229.5081967213114,1261.5384615384614,1566.6666666666667
QUEENSTOWN,1994-05,mid,90000.0,66000.0,159000.0,74500.0,110000.0,1440.677966101695,1000.0,1939.0243902439024,1172.6190476190477,1679.176755447942
QUEENSTOWN,1994-06,mid,73500.0,39000.0,203000.0,49750.0,96250.0,1333.1043956043954,847.8260869565217,2475.609756097561,1064.8704902867714,1477.509778357236
QUEENSTOWN,1994-07,mid,95000.0,41000.0,192000.0,76500.0,110750.0,1494.4960861056752,891.304347826087,2181.818181818182,1272.8578892371995,1752.3148148148148
QUEENSTOWN,1994-08,mid,90000.0,45000.0,360000.0,80500.0,102500.0,1491.5254237288136,978.2608695652174,3076.923076923077,1297.1316818774446,1576.923076923077
QUEENSTOWN,1994-09,mid,95000.0,48000.0,350000.0,81000.0,120900.0,1607.142857142857,1043.4782608695652,2845.528455284553,1317.8617992177315,1931.937321937322
