town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
QUEENSTOWN,1990-01,very low,23000.0,13500.0,46000.0,19000.0,25300.0,417.85714285714283,293.4782608695652,638.8888888888889,345.141065830721,466.8269230769231
QUEENSTOWN,1990-02,very low,23400.0,15000.0,41000.0,23000.0,39500.0,497.8723404255319,326.0869565217391,694.9152542372881,397.0238095238095,607.6923076923076
QUEENSTOWN,1990-03,very low,23000.0,15500.0,40000.0,16875.0,30500.0,414.2857142857143,288.135593220339,615.3846153846154,345.10869565217394,475.1177394034537
QUEENSTOWN,1990-04,very low,20800.0,13500.0,38000.0,19100.0,25600.0,415.2173913043478,293.4782608695652,644.0677966101695,346.15384615384613,471.15384615384613
QUEENSTOWN,1990-05,very low,36500.0,16000.0,110000.0,22250.0,40750.0,519.2307692307693,322.5806451612903,964.9122807017544,397.67080745341616,625.9220231822972
QUEENSTOWN,1990-06,very low,21900.0,17150.0,40000.0,18125.0,26750.0,410.7142857142857,321.42857142857144,615.3846153846154,371.77795031055905,471.1538461538462
QUEENSTOWN,1990-07,very low,23000.0,13500.0,44200.0,20550.0,38000.0,433.9622641509434,286.2068965517241,749.1525423728814,393.95833333333337,607.6923076923076
QUEENSTOWN,1990-08,very low,23000.0,13600.0,40000.0,19775.0,23925.0,410.7142857142857,284.61538461538464,677.9661016949152,372.3045822102426,474.63697017268447
QUEENSTOWN,1990-09,very low,29000.0,13500.0,45500.0,18000.0,40000.0,500.0,295.6521739130435,679.1044776119403,391.30434782608694,597.0149253731344
QUEENSTOWN,1990-10,very low,21700.0,15000.0,90000.0,18000.0,39000.0,442.85714285714283,300.0,833.3333333333334,326.0869565217391,600.0
QUEENSTOWN,1990-11,very low,27000.0,13500.0,108800.0,25000.0,39000.0,450.0,313.95348837209303,1098.989898989899,431.0344827586207,661.0169491525423
QUEENSTOWN,1990-12,very low,23000.0,14000.0,41000.0,18750.0,29000.0,439.3939393939394,304.3478260869565,652.1739130434783,379.6583850931677,500.0
QUEENSTOWN,1991-01,very low,23000.0,15000.0,88000.0,18500.0,40000.0,413.04347826086956,339.62264150943395,936.1702127659574,383.974358974359,677.9661016949152
QUEENSTOWN,1991-02,very low,31500.0,14000.0,40000.0,21250.0,40000.0,469.1304347826087,358.49056603773585,666.6666666666666,434.5711759504863,601.6073478760046
QUEENSTOWN,1991-03,very low,23500.0,14000.0,130000.0,20750.0,43000.0,443.39622641509436,304.3478260869565,1056.9105691056911,364.83990147783254,677.2183449651047
