town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1990-05,3 ROOM,01 TO 03,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1990-06,3 ROOM,07 TO 09,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,3 ROOM,01 TO 03,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,3 ROOM,07 TO 09,28500.0,28500.0,28500.0,28500.0,28500.0,445.3125,445.3125,445.3125,445.3125,445.3125
SEMBAWANG,1991-04,3 ROOM,01 TO 03,24000.0,24000.0,24000.0,24000.0,24000.0,375.0,375.0,375.0,375.0,375.0
SEMBAWANG,1992-02,3 ROOM,01 TO 03,35000.0,35000.0,35000.0,35000.0,35000.0,546.875,546.875,546.875,546.875,546.875
SEMBAWANG,1992-02,3 ROOM,10 TO 12,28000.0,28000.0,28000.0,28000.0,28000.0,437.5,437.5,437.5,437.5,437.5
SEMBAWANG,1993-09,3 ROOM,07 TO 09,72000.0,72000.0,72000.0,72000.0,72000.0,1125.0,1125.0,1125.0,1125.0,1125.0
SEMBAWANG,1995-06,3 ROOM,07 TO 09,77000.0,77000.0,77000.0,77000.0,77000.0,1203.125,1203.125,1203.125,1203.125,1203.125
SEMBAWANG,1995-06,3 ROOM,10 TO 12,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1995-10,3 ROOM,01 TO 03,84000.0,84000.0,84000.0,84000.0,84000.0,1312.5,1312.5,1312.5,1312.5,1312.5
SEMBAWANG,1995-11,3 ROOM,01 TO 03,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1996-03,3 ROOM,04 TO 06,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,1996-07,3 ROOM,07 TO 09,105000.0,105000.0,105000.0,105000.0,105000.0,1640.625,1640.625,1640.625,1640.625,1640.625
SEMBAWANG,1996-10,3 ROOM,01 TO 03,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1997-03,3 ROOM,07 TO 09,132000.0,132000.0,132000.0,132000.0,132000.0,2062.5,2062.5,2062.5,2062.5,2062.5
SEMBAWANG,1997-08,3 ROOM,07 TO 09,120000.0,120000.0,120000.0,120000.0,120000.0,1875.0,1875.0,1875.0,1875.0,1875.0
SEMBAWANG,1998-07,3 ROOM,07 TO 09,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1998-08,3 ROOM,04 TO 06,92000.0,92000.0,92000.0,92000.0,92000.0,1437.5,1437.5,1437.5,1437.5,1437.5
SEMBAWANG,1999-05,3 ROOM,04 TO 06,70000.0,70000.0,70000.0,70000.0,70000.0,1093.75,1093.75,1093.75,1093.75,1093.75
SEMBAWANG,1999-06,3 ROOM,07 TO 09,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-07,3 ROOM,10 TO 12,67000.0,67000.0,67000.0,67000.0,67000.0,1046.875,1046.875,1046.875,1046.875,1046.875
SEMBAWANG,1999-10,3 ROOM,10 TO 12,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-11,3 ROOM,01 TO 03,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,2002-08,5 ROOM,10 TO 12,315000.0,315000.0,315000.0,315000.0,315000.0,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976
SEMBAWANG,2002-08,EXECUTIVE,07 TO 09,383000.0,383000.0,383000.0,383000.0,383000.0,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886
SEMBAWANG,2002-08,EXECUTIVE,10 TO 12,401000.0,390000.0,412000.0,395500.0,406500.0,2834.232344421137,2746.478873239437,2921.9858156028367,2790.3556088302867,2878.109080011987
SEMBAWANG,2002-08,EXECUTIVE,13 TO 15,395000.0,395000.0,395000.0,395000.0,395000.0,2801.418439716312,2801.418439716312,2801.418439716312,2801.418439716312,2801.418439716312
SEMBAWANG,2002-09,4 ROOM,01 TO 03,192500.0,192000.0,193000.0,192250.0,192750.0,2115.3846153846152,2109.8901098901097,2120.879120879121,2112.6373626373625,2118.131868131868
SEMBAWANG,2002-09,4 ROOM,04 TO 06,212000.0,209000.0,215000.0,210500.0,213500.0,2099.0099009900987,2069.3069306930693,2128.7128712871286,2084.158415841584,2113.861386138614
SEMBAWANG,2002-09,4 ROOM,07 TO 09,201500.0,185000.0,218000.0,192625.0,211500.0,2142.913787243684,2032.967032967033,2247.422680412371,2116.7582417582416,2180.4123711340208
SEMBAWANG,2002-09,4 ROOM,10 TO 12,223000.0,218200.0,226000.0,220600.0,224500.0,2230.0,2182.0,2260.0,2206.0,2245.0
SEMBAWANG,2002-09,4 ROOM,13 TO 15,253000.0,253000.0,253000.0,253000.0,253000.0,2530.0,2530.0,2530.0,2530.0,2530.0
SEMBAWANG,2002-09,5 ROOM,07 TO 09,296000.0,293000.0,299000.0,294500.0,297500.0,2446.280991735537,2421.4876033057853,2471.0743801652893,2433.884297520661,2458.6776859504134
SEMBAWANG,2002-09,5 ROOM,10 TO 12,306000.0,306000.0,306000.0,306000.0,306000.0,2528.9256198347107,2528.9256198347107,2528.9256198347107,2528.9256198347107,2528.9256198347107
SEMBAWANG,2002-09,EXECUTIVE,07 TO 09,398000.0,398000.0,398000.0,398000.0,398000.0,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834
SEMBAWANG,2002-10,4 ROOM,01 TO 03,202500.0,190000.0,223500.0,201000.0,203000.0,2030.0,2004.950495049505,2212.871287128713,2010.0,2087.912087912088
SEMBAWANG,2002-10,4 ROOM,04 TO 06,213500.0,192000.0,221000.0,211500.0,214625.0,2135.0,2099.009900990099,2278.3505154639174,2107.4175824175823,2146.25
SEMBAWANG,2002-10,4 ROOM,07 TO 09,224000.0,214000.0,225000.0,219000.0,224500.0,2240.0,2140.0,2250.0,2190.0,2245.0
SEMBAWANG,2002-10,4 ROOM,10 TO 12,224500.0,213000.0,228000.0,220500.0,226500.0,2222.772277227723,2108.910891089109,2280.0,2183.168316831683,2248.2178217821784
SEMBAWANG,2002-10,4 ROOM,13 TO 15,223500.0,223500.0,223500.0,223500.0,223500.0,2213.0882352941176,2191.176470588235,2235.0,2202.1323529411766,2224.0441176470586
SEMBAWANG,2002-10,4 ROOM,16 TO 18,230000.0,230000.0,230000.0,230000.0,230000.0,2300.0,2300.0,2300.0,2300.0,2300.0
SEMBAWANG,2002-10,5 ROOM,01 TO 03,282000.0,282000.0,282000.0,282000.0,282000.0,2311.4754098360654,2311.4754098360654,2311.4754098360654,2311.4754098360654,2311.4754098360654
SEMBAWANG,2002-10,5 ROOM,04 TO 06,285500.0,283000.0,288000.0,284250.0,286750.0,2349.9187102018695,2319.6721311475408,2380.1652892561983,2334.7954206747054,2365.0419997290337
SEMBAWANG,2002-10,5 ROOM,07 TO 09,295000.0,295000.0,295000.0,295000.0,295000.0,2458.3333333333335,2458.3333333333335,2458.3333333333335,2458.3333333333335,2458.3333333333335
SEMBAWANG,2002-10,5 ROOM,10 TO 12,313500.0,300000.0,327000.0,306750.0,320250.0,2590.909090909091,2479.3388429752067,2702.4793388429753,2535.123966942149,2646.694214876033
SEMBAWANG,2002-10,5 ROOM,13 TO 15,307000.0,305000.0,316000.0,306000.0,311500.0,2541.6666666666665,2537.190082644628,2590.1639344262294,2539.4283746556475,2565.9153005464477
SEMBAWANG,2002-10,EXECUTIVE,04 TO 06,412000.0,412000.0,412000.0,412000.0,412000.0,2901.4084507042253,2901.4084507042253,2901.4084507042253,2901.4084507042253,2901.4084507042253
SEMBAWANG,2002-10,EXECUTIVE,10 TO 12,421000.0,421000.0,421000.0,421000.0,421000.0,2944.055944055944,2944.055944055944,2944.055944055944,2944.055944055944,2944.055944055944
SEMBAWANG,2002-11,4 ROOM,01 TO 03,206500.0,188000.0,217000.0,200000.0,214000.0,2062.967032967033,1979.381443298969,2170.0,2037.128712871287,2132.5
SEMBAWANG,2002-11,4 ROOM,04 TO 06,206500.0,191589.99,211000.0,199044.995,208750.0,2105.3845054945054,2044.5544554455446,2110.0,2074.969480470025,2107.6922527472525
SEMBAWANG,2002-11,4 ROOM,07 TO 09,210594.0,189000.0,224500.0,204891.0,214375.0,2095.4944554455446,2076.923076923077,2222.772277227723,2086.0624523990864,2132.1030693069306
SEMBAWANG,2002-11,4 ROOM,10 TO 12,223000.0,195000.0,227888.0,215000.0,224500.0,2207.920792079208,2128.7128712871286,2278.88,2170.3296703296705,2222.772277227723
SEMBAWANG,2002-11,4 ROOM,13 TO 15,221000.0,204000.0,242000.0,218000.0,225000.0,2188.1188118811883,2040.0,2396.039603960396,2178.2178217821784,2227.7227722772277
SEMBAWANG,2002-11,4 ROOM,16 TO 18,230000.0,227000.0,236000.0,228500.0,233000.0,2300.0,2247.5247524752476,2336.633663366337,2273.762376237624,2318.3168316831684
SEMBAWANG,2002-11,5 ROOM,01 TO 03,289500.0,278000.0,301000.0,283750.0,295250.0,2402.1349862258953,2316.6666666666665,2487.603305785124,2359.400826446281,2444.8691460055097
SEMBAWANG,2002-11,5 ROOM,04 TO 06,275000.0,275000.0,275000.0,275000.0,275000.0,2291.6666666666665,2291.6666666666665,2291.6666666666665,2291.6666666666665,2291.6666666666665
SEMBAWANG,2002-11,5 ROOM,07 TO 09,294944.0,285000.0,303000.0,287250.0,302166.0,2407.9776089564175,2336.065573770492,2504.1322314049585,2340.113954418233,2481.901910310256
SEMBAWANG,2002-11,5 ROOM,10 TO 12,293000.0,292000.0,294000.0,292500.0,293500.0,2441.666666666667,2433.3333333333335,2450.0,2437.5,2445.8333333333335
SEMBAWANG,2002-11,5 ROOM,13 TO 15,307500.0,307500.0,307500.0,307500.0,307500.0,2562.5,2562.5,2562.5,2562.5,2562.5
SEMBAWANG,2002-11,EXECUTIVE,01 TO 03,394500.0,394000.0,395000.0,394250.0,394750.0,2788.008190989911,2781.6901408450703,2794.326241134752,2784.8491659174906,2791.1672160623316
SEMBAWANG,2002-11,EXECUTIVE,04 TO 06,392500.0,388000.0,397000.0,390250.0,394750.0,2773.998601538308,2732.394366197183,2815.6028368794327,2753.1964838677454,2794.8007192088703
SEMBAWANG,2002-11,EXECUTIVE,13 TO 15,371000.0,371000.0,371000.0,371000.0,371000.0,2853.846153846154,2853.846153846154,2853.846153846154,2853.846153846154,2853.846153846154
SEMBAWANG,2002-12,4 ROOM,01 TO 03,209400.0,182000.0,217000.0,191750.0,214450.0,2080.9378740071807,2000.0,2150.0,2043.4392340332934,2138.118811881188
SEMBAWANG,2002-12,4 ROOM,04 TO 06,203750.0,202500.0,205000.0,203125.0,204375.0,2037.5,2025.0,2050.0,2031.25,2043.75
SEMBAWANG,2002-12,4 ROOM,07 TO 09,218000.0,194000.0,234000.0,206444.0,225000.0,2196.5714285714284,2130.0,2340.0,2145.141986726145,2238.6138613861385
SEMBAWANG,2002-12,4 ROOM,10 TO 12,217000.0,217000.0,217000.0,217000.0,217000.0,2170.0,2170.0,2170.0,2170.0,2170.0
SEMBAWANG,2002-12,4 ROOM,13 TO 15,229500.0,216000.0,238500.0,225500.0,236250.0,2290.0,2138.6138613861385,2361.3861386138615,2235.148514851485,2339.108910891089
SEMBAWANG,2002-12,4 ROOM,16 TO 18,223750.0,222500.0,225000.0,223125.0,224375.0,2237.5,2225.0,2250.0,2231.25,2243.75
SEMBAWANG,2002-12,5 ROOM,01 TO 03,281250.0,276000.0,286500.0,278625.0,283875.0,2314.6761956374476,2280.99173553719,2348.3606557377047,2297.8339655873187,2331.518425687576
SEMBAWANG,2002-12,5 ROOM,04 TO 06,288400.0,280800.0,296000.0,284600.0,292200.0,2383.1147540983607,2340.0,2426.2295081967213,2361.55737704918,2404.672131147541
SEMBAWANG,2002-12,5 ROOM,07 TO 09,299388.0,280000.0,303000.0,289694.0,301194.0,2463.4146341463415,2295.0819672131147,2494.9,2379.2483006797283,2479.157317073171
SEMBAWANG,2002-12,5 ROOM,10 TO 12,304694.0,290000.0,311000.0,301750.0,307700.0,2518.249180327869,2416.6666666666665,2591.6666666666665,2484.5549383552366,2548.309228650138
SEMBAWANG,2002-12,5 ROOM,13 TO 15,303000.0,302000.0,312000.0,302500.0,307500.0,2525.0,2495.8677685950415,2557.377049180328,2510.4338842975208,2541.188524590164
SEMBAWANG,2002-12,5 ROOM,16 TO 18,298000.0,298000.0,298000.0,298000.0,298000.0,2483.3333333333335,2483.3333333333335,2483.3333333333335,2483.3333333333335,2483.3333333333335
SEMBAWANG,2002-12,EXECUTIVE,04 TO 06,399000.0,399000.0,399000.0,399000.0,399000.0,2829.7872340425533,2829.7872340425533,2829.7872340425533,2829.7872340425533,2829.7872340425533
SEMBAWANG,2002-12,EXECUTIVE,10 TO 12,406500.0,405000.0,408000.0,405750.0,407250.0,2893.3130699088147,2872.340425531915,2914.285714285714,2882.826747720365,2903.7993920972644
SEMBAWANG,2003-01,4 ROOM,01 TO 03,205788.0,200000.0,214000.0,203500.0,209000.0,2049.5049504950493,1980.1980198019803,2140.0,2024.8514851485147,2073.4944554455446
SEMBAWANG,2003-01,4 ROOM,04 TO 06,210000.0,204000.0,226000.0,208000.0,211500.0,2090.0,2040.0,2237.6237623762377,2069.3069306930693,2099.5049504950493
SEMBAWANG,2003-01,4 ROOM,07 TO 09,216500.0,210500.0,230000.0,213750.0,219250.0,2143.5643564356433,2063.725490196078,2233.009708737864,2132.1534653465346,2170.792079207921
SEMBAWANG,2003-01,4 ROOM,10 TO 12,218000.0,214500.0,230000.0,218000.0,222800.0,2178.2178217821784,2145.0,2300.0,2158.4158415841584,2206.831683168317
SEMBAWANG,2003-01,4 ROOM,13 TO 15,222000.0,221000.0,227000.0,221000.0,223000.0,2210.0,2188.1188118811883,2247.5247524752476,2207.920792079208,2220.0
SEMBAWANG,2003-01,4 ROOM,16 TO 18,238000.0,216000.0,250000.0,227000.0,244000.0,2380.0,2160.0,2475.2475247524753,2270.0,2427.6237623762377
SEMBAWANG,2003-01,5 ROOM,01 TO 03,285000.0,285000.0,285000.0,285000.0,285000.0,2375.0,2375.0,2375.0,2375.0,2375.0
SEMBAWANG,2003-01,5 ROOM,04 TO 06,290000.0,281000.0,295000.0,284750.0,294250.0,2406.5426997245177,2322.314049586777,2458.3333333333335,2368.0785123966944,2436.89738292011
