town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,2002-09,4 ROOM,211000.0,185000.0,253000.0,193000.0,218150.0,2146.830662447688,2032.967032967033,2530.0,2116.7582417582416,2218.8917525773195
SEMBAWANG,2002-10,4 ROOM,214000.0,190000.0,230000.0,211000.0,223500.0,2140.0,2004.950495049505,2300.0,2104.4554455445545,2236.3118811881186
SEMBAWANG,2002-11,4 ROOM,215000.0,188000.0,242000.0,205750.0,224500.0,2151.4285714285716,1979.381443298969,2396.039603960396,2086.0624523990864,2222.772277227723
SEMBAWANG,2002-12,4 ROOM,217000.0,182000.0,238500.0,206000.0,229000.0,2170.0,2000.0,2361.3861386138615,2130.0,2272.2772277227723
SEMBAWANG,2003-01,4 ROOM,216000.0,200000.0,250000.0,210250.0,221500.0,2148.5148514851485,1980.1980198019803,2475.2475247524753,2089.108910891089,2208.960396039604
SEMBAWANG,2003-02,4 ROOM,212000.0,202000.0,232000.0,209500.0,218500.0,2100.0,2000.0,2320.0,2074.257425742574,2165.8415841584156
SEMBAWANG,2003-03,4 ROOM,220000.0,185000.0,248000.0,207000.0,224000.0,2178.2178217821784,2000.0,2455.4455445544554,2133.6633663366338,2240.0
SEMBAWANG,2003-04,4 ROOM,213000.0,178000.0,230000.0,208000.0,227000.0,2187.5,1956.043956043956,2290.0,2100.0,2257.4257425742576
SEMBAWANG,2003-05,4 ROOM,215000.0,192000.0,245000.0,211000.0,228000.0,2135.0,2036.4583333333333,2444.4444444444443,2089.108910891089,2277.227722772277
SEMBAWANG,2003-06,4 ROOM,215000.0,168000.0,250000.0,207000.0,227500.0,2198.019801980198,1866.6666666666667,2475.2475247524753,2114.961496149615,2271.0260036992713
SEMBAWANG,2003-07,4 ROOM,220000.0,200000.0,250000.0,215000.0,225000.0,2195.0,2000.0,2500.0,2128.7128712871286,2227.7227722772277
SEMBAWANG,2003-08,4 ROOM,226000.0,206000.0,245000.0,218750.0,236125.0,2237.6237623762377,2060.0,2484.2105263157896,2165.841584158416,2367.809405940594
SEMBAWANG,2003-09,4 ROOM,223500.0,208000.0,250000.0,213000.0,240000.0,2300.0,2080.0,2500.0,2158.4158415841584,2400.0
SEMBAWANG,2003-10,4 ROOM,230000.0,188000.0,260000.0,218666.0,238500.0,2300.0,1880.0,2574.2574257425745,2188.6897029702973,2382.6684139002136
SEMBAWANG,2003-11,4 ROOM,230000.0,205000.0,250000.0,220000.0,236750.0,2284.722222222222,2138.6138613861385,2500.0,2227.7227722772277,2339.6529213360895
SEMBAWANG,2003-12,4 ROOM,230000.0,200000.0,250000.0,219000.0,237500.0,2280.0,2128.7128712871286,2555.5555555555557,2250.0,2437.772277227723
SEMBAWANG,2004-01,4 ROOM,227504.0,204000.0,265000.0,222500.0,240000.0,2261.712871287129,2150.0,2931.0344827586205,2230.792079207921,2376.237623762376
SEMBAWANG,2004-02,4 ROOM,227500.0,208800.0,255000.0,221750.0,235125.0,2298.5148514851485,2067.3267326732675,2550.0,2207.4111822946998,2390.262923351159
SEMBAWANG,2004-03,4 ROOM,226000.0,205000.0,260000.0,220000.0,236000.0,2326.732673267327,2100.0,2600.0,2257.4257425742576,2443.181818181818
SEMBAWANG,2004-04,4 ROOM,226000.0,195000.0,250000.0,215000.0,240000.0,2333.3333333333335,2166.6666666666665,2906.9767441860463,2260.0,2443.181818181818
SEMBAWANG,2004-05,4 ROOM,219250.0,185000.0,250000.0,208750.0,223250.0,2307.894736842105,2079.207920792079,2777.777777777778,2185.045152866935,2445.8333333333335
SEMBAWANG,2004-06,4 ROOM,231000.0,190000.0,260000.0,209000.0,241244.0,2355.5555555555557,2030.0,2906.9767441860463,2306.930693069307,2485.632183908046
