town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,2002-08,EXECUTIVE,392500.0,383000.0,412000.0,388250.0,399250.0,2773.9486564778745,2716.3120567375886,2921.9858156028367,2738.937169113975,2831.5602836879434
SEMBAWANG,2002-09,EXECUTIVE,398000.0,398000.0,398000.0,398000.0,398000.0,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834
SEMBAWANG,2002-10,EXECUTIVE,416500.0,412000.0,421000.0,414250.0,418750.0,2922.7321973800845,2901.4084507042253,2944.055944055944,2912.070324042155,2933.3940707180145
SEMBAWANG,2002-11,EXECUTIVE,394000.0,371000.0,397000.0,388000.0,395000.0,2794.326241134752,2732.394366197183,2853.846153846154,2781.6901408450703,2815.6028368794327
SEMBAWANG,2002-12,EXECUTIVE,405000.0,399000.0,408000.0,402000.0,406500.0,2872.340425531915,2829.7872340425533,2914.285714285714,2851.063829787234,2893.3130699088147
SEMBAWANG,2003-01,EXECUTIVE,406000.0,382000.0,430000.0,394000.0,418000.0,2869.893117570672,2690.1408450704225,3049.645390070922,2780.0169813205475,2959.769253820797
SEMBAWANG,2003-02,EXECUTIVE,395000.0,385000.0,416000.0,390000.0,403000.0,2801.418439716312,2730.496453900709,2909.090909090909,2765.9574468085107,2858.1560283687945
SEMBAWANG,2003-03,EXECUTIVE,395000.0,360000.0,423000.0,382500.0,405750.0,2791.4294276296077,2553.191489361702,3021.4285714285716,2712.7659574468084,2868.033199195171
SEMBAWANG,2003-04,EXECUTIVE,395000.0,380000.0,405000.0,387500.0,400000.0,2801.418439716312,2714.285714285714,2872.340425531915,2757.852077001013,2836.8794326241136
SEMBAWANG,2003-05,EXECUTIVE,396888.0,370000.0,397000.0,383444.0,396944.0,2814.808510638298,2740.740740740741,2835.714285714286,2777.7746256895193,2825.2613981762916
SEMBAWANG,2003-06,EXECUTIVE,441000.0,441000.0,441000.0,441000.0,441000.0,3242.6470588235293,3242.6470588235293,3242.6470588235293,3242.6470588235293,3242.6470588235293
SEMBAWANG,2003-07,EXECUTIVE,377500.0,370000.0,385000.0,373750.0,381250.0,2756.861177724487,2661.8705035971225,2851.8518518518517,2709.3658406608047,2804.3565147881695
SEMBAWANG,2003-08,EXECUTIVE,430000.0,430000.0,430000.0,430000.0,430000.0,3049.645390070922,3049.645390070922,3049.645390070922,3049.645390070922,3049.645390070922
SEMBAWANG,2003-09,EXECUTIVE,406500.0,390000.0,423000.0,398250.0,414750.0,2882.978723404255,2765.9574468085107,3000.0,2824.468085106383,2941.4893617021276
SEMBAWANG,2003-10,EXECUTIVE,389500.0,366000.0,418000.0,381000.0,399250.0,2772.3657548125634,2633.093525179856,3096.296296296296,2711.464870656666,2879.431216931217
