town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1990-05,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1990-06,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,24900.0,21300.0,28500.0,23100.0,26700.0,389.0625,332.8125,445.3125,360.9375,417.1875
SEMBAWANG,1991-04,24000.0,24000.0,24000.0,24000.0,24000.0,375.0,375.0,375.0,375.0,375.0
SEMBAWANG,1992-02,31500.0,28000.0,35000.0,29750.0,33250.0,492.1875,437.5,546.875,464.84375,519.53125
SEMBAWANG,1993-09,72000.0,72000.0,72000.0,72000.0,72000.0,1125.0,1125.0,1125.0,1125.0,1125.0
SEMBAWANG,1995-06,82500.0,77000.0,88000.0,79750.0,85250.0,1289.0625,1203.125,1375.0,1246.09375,1332.03125
SEMBAWANG,1995-10,84000.0,84000.0,84000.0,84000.0,84000.0,1312.5,1312.5,1312.5,1312.5,1312.5
SEMBAWANG,1995-11,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1996-03,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,1996-07,105000.0,105000.0,105000.0,105000.0,105000.0,1640.625,1640.625,1640.625,1640.625,1640.625
SEMBAWANG,1996-10,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1997-03,132000.0,132000.0,132000.0,132000.0,132000.0,2062.5,2062.5,2062.5,2062.5,2062.5
SEMBAWANG,1997-08,120000.0,120000.0,120000.0,120000.0,120000.0,1875.0,1875.0,1875.0,1875.0,1875.0
SEMBAWANG,1998-07,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1998-08,92000.0,92000.0,92000.0,92000.0,92000.0,1437.5,1437.5,1437.5,1437.5,1437.5
SEMBAWANG,1999-05,70000.0,70000.0,70000.0,70000.0,70000.0,1093.75,1093.75,1093.75,1093.75,1093.75
SEMBAWANG,1999-06,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-07,67000.0,67000.0,67000.0,67000.0,67000.0,1046.875,1046.875,1046.875,1046.875,1046.875
SEMBAWANG,1999-10,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-11,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,2002-08,390000.0,315000.0,412000.0,383000.0,395000.0,2746.478873239437,2560.9756097560976,2921.9858156028367,2716.3120567375886,2801.418439716312
SEMBAWANG,2002-09,216500.0,185000.0,398000.0,197000.0,246250.0,2183.783505154639,2032.967032967033,2783.2167832167834,2120.879120879121,2381.1157024793392
SEMBAWANG,2002-10,223500.0,190000.0,421000.0,213250.0,286750.0,2236.3118811881186,2004.950495049505,2944.055944055944,2132.5,2365.0419997290337
SEMBAWANG,2002-11,223000.0,188000.0,397000.0,210594.0,276500.0,2207.920792079208,1979.381443298969,2853.846153846154,2114.4059405940593,2336.3496185684144
SEMBAWANG,2002-12,238500.0,182000.0,408000.0,217000.0,302000.0,2316.831683168317,2000.0,2914.285714285714,2164.207920792079,2491.251652892562
SEMBAWANG,2003-01,222000.0,200000.0,430000.0,213000.0,286000.0,2210.0,1980.1980198019803,3049.645390070922,2130.0,2380.0
SEMBAWANG,2003-02,223250.0,202000.0,416000.0,211000.0,293000.0,2230.0,2000.0,2909.090909090909,2098.2818870122305,2414.1260162601625
SEMBAWANG,2003-03,223500.0,185000.0,423000.0,215125.0,289035.0,2235.0,2000.0,3021.4285714285716,2158.8541666666665,2407.167682926829
SEMBAWANG,2003-04,227000.0,178000.0,405000.0,210000.0,281000.0,2257.4257425742576,1956.043956043956,2872.340425531915,2156.25,2341.6666666666665
SEMBAWANG,2003-05,226500.0,192000.0,397000.0,212000.0,284000.0,2257.4257425742576,2036.4583333333333,2835.714285714286,2124.3564356435645,2421.204620462046
SEMBAWANG,2003-06,229000.0,168000.0,441000.0,212250.0,292900.0,2274.7252747252746,1866.6666666666667,3242.6470588235293,2153.245324532453,2445.8333333333335
SEMBAWANG,2003-07,225000.0,200000.0,385000.0,218000.0,288000.0,2227.7227722772277,2000.0,2851.8518518518517,2167.5643564356433,2439.8071625344355
SEMBAWANG,2003-08,240000.0,206000.0,430000.0,225000.0,293250.0,2353.2317073170734,2060.0,3049.645390070922,2226.0483401281303,2455.09977827051
SEMBAWANG,2003-09,275500.0,208000.0,423000.0,228375.0,304250.0,2395.8260990346553,2080.0,3000.0,2278.2178217821784,2518.1349873843565
SEMBAWANG,2003-10,235500.0,188000.0,418000.0,221750.0,252250.0,2317.2124904798175,1880.0,3096.296296296296,2195.5716483516485,2463.1944444444443
SEMBAWANG,2003-11,245000.0,205000.0,415000.0,229250.0,303500.0,2355.903772195401,2138.6138613861385,2985.611510791367,2277.227722772277,2512.5583902263743
SEMBAWANG,2003-12,243000.0,200000.0,398000.0,225000.0,285500.0,2376.237623762376,2128.7128712871286,2802.8169014084506,2263.8146167557934,2517.4418604651164
SEMBAWANG,2004-01,273700.0,204000.0,382000.0,228000.0,295000.0,2376.237623762376,2150.0,3130.4347826086955,2266.0,2514.5631067961167
SEMBAWANG,2004-02,245944.0,208800.0,387000.0,225000.0,289500.0,2363.9135254988914,2067.3267326732675,2887.9310344827586,2253.615702479339,2448.651960784314
SEMBAWANG,2004-03,256500.0,205000.0,420000.0,226000.0,278750.0,2364.4262295081967,2100.0,2978.723404255319,2245.6064356435645,2468.9356435643567
SEMBAWANG,2004-04,250000.0,195000.0,415000.0,226000.0,296000.0,2441.6666666666665,2166.6666666666665,3027.2727272727275,2300.0,2590.909090909091
SEMBAWANG,2004-05,265000.0,185000.0,325000.0,220000.0,295000.0,2427.777777777778,2079.207920792079,2876.1061946902655,2300.0,2527.4725274725274
SEMBAWANG,2004-06,238400.0,190000.0,368888.0,211750.0,264500.0,2372.3528352835283,2030.0,2936.3636363636365,2310.0660066006603,2526.550249465431
SEMBAWANG,2004-07,236000.0,198000.0,363000.0,213000.0,279000.0,2400.0,2084.2105263157896,2833.3333333333335,2291.6666666666665,2577.777777777778
SEMBAWANG,2004-08,237500.0,188000.0,386500.0,209500.0,285500.0,2392.1188630490956,2087.912087912088,3103.448275862069,2315.016501650165,2478.9485766758494
SEMBAWANG,2004-09,231000.0,182000.0,360000.0,219000.0,255000.0,2362.6373626373625,2022.2222222222222,3272.7272727272725,2220.8333333333335,2500.0
SEMBAWANG,2004-10,240000.0,195000.0,378000.0,224600.0,275000.0,2444.4444444444443,2175.0,2909.090909090909,2318.181818181818,2572.7272727272725
SEMBAWANG,2004-11,243250.0,170000.0,360000.0,226750.0,284500.0,2470.537757437071,1888.888888888889,3089.090909090909,2388.75,2621.345029239766
SEMBAWANG,2004-12,247250.0,180000.0,340000.0,225750.0,275000.0,2460.9177903436275,2000.0,3197.6744186046512,2354.1254329539834,2550.653594771242
SEMBAWANG,2005-01,240000.0,178000.0,360000.0,225000.0,275000.0,2472.7272727272725,2069.767441860465,3153.153153153153,2310.924369747899,2557.8947368421054
SEMBAWANG,2005-02,250000.0,190000.0,400000.0,230000.0,270000.0,2425.7425742574255,2111.1111111111113,2989.1304347826085,2281.818181818182,2631.5789473684213
SEMBAWANG,2005-03,250000.0,170000.0,405000.0,223750.0,274000.0,2508.187134502924,1976.7441860465117,3139.5348837209303,2345.2898550724635,2662.3652340865456
SEMBAWANG,2005-04,248000.0,188000.0,380000.0,230000.0,270000.0,2444.4444444444443,2078.4313725490197,3272.7272727272725,2326.7942583732056,2574.6250457261312
SEMBAWANG,2005-05,240000.0,189000.0,313000.0,225000.0,277000.0,2472.5274725274726,2089.108910891089,2792.7927927927926,2356.7251461988308,2549.3230174081236
SEMBAWANG,2005-06,243250.0,190000.0,350000.0,218750.0,275000.0,2392.2466422466423,1965.0,2741.935483870968,2322.6470588235293,2508.497940503433
SEMBAWANG,2005-07,243500.0,193000.0,370000.0,224250.0,275375.0,2398.09547123623,1930.0,3272.7272727272725,2285.017472335469,2503.409090909091
SEMBAWANG,2005-08,247000.0,195000.0,360000.0,220000.0,272000.0,2363.6363636363635,2049.0196078431372,2715.05376344086,2303.921568627451,2481.818181818182
SEMBAWANG,2005-09,237750.0,198000.0,365000.0,226875.0,263750.0,2386.5,2072.7272727272725,2800.0,2282.222222222222,2470.2044279250163
SEMBAWANG,2005-10,252500.0,190000.0,375000.0,221750.0,278000.0,2388.138138138138,1934.959349593496,2854.5454545454545,2293.533697632058,2518.6602870813394
SEMBAWANG,2005-11,250000.0,200000.0,352000.0,221500.0,279500.0,2385.0,2076.271186440678,2839.285714285714,2311.029411764706,2468.181818181818
SEMBAWANG,2005-12,253000.0,190000.0,360088.0,226000.0,272875.0,2395.4545454545455,1980.1980198019803,2864.864864864865,2273.4885620915034,2526.0851760851765
