town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1992-02,high,28000.0,28000.0,28000.0,28000.0,28000.0,437.5,437.5,437.5,437.5,437.5
SEMBAWANG,1995-06,high,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1999-07,high,67000.0,67000.0,67000.0,67000.0,67000.0,1046.875,1046.875,1046.875,1046.875,1046.875
SEMBAWANG,1999-10,high,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,2002-08,high,392500.0,315000.0,412000.0,371250.0,399250.0,2773.9486564778745,2560.9756097560976,2921.9858156028367,2700.103057368602,2831.5602836879434
SEMBAWANG,2002-09,high,226000.0,218200.0,306000.0,223000.0,253000.0,2260.0,2182.0,2530.0,2230.0,2528.9256198347107
SEMBAWANG,2002-10,high,230000.0,213000.0,421000.0,223500.0,307000.0,2300.0,2108.910891089109,2944.055944055944,2235.0,2541.6666666666665
SEMBAWANG,2002-11,high,224500.0,195000.0,371000.0,220000.0,230000.0,2222.772277227723,2040.0,2853.846153846154,2180.0,2300.0
SEMBAWANG,2002-12,high,299500.0,216000.0,408000.0,229375.0,305875.0,2479.3715846994537,2138.6138613861385,2914.285714285714,2285.569306930693,2533.597520661157
SEMBAWANG,2003-01,high,234000.0,214500.0,430000.0,221000.0,289500.0,2304.166666666667,2145.0,3049.645390070922,2193.069306930693,2451.2913223140495
SEMBAWANG,2003-02,high,231500.0,212500.0,416000.0,219125.0,294500.0,2315.0,2103.960396039604,2909.090909090909,2169.5544554455446,2412.3160653094133
SEMBAWANG,2003-03,high,232500.0,202000.0,423000.0,222500.0,289886.0,2278.6138613861385,2173.267326732673,3021.4285714285716,2240.4166666666665,2445.500825082508
SEMBAWANG,2003-04,high,228000.0,178000.0,291000.0,213500.0,280750.0,2278.333333333333,1956.043956043956,2425.0,2241.881188118812,2339.583333333333
SEMBAWANG,2003-05,high,228250.0,212000.0,397000.0,214625.0,230750.0,2267.3267326732675,2078.4313725490197,2835.714285714286,2133.4282178217823,2301.732673267327
SEMBAWANG,2003-06,high,294000.0,207000.0,305000.0,272500.0,300500.0,2431.658536585366,2070.0,2600.0,2354.028925619835,2520.6611570247933
SEMBAWANG,2003-07,high,265000.0,215000.0,385000.0,224000.0,293000.0,2369.318181818182,2128.7128712871286,2851.8518518518517,2217.8217821782177,2442.1487603305786
SEMBAWANG,2003-08,high,280000.0,213000.0,430000.0,231000.0,302000.0,2376.237623762376,2108.910891089109,3049.645390070922,2310.0,2484.2105263157896
SEMBAWANG,2003-09,high,281000.0,208000.0,423000.0,226750.0,300000.0,2396.694214876033,2080.0,3000.0,2300.0,2502.032520325203
SEMBAWANG,2003-10,high,233000.0,218888.0,393000.0,224972.0,261750.0,2330.0,2178.2178217821784,2807.1428571428573,2243.5906930693072,2423.5537190082646
SEMBAWANG,2003-11,high,240000.0,213000.0,415000.0,230000.0,306000.0,2355.371900826446,2158.4158415841584,2985.611510791367,2288.6138613861385,2539.4283746556475
