town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1996-03,low,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,1998-08,low,92000.0,92000.0,92000.0,92000.0,92000.0,1437.5,1437.5,1437.5,1437.5,1437.5
SEMBAWANG,1999-05,low,70000.0,70000.0,70000.0,70000.0,70000.0,1093.75,1093.75,1093.75,1093.75,1093.75
SEMBAWANG,2002-09,low,212000.0,209000.0,215000.0,210500.0,213500.0,2099.0099009900987,2069.3069306930693,2128.7128712871286,2084.158415841584,2113.861386138614
SEMBAWANG,2002-10,low,214000.0,192000.0,412000.0,212500.0,252000.0,2140.0,2099.009900990099,2901.4084507042253,2119.945054945055,2299.011323305729
SEMBAWANG,2002-11,low,243000.0,191589.99,397000.0,207625.0,359750.0,2200.833333333333,2044.5544554455446,2815.6028368794327,2106.538379120879,2622.212441314554
SEMBAWANG,2002-12,low,280800.0,202500.0,399000.0,205000.0,296000.0,2340.0,2025.0,2829.7872340425533,2050.0,2426.2295081967213
SEMBAWANG,2003-01,low,219000.0,204000.0,382000.0,209750.0,288000.0,2168.8118811881186,2040.0,2690.1408450704225,2089.7772277227723,2394.938016528926
SEMBAWANG,2003-02,low,255500.0,206000.0,385000.0,210750.0,289250.0,2298.934426229508,2059.4059405940593,2730.496453900709,2086.633663366337,2404.1666666666665
SEMBAWANG,2003-03,low,203000.0,193000.0,208000.0,198000.0,205500.0,2114.5833333333335,2080.0,2144.4444444444443,2097.291666666667,2129.5138888888887
SEMBAWANG,2003-04,low,209000.0,207000.0,228000.0,207750.0,214500.0,2128.125,2059.4059405940593,2257.4257425742576,2089.8514851485147,2181.5439356435645
SEMBAWANG,2003-05,low,245000.0,192000.0,396888.0,212000.0,296000.0,2358.3333333333335,2050.0,2814.808510638298,2133.3333333333335,2446.280991735537
SEMBAWANG,2003-06,low,222000.0,202000.0,232000.0,214000.0,229000.0,2244.4444444444443,2118.8118811881186,2320.0,2198.019801980198,2274.7252747252746
SEMBAWANG,2003-07,low,234500.0,210000.0,330000.0,216500.0,257950.0,2297.9290429042903,2100.0,2727.2727272727275,2143.5643564356433,2440.0
SEMBAWANG,2003-08,low,211000.0,206000.0,225000.0,209000.0,215250.0,2110.0,2060.0,2319.5876288659792,2090.0,2169.8969072164946
SEMBAWANG,2003-09,low,240000.0,212000.0,284250.0,220500.0,259000.0,2207.920792079208,2099.009900990099,2455.4455445544554,2176.7688964018353,2374.5867768595044
SEMBAWANG,2003-10,low,239000.0,194000.0,386000.0,233750.0,291250.0,2376.6434020451225,2155.5555555555557,2737.5886524822695,2314.3564356435645,2463.541666666667
SEMBAWANG,2003-11,low,261000.0,216000.0,288000.0,237750.0,279750.0,2357.4993863022664,2138.6138613861385,2504.3478260869565,2251.595614106865,2445.3938872148083
SEMBAWANG,2003-12,low,250000.0,200000.0,398000.0,225000.0,310000.0,2500.0,2148.0,2802.8169014084506,2445.5445544554455,2561.9834710743803
SEMBAWANG,2004-01,low,264350.0,204000.0,382000.0,224750.0,275750.0,2304.1666666666665,2180.0,2931.0344827586205,2241.3186813186812,2432.7778110944528
SEMBAWANG,2004-02,low,243500.0,210000.0,335000.0,226250.0,283750.0,2298.5148514851485,2107.438016528926,2887.9310344827586,2253.615702479339,2408.1730769230767
SEMBAWANG,2004-03,low,250000.0,210000.0,269000.0,235000.0,262000.0,2300.0,2100.0,2574.2574257425745,2220.833333333333,2437.6237623762377
SEMBAWANG,2004-04,low,250000.0,200000.0,372000.0,215000.0,295000.0,2443.181818181818,2272.7272727272725,2638.2978723404253,2380.1652892561983,2500.0
SEMBAWANG,2004-05,low,250000.0,185000.0,305000.0,225000.0,288000.0,2417.5824175824177,2126.4367816091954,2777.777777777778,2370.020325203252,2650.0999000999
SEMBAWANG,2004-06,low,209000.0,192000.0,215000.0,203250.0,212000.0,2309.3406593406594,2133.3333333333335,2388.8888888888887,2258.3333333333335,2336.2332112332115
SEMBAWANG,2004-07,low,209500.0,198000.0,255000.0,203750.0,240000.0,2283.333333333333,2084.2105263157896,2833.3333333333335,2136.1111111111113,2436.991199119912
SEMBAWANG,2004-08,low,275000.0,188000.0,386500.0,207500.0,287000.0,2388.8888888888887,2136.3636363636365,2741.1347517730496,2272.4548179093636,2458.333333333333
SEMBAWANG,2004-09,low,211000.0,182000.0,258000.0,197000.0,229500.0,2153.4313725490197,2022.2222222222222,2348.8372093023254,2118.0555555555557,2204.856361149111
SEMBAWANG,2004-10,low,245000.0,195000.0,290000.0,227000.0,255000.0,2431.5789473684213,2215.909090909091,2722.222222222222,2318.181818181818,2636.3636363636365
SEMBAWANG,2004-11,low,235550.0,198000.0,360000.0,211750.0,283750.0,2373.2015111325454,2140.0,2954.5454545454545,2229.505347593583,2556.5602836879434
SEMBAWANG,2004-12,low,250000.0,210000.0,310000.0,227000.0,276000.0,2458.6776859504134,2155.1724137931033,3197.6744186046512,2389.4736842105262,2555.5555555555557
SEMBAWANG,2005-01,low,235500.0,178000.0,295000.0,222750.0,255000.0,2391.881298992161,2069.767441860465,2833.3333333333335,2245.390918402185,2520.8370837083708
SEMBAWANG,2005-02,low,255000.0,205000.0,310000.0,235000.0,270000.0,2326.732673267327,2178.2178217821784,2747.252747252747,2271.186440677966,2672.4137931034484
SEMBAWANG,2005-03,low,250000.0,205000.0,357000.0,227000.0,269500.0,2490.255341323606,2029.7029702970297,2821.0526315789475,2359.6140320028135,2627.093301435407
SEMBAWANG,2005-04,low,246500.0,212000.0,340000.0,218750.0,267250.0,2410.233918128655,2078.4313725490197,3090.909090909091,2327.1544245228456,2536.764705882353
SEMBAWANG,2005-05,low,230000.0,212000.0,310000.0,223000.0,255000.0,2421.0526315789475,2099.009900990099,2792.7927927927926,2195.121951219512,2488.1702127659573
SEMBAWANG,2005-06,low,232500.0,196500.0,290000.0,222500.0,269250.0,2251.3736263736264,1965.0,2636.3636363636365,2230.2764080838947,2332.1207430340555
SEMBAWANG,2005-07,low,232500.0,210000.0,360000.0,227250.0,255250.0,2326.0765550239234,2250.0,3272.7272727272725,2285.017472335469,2464.2217245240763
SEMBAWANG,2005-08,low,232000.0,202000.0,350000.0,210500.0,261500.0,2320.0,2123.96694214876,2645.1612903225805,2265.079365079365,2399.2822966507174
SEMBAWANG,2005-09,low,232750.0,208000.0,280000.0,222375.0,241000.0,2314.6464646464647,2181.372549019608,2580.6451612903224,2250.1195600191295,2431.3596491228072
SEMBAWANG,2005-10,low,251000.0,203000.0,339000.0,234250.0,270000.0,2377.7596277596276,2009.90099009901,2727.2727272727275,2200.0,2454.5454545454545
SEMBAWANG,2005-11,low,233000.0,206000.0,295000.0,213250.0,260000.0,2358.785529715762,2076.271186440678,2681.818181818182,2215.852442671984,2430.0505050505053
SEMBAWANG,2005-12,low,253000.0,190000.0,296000.0,228250.0,277500.0,2329.166666666667,2150.0,2690.909090909091,2225.401069518716,2448.4834968777877
SEMBAWANG,2006-01,low,238000.0,208000.0,337000.0,229000.0,266000.0,2345.0,2101.6949152542375,2636.3636363636365,2260.0,2496.296296296296
SEMBAWANG,2006-02,low,242000.0,203000.0,300000.0,226500.0,276500.0,2316.6666666666665,2181.372549019608,2727.2727272727275,2276.363636363636,2637.4389051808403
SEMBAWANG,2006-03,low,233500.0,200000.0,275000.0,212750.0,259350.0,2366.066066066066,2197.802197802198,2645.1612903225805,2270.5633100697905,2417.6767676767677
SEMBAWANG,2006-04,low,253500.0,202000.0,301880.0,234750.0,264250.0,2286.363636363636,2205.8823529411766,2744.3636363636365,2244.2028985507245,2334.090909090909
SEMBAWANG,2006-05,low,264000.0,205000.0,346000.0,230500.0,275000.0,2333.3333333333335,2155.7377049180327,2563.6363636363635,2261.770244821092,2486.363636363636
SEMBAWANG,2006-06,low,267500.0,206802.0,343000.0,232500.0,283750.0,2420.857511283043,2269.503546099291,2808.072727272727,2332.8813559322034,2508.1918081918084
SEMBAWANG,2006-07,low,244500.0,202000.0,316800.0,218000.0,270125.0,2427.327327327327,2227.2727272727275,2655.9139784946237,2325.378787878788,2478.792569659443
SEMBAWANG,2006-08,low,260000.0,205000.0,337000.0,243500.0,281250.0,2424.460431654676,2195.121951219512,2671.7090909090907,2281.4508723599633,2469.8499594484992
SEMBAWANG,2006-09,low,248000.0,202000.0,335000.0,222750.0,278125.0,2458.9913735899136,2000.0,2802.197802197802,2393.0232558139533,2516.806220095694
SEMBAWANG,2006-10,low,278000.0,192000.0,335000.0,233000.0,317250.0,2407.1740316421165,2133.3333333333335,2836.3636363636365,2319.051667756704,2524.0196078431372
SEMBAWANG,2006-11,low,243000.0,210000.0,318000.0,223000.0,276500.0,2430.0,2185.0,2593.0232558139537,2308.4158415841584,2536.3636363636365
