town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1990-06,mid,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,mid,28500.0,28500.0,28500.0,28500.0,28500.0,445.3125,445.3125,445.3125,445.3125,445.3125
SEMBAWANG,1993-09,mid,72000.0,72000.0,72000.0,72000.0,72000.0,1125.0,1125.0,1125.0,1125.0,1125.0
SEMBAWANG,1995-06,mid,77000.0,77000.0,77000.0,77000.0,77000.0,1203.125,1203.125,1203.125,1203.125,1203.125
SEMBAWANG,1996-07,mid,105000.0,105000.0,105000.0,105000.0,105000.0,1640.625,1640.625,1640.625,1640.625,1640.625
SEMBAWANG,1997-03,mid,132000.0,132000.0,132000.0,132000.0,132000.0,2062.5,2062.5,2062.5,2062.5,2062.5
SEMBAWANG,1997-08,mid,120000.0,120000.0,120000.0,120000.0,120000.0,1875.0,1875.0,1875.0,1875.0,1875.0
SEMBAWANG,1998-07,mid,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1999-06,mid,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,2002-08,mid,383000.0,383000.0,383000.0,383000.0,383000.0,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886
SEMBAWANG,2002-09,mid,212000.0,185000.0,398000.0,193000.0,293000.0,2185.5670103092784,2032.967032967033,2783.2167832167834,2120.879120879121,2421.4876033057853
SEMBAWANG,2002-10,mid,224500.0,214000.0,295000.0,221500.0,242500.0,2245.0,2140.0,2458.3333333333335,2215.0,2302.0833333333335
SEMBAWANG,2002-11,mid,254750.0,189000.0,303000.0,210797.0,291472.0,2279.4189254991074,2076.923076923077,2504.1322314049585,2098.687227722772,2374.7205117952817
SEMBAWANG,2002-12,mid,225000.0,194000.0,303000.0,214250.0,268500.0,2238.6138613861385,2130.0,2494.9,2167.954738330976,2328.7704918032787
SEMBAWANG,2003-01,mid,217000.0,210500.0,298800.0,214500.0,225000.0,2148.5148514851485,2063.725490196078,2449.1803278688526,2134.3069306930693,2205.613765260021
SEMBAWANG,2003-02,mid,219000.0,210000.0,395000.0,214000.0,324000.0,2190.0,2068.627450980392,2801.418439716312,2100.0,2655.7377049180327
SEMBAWANG,2003-03,mid,218000.0,185000.0,390000.0,209125.0,222500.0,2185.833333333333,2055.5555555555557,2765.9574468085107,2139.3100247524753,2225.0
SEMBAWANG,2003-04,mid,229000.0,208000.0,405000.0,214000.0,360000.0,2268.8221947194716,2059.4059405940593,2872.340425531915,2146.039603960396,2645.470383275261
SEMBAWANG,2003-05,mid,258250.0,208000.0,305000.0,221875.0,293750.0,2318.627450980392,2059.4059405940593,2563.0252100840335,2180.292661619103,2453.2563025210084
SEMBAWANG,2003-06,mid,217500.0,196000.0,325000.0,212125.0,245000.0,2206.770833333333,2065.3465346534654,2642.276422764228,2140.9790979097907,2425.742574257426
