town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1990-05,very low,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,very low,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-04,very low,24000.0,24000.0,24000.0,24000.0,24000.0,375.0,375.0,375.0,375.0,375.0
SEMBAWANG,1992-02,very low,35000.0,35000.0,35000.0,35000.0,35000.0,546.875,546.875,546.875,546.875,546.875
SEMBAWANG,1995-10,very low,84000.0,84000.0,84000.0,84000.0,84000.0,1312.5,1312.5,1312.5,1312.5,1312.5
SEMBAWANG,1995-11,very low,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1996-10,very low,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1999-11,very low,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,2002-09,very low,192500.0,192000.0,193000.0,192250.0,192750.0,2115.3846153846152,2109.8901098901097,2120.879120879121,2112.6373626373625,2118.131868131868
SEMBAWANG,2002-10,very low,202750.0,190000.0,282000.0,201375.0,218375.0,2058.9560439560437,2004.950495049505,2311.4754098360654,2015.0,2181.6314873245565
SEMBAWANG,2002-11,very low,213500.0,188000.0,395000.0,203750.0,232250.0,2124.4059405940593,1979.381443298969,2794.326241134752,2049.8762376237623,2206.6666666666665
SEMBAWANG,2002-12,very low,213900.0,182000.0,286500.0,201250.0,231750.0,2127.7227722772277,2000.0,2348.3606557377047,2051.109781307801,2182.7479338842977
SEMBAWANG,2003-01,very low,206394.0,200000.0,285000.0,204250.0,211750.0,2053.6924752475247,1980.1980198019803,2375.0,2027.2772277227723,2101.831683168317
SEMBAWANG,2003-02,very low,207000.0,202000.0,210000.0,202000.0,209000.0,2069.3069306930693,2000.0,2104.1666666666665,2049.5049504950493,2079.207920792079
SEMBAWANG,2003-03,very low,215000.0,202000.0,360000.0,206000.0,282500.0,2128.7128712871286,2000.0,2833.3333333333335,2039.6039603960394,2368.828754389589
SEMBAWANG,2003-04,very low,219000.0,219000.0,219000.0,219000.0,219000.0,2168.3168316831684,2168.3168316831684,2168.3168316831684,2168.3168316831684,2168.3168316831684
SEMBAWANG,2003-05,very low,211000.0,195500.0,298000.0,206250.0,218750.0,2089.108910891089,2036.4583333333333,2444.4444444444443,2042.079207920792,2364.1454309365363
SEMBAWANG,2003-06,very low,186000.0,168000.0,441000.0,178500.0,252750.0,2066.666666666667,1866.6666666666667,3242.6470588235293,1983.3333333333333,2393.995098039216
SEMBAWANG,2003-07,very low,220000.0,200000.0,320000.0,207000.0,271000.0,2178.2178217821784,2000.0,2601.6260162601625,2059.8514851485147,2466.666666666667
SEMBAWANG,2003-08,very low,240000.0,227000.0,295000.0,228000.0,245000.0,2398.3739837398375,2247.5247524752476,2450.0,2280.0,2400.0
SEMBAWANG,2003-09,very low,320000.0,222000.0,330000.0,291750.0,326250.0,2601.626016260163,2176.470588235294,2727.2727272727275,2464.849354375897,2663.525498891353
SEMBAWANG,2003-10,very low,235000.0,210000.0,253000.0,223000.0,245000.0,2307.6923076923076,2066.115702479339,2504.9504950495048,2300.0,2450.0
SEMBAWANG,2003-11,very low,245000.0,205000.0,330000.0,230000.0,285000.0,2474.226804123711,2277.777777777778,2704.9180327868853,2370.833333333333,2583.333333333333
SEMBAWANG,2003-12,very low,235000.0,225000.0,284000.0,235000.0,250000.0,2326.732673267327,2250.0,2475.2475247524753,2308.9430894308944,2326.732673267327
SEMBAWANG,2004-01,very low,335000.0,229990.0,365000.0,300000.0,360000.0,2625.8992805755397,2420.9473684210525,3130.4347826086955,2479.3388429752067,2768.595041322314
SEMBAWANG,2004-02,very low,230000.0,208800.0,255000.0,223000.0,240000.0,2277.227722772277,2067.3267326732675,2550.0,2207.920792079208,2375.4901960784314
SEMBAWANG,2004-03,very low,276500.0,219400.0,333000.0,270750.0,313750.0,2362.5192988829353,2219.512195121951,2775.0,2252.0661157024792,2633.997252747253
SEMBAWANG,2004-04,very low,240000.0,208000.0,333000.0,227500.0,282500.0,2425.7425742574255,2227.7227722772277,3027.2727272727275,2305.5555555555557,2635.2258852258856
