town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SEMBAWANG,1990-05,very low,3 ROOM,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1990-06,mid,3 ROOM,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-03,mid,3 ROOM,28500.0,28500.0,28500.0,28500.0,28500.0,445.3125,445.3125,445.3125,445.3125,445.3125
SEMBAWANG,1991-03,very low,3 ROOM,21300.0,21300.0,21300.0,21300.0,21300.0,332.8125,332.8125,332.8125,332.8125,332.8125
SEMBAWANG,1991-04,very low,3 ROOM,24000.0,24000.0,24000.0,24000.0,24000.0,375.0,375.0,375.0,375.0,375.0
SEMBAWANG,1992-02,high,3 ROOM,28000.0,28000.0,28000.0,28000.0,28000.0,437.5,437.5,437.5,437.5,437.5
SEMBAWANG,1992-02,very low,3 ROOM,35000.0,35000.0,35000.0,35000.0,35000.0,546.875,546.875,546.875,546.875,546.875
SEMBAWANG,1993-09,mid,3 ROOM,72000.0,72000.0,72000.0,72000.0,72000.0,1125.0,1125.0,1125.0,1125.0,1125.0
SEMBAWANG,1995-06,high,3 ROOM,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1995-06,mid,3 ROOM,77000.0,77000.0,77000.0,77000.0,77000.0,1203.125,1203.125,1203.125,1203.125,1203.125
SEMBAWANG,1995-10,very low,3 ROOM,84000.0,84000.0,84000.0,84000.0,84000.0,1312.5,1312.5,1312.5,1312.5,1312.5
SEMBAWANG,1995-11,very low,3 ROOM,88000.0,88000.0,88000.0,88000.0,88000.0,1375.0,1375.0,1375.0,1375.0,1375.0
SEMBAWANG,1996-03,low,3 ROOM,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,1996-07,mid,3 ROOM,105000.0,105000.0,105000.0,105000.0,105000.0,1640.625,1640.625,1640.625,1640.625,1640.625
SEMBAWANG,1996-10,very low,3 ROOM,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1997-03,mid,3 ROOM,132000.0,132000.0,132000.0,132000.0,132000.0,2062.5,2062.5,2062.5,2062.5,2062.5
SEMBAWANG,1997-08,mid,3 ROOM,120000.0,120000.0,120000.0,120000.0,120000.0,1875.0,1875.0,1875.0,1875.0,1875.0
SEMBAWANG,1998-07,mid,3 ROOM,95000.0,95000.0,95000.0,95000.0,95000.0,1484.375,1484.375,1484.375,1484.375,1484.375
SEMBAWANG,1998-08,low,3 ROOM,92000.0,92000.0,92000.0,92000.0,92000.0,1437.5,1437.5,1437.5,1437.5,1437.5
SEMBAWANG,1999-05,low,3 ROOM,70000.0,70000.0,70000.0,70000.0,70000.0,1093.75,1093.75,1093.75,1093.75,1093.75
SEMBAWANG,1999-06,mid,3 ROOM,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-07,high,3 ROOM,67000.0,67000.0,67000.0,67000.0,67000.0,1046.875,1046.875,1046.875,1046.875,1046.875
SEMBAWANG,1999-10,high,3 ROOM,68000.0,68000.0,68000.0,68000.0,68000.0,1062.5,1062.5,1062.5,1062.5,1062.5
SEMBAWANG,1999-11,very low,3 ROOM,86000.0,86000.0,86000.0,86000.0,86000.0,1343.75,1343.75,1343.75,1343.75,1343.75
SEMBAWANG,2002-08,high,5 ROOM,315000.0,315000.0,315000.0,315000.0,315000.0,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976
SEMBAWANG,2002-08,high,EXECUTIVE,395000.0,390000.0,412000.0,392500.0,403500.0,2801.418439716312,2746.478873239437,2921.9858156028367,2773.9486564778745,2861.702127659574
SEMBAWANG,2002-08,mid,EXECUTIVE,383000.0,383000.0,383000.0,383000.0,383000.0,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886,2716.3120567375886
SEMBAWANG,2002-09,high,4 ROOM,224500.0,218200.0,253000.0,221800.0,232750.0,2245.0,2182.0,2530.0,2218.0,2327.5
SEMBAWANG,2002-09,high,5 ROOM,306000.0,306000.0,306000.0,306000.0,306000.0,2528.9256198347107,2528.9256198347107,2528.9256198347107,2528.9256198347107,2528.9256198347107
SEMBAWANG,2002-09,low,4 ROOM,212000.0,209000.0,215000.0,210500.0,213500.0,2099.0099009900987,2069.3069306930693,2128.7128712871286,2084.158415841584,2113.861386138614
SEMBAWANG,2002-09,mid,4 ROOM,201500.0,185000.0,218000.0,192625.0,211500.0,2142.913787243684,2032.967032967033,2247.422680412371,2116.7582417582416,2180.4123711340208
SEMBAWANG,2002-09,mid,5 ROOM,296000.0,293000.0,299000.0,294500.0,297500.0,2446.280991735537,2421.4876033057853,2471.0743801652893,2433.884297520661,2458.6776859504134
SEMBAWANG,2002-09,mid,EXECUTIVE,398000.0,398000.0,398000.0,398000.0,398000.0,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834,2783.2167832167834
SEMBAWANG,2002-09,very low,4 ROOM,192500.0,192000.0,193000.0,192250.0,192750.0,2115.3846153846152,2109.8901098901097,2120.879120879121,2112.6373626373625,2118.131868131868
SEMBAWANG,2002-10,high,4 ROOM,223500.0,213000.0,230000.0,223250.0,227000.0,2235.0,2108.910891089109,2300.0,2199.5486313337215,2258.8118811881186
SEMBAWANG,2002-10,high,5 ROOM,307000.0,300000.0,327000.0,305000.0,316000.0,2541.6666666666665,2479.3388429752067,2702.4793388429753,2537.190082644628,2590.1639344262294
SEMBAWANG,2002-10,high,EXECUTIVE,421000.0,421000.0,421000.0,421000.0,421000.0,2944.055944055944,2944.055944055944,2944.055944055944,2944.055944055944,2944.055944055944
SEMBAWANG,2002-10,low,4 ROOM,213500.0,192000.0,221000.0,211500.0,214625.0,2135.0,2099.009900990099,2278.3505154639174,2107.4175824175823,2146.25
SEMBAWANG,2002-10,low,5 ROOM,285500.0,283000.0,288000.0,284250.0,286750.0,2349.9187102018695,2319.6721311475408,2380.1652892561983,2334.7954206747054,2365.0419997290337
SEMBAWANG,2002-10,low,EXECUTIVE,412000.0,412000.0,412000.0,412000.0,412000.0,2901.4084507042253,2901.4084507042253,2901.4084507042253,2901.4084507042253,2901.4084507042253
SEMBAWANG,2002-10,mid,4 ROOM,224000.0,214000.0,225000.0,219000.0,224500.0,2240.0,2140.0,2250.0,2190.0,2245.0
SEMBAWANG,2002-10,mid,5 ROOM,295000.0,295000.0,295000.0,295000.0,295000.0,2458.3333333333335,2458.3333333333335,2458.3333333333335,2458.3333333333335,2458.3333333333335
SEMBAWANG,2002-10,very low,4 ROOM,202500.0,190000.0,223500.0,201000.0,203000.0,2030.0,2004.950495049505,2212.871287128713,2010.0,2087.912087912088
SEMBAWANG,2002-10,very low,5 ROOM,282000.0,282000.0,282000.0,282000.0,282000.0,2311.4754098360654,2311.4754098360654,2311.4754098360654,2311.4754098360654,2311.4754098360654
SEMBAWANG,2002-11,high,4 ROOM,224000.0,195000.0,242000.0,218000.0,226000.0,2217.8217821782177,2040.0,2396.039603960396,2178.2178217821784,2237.6237623762377
SEMBAWANG,2002-11,high,5 ROOM,294000.0,292000.0,307500.0,293000.0,300750.0,2450.0,2433.3333333333335,2562.5,2441.666666666667,2506.25
SEMBAWANG,2002-11,high,EXECUTIVE,371000.0,371000.0,371000.0,371000.0,371000.0,2853.846153846154,2853.846153846154,2853.846153846154,2853.846153846154,2853.846153846154
SEMBAWANG,2002-11,low,4 ROOM,206500.0,191589.99,211000.0,199044.995,208750.0,2105.3845054945054,2044.5544554455446,2110.0,2074.969480470025,2107.6922527472525
SEMBAWANG,2002-11,low,5 ROOM,275000.0,275000.0,275000.0,275000.0,275000.0,2291.6666666666665,2291.6666666666665,2291.6666666666665,2291.6666666666665,2291.6666666666665
SEMBAWANG,2002-11,low,EXECUTIVE,392500.0,388000.0,397000.0,390250.0,394750.0,2773.998601538308,2732.394366197183,2815.6028368794327,2753.1964838677454,2794.8007192088703
SEMBAWANG,2002-11,mid,4 ROOM,210594.0,189000.0,224500.0,204891.0,214375.0,2095.4944554455446,2076.923076923077,2222.772277227723,2086.0624523990864,2132.1030693069306
SEMBAWANG,2002-11,mid,5 ROOM,294944.0,285000.0,303000.0,287250.0,302166.0,2407.9776089564175,2336.065573770492,2504.1322314049585,2340.113954418233,2481.901910310256
SEMBAWANG,2002-11,very low,4 ROOM,206500.0,188000.0,217000.0,200000.0,214000.0,2062.967032967033,1979.381443298969,2170.0,2037.128712871287,2132.5
SEMBAWANG,2002-11,very low,5 ROOM,289500.0,278000.0,301000.0,283750.0,295250.0,2402.1349862258953,2316.6666666666665,2487.603305785124,2359.400826446281,2444.8691460055097
SEMBAWANG,2002-11,very low,EXECUTIVE,394500.0,394000.0,395000.0,394250.0,394750.0,2788.008190989911,2781.6901408450703,2794.326241134752,2784.8491659174906,2791.1672160623316
SEMBAWANG,2002-12,high,4 ROOM,227000.0,216000.0,238500.0,222125.0,232875.0,2261.138613861386,2138.6138613861385,2361.3861386138615,2204.7648514851485,2310.1237623762377
SEMBAWANG,2002-12,high,5 ROOM,303444.0,290000.0,312000.0,301750.0,307700.0,2514.549180327869,2416.6666666666665,2591.6666666666665,2486.5358126721767,2542.2368242785533
SEMBAWANG,2002-12,high,EXECUTIVE,406500.0,405000.0,408000.0,405750.0,407250.0,2893.3130699088147,2872.340425531915,2914.285714285714,2882.826747720365,2903.7993920972644
SEMBAWANG,2002-12,low,4 ROOM,203750.0,202500.0,205000.0,203125.0,204375.0,2037.5,2025.0,2050.0,2031.25,2043.75
SEMBAWANG,2002-12,low,5 ROOM,288400.0,280800.0,296000.0,284600.0,292200.0,2383.1147540983607,2340.0,2426.2295081967213,2361.55737704918,2404.672131147541
SEMBAWANG,2002-12,low,EXECUTIVE,399000.0,399000.0,399000.0,399000.0,399000.0,2829.7872340425533,2829.7872340425533,2829.7872340425533,2829.7872340425533,2829.7872340425533
SEMBAWANG,2002-12,mid,4 ROOM,218000.0,194000.0,234000.0,206444.0,225000.0,2196.5714285714284,2130.0,2340.0,2145.141986726145,2238.6138613861385
SEMBAWANG,2002-12,mid,5 ROOM,299388.0,280000.0,303000.0,289694.0,301194.0,2463.4146341463415,2295.0819672131147,2494.9,2379.2483006797283,2479.157317073171
SEMBAWANG,2002-12,very low,4 ROOM,209400.0,182000.0,217000.0,191750.0,214450.0,2080.9378740071807,2000.0,2150.0,2043.4392340332934,2138.118811881188
SEMBAWANG,2002-12,very low,5 ROOM,281250.0,276000.0,286500.0,278625.0,283875.0,2314.6761956374476,2280.99173553719,2348.3606557377047,2297.8339655873187,2331.518425687576
SEMBAWANG,2003-01,high,4 ROOM,221000.0,214500.0,250000.0,218000.0,226300.0,2207.920792079208,2145.0,2475.2475247524753,2169.108910891089,2240.5940594059407
SEMBAWANG,2003-01,high,5 ROOM,293500.0,277000.0,306000.0,287250.0,301750.0,2427.582644628099,2308.3333333333335,2541.6666666666665,2354.136776661884,2483.53825136612
SEMBAWANG,2003-01,high,EXECUTIVE,430000.0,430000.0,430000.0,430000.0,430000.0,3049.645390070922,3049.645390070922,3049.645390070922,3049.645390070922,3049.645390070922
SEMBAWANG,2003-01,low,4 ROOM,210000.0,204000.0,226000.0,208000.0,211500.0,2090.0,2040.0,2237.6237623762377,2069.3069306930693,2099.5049504950493
SEMBAWANG,2003-01,low,5 ROOM,290000.0,281000.0,295000.0,284750.0,294250.0,2406.5426997245177,2322.314049586777,2458.3333333333335,2368.0785123966944,2436.89738292011
SEMBAWANG,2003-01,low,EXECUTIVE,382000.0,382000.0,382000.0,382000.0,382000.0,2690.1408450704225,2690.1408450704225,2690.1408450704225,2690.1408450704225,2690.1408450704225
SEMBAWANG,2003-01,mid,4 ROOM,216500.0,210500.0,230000.0,213750.0,219250.0,2143.5643564356433,2063.725490196078,2233.009708737864,2132.1534653465346,2170.792079207921
SEMBAWANG,2003-01,mid,5 ROOM,298800.0,298800.0,298800.0,298800.0,298800.0,2449.1803278688526,2449.1803278688526,2449.1803278688526,2449.1803278688526,2449.1803278688526
SEMBAWANG,2003-01,very low,4 ROOM,205788.0,200000.0,214000.0,203500.0,209000.0,2049.5049504950493,1980.1980198019803,2140.0,2024.8514851485147,2073.4944554455446
SEMBAWANG,2003-01,very low,5 ROOM,285000.0,285000.0,285000.0,285000.0,285000.0,2375.0,2375.0,2375.0,2375.0,2375.0
SEMBAWANG,2003-02,high,4 ROOM,219500.0,212500.0,232000.0,215500.0,229500.0,2173.267326732673,2103.960396039604,2320.0,2133.6633663366338,2295.0
SEMBAWANG,2003-02,high,5 ROOM,294000.0,286000.0,296000.0,290000.0,295000.0,2406.5040650406504,2383.3333333333335,2429.7520661157023,2394.918699186992,2418.1280655781766
SEMBAWANG,2003-02,high,EXECUTIVE,409500.0,403000.0,416000.0,406250.0,412750.0,2883.623468729852,2858.1560283687945,2909.090909090909,2870.889748549323,2896.3571889103805
SEMBAWANG,2003-02,low,4 ROOM,210500.0,206000.0,227000.0,208500.0,211750.0,2084.1584158415844,2059.4059405940593,2270.0,2064.80198019802,2096.5346534653468
SEMBAWANG,2003-02,low,5 ROOM,289000.0,284000.0,295500.0,288000.0,290000.0,2400.0,2327.8688524590166,2462.5,2349.5934959349593,2416.6666666666665
SEMBAWANG,2003-02,low,EXECUTIVE,385000.0,385000.0,385000.0,385000.0,385000.0,2730.496453900709,2730.496453900709,2730.496453900709,2730.496453900709,2730.496453900709
SEMBAWANG,2003-02,mid,4 ROOM,214000.0,210000.0,219000.0,211000.0,216000.0,2100.0,2068.627450980392,2190.0,2098.0392156862745,2138.6138613861385
SEMBAWANG,2003-02,mid,5 ROOM,317000.0,310000.0,324000.0,313500.0,320500.0,2619.535519125683,2583.3333333333335,2655.7377049180327,2601.434426229508,2637.636612021858
SEMBAWANG,2003-02,mid,EXECUTIVE,392500.0,390000.0,395000.0,391250.0,393750.0,2783.6879432624114,2765.9574468085107,2801.418439716312,2774.822695035461,2792.553191489362
SEMBAWANG,2003-02,very low,4 ROOM,207000.0,202000.0,210000.0,202000.0,209000.0,2069.3069306930693,2000.0,2104.1666666666665,2049.5049504950493,2079.207920792079
SEMBAWANG,2003-03,high,4 ROOM,224000.0,202000.0,248000.0,220000.0,230000.0,2244.4444444444443,2173.267326732673,2455.4455445544554,2198.019801980198,2277.227722772277
SEMBAWANG,2003-03,high,5 ROOM,289888.0,269000.0,320000.0,288190.0,309000.0,2415.6666666666665,2241.6666666666665,2666.6666666666665,2381.815573770492,2575.0
SEMBAWANG,2003-03,high,EXECUTIVE,411500.0,400000.0,423000.0,405750.0,417250.0,2919.164989939638,2816.9014084507044,3021.4285714285716,2868.033199195171,2970.2967806841048
SEMBAWANG,2003-03,low,4 ROOM,203000.0,193000.0,208000.0,198000.0,205500.0,2114.5833333333335,2080.0,2144.4444444444443,2097.291666666667,2129.5138888888887
SEMBAWANG,2003-03,mid,4 ROOM,215500.0,185000.0,223000.0,204000.0,220625.0,2161.458333333333,2055.5555555555557,2230.0,2133.6633663366338,2206.25
