town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,1990-01,4 ROOM,55000.0,52000.0,58000.0,53500.0,56500.0,597.8260869565217,565.2173913043479,630.4347826086956,581.5217391304348,614.1304347826087
SENGKANG,1990-02,4 ROOM,53000.0,53000.0,53000.0,53000.0,53000.0,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391
SENGKANG,1990-06,4 ROOM,63500.0,55000.0,72000.0,59250.0,67750.0,690.2173913043478,597.8260869565217,782.6086956521739,644.0217391304348,736.4130434782609
SENGKANG,1991-11,4 ROOM,80500.0,80500.0,80500.0,80500.0,80500.0,875.0,875.0,875.0,875.0,875.0
SENGKANG,1992-04,4 ROOM,76000.0,76000.0,76000.0,76000.0,76000.0,826.0869565217391,826.0869565217391,826.0869565217391,826.0869565217391,826.0869565217391
SENGKANG,1992-10,4 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783
SENGKANG,1992-12,4 ROOM,60000.0,60000.0,60000.0,60000.0,60000.0,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783
SENGKANG,1993-11,4 ROOM,105000.0,105000.0,105000.0,105000.0,105000.0,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087
SENGKANG,1994-06,4 ROOM,125000.0,125000.0,125000.0,125000.0,125000.0,1358.695652173913,1358.695652173913,1358.695652173913,1358.695652173913,1358.695652173913
SENGKANG,1995-08,4 ROOM,170000.0,170000.0,170000.0,170000.0,170000.0,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217
SENGKANG,1995-10,4 ROOM,165000.0,165000.0,165000.0,165000.0,165000.0,1793.4782608695652,1793.4782608695652,1793.4782608695652,1793.4782608695652,1793.4782608695652
SENGKANG,1995-12,4 ROOM,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
SENGKANG,1996-01,4 ROOM,170000.0,170000.0,170000.0,170000.0,170000.0,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217
SENGKANG,1996-02,4 ROOM,180000.0,180000.0,180000.0,180000.0,180000.0,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348
SENGKANG,1996-05,4 ROOM,178000.0,178000.0,178000.0,178000.0,178000.0,1934.7826086956522,1934.7826086956522,1934.7826086956522,1934.7826086956522,1934.7826086956522
SENGKANG,1996-06,4 ROOM,208000.0,208000.0,208000.0,208000.0,208000.0,2260.8695652173915,2260.8695652173915,2260.8695652173915,2260.8695652173915,2260.8695652173915
SENGKANG,1996-08,4 ROOM,235000.0,235000.0,235000.0,235000.0,235000.0,2554.3478260869565,2554.3478260869565,2554.3478260869565,2554.3478260869565,2554.3478260869565
SENGKANG,1996-09,4 ROOM,225000.0,225000.0,225000.0,225000.0,225000.0,2445.6521739130435,2445.6521739130435,2445.6521739130435,2445.6521739130435,2445.6521739130435
SENGKANG,1996-11,4 ROOM,230000.0,230000.0,230000.0,230000.0,230000.0,2500.0,2500.0,2500.0,2500.0,2500.0
SENGKANG,1997-04,4 ROOM,220000.0,220000.0,220000.0,220000.0,220000.0,2391.304347826087,2391.304347826087,2391.304347826087,2391.304347826087,2391.304347826087
SENGKANG,1997-06,4 ROOM,238000.0,238000.0,238000.0,238000.0,238000.0,2586.9565217391305,2586.9565217391305,2586.9565217391305,2586.9565217391305,2586.9565217391305
SENGKANG,1998-03,4 ROOM,207500.0,193000.0,222000.0,200250.0,214750.0,2255.4347826086955,2097.8260869565215,2413.0434782608695,2176.6304347826085,2334.2391304347825
SENGKANG,1999-02,4 ROOM,167000.0,167000.0,167000.0,167000.0,167000.0,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478
SENGKANG,1999-04,4 ROOM,180000.0,180000.0,180000.0,180000.0,180000.0,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348
SENGKANG,1999-06,4 ROOM,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
SENGKANG,1999-07,4 ROOM,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
SENGKANG,1999-08,4 ROOM,166000.0,166000.0,166000.0,166000.0,166000.0,1804.3478260869565,1804.3478260869565,1804.3478260869565,1804.3478260869565,1804.3478260869565
SENGKANG,1999-10,4 ROOM,170000.0,165000.0,175000.0,167500.0,172500.0,1847.8260869565217,1793.4782608695652,1902.1739130434783,1820.6521739130435,1875.0
SENGKANG,2000-01,4 ROOM,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
SENGKANG,2000-07,4 ROOM,176000.0,176000.0,176000.0,176000.0,176000.0,1913.0434782608695,1913.0434782608695,1913.0434782608695,1913.0434782608695,1913.0434782608695
SENGKANG,2000-08,4 ROOM,149000.0,149000.0,149000.0,149000.0,149000.0,1619.5652173913043,1619.5652173913043,1619.5652173913043,1619.5652173913043,1619.5652173913043
SENGKANG,2000-10,4 ROOM,160008.0,160008.0,160008.0,160008.0,160008.0,1739.2173913043478,1739.2173913043478,1739.2173913043478,1739.2173913043478,1739.2173913043478
SENGKANG,2000-11,4 ROOM,160000.0,160000.0,160000.0,160000.0,160000.0,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087
SENGKANG,2000-12,4 ROOM,185000.0,185000.0,185000.0,185000.0,185000.0,2010.8695652173913,2010.8695652173913,2010.8695652173913,2010.8695652173913,2010.8695652173913
SENGKANG,2002-10,4 ROOM,219000.0,212800.0,241000.0,216000.0,237000.0,2347.8260869565215,2257.7319587628867,2484.536082474227,2313.0434782608695,2370.0
SENGKANG,2002-11,4 ROOM,223000.0,210200.0,250000.0,217900.0,229900.0,2411.1111111111113,2230.0,2500.0,2362.222222222222,2445.1388888888887
SENGKANG,2002-12,4 ROOM,214750.0,201000.0,245500.0,208500.0,244175.0,2359.5410628019326,2233.3333333333335,2455.0,2304.1666666666665,2441.75
SENGKANG,2003-01,4 ROOM,232500.0,207000.0,263000.0,219000.0,245250.0,2384.8039215686276,2277.227722772277,2550.0,2330.5555555555557,2472.5
SENGKANG,2003-02,4 ROOM,244500.0,218000.0,265000.0,240750.0,246750.0,2452.772277227723,2137.2549019607845,2650.0,2398.1508444962146,2490.0
SENGKANG,2003-03,4 ROOM,239000.0,207000.0,251500.0,230000.0,245000.0,2425.7425742574255,2250.0,2611.1111111111113,2300.0,2475.2475247524753
SENGKANG,2003-04,4 ROOM,242000.0,200000.0,263888.0,234000.0,250000.0,2419.1176470588234,2222.222222222222,2594.059405940594,2349.133663366337,2470.1470588235293
SENGKANG,2003-05,4 ROOM,240000.0,217000.0,265000.0,233000.0,249444.0,2400.0,2178.2178217821784,2666.6666666666665,2326.732673267327,2475.859056493885
SENGKANG,2003-06,4 ROOM,245000.0,201000.0,270000.0,230300.0,254000.0,2470.5882352941176,2233.3333333333335,2647.0588235294117,2366.3366336633662,2530.0
SENGKANG,2003-07,4 ROOM,244250.0,220000.0,270000.0,238000.0,255250.0,2433.487619047619,2260.0,2673.267326732673,2397.826086956522,2507.3529411764707
SENGKANG,2003-08,4 ROOM,240500.0,205000.0,270000.0,230000.0,254875.0,2400.0,2050.0,2673.267326732673,2346.0344003822265,2518.5643564356437
SENGKANG,2003-09,4 ROOM,250000.0,215000.0,270000.0,239722.0,260000.0,2490.098039215686,2198.019801980198,2673.267326732673,2400.0,2559.325226000861
SENGKANG,2003-10,4 ROOM,245000.0,185000.0,270000.0,230750.0,260000.0,2477.4569402228976,2055.5555555555557,2673.267326732673,2359.326732673267,2569.3069306930693
SENGKANG,2003-11,4 ROOM,249000.0,217000.0,280000.0,239000.0,256000.0,2500.0,2170.0,2888.8888888888887,2405.940594059406,2598.0392156862745
SENGKANG,2003-12,4 ROOM,245000.0,215000.0,270000.0,236800.0,251000.0,2475.2475247524753,2200.0,2788.8888888888887,2386.138613861386,2598.0392156862745
SENGKANG,2004-01,4 ROOM,246500.0,210000.0,281000.0,232600.0,254250.0,2485.098039215686,2230.0,2782.1782178217823,2369.6782178217823,2557.018054746651
SENGKANG,2004-02,4 ROOM,244000.0,210000.0,290000.0,230000.0,258000.0,2500.0,2205.8823529411766,2843.1372549019607,2400.0,2588.235294117647
SENGKANG,2004-03,4 ROOM,245000.0,200000.0,275000.0,235000.0,260000.0,2500.0,2263.157894736842,2888.8888888888887,2416.6666666666665,2647.0588235294117
SENGKANG,2004-04,4 ROOM,240000.0,200000.0,270000.0,226250.0,255000.0,2442.6305353602115,2190.0,2736.842105263158,2332.6923076923076,2594.607843137255
SENGKANG,2004-05,4 ROOM,242000.0,195000.0,285000.0,233375.0,258500.0,2480.392156862745,2227.7227722772277,2944.4444444444443,2409.9484323432343,2627.54400440044
