town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,2002-11,EXECUTIVE,420000.0,420000.0,420000.0,420000.0,420000.0,2978.723404255319,2978.723404255319,2978.723404255319,2978.723404255319,2978.723404255319
SENGKANG,2002-12,EXECUTIVE,413000.0,413000.0,413000.0,413000.0,413000.0,2950.0,2950.0,2950.0,2950.0,2950.0
SENGKANG,2003-01,EXECUTIVE,418500.0,415000.0,422000.0,416750.0,420250.0,2947.420634920635,2930.5555555555557,2964.285714285714,2938.9880952380954,2955.8531746031745
SENGKANG,2003-02,EXECUTIVE,430000.0,404000.0,436000.0,417000.0,433000.0,3049.645390070922,2865.248226950355,3092.198581560284,2957.446808510638,3070.921985815603
SENGKANG,2003-03,EXECUTIVE,422000.0,415000.0,429000.0,418500.0,425500.0,2982.5442013784836,2922.5352112676055,3042.553191489362,2952.539706323045,3012.5486964339225
SENGKANG,2003-04,EXECUTIVE,416000.0,416000.0,416000.0,416000.0,416000.0,2909.090909090909,2909.090909090909,2909.090909090909,2909.090909090909,2909.090909090909
SENGKANG,2003-05,EXECUTIVE,399000.0,380000.0,422500.0,393500.0,405625.0,2819.798221955849,2714.285714285714,2975.3521126760565,2791.247484909457,2860.859304764759
SENGKANG,2003-06,EXECUTIVE,434900.0,433800.0,436000.0,434350.0,435450.0,3052.7339901477835,3006.896551724138,3098.5714285714284,3029.8152709359606,3075.652709359606
SENGKANG,2003-07,EXECUTIVE,418000.0,412000.0,422000.0,415000.0,420000.0,2902.777777777778,2813.3333333333335,2921.9858156028367,2858.0555555555557,2912.381796690307
SENGKANG,2003-08,EXECUTIVE,400000.0,400000.0,400000.0,400000.0,400000.0,2836.8794326241136,2836.8794326241136,2836.8794326241136,2836.8794326241136,2836.8794326241136
SENGKANG,2003-09,EXECUTIVE,401000.0,396000.0,425000.0,400000.0,414000.0,2918.0555555555557,2797.2027972027972,2992.957746478873,2838.370500782473,2966.666666666667
SENGKANG,2003-10,EXECUTIVE,402500.0,395000.0,410000.0,398750.0,406250.0,2826.3546798029556,2724.137931034483,2928.5714285714284,2775.246305418719,2877.463054187192
SENGKANG,2003-11,EXECUTIVE,415900.0,390000.0,435000.0,394250.0,428700.0,2938.886113886114,2727.2727272727275,3063.3802816901407,2786.6448692152917,3029.8913852105343
SENGKANG,2003-12,EXECUTIVE,415000.0,408000.0,422000.0,411500.0,418500.0,2932.724003596044,2893.6170212765956,2971.830985915493,2913.1705124363198,2952.2774947557687
SENGKANG,2004-01,EXECUTIVE,380000.0,365000.0,395000.0,372500.0,387500.0,2714.2857142857147,2607.1428571428573,2821.4285714285716,2660.714285714286,2767.857142857143
SENGKANG,2004-02,EXECUTIVE,378000.0,353000.0,418000.0,360000.0,390000.0,2680.851063829787,2503.54609929078,2902.777777777778,2571.4285714285716,2888.8888888888887
SENGKANG,2004-03,EXECUTIVE,368000.0,344000.0,403000.0,356000.0,385500.0,2725.925925925926,2646.153846153846,2779.310344827586,2686.0398860398864,2752.618135376756
SENGKANG,2004-04,EXECUTIVE,356500.0,328000.0,385000.0,342250.0,370750.0,2510.56338028169,2309.8591549295775,2711.2676056338028,2410.211267605634,2610.915492957746
SENGKANG,2004-05,EXECUTIVE,380500.0,368000.0,393000.0,374250.0,386750.0,2804.9645390070923,2609.9290780141846,3000.0,2707.446808510638,2902.4822695035464
SENGKANG,2004-06,EXECUTIVE,351000.0,340000.0,402000.0,350000.0,367500.0,2587.4125874125875,2411.3475177304963,3092.3076923076924,2459.8847517730496,2729.0076335877866
SENGKANG,2004-07,EXECUTIVE,380000.0,362000.0,405000.0,369750.0,390250.0,2788.8888888888887,2585.714285714286,2938.9312977099235,2665.873015873016,2824.1258741258744
SENGKANG,2004-08,EXECUTIVE,360000.0,341000.0,362000.0,345000.0,360000.0,2571.4285714285716,2525.925925925926,2763.358778625954,2535.211267605634,2633.587786259542
SENGKANG,2004-09,EXECUTIVE,362500.0,346000.0,396000.0,354000.0,374500.0,2631.7994982117116,2478.8732394366198,3022.9007633587785,2596.230158730159,2708.62462006079
SENGKANG,2004-10,EXECUTIVE,371000.0,308000.0,390000.0,354500.0,376500.0,2741.4141414141413,2169.0140845070423,2846.153846153846,2587.7080665813064,2778.2051282051284
SENGKANG,2004-11,EXECUTIVE,355000.0,333000.0,365000.0,344000.0,360000.0,2709.9236641221373,2361.7021276595747,2786.259541984733,2535.812895890856,2748.0916030534354
SENGKANG,2004-12,EXECUTIVE,388000.0,355000.0,430000.0,360000.0,395000.0,2821.4285714285716,2535.714285714286,3071.4285714285716,2666.6666666666665,2874.074074074074
SENGKANG,2005-01,EXECUTIVE,353000.0,340000.0,358000.0,349750.0,354250.0,2568.121693121693,2428.5714285714284,2732.8244274809163,2498.214285714286,2644.31721798134
SENGKANG,2005-02,EXECUTIVE,353000.0,316000.0,390000.0,334500.0,371500.0,2620.567375886525,2241.1347517730496,3000.0,2430.851063829787,2810.2836879432625
SENGKANG,2005-03,EXECUTIVE,378000.0,328000.0,427000.0,353000.0,402500.0,2700.0,2523.076923076923,3007.042253521127,2611.5384615384614,2853.5211267605637
SENGKANG,2005-04,EXECUTIVE,347500.0,320000.0,385000.0,334750.0,360972.22,2508.7412587412587,2285.714285714286,2711.2676056338028,2374.1134751773047,2589.425302782324
SENGKANG,2005-05,EXECUTIVE,340000.0,313000.0,365000.0,340000.0,358000.0,2486.1111111111113,2219.8581560283687,2703.703703703704,2428.5714285714284,2595.4198473282445
SENGKANG,2005-06,EXECUTIVE,340000.0,325000.0,370000.0,332500.0,351250.0,2464.1449960598893,2304.9645390070923,2605.6338028169016,2411.3475177304963,2512.5195618153366
SENGKANG,2005-07,EXECUTIVE,355000.0,343000.0,370000.0,345000.0,360000.0,2624.113475177305,2432.624113475177,2730.769230769231,2517.4825174825173,2653.846153846154
SENGKANG,2005-08,EXECUTIVE,338750.0,312000.0,375000.0,322500.0,355375.0,2500.6134133042533,2228.5714285714284,2659.574468085106,2347.1544193216855,2520.6160627889476
SENGKANG,2005-09,EXECUTIVE,329000.0,300000.0,350000.0,316000.0,338250.0,2397.6190476190477,2112.676056338028,2692.3076923076924,2355.166303162486,2455.4767533490935
SENGKANG,2005-10,EXECUTIVE,340000.0,310000.0,386000.0,320000.0,373000.0,2500.0,2183.0985915492956,2854.961832061069,2361.1111111111113,2648.1481481481483
SENGKANG,2005-11,EXECUTIVE,345000.0,323000.0,360000.0,331500.0,350000.0,2553.191489361702,2342.8571428571427,2709.9236641221373,2394.212962962963,2637.4045801526718
