town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,2002-10,high,237000.0,219000.0,241000.0,228000.0,239000.0,2370.0,2257.7319587628867,2484.536082474227,2313.865979381443,2427.2680412371137
SENGKANG,2002-11,high,224000.0,217000.0,420000.0,219400.0,237500.0,2444.4444444444443,2279.1666666666665,2978.723404255319,2422.9468599033817,2487.6237623762377
SENGKANG,2002-12,high,243900.0,220000.0,245500.0,231950.0,244700.0,2439.0,2391.304347826087,2455.0,2415.1521739130435,2447.0
SENGKANG,2003-01,high,259000.0,210000.0,422000.0,229500.0,343800.0,2528.846153846154,2333.3333333333335,2964.285714285714,2466.6666666666665,2889.075630252101
SENGKANG,2003-02,high,333000.0,240000.0,436000.0,247000.0,359000.0,2752.0661157024792,2382.3529411764707,3092.198581560284,2500.0,2942.622950819672
SENGKANG,2003-03,high,243400.0,210000.0,429000.0,233250.0,251125.0,2456.6237623762377,2282.608695652174,3042.553191489362,2388.2498543972047,2545.416666666667
SENGKANG,2003-04,high,246150.0,223000.0,342000.0,237722.0,254500.0,2448.100812231247,2350.0,2973.913043478261,2399.5729411764705,2518.0714424383614
SENGKANG,2003-05,high,323088.0,240000.0,400000.0,258800.0,329000.0,2666.6666666666665,2375.0,2862.0689655172414,2518.4784615384615,2691.4634146341464
SENGKANG,2003-06,high,257500.0,225000.0,436000.0,246875.0,321916.0,2537.2772277227723,2254.901960784314,3098.5714285714284,2449.284330606974,2675.6367700853543
SENGKANG,2003-07,high,323000.0,220000.0,422000.0,252000.0,340000.0,2669.4214876033056,2356.4356435643563,2902.777777777778,2438.095238095238,2786.8852459016393
SENGKANG,2003-08,high,260000.0,210000.0,347000.0,240250.0,306600.0,2504.0983606557375,2211.5384615384614,3017.391304347826,2406.4356435643563,2632.9497016197784
SENGKANG,2003-09,high,299250.0,215000.0,418000.0,254750.0,338500.0,2607.1587273373625,2388.8888888888887,2977.777777777778,2503.7128712871286,2789.4646337269287
SENGKANG,2003-10,high,266000.0,218000.0,350000.0,252250.0,318000.0,2581.967213114754,2333.3333333333335,2868.8524590163934,2485.2455833818676,2671.633663366337
SENGKANG,2003-11,high,250000.0,217000.0,435000.0,245000.0,305000.0,2534.6534653465346,2170.0,3063.3802816901407,2405.940594059406,2755.5555555555557
SENGKANG,2003-12,high,252000.0,219000.0,422000.0,240000.0,322500.0,2541.6666666666665,2281.5533980582522,2971.830985915493,2412.8712871287125,2695.4068965517245
SENGKANG,2004-01,high,265250.0,212000.0,375000.0,242666.0,317816.0,2621.867007672634,2329.6703296703295,3232.7586206896553,2500.0,2710.9714285714285
SENGKANG,2004-02,high,260000.0,210000.0,418000.0,235000.0,319000.0,2600.0,2291.6666666666665,3103.448275862069,2514.7058823529414,2733.818541548898
SENGKANG,2004-03,high,280000.0,215000.0,403000.0,253750.0,328500.0,2647.0588235294117,2263.157894736842,3043.478260869565,2548.128342245989,2784.9137931034484
SENGKANG,2004-04,high,275000.0,200000.0,380000.0,251250.0,320000.0,2598.72131147541,1951.219512195122,3304.3478260869565,2471.853546910755,2701.2295081967213
SENGKANG,2004-05,high,280000.0,225000.0,393000.0,241000.0,300000.0,2500.0,2227.7227722772277,3000.0,2413.793103448276,2608.695652173913
SENGKANG,2004-06,high,295000.0,205000.0,402000.0,251500.0,323750.0,2519.80198019802,2213.1147540983607,3092.3076923076924,2378.873966942149,2701.4202939513852
SENGKANG,2004-07,high,278000.0,206000.0,405000.0,247000.0,310000.0,2564.3564356435645,2214.876033057851,3227.2727272727275,2436.9747899159665,2744.4444444444443
SENGKANG,2004-08,high,280000.0,222000.0,362000.0,246000.0,306000.0,2549.4505494505493,2303.921568627451,2892.561983471074,2418.032786885246,2688.8888888888887
SENGKANG,2004-09,high,286944.0,215000.0,384000.0,246250.0,319750.0,2610.8630952380954,2346.181818181818,2941.176470588235,2452.717391304348,2726.3056092843326
SENGKANG,2004-10,high,252000.0,220000.0,390000.0,235000.0,296500.0,2472.5274725274726,2172.1311475409834,3181.818181818182,2415.687760515347,2695.8585858585857
SENGKANG,2004-11,high,265000.0,216000.0,365000.0,244916.0,302250.0,2548.2695810564664,1982.7586206896551,3173.913043478261,2450.245098039216,2907.5836607505757
SENGKANG,2004-12,high,265000.0,220000.0,395000.0,250500.0,321500.0,2657.6576576576576,2318.181818181818,3181.818181818182,2526.261261261261,2879.5657726692207
SENGKANG,2005-01,high,269500.0,211000.0,385000.0,249500.0,309750.0,2604.3478260869565,2227.7227722772277,3181.818181818182,2459.0841584158416,2834.3465045592707
SENGKANG,2005-02,high,250000.0,202500.0,326000.0,240000.0,296000.0,2500.0,2112.0689655172414,2963.6363636363635,2425.7425742574255,2747.252747252747
SENGKANG,2005-03,high,275500.0,220000.0,427000.0,244500.0,300000.0,2530.3030303030305,2278.688524590164,3176.470588235294,2447.004132231405,2732.3914823914824
SENGKANG,2005-04,high,266000.0,212000.0,363888.88,236000.0,310000.0,2580.77219858156,2099.009900990099,3044.4444444444443,2401.6393442622953,2764.705882352941
SENGKANG,2005-05,high,269000.0,188000.0,358000.0,235444.0,302000.0,2524.590163934426,2088.8888888888887,3043.478260869565,2419.0402476780187,2704.0618955512573
SENGKANG,2005-06,high,263500.0,215000.0,335000.0,241972.0,298250.0,2584.2476489028213,2190.0826446280994,3022.7272727272725,2472.6773226773225,2759.848484848485
SENGKANG,2005-07,high,278000.0,201000.0,355000.0,242250.0,295250.0,2531.9421123250913,2119.8347107438017,3000.0,2412.217031979878,2693.181818181818
SENGKANG,2005-08,high,250000.0,202000.0,375000.0,235000.0,282625.0,2545.4545454545455,2191.6666666666665,2954.5454545454545,2438.761238761239,2648.2208897485493
SENGKANG,2005-09,high,259500.0,225000.0,350000.0,235000.0,290000.0,2573.6515393003942,2321.4285714285716,3055.5555555555557,2438.181818181818,2703.409090909091
SENGKANG,2005-10,high,275000.0,200000.0,340000.0,234000.0,290250.0,2511.1111111111113,2205.6451612903224,3027.2727272727275,2389.8670499461014,2655.3686293913906
SENGKANG,2005-11,high,277000.0,225000.0,360000.0,241500.0,291416.0,2588.0077369439073,2277.227722772277,3058.823529411765,2509.4202898550725,2653.409090909091
SENGKANG,2005-12,high,258000.0,210000.0,372000.0,235000.0,289000.0,2582.4175824175823,2198.019801980198,2944.4444444444443,2510.4156712852364,2677.9720279720277
SENGKANG,2006-01,high,261000.0,228000.0,350000.0,244000.0,284000.0,2588.8888888888887,2241.3793103448274,2927.2727272727275,2445.3852021357743,2722.222222222222
SENGKANG,2006-02,high,258000.0,220000.0,400000.0,242000.0,285000.0,2581.678486997636,2260.8695652173915,2917.6470588235293,2446.2174940898344,2644.6969696969695
SENGKANG,2006-03,high,262500.0,220000.0,350000.0,240000.0,289000.0,2568.181818181818,2266.6666666666665,2863.6363636363635,2434.5314505776637,2683.5858585858587
SENGKANG,2006-04,high,274444.0,195000.0,350000.0,245000.0,300000.0,2608.747044917258,2086.9565217391305,2900.0,2448.409090909091,2754.7979797979797
SENGKANG,2006-05,high,265400.0,220000.0,355000.0,245750.0,290000.0,2628.9516789516792,2156.8627450980393,3000.0,2485.3808353808354,2726.1476147614762
SENGKANG,2006-06,high,273500.0,217000.0,360000.0,246500.0,290750.0,2609.4977956680086,2264.4628099173556,3082.3529411764707,2481.0819462227914,2735.0998238402817
SENGKANG,2006-07,high,279000.0,220000.0,350000.0,246000.0,307000.0,2617.021276595745,2253.521126760563,3011.764705882353,2521.276595744681,2765.765765765766
SENGKANG,2006-08,high,280000.0,219000.0,325000.0,254000.0,295000.0,2608.695652173913,2196.72131147541,3000.0,2460.8695652173915,2800.0
SENGKANG,2006-09,high,273500.0,217000.0,356000.0,241500.0,294000.0,2631.5789473684213,2127.450980392157,2936.3636363636365,2510.874704491726,2711.6368286445013
SENGKANG,2006-10,high,275500.0,220500.0,350000.0,246000.0,303250.0,2634.848484848485,2319.6721311475408,3045.4545454545455,2550.89194264254,2773.8269794721405
