town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,1990-01,low,52000.0,52000.0,52000.0,52000.0,52000.0,565.2173913043479,565.2173913043479,565.2173913043479,565.2173913043479,565.2173913043479
SENGKANG,1990-04,low,28650.0,27300.0,30000.0,27975.0,29325.0,427.6119402985074,407.46268656716416,447.76119402985074,417.5373134328358,437.6865671641791
SENGKANG,1990-06,low,72000.0,72000.0,72000.0,72000.0,72000.0,782.6086956521739,782.6086956521739,782.6086956521739,782.6086956521739,782.6086956521739
SENGKANG,1990-11,low,32000.0,31000.0,33000.0,31500.0,32500.0,429.16068866571015,402.4390243902439,455.88235294117646,415.79985652797706,442.5215208034433
SENGKANG,1990-12,low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-01,low,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1991-03,low,38400.0,38400.0,38400.0,38400.0,38400.0,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089
SENGKANG,1991-05,low,39000.0,39000.0,39000.0,39000.0,39000.0,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059
SENGKANG,1991-10,low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-11,low,37000.0,37000.0,37000.0,37000.0,37000.0,552.2388059701492,552.2388059701492,552.2388059701492,552.2388059701492,552.2388059701492
SENGKANG,1992-04,low,44500.0,44500.0,44500.0,44500.0,44500.0,664.179104477612,664.179104477612,664.179104477612,664.179104477612,664.179104477612
SENGKANG,1992-06,low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1993-08,low,68000.0,68000.0,68000.0,68000.0,68000.0,1000.0,1000.0,1000.0,1000.0,1000.0
SENGKANG,1993-11,low,105000.0,105000.0,105000.0,105000.0,105000.0,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087
SENGKANG,1994-01,low,51000.0,51000.0,51000.0,51000.0,51000.0,750.0,750.0,750.0,750.0,750.0
SENGKANG,1994-07,low,72000.0,72000.0,72000.0,72000.0,72000.0,1074.6268656716418,1074.6268656716418,1074.6268656716418,1074.6268656716418,1074.6268656716418
SENGKANG,1994-08,low,79000.0,79000.0,79000.0,79000.0,79000.0,1161.764705882353,1161.764705882353,1161.764705882353,1161.764705882353,1161.764705882353
SENGKANG,1995-04,low,88000.0,88000.0,88000.0,88000.0,88000.0,1294.1176470588234,1294.1176470588234,1294.1176470588234,1294.1176470588234,1294.1176470588234
SENGKANG,1995-06,low,87000.0,87000.0,87000.0,87000.0,87000.0,1279.4117647058824,1279.4117647058824,1279.4117647058824,1279.4117647058824,1279.4117647058824
SENGKANG,1995-07,low,82000.0,82000.0,82000.0,82000.0,82000.0,1205.8823529411766,1205.8823529411766,1205.8823529411766,1205.8823529411766,1205.8823529411766
SENGKANG,1995-10,low,129500.0,94000.0,165000.0,111750.0,147250.0,1598.2316677482154,1402.9850746268658,1793.4782608695652,1500.6083711875406,1695.8549643088904
SENGKANG,1995-12,low,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
SENGKANG,1996-02,low,180000.0,180000.0,180000.0,180000.0,180000.0,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348
SENGKANG,1996-08,low,115000.0,115000.0,115000.0,115000.0,115000.0,1716.4179104477612,1716.4179104477612,1716.4179104477612,1716.4179104477612,1716.4179104477612
SENGKANG,1996-09,low,225000.0,225000.0,225000.0,225000.0,225000.0,2445.6521739130435,2445.6521739130435,2445.6521739130435,2445.6521739130435,2445.6521739130435
SENGKANG,1997-02,low,155000.0,150000.0,160000.0,152500.0,157500.0,2279.4117647058824,2205.8823529411766,2352.9411764705883,2242.6470588235297,2316.176470588235
SENGKANG,1997-05,low,132000.0,132000.0,132000.0,132000.0,132000.0,1970.1492537313434,1970.1492537313434,1970.1492537313434,1970.1492537313434,1970.1492537313434
SENGKANG,1997-07,low,155000.0,155000.0,155000.0,155000.0,155000.0,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824
SENGKANG,1999-02,low,167000.0,167000.0,167000.0,167000.0,167000.0,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478
SENGKANG,1999-06,low,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
SENGKANG,1999-07,low,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
SENGKANG,1999-08,low,124000.0,124000.0,124000.0,124000.0,124000.0,1512.1951219512196,1512.1951219512196,1512.1951219512196,1512.1951219512196,1512.1951219512196
SENGKANG,1999-09,low,120000.0,120000.0,120000.0,120000.0,120000.0,1764.7058823529412,1764.7058823529412,1764.7058823529412,1764.7058823529412,1764.7058823529412
SENGKANG,2000-01,low,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
SENGKANG,2000-08,low,149000.0,149000.0,149000.0,149000.0,149000.0,1619.5652173913043,1619.5652173913043,1619.5652173913043,1619.5652173913043,1619.5652173913043
SENGKANG,2000-11,low,160000.0,160000.0,160000.0,160000.0,160000.0,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087
SENGKANG,2002-10,low,214400.0,212800.0,216000.0,213600.0,215200.0,2330.4347826086955,2313.0434782608695,2347.8260869565215,2321.7391304347825,2339.1304347826085
SENGKANG,2002-11,low,227750.0,215000.0,240500.0,221375.0,234125.0,2396.9444444444443,2388.8888888888887,2405.0,2392.9166666666665,2400.972222222222
SENGKANG,2002-12,low,318000.0,209000.0,413000.0,263500.0,365500.0,2650.0,2322.222222222222,2950.0,2486.1111111111113,2800.0
SENGKANG,2003-02,low,316000.0,246000.0,404000.0,281000.0,360000.0,2590.1639344262294,2460.0,2865.248226950355,2525.0819672131147,2727.706080688292
SENGKANG,2003-03,low,278500.0,234000.0,318000.0,237750.0,318000.0,2475.8512436609517,2294.1176470588234,2606.55737704918,2348.2818870122305,2590.6637345061977
SENGKANG,2003-04,low,243000.0,200000.0,315000.0,235500.0,252750.0,2417.8712871287125,2222.222222222222,2603.305785123967,2337.4009900990095,2490.4411764705883
SENGKANG,2003-05,low,240000.0,217000.0,350000.0,233000.0,282500.0,2400.0,2264.705882352941,2892.561983471074,2342.71416272062,2607.188979767542
SENGKANG,2003-06,low,244000.0,201000.0,318000.0,230000.0,296250.0,2505.916445303067,2233.3333333333335,2628.099173553719,2344.4444444444443,2547.745901639344
SENGKANG,2003-07,low,259000.0,226000.0,319000.0,235000.0,273750.0,2564.5098039215686,2260.0,2673.267326732673,2368.75,2617.4242424242425
SENGKANG,2003-08,low,239500.0,205000.0,370000.0,233500.0,251000.0,2381.176470588235,2050.0,3189.655172413793,2344.2028985507245,2616.6666666666665
SENGKANG,2003-09,low,243000.0,222000.0,350000.0,234500.0,261500.0,2404.39603960396,2198.019801980198,3017.2413793103447,2306.017691933128,2559.325226000861
SENGKANG,2003-10,low,265000.0,185000.0,343000.0,233400.0,307500.0,2565.217391304348,2055.5555555555557,2788.6178861788617,2368.782608695652,2636.4754098360654
SENGKANG,2003-11,low,260000.0,228000.0,424800.0,248500.0,298000.0,2574.2574257425745,2425.531914893617,2970.6293706293704,2460.39603960396,2656.3805850208937
SENGKANG,2003-12,low,250000.0,220000.0,408000.0,236200.0,285375.0,2518.8218390804595,2200.0,2991.8032786885246,2433.8118811881186,2646.9320486815413
SENGKANG,2004-01,low,250000.0,235000.0,395000.0,239500.0,272750.0,2487.6237623762377,2333.3333333333335,2821.4285714285716,2369.6782178217823,2720.5445544554455
SENGKANG,2004-02,low,247000.0,222000.0,360000.0,240000.0,267500.0,2445.5445544554455,2215.841584158416,2647.0588235294117,2362.1171609139524,2573.550212164074
SENGKANG,2004-03,low,248000.0,200000.0,375000.0,235000.0,317500.0,2475.2475247524753,2303.921568627451,3125.0,2339.836924868958,2702.3872679045094
