town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,2002-11,mid,222500.0,210200.0,234800.0,216350.0,228650.0,2390.6944444444443,2335.5555555555557,2445.8333333333335,2363.125,2418.263888888889
SENGKANG,2002-12,mid,245000.0,245000.0,245000.0,245000.0,245000.0,2450.0,2450.0,2450.0,2450.0,2450.0
SENGKANG,2003-01,mid,244000.0,242500.0,249000.0,243250.0,246500.0,2392.156862745098,2377.450980392157,2490.0,2384.8039215686276,2441.078431372549
SENGKANG,2003-02,mid,308000.0,308000.0,308000.0,308000.0,308000.0,2504.0650406504064,2504.0650406504064,2504.0650406504064,2504.0650406504064,2504.0650406504064
SENGKANG,2003-03,mid,245000.0,207000.0,305000.0,227500.0,250000.0,2450.9803921568628,2250.0,2611.1111111111113,2435.093509350935,2477.461160750221
SENGKANG,2003-04,mid,250000.0,230000.0,416000.0,238000.0,321000.0,2450.9803921568628,2277.227722772277,2909.090909090909,2333.3333333333335,2609.756097560976
SENGKANG,2003-05,mid,257500.0,232000.0,422500.0,245750.0,361750.0,2495.820483687713,2274.5098039215686,2975.3521126760565,2451.361386138614,2691.6548797736914
SENGKANG,2003-06,mid,236000.0,226000.0,305000.0,231250.0,255500.0,2423.005715205667,2306.930693069307,2511.1111111111113,2351.4851485148515,2487.533875338753
SENGKANG,2003-07,mid,250000.0,238000.0,325000.0,243000.0,259000.0,2475.2475247524753,2356.4356435643563,2642.276422764228,2410.891089108911,2564.3564356435645
SENGKANG,2003-08,mid,280250.0,230000.0,400000.0,245000.0,310000.0,2557.9918032786886,2277.227722772277,2836.8794326241136,2407.833430401864,2650.0
SENGKANG,2003-09,mid,260000.0,223000.0,425000.0,247000.0,318475.0,2532.520325203252,2230.0,2992.957746478873,2421.568627450981,2641.2711725718027
SENGKANG,2003-10,mid,300000.0,206000.0,410000.0,245000.0,348000.0,2586.206896551724,2288.8888888888887,2928.5714285714284,2425.7425742574255,2724.137931034483
SENGKANG,2003-11,mid,265000.0,230000.0,407000.0,240700.0,317500.0,2556.666666666667,2300.0,2956.521739130435,2401.0643564356437,2732.074263764405
SENGKANG,2003-12,mid,251000.0,215000.0,325000.0,247500.0,289000.0,2601.9417475728155,2362.6373626373625,2826.086956521739,2453.212968355659,2721.7555555555555
SENGKANG,2004-01,mid,321000.0,219000.0,365000.0,245000.0,360000.0,2607.1428571428573,2281.25,2983.6065573770493,2450.0,2752.0661157024792
SENGKANG,2004-02,mid,252500.0,218000.0,375000.0,232000.0,300000.0,2500.0,2260.0,3260.8695652173915,2333.3333333333335,2586.206896551724
SENGKANG,2004-03,mid,275000.0,221000.0,368000.0,251000.0,313450.0,2500.5737704918033,2233.3333333333335,2725.925925925926,2381.6666666666665,2648.777265953123
SENGKANG,2004-04,mid,281500.0,219000.0,385000.0,234000.0,323750.0,2554.1281400867356,2190.0,2916.6666666666665,2340.0,2631.5984140134924
SENGKANG,2004-05,mid,250500.0,231500.0,368000.0,240000.0,304450.0,2492.3762376237623,2292.079207920792,2921.7391304347825,2427.573226072607,2643.8615798483734
SENGKANG,2004-06,mid,239000.0,230000.0,340000.0,233972.0,259222.0,2393.7925707464365,2300.0,2731.793103448276,2352.0467326732673,2472.3684210526317
