town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,1990-01,very low,58000.0,58000.0,58000.0,58000.0,58000.0,630.4347826086956,630.4347826086956,630.4347826086956,630.4347826086956,630.4347826086956
SENGKANG,1990-02,very low,53000.0,53000.0,53000.0,53000.0,53000.0,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391
SENGKANG,1990-04,very low,36000.0,30000.0,42000.0,33000.0,39000.0,532.7041264266901,447.76119402985074,617.6470588235294,490.2326602282704,575.1755926251097
SENGKANG,1990-05,very low,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1990-06,very low,39000.0,30000.0,55000.0,34500.0,47000.0,573.5294117647059,441.1764705882353,597.8260869565217,507.3529411764706,585.6777493606138
SENGKANG,1990-08,very low,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1990-09,very low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1990-11,very low,39000.0,39000.0,39000.0,39000.0,39000.0,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059
SENGKANG,1991-04,very low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-05,very low,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-09,very low,38000.0,38000.0,38000.0,38000.0,38000.0,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776
SENGKANG,1991-10,very low,37200.0,36000.0,38400.0,36600.0,37800.0,551.2730465320456,529.4117647058823,573.1343283582089,540.342405618964,562.2036874451272
SENGKANG,1991-11,very low,60250.0,40000.0,80500.0,50125.0,70375.0,731.6176470588235,588.2352941176471,875.0,659.9264705882354,803.3088235294117
