town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,1990-01,low,4 ROOM,52000.0,52000.0,52000.0,52000.0,52000.0,565.2173913043479,565.2173913043479,565.2173913043479,565.2173913043479,565.2173913043479
SENGKANG,1990-01,very low,4 ROOM,58000.0,58000.0,58000.0,58000.0,58000.0,630.4347826086956,630.4347826086956,630.4347826086956,630.4347826086956,630.4347826086956
SENGKANG,1990-02,very low,4 ROOM,53000.0,53000.0,53000.0,53000.0,53000.0,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391
SENGKANG,1990-04,low,3 ROOM,28650.0,27300.0,30000.0,27975.0,29325.0,427.6119402985074,407.46268656716416,447.76119402985074,417.5373134328358,437.6865671641791
SENGKANG,1990-04,very low,3 ROOM,36000.0,30000.0,42000.0,33000.0,39000.0,532.7041264266901,447.76119402985074,617.6470588235294,490.2326602282704,575.1755926251097
SENGKANG,1990-05,very low,3 ROOM,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1990-06,low,4 ROOM,72000.0,72000.0,72000.0,72000.0,72000.0,782.6086956521739,782.6086956521739,782.6086956521739,782.6086956521739,782.6086956521739
SENGKANG,1990-06,very low,3 ROOM,34500.0,30000.0,39000.0,32250.0,36750.0,507.3529411764706,441.1764705882353,573.5294117647059,474.2647058823529,540.4411764705882
SENGKANG,1990-06,very low,4 ROOM,55000.0,55000.0,55000.0,55000.0,55000.0,597.8260869565217,597.8260869565217,597.8260869565217,597.8260869565217,597.8260869565217
SENGKANG,1990-08,very low,3 ROOM,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1990-09,very low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1990-11,low,3 ROOM,32000.0,31000.0,33000.0,31500.0,32500.0,429.16068866571015,402.4390243902439,455.88235294117646,415.79985652797706,442.5215208034433
SENGKANG,1990-11,very low,3 ROOM,39000.0,39000.0,39000.0,39000.0,39000.0,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059
SENGKANG,1990-12,low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-01,low,3 ROOM,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
SENGKANG,1991-03,low,3 ROOM,38400.0,38400.0,38400.0,38400.0,38400.0,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089
SENGKANG,1991-04,very low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-05,low,3 ROOM,39000.0,39000.0,39000.0,39000.0,39000.0,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059,573.5294117647059
SENGKANG,1991-05,very low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-09,very low,3 ROOM,38000.0,38000.0,38000.0,38000.0,38000.0,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776
SENGKANG,1991-10,low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1991-10,very low,3 ROOM,37200.0,36000.0,38400.0,36600.0,37800.0,551.2730465320456,529.4117647058823,573.1343283582089,540.342405618964,562.2036874451272
SENGKANG,1991-11,low,3 ROOM,37000.0,37000.0,37000.0,37000.0,37000.0,552.2388059701492,552.2388059701492,552.2388059701492,552.2388059701492,552.2388059701492
SENGKANG,1991-11,very low,3 ROOM,40000.0,40000.0,40000.0,40000.0,40000.0,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471
SENGKANG,1991-11,very low,4 ROOM,80500.0,80500.0,80500.0,80500.0,80500.0,875.0,875.0,875.0,875.0,875.0
SENGKANG,1992-01,very low,3 ROOM,35000.0,35000.0,35000.0,35000.0,35000.0,514.7058823529412,514.7058823529412,514.7058823529412,514.7058823529412,514.7058823529412
SENGKANG,1992-04,low,3 ROOM,44500.0,44500.0,44500.0,44500.0,44500.0,664.179104477612,664.179104477612,664.179104477612,664.179104477612,664.179104477612
SENGKANG,1992-04,very low,3 ROOM,50000.0,50000.0,50000.0,50000.0,50000.0,735.2941176470588,735.2941176470588,735.2941176470588,735.2941176470588,735.2941176470588
SENGKANG,1992-04,very low,4 ROOM,76000.0,76000.0,76000.0,76000.0,76000.0,826.0869565217391,826.0869565217391,826.0869565217391,826.0869565217391,826.0869565217391
SENGKANG,1992-05,very low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
SENGKANG,1992-06,low,3 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
