town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SERANGOON,1990-01,3 ROOM,01 TO 03,48600.0,45000.0,56000.0,46800.0,52300.0,759.375,600.0,835.820895522388,679.6875,797.5979477611941
SERANGOON,1990-01,3 ROOM,04 TO 06,51500.0,44500.0,59800.0,45625.0,57700.0,791.9600938967136,686.5671641791045,850.7462686567164,727.891791044776,844.3767080092496
SERANGOON,1990-01,3 ROOM,07 TO 09,44700.0,44700.0,44700.0,44700.0,44700.0,745.0,745.0,745.0,745.0,745.0
SERANGOON,1990-01,3 ROOM,10 TO 12,39500.0,35000.0,44000.0,37250.0,41750.0,640.1041666666667,546.875,733.3333333333334,593.4895833333334,686.71875
SERANGOON,1990-01,3 ROOM,13 TO 15,32000.0,32000.0,32000.0,32000.0,32000.0,500.0,500.0,500.0,500.0,500.0
SERANGOON,1990-01,4 ROOM,01 TO 03,89500.0,79000.0,100000.0,84250.0,94750.0,940.6956330919464,806.1224489795918,1075.268817204301,873.4090410357692,1007.9822251481237
SERANGOON,1990-01,4 ROOM,04 TO 06,95000.0,95000.0,95000.0,95000.0,95000.0,1043.956043956044,1043.956043956044,1043.956043956044,1043.956043956044,1043.956043956044
SERANGOON,1990-01,4 ROOM,10 TO 12,89000.0,80000.0,115000.0,84500.0,102000.0,978.021978021978,720.7207207207207,1236.5591397849462,849.3713493713494,1107.2905589034622
SERANGOON,1990-01,4 ROOM,13 TO 15,105000.0,105000.0,105000.0,105000.0,105000.0,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087,1141.304347826087
SERANGOON,1990-01,5 ROOM,04 TO 06,155000.0,155000.0,155000.0,155000.0,155000.0,1280.9917355371902,1280.9917355371902,1280.9917355371902,1280.9917355371902,1280.9917355371902
SERANGOON,1990-01,5 ROOM,07 TO 09,150000.0,140000.0,160000.0,145000.0,155000.0,1200.0,1157.0247933884298,1280.0,1178.5123966942149,1240.0
SERANGOON,1990-01,5 ROOM,10 TO 12,149500.0,139000.0,160000.0,144250.0,154750.0,1235.5371900826447,1148.7603305785124,1322.314049586777,1192.1487603305786,1278.9256198347107
SERANGOON,1990-01,5 ROOM,13 TO 15,150000.0,150000.0,150000.0,150000.0,150000.0,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512,1219.5121951219512
SERANGOON,1990-01,EXECUTIVE,01 TO 03,229000.0,220000.0,238000.0,224500.0,233500.0,1506.063756063756,1486.4864864864865,1525.6410256410256,1496.2751212751214,1515.8523908523907
SERANGOON,1990-02,3 ROOM,01 TO 03,49500.0,48000.0,51000.0,48750.0,50250.0,723.454157782516,685.7142857142857,761.1940298507462,704.5842217484008,742.3240938166311
SERANGOON,1990-02,3 ROOM,04 TO 06,44500.0,38000.0,51000.0,41250.0,47750.0,677.4720149253731,593.75,761.1940298507462,635.6110074626865,719.3330223880597
SERANGOON,1990-02,3 ROOM,07 TO 09,55800.0,52000.0,59600.0,53900.0,57700.0,821.5877136058837,753.6231884057971,889.5522388059702,787.6054510058405,855.5699762059269
SERANGOON,1990-02,3 ROOM,10 TO 12,51250.0,42000.0,60500.0,46625.0,55875.0,801.4925373134329,700.0,902.9850746268656,750.7462686567164,852.2388059701492
SERANGOON,1990-02,4 ROOM,01 TO 03,91140.0,91000.0,105000.0,91070.0,98070.0,980.0,978.494623655914,1153.8461538461538,979.247311827957,1066.923076923077
SERANGOON,1990-02,4 ROOM,04 TO 06,90000.0,89740.0,91300.0,89870.0,90650.0,934.7916666666666,918.3673469387755,971.2765957446809,926.5795068027211,953.0341312056737
SERANGOON,1990-02,4 ROOM,07 TO 09,84000.0,78000.0,96000.0,80750.0,89725.0,906.5934065934066,821.0526315789474,1032.258064516129,848.5680985680985,985.9890109890109
SERANGOON,1990-02,4 ROOM,10 TO 12,77000.0,77000.0,77000.0,77000.0,77000.0,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462,846.1538461538462
