town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SERANGOON,1990-01,89000.0,32000.0,238000.0,47300.0,145000.0,978.021978021978,500.0,1525.6410256410256,743.3333333333333,1209.7560975609756
SERANGOON,1990-02,91000.0,38000.0,233000.0,68750.0,135000.0,971.2765957446809,593.75,1553.3333333333333,842.2688422688423,1148.7603305785124
SERANGOON,1990-03,110000.0,38000.0,215000.0,72600.0,152500.0,1020.4081632653061,593.75,1433.3333333333333,894.0298507462687,1252.0661157024792
SERANGOON,1990-04,90570.0,39000.0,238000.0,73000.0,110750.0,1018.452380952381,609.375,1586.6666666666667,902.2727272727273,1148.4123531970422
SERANGOON,1990-05,91300.0,42800.0,250000.0,81400.0,118000.0,1011.1721611721612,586.3013698630137,1677.8523489932886,894.3187289359654,1220.8351457155286
SERANGOON,1990-06,75000.0,44000.0,231000.0,55000.0,113500.0,950.0,619.7183098591549,1529.8013245033112,779.5698924731183,1114.2857142857142
SERANGOON,1990-07,85000.0,32000.0,242000.0,59300.0,119200.0,918.3673469387755,479.45205479452056,1624.1610738255033,849.0112391520843,1169.9102461565803
SERANGOON,1990-08,91000.0,38000.0,251000.0,48100.0,114250.0,939.3939393939394,542.8571428571429,1608.974358974359,740.1190476190476,1138.6658795749704
SERANGOON,1990-09,91150.0,32000.0,193000.0,59600.0,127500.0,996.1538461538462,500.0,1581.967213114754,871.6417910447761,1142.857142857143
SERANGOON,1990-10,91000.0,34000.0,205000.0,55000.0,111750.0,978.494623655914,566.6666666666666,1378.3783783783783,743.9676616915423,1211.6946045049763
SERANGOON,1990-11,83000.0,38000.0,246000.0,55000.0,127000.0,976.1904761904761,633.3333333333334,1684.9315068493152,820.8955223880597,1186.8131868131868
SERANGOON,1990-12,85400.0,40000.0,245000.0,51550.0,140000.0,945.5492424242424,625.0,1737.5886524822695,750.3893575600259,1189.7498831229545
SERANGOON,1991-01,85000.0,40000.0,222000.0,59600.0,120000.0,957.8947368421053,616.4383561643835,1520.5479452054794,850.0,1219.5121951219512
SERANGOON,1991-02,91140.0,36000.0,236000.0,50000.0,150000.0,1010.6382978723404,562.5,1573.3333333333333,738.8059701492538,1272.7272727272727
SERANGOON,1991-03,82000.0,40000.0,207000.0,55500.0,94000.0,892.5373134328358,625.0,1467.2131147540983,753.7878787878788,1049.404761904762
SERANGOON,1991-04,88000.0,34500.0,226000.0,50625.0,107500.0,929.7520661157025,575.0,1506.6666666666667,750.0,1133.9285714285716
SERANGOON,1991-05,82000.0,30000.0,234000.0,60500.0,117250.0,960.0,468.75,1602.7397260273972,742.1819474058279,1146.7696629213483
SERANGOON,1991-06,61000.0,38000.0,257500.0,51500.0,92000.0,880.5970149253732,579.7101449275362,1739.8648648648648,746.3768115942029,989.247311827957
SERANGOON,1991-07,90500.0,39000.0,255000.0,74500.0,117472.0,976.1904761904761,619.047619047619,1722.972972972973,837.9107981220658,1204.1481246026701
SERANGOON,1991-08,90000.0,40000.0,267000.0,67500.0,117000.0,963.323022536456,605.6338028169014,1791.9463087248323,820.7278215663257,1142.1200750469043
SERANGOON,1991-09,90000.0,35000.0,250000.0,61900.0,96500.0,989.010989010989,546.875,1712.3287671232877,830.7291666666667,1021.6025641025642
SERANGOON,1991-10,85000.0,38000.0,270000.0,55000.0,102500.0,963.4160756501183,579.7101449275362,2213.1147540983607,807.3979591836735,1099.4734432234432
SERANGOON,1991-11,80000.0,40000.0,236500.0,53000.0,101000.0,957.8947368421053,571.4285714285714,1566.2251655629138,825.78125,1093.9054726368158
SERANGOON,1991-12,62500.0,36000.0,250000.0,50750.0,93250.0,888.0597014925373,600.0,1689.1891891891892,768.6203240951083,1024.2718446601941
SERANGOON,1992-01,88000.0,40100.0,235000.0,58450.0,123500.0,989.129150419473,626.5625,1598.639455782313,872.3880597014926,1142.5619834710742
SERANGOON,1992-02,91000.0,40000.0,255000.0,68000.0,125000.0,1010.989010989011,579.7101449275362,1734.6938775510205,858.5526315789473,1145.8087367178277
SERANGOON,1992-03,83500.0,38000.0,273000.0,60750.0,140750.0,1005.952380952381,593.75,1807.9470198675497,883.4735857877513,1244.7076612903224
SERANGOON,1992-04,90500.0,43000.0,242000.0,64250.0,136000.0,1030.570555272542,641.7910447761194,1657.5342465753424,781.25,1283.5526315789473
SERANGOON,1992-05,92900.0,41000.0,245000.0,68500.0,168000.0,1106.655192197361,683.3333333333334,1622.5165562913908,898.0379003857119,1337.340425531915
SERANGOON,1992-06,110000.0,47000.0,278000.0,83500.0,197000.0,1148.7603305785124,652.7777777777778,1904.109589041096,972.4702380952381,1473.2764428475184
SERANGOON,1992-07,85000.0,35000.0,265000.0,64250.0,119000.0,993.9759036144578,479.45205479452056,1815.0684931506848,856.2849813432836,1261.6758241758241
SERANGOON,1992-08,70000.0,40000.0,270000.0,58000.0,170000.0,957.8947368421053,625.0,1835.6164383561643,785.7142857142857,1404.9586776859503
SERANGOON,1992-09,91000.0,40000.0,267000.0,61000.0,126000.0,1016.6666666666666,625.0,1801.6528925619834,946.8085106382979,1285.7142857142858
SERANGOON,1992-10,115000.0,44500.0,280000.0,90000.0,204500.0,1185.1257356875335,676.056338028169,1883.5616438356165,984.4766883601835,1605.09645839332
SERANGOON,1992-11,93000.0,40000.0,287000.0,68237.5,158250.0,1098.901098901099,625.0,1913.3333333333333,931.080867225827,1451.9787644787643
SERANGOON,1992-12,90000.0,35000.0,255000.0,65000.0,140000.0,1098.901098901099,546.875,1746.5753424657535,955.056179775281,1384.6153846153845
SERANGOON,1993-01,112350.0,53000.0,275000.0,86500.0,145250.0,1281.5328610783156,828.125,1883.5616438356165,1013.6455525606469,1393.4270516717324
SERANGOON,1993-02,90550.0,40000.0,280000.0,64125.0,130000.0,1117.857142857143,625.0,1794.871794871795,906.0167910447761,1431.8587662337663
SERANGOON,1993-03,110000.0,40000.0,299000.0,62000.0,183300.0,1208.7912087912089,589.0410958904109,2120.567375886525,888.907967032967,1621.4721901303847
SERANGOON,1993-04,100000.0,42500.0,255000.0,73750.0,130000.0,1049.4505494505495,664.0625,1885.2459016393443,925.5952380952381,1494.047619047619
SERANGOON,1993-05,147000.0,35000.0,305000.0,118500.0,275000.0,1593.4065934065934,583.3333333333334,2032.7868852459017,1225.2708597157732,1853.0853994490358
SERANGOON,1993-06,120000.0,42000.0,310000.0,82000.0,232000.0,1385.5421686746988,646.1538461538462,2123.2876712328766,1212.121212121212,1917.3553719008264
SERANGOON,1993-07,142000.0,50000.0,340000.0,84750.0,212500.0,1523.5745614035086,812.5,2251.655629139073,1301.8229166666667,1884.4110435019527
SERANGOON,1993-08,148000.0,62000.0,340000.0,83250.0,232500.0,1574.7340425531916,925.3731343283582,2352.4590163934427,1267.9794520547944,1772.5
SERANGOON,1993-09,168000.0,73000.0,365000.0,125000.0,280000.0,1812.5,1140.625,2500.0,1488.095238095238,2107.438016528926
SERANGOON,1993-10,160000.0,52000.0,380000.0,93500.0,219000.0,1797.752808988764,866.6666666666666,2620.689655172414,1463.6363636363635,2077.0138951957133
SERANGOON,1993-11,140000.0,67000.0,378000.0,88000.0,202000.0,1663.009129213483,985.9154929577464,2617.8861788617887,1331.4832089552237,2011.4915370736317
