town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SERANGOON,1990-01,mid,145000.0,44700.0,160000.0,116175.0,152500.0,1178.5123966942149,745.0,1280.0,1054.0185950413224,1220.0
SERANGOON,1990-02,mid,84000.0,52000.0,232000.0,78500.0,94825.0,911.8090864359522,753.6231884057971,1546.6666666666667,848.5680985680985,1025.0177242112727
SERANGOON,1990-03,mid,68250.0,38000.0,204000.0,49250.0,105000.0,845.8465263550008,593.75,1426.5734265734266,722.3084886128365,1040.521978021978
SERANGOON,1990-04,mid,97500.0,85000.0,238000.0,86000.0,110250.0,1065.668202764977,978.7234042553191,1586.6666666666667,1016.3690476190477,1164.3200549450548
SERANGOON,1990-05,mid,99000.0,44000.0,118000.0,71000.0,118000.0,987.4366767983789,656.7164179104477,1296.7032967032967,802.4769768180374,1167.032967032967
SERANGOON,1990-06,mid,94000.0,60000.0,128000.0,77000.0,111000.0,976.6868138645614,895.5223880597015,1057.8512396694214,936.1046009621315,1017.2690267669914
SERANGOON,1990-07,mid,100400.0,57000.0,168000.0,59750.0,145000.0,1024.781053410633,814.2857142857143,1388.4297520661157,869.1998142702367,1284.26272292301
SERANGOON,1990-08,mid,79250.0,40000.0,118500.0,59625.0,98875.0,854.1407867494825,579.7101449275362,1128.5714285714287,716.9254658385094,991.3561076604556
SERANGOON,1990-09,mid,80000.0,32000.0,182000.0,48750.0,104500.0,952.3809523809524,500.0,1504.1322314049587,697.1320677689324,1252.2231784279977
SERANGOON,1990-10,mid,87500.0,44500.0,204000.0,55000.0,118000.0,892.8571428571429,657.5757575757576,1378.3783783783783,743.9676616915423,1233.0685618729096
SERANGOON,1990-11,mid,83000.0,50000.0,246000.0,55000.0,102000.0,932.5842696629213,714.2857142857143,1684.9315068493152,820.8955223880597,1133.3333333333333
SERANGOON,1990-12,mid,83000.0,40000.0,245000.0,52250.0,124500.0,943.1818181818181,625.0,1737.5886524822695,777.5867851752473,1125.2281400365023
SERANGOON,1991-01,mid,58000.0,43500.0,159000.0,44000.0,94500.0,898.9583333333333,687.5,1303.27868852459,731.25,1016.5731189320388
SERANGOON,1991-02,mid,50000.0,36000.0,102000.0,43750.0,73000.0,709.2555331991953,562.5,1108.695652173913,683.59375,834.1836734693877
SERANGOON,1991-03,mid,57800.0,45000.0,90000.0,55500.0,80000.0,850.7462686567164,750.0,1071.4285714285713,810.1449275362319,888.9986418076305
SERANGOON,1991-04,mid,57750.0,45000.0,91000.0,49125.0,76500.0,827.8981803312206,701.4925373134329,1000.0,752.568493150685,956.0234541577825
SERANGOON,1991-05,mid,95750.0,57000.0,150000.0,64250.0,118125.0,974.5054945054944,725.2747252747253,1239.6694214876034,873.134328358209,1141.3690476190477
SERANGOON,1991-06,mid,82000.0,44500.0,92000.0,52000.0,91000.0,968.0851063829788,741.6666666666666,1010.989010989011,753.6231884057971,976.1904761904761
SERANGOON,1991-07,mid,93000.0,44500.0,139000.0,84250.0,121500.0,994.047619047619,741.6666666666666,1377.5510204081634,966.514500537057,1130.940082644628
SERANGOON,1991-08,mid,92000.0,49500.0,177000.0,61500.0,128500.0,1010.989010989011,707.1428571428571,1462.809917355372,794.4972826086956,1291.8371522094926
SERANGOON,1991-09,mid,90000.0,45000.0,225000.0,80000.0,92750.0,989.010989010989,703.125,1520.2702702702702,845.8128511235955,997.3118279569892
SERANGOON,1991-10,mid,82000.0,40000.0,116000.0,51000.0,95500.0,955.5555555555555,579.7101449275362,1208.3333333333333,723.3400402414487,1032.199625993455
SERANGOON,1991-11,mid,91000.0,53000.0,204000.0,58100.0,133500.0,978.494623655914,828.125,1397.2602739726028,876.4342350746269,1186.4313292884722
SERANGOON,1991-12,mid,57500.0,46000.0,150000.0,53750.0,104750.0,858.2089552238806,630.1369863013699,1239.6694214876034,830.048973880597,1085.5338691159586
SERANGOON,1992-01,mid,90000.0,55000.0,235000.0,77450.0,101000.0,992.1245421245421,785.7142857142857,1598.639455782313,945.9557053442466,1152.529761904762
SERANGOON,1992-02,mid,112500.0,40000.0,255000.0,92500.0,185000.0,1171.875,579.7101449275362,1734.6938775510205,1055.4029304029305,1501.2237258854016
SERANGOON,1992-03,mid,95000.0,60000.0,251300.0,73500.0,146825.0,1147.8365384615386,845.0704225352113,1697.972972972973,1018.9599133261105,1338.5557432432433
SERANGOON,1992-04,mid,102500.0,51000.0,148000.0,90000.0,121000.0,1147.41641337386,761.1940298507462,1423.076923076923,956.6326530612245,1276.9036954087346
SERANGOON,1992-05,mid,92500.0,41000.0,204000.0,82750.0,163250.0,1016.4835164835165,683.3333333333334,1413.2231404958677,916.1785799665312,1156.359199068168
SERANGOON,1992-06,mid,170000.0,82000.0,270000.0,110000.0,262000.0,1393.4426229508197,880.0,1800.0,976.1904761904761,1746.6666666666667
SERANGOON,1992-07,mid,84000.0,35000.0,91000.0,59500.0,87500.0,968.0851063829788,479.45205479452056,1000.0,723.7685805887497,984.0425531914893
SERANGOON,1992-08,mid,59500.0,50000.0,188000.0,58250.0,142500.0,888.0597014925373,781.25,1553.719008264463,816.0396646902475,1268.96256422804
SERANGOON,1992-09,mid,91000.0,40000.0,205000.0,51125.0,140250.0,1006.0240963855422,625.0,1509.6153846153845,811.5942028985507,1196.1748633879781
SERANGOON,1992-10,mid,102500.0,46000.0,272000.0,90000.0,179375.0,1166.6666666666665,676.056338028169,1850.3401360544217,996.8602825745683,1523.1041992405628
SERANGOON,1992-11,mid,105500.0,40000.0,260000.0,84250.0,147750.0,1100.0365096750638,625.0,1733.3333333333333,973.051781594463,1435.2418414918413
SERANGOON,1992-12,mid,140000.0,60000.0,200000.0,100000.0,175000.0,1446.280991735537,895.5223880597015,1652.892561983471,1020.4081632653061,1538.4615384615386
SERANGOON,1993-01,mid,126000.0,107000.0,210000.0,116500.0,168000.0,1500.0,1273.8095238095239,1721.311475409836,1386.904761904762,1610.655737704918
SERANGOON,1993-02,mid,106050.0,60000.0,187000.0,79250.0,130000.0,1266.1162273737696,879.1208791208791,1566.2650602409637,991.7377398720682,1461.0795454545455
SERANGOON,1993-03,mid,124000.0,53000.0,299000.0,91250.0,203250.0,1404.5860862806062,828.125,2120.567375886525,1031.8747517542697,1754.1644632469593
SERANGOON,1993-04,mid,119500.0,60000.0,255000.0,76500.0,181500.0,1131.5378610460577,845.0704225352113,1700.0,943.4104627766599,1390.1639344262294
SERANGOON,1993-05,mid,120000.0,50000.0,277000.0,70500.0,183000.0,1428.5714285714287,714.2857142857143,1859.504132231405,916.6666666666667,1689.6376811594205
SERANGOON,1993-06,mid,120000.0,80000.0,306000.0,100000.0,213000.0,1428.5714285714287,1250.0,2095.890410958904,1339.2857142857142,1762.2309197651662
SERANGOON,1993-07,mid,146500.0,145000.0,148000.0,145750.0,147250.0,1576.3447079236553,1526.3157894736842,1626.3736263736264,1551.3302486986697,1601.3591671486408
SERANGOON,1993-08,mid,133000.0,70000.0,320000.0,81750.0,171875.0,1601.449275362319,1093.75,2191.780821917808,1362.5,1678.719008264463
SERANGOON,1993-09,mid,165000.0,77000.0,355000.0,141000.0,237000.0,1755.3191489361702,1283.3333333333333,2401.6393442622953,1643.4331797235022,1995.2083699665905
SERANGOON,1993-10,mid,157500.0,70000.0,346000.0,90500.0,183750.0,1748.4460913220178,1093.75,2520.6611570247933,1462.5,2015.372268181257
SERANGOON,1993-11,mid,150000.0,70000.0,278000.0,90000.0,185000.0,1686.7469879518073,985.9154929577464,2297.5206611570247,1369.86301369863,2019.4174757281553
SERANGOON,1993-12,mid,158500.0,78000.0,325000.0,93500.0,201250.0,1623.801622418879,1218.75,2314.0495867768595,1460.9375,2001.9201228878646
SERANGOON,1994-01,mid,103000.0,78000.0,380700.0,90000.0,178200.0,1567.1641791044776,1250.0,2521.1920529801323,1343.2835820895523,1704.5454545454545
SERANGOON,1994-02,mid,92000.0,75000.0,385000.0,85000.0,175750.0,1491.6666666666667,1164.3835616438357,2636.986301369863,1352.7700480647609,1869.848901098901
SERANGOON,1994-03,mid,171000.0,98000.0,310000.0,161500.0,188000.0,1964.2857142857142,1352.3809523809523,2561.9834710743803,1764.8745519713261,2028.8461538461538
SERANGOON,1994-04,mid,145500.0,85000.0,405000.0,104750.0,281250.0,1825.3856942496495,1328.125,2773.972602739726,1528.3906554185594,2277.317073170732
SERANGOON,1994-05,mid,214000.0,82000.0,410000.0,162500.0,294000.0,2133.5714285714284,1223.8805970149253,2770.2702702702704,1810.3479853479853,2365.988838773794
SERANGOON,1994-06,mid,184000.0,90000.0,325000.0,155000.0,206750.0,1875.0,1343.2835820895523,2663.934426229508,1751.9201228878649,2203.1822344322345
SERANGOON,1994-07,mid,211500.0,102000.0,430000.0,180000.0,318750.0,2196.4285714285716,1522.3880597014925,2945.205479452055,2021.183635641467,2663.734115347019
SERANGOON,1994-08,mid,180000.0,85000.0,425000.0,133000.0,215000.0,2047.6190476190477,1328.125,2852.3489932885905,1695.2380952380952,2362.6373626373625
SERANGOON,1994-09,mid,176750.0,90000.0,285000.0,128000.0,209750.0,1969.7802197802198,1309.8591549295775,2355.371900826446,1705.6587837837837,2063.058035714286
SERANGOON,1994-10,mid,210000.0,195000.0,335000.0,202500.0,272500.0,2321.4285714285716,2142.8571428571427,2658.7301587301586,2232.142857142857,2490.079365079365
SERANGOON,1994-11,mid,183000.0,83000.0,233000.0,155000.0,205000.0,1940.2985074626865,1383.3333333333333,2478.723404255319,1790.816326530612,2265.8158280410357
SERANGOON,1994-12,mid,189000.0,92000.0,358000.0,158750.0,213600.0,2015.326778484673,1437.5,2910.569105691057,1922.985197368421,2340.421245421245
SERANGOON,1995-01,mid,195000.0,100000.0,345000.0,185000.0,320000.0,2096.7741935483873,1666.6666666666667,2804.878048780488,1809.5238095238096,2644.628099173554
SERANGOON,1995-02,mid,198000.0,91000.0,388000.0,136250.0,294750.0,2045.906829488919,1421.875,3104.0,1804.593105899076,2540.1386019283746
SERANGOON,1995-03,mid,203000.0,105000.0,395000.0,168000.0,263500.0,2261.904761904762,1521.7391304347825,2866.115702479339,1899.1935483870968,2483.222144777457
SERANGOON,1995-04,mid,191500.0,105000.0,395000.0,123125.0,214472.0,2236.394557823129,1731.3432835820895,2724.137931034483,1795.6706195052138,2262.844611528822
SERANGOON,1995-05,mid,216000.0,123000.0,468000.0,207500.0,227400.0,2347.8260869565215,1835.8208955223881,3140.9395973154365,2187.7528317152105,2482.3740175681924
SERANGOON,1995-06,mid,215000.0,135000.0,345000.0,205000.0,260000.0,2351.6483516483518,2059.5238095238096,2827.8688524590166,2135.4166666666665,2476.190476190476
SERANGOON,1995-07,mid,193800.0,115000.0,382000.0,135000.0,234000.0,2307.1428571428573,1785.7142857142858,3105.691056910569,2007.2463768115942,2516.7483119290346
SERANGOON,1995-08,mid,232000.0,125000.0,375000.0,208000.0,330000.0,2476.190476190476,1753.4246575342465,3073.7704918032787,2395.6043956043954,2704.9180327868853
SERANGOON,1995-09,mid,243000.0,135000.0,465000.0,218250.0,279500.0,2649.1243988748756,2014.9253731343283,3163.265306122449,2521.909827760892,2934.5238095238096
SERANGOON,1995-10,mid,240500.0,120000.0,400000.0,216250.0,345750.0,2627.340223405366,1970.1492537313434,3278.688524590164,2463.7011924245967,2888.5542168674697
SERANGOON,1995-11,mid,236500.0,124000.0,398000.0,151250.0,346450.0,2537.936507936508,1850.7462686567164,3262.2950819672133,2171.688988095238,2960.085531004989
SERANGOON,1995-12,mid,251000.0,133000.0,353000.0,220000.0,290000.0,2619.0476190476193,2144.927536231884,3172.043010752688,2500.0,2761.904761904762
SERANGOON,1996-01,mid,258000.0,130000.0,410000.0,239000.0,310000.0,2766.990291262136,2125.0,3388.4297520661157,2579.1925465838513,2966.346153846154
SERANGOON,1996-02,mid,278000.0,137500.0,430000.0,222250.0,403750.0,2822.741417874161,2291.6666666666665,3467.2131147540986,2528.846153846154,3305.473086356009
SERANGOON,1996-03,mid,290000.0,141000.0,518000.0,174000.0,375000.0,2952.3809523809523,1985.9154929577464,3453.3333333333335,2671.875,3073.7704918032787
SERANGOON,1996-04,mid,312000.0,160000.0,633000.0,265000.0,422500.0,3108.695652173913,2383.3972602739727,4248.322147651007,2868.7888198757764,3381.467725409836
SERANGOON,1996-05,mid,339000.0,190000.0,642000.0,298000.0,437250.0,3314.446227929374,2776.6990291262136,4367.34693877551,3180.8829611248966,3584.0163934426228
SERANGOON,1996-06,mid,317500.0,164000.0,679000.0,274000.0,431500.0,3345.4545454545455,2733.3333333333335,4650.684931506849,3051.858376903842,3831.1688311688313
SERANGOON,1996-07,mid,350000.0,190000.0,615000.0,306000.0,403000.0,3425.925925925926,2757.1428571428573,4262.295081967213,3210.884353741497,3914.8064178583886
SERANGOON,1996-08,mid,365000.0,160000.0,675000.0,258000.0,560000.0,3548.3870967741937,2388.0597014925374,4530.201342281879,3090.074584050488,4121.4611872146115
SERANGOON,1996-09,mid,340000.0,170000.0,677000.0,267500.0,376000.0,3483.14606741573,2805.9701492537315,4636.986301369863,3181.720890410959,3766.1982825917253
SERANGOON,1996-10,mid,405000.0,193000.0,685000.0,307000.0,589000.0,3730.769230769231,3015.625,4659.863945578231,3509.157509157509,4089.996654399465
SERANGOON,1996-11,mid,306000.0,162000.0,680000.0,203750.0,351000.0,3425.2008032128515,2700.0,4657.534246575343,3108.6753731343283,3581.1298076923076
SERANGOON,1996-12,mid,422500.0,185000.0,665000.0,331250.0,611250.0,3730.4839968774395,2761.194029850746,4523.809523809524,3459.2490842490843,4099.156309534609
SERANGOON,1997-01,mid,325000.0,182500.0,647300.0,290500.0,516250.0,3461.5384615384614,2851.5625,4433.561643835616,3240.3152403152403,3777.3759989432665
SERANGOON,1997-02,mid,326000.0,180000.0,618000.0,212000.0,360000.0,3495.145631067961,3000.0,4204.081632653061,3312.5,3670.2127659574467
SERANGOON,1997-03,mid,320000.0,193000.0,620000.0,276000.0,385000.0,3337.3493975903616,2718.3098591549297,4161.073825503356,3137.5,3578.4313725490197
SERANGOON,1997-04,mid,305000.0,150000.0,556000.0,210000.0,425000.0,3442.622950819672,2500.0,3950.8196721311474,3115.942028985507,3606.55737704918
