town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TAMPINES,1990-01,EXECUTIVE,167600.0,114000.0,205000.0,160050.0,186250.0,1147.4178403755868,760.0,1314.1025641025642,1082.042253521127,1241.6666666666667
TAMPINES,1990-02,EXECUTIVE,160000.0,114000.0,183000.0,159800.0,176500.0,1123.943661971831,775.5102040816327,1279.7202797202797,1073.873873873874,1208.5915492957747
TAMPINES,1990-03,EXECUTIVE,176650.0,138000.0,182000.0,164000.0,177825.0,1226.3849765258215,920.0,1253.5211267605634,1103.3333333333335,1246.3028169014085
TAMPINES,1990-04,EXECUTIVE,196000.0,160000.0,206000.0,178000.0,201000.0,1380.281690140845,1066.6666666666667,1401.360544217687,1223.474178403756,1390.821117179266
TAMPINES,1990-05,EXECUTIVE,162000.0,160000.0,194000.0,160000.0,170000.0,1095.890410958904,1059.6026490066224,1302.013422818792,1094.5945945945946,1148.6486486486488
TAMPINES,1990-06,EXECUTIVE,190000.0,190000.0,190000.0,190000.0,190000.0,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642,1258.2781456953642
TAMPINES,1990-07,EXECUTIVE,160000.0,159600.0,190000.0,159800.0,185000.0,1081.081081081081,1064.0,1266.6666666666667,1065.3333333333335,1233.3333333333335
TAMPINES,1990-08,EXECUTIVE,172500.0,160000.0,200000.0,160000.0,188750.0,1188.6922601208316,1059.6026490066224,1298.7012987012988,1104.0615014124949,1268.5528756957328
TAMPINES,1990-09,EXECUTIVE,185900.0,160000.0,210000.0,175250.0,195125.0,1261.5800865800866,1032.051282051282,1408.4507042253522,1166.6666666666667,1310.2112676056338
TAMPINES,1990-10,EXECUTIVE,192500.0,114000.0,207000.0,165000.0,205750.0,1283.3333333333335,760.0,1380.0,1116.3265306122448,1371.6666666666665
TAMPINES,1990-11,EXECUTIVE,160000.0,160000.0,160000.0,160000.0,160000.0,1126.7605633802816,1126.7605633802816,1126.7605633802816,1126.7605633802816,1126.7605633802816
TAMPINES,1990-12,EXECUTIVE,160000.0,150000.0,204000.0,160000.0,191500.0,1066.6666666666667,1056.338028169014,1397.2602739726028,1066.6666666666667,1285.5855855855857
TAMPINES,1991-01,EXECUTIVE,191000.0,160000.0,230000.0,171250.0,198500.0,1290.593607305936,1052.6315789473683,1533.3333333333333,1168.5144651693947,1358.5135135135133
TAMPINES,1991-02,EXECUTIVE,180000.0,160000.0,220000.0,175000.0,197000.0,1237.4787374787375,1066.6666666666667,1496.5986394557824,1166.6666666666667,1344.687152906331
TAMPINES,1991-03,EXECUTIVE,177250.0,160000.0,203000.0,160750.0,195500.0,1185.5816554809844,1045.4545454545455,1380.952380952381,1109.4311094311095,1303.3333333333333
TAMPINES,1991-04,EXECUTIVE,162500.0,159000.0,210000.0,160000.0,176250.0,1118.881118881119,1074.3243243243244,1418.918918918919,1115.8689283689282,1179.7202797202797
TAMPINES,1991-05,EXECUTIVE,161000.0,140000.0,200000.0,160000.0,180000.0,1095.890410958904,945.9459459459459,1351.3513513513512,1078.3783783783783,1184.2105263157894
TAMPINES,1991-06,EXECUTIVE,185000.0,160000.0,206000.0,170000.0,190000.0,1292.5170068027212,1066.6666666666667,1404.109589041096,1133.3333333333333,1307.6923076923076
TAMPINES,1991-07,EXECUTIVE,198000.0,161000.0,235000.0,182500.0,205000.0,1337.837837837838,1087.837837837838,1533.3333333333333,1222.9747914237014,1385.3881278538813
TAMPINES,1991-08,EXECUTIVE,209000.0,170000.0,210000.0,200875.0,210000.0,1393.3333333333335,1148.6486486486488,1400.0,1339.1666666666665,1400.0
TAMPINES,1991-09,EXECUTIVE,200000.0,160000.0,228000.0,197250.0,204875.0,1345.6756756756756,1066.6666666666667,1605.6338028169014,1332.7702702702704,1388.2305936073058
TAMPINES,1991-10,EXECUTIVE,200000.0,154000.0,243000.0,180000.0,224000.0,1342.2818791946308,1025.6410256410256,1711.2676056338028,1216.4383561643835,1545.6318995051388
TAMPINES,1991-11,EXECUTIVE,208000.0,159000.0,235000.0,183000.0,227500.0,1404.109589041096,1111.8881118881118,1598.639455782313,1259.136411533672,1524.6598639455783
TAMPINES,1991-12,EXECUTIVE,180000.0,150000.0,223000.0,160000.0,214000.0,1200.0,1000.0,1559.4405594405594,1088.4857460199926,1467.605633802817
TAMPINES,1992-01,EXECUTIVE,180000.0,160000.0,215000.0,161000.0,203000.0,1224.4897959183672,1038.9610389610389,1433.3333333333333,1095.890410958904,1394.7368421052631
TAMPINES,1992-02,EXECUTIVE,200000.0,180000.0,240000.0,197750.0,215250.0,1398.6013986013986,1200.0,1600.0,1331.7467926768022,1459.2512032580526
TAMPINES,1992-03,EXECUTIVE,180000.0,160000.0,230000.0,170000.0,205000.0,1267.605633802817,1095.890410958904,1513.157894736842,1181.7480223808607,1390.3817642698295
TAMPINES,1992-04,EXECUTIVE,205000.0,170000.0,220000.0,197000.0,216000.0,1413.6848115721355,1148.6486486486488,1453.3333333333333,1319.2179392142327,1426.1583011583011
TAMPINES,1992-05,EXECUTIVE,175000.0,160000.0,260000.0,165000.0,226250.0,1182.4324324324325,1066.6666666666667,1780.8219178082193,1114.864864864865,1508.3333333333333
TAMPINES,1992-06,EXECUTIVE,207500.0,150000.0,235000.0,159750.0,226000.0,1392.5675675675675,1048.951048951049,1587.837837837838,1065.0,1551.6083916083917
TAMPINES,1992-07,EXECUTIVE,200000.0,165000.0,240000.0,180500.0,216500.0,1351.3513513513512,1122.4489795918366,1678.3216783216783,1201.4321295143213,1462.3287671232877
TAMPINES,1992-08,EXECUTIVE,218000.0,159000.0,240000.0,181500.0,228944.0,1435.8974358974358,1081.6326530612246,1578.9473684210527,1233.8948537578674,1547.3751600512164
TAMPINES,1992-09,EXECUTIVE,224000.0,155000.0,252000.0,200000.0,236750.0,1505.4331728989264,1033.3333333333333,1726.027397260274,1352.0725849492974,1589.3835616438357
TAMPINES,1992-10,EXECUTIVE,213000.0,160000.0,252000.0,200000.0,245000.0,1401.3157894736842,1081.081081081081,1760.5633802816901,1342.3423423423424,1655.7077625570776
TAMPINES,1992-11,EXECUTIVE,218000.0,159000.0,260000.0,190000.0,236000.0,1493.150684931507,1025.6410256410256,1756.7567567567567,1283.7837837837837,1619.718309859155
TAMPINES,1992-12,EXECUTIVE,226000.0,160000.0,261000.0,199000.0,232500.0,1547.945205479452,1114.2465753424658,1787.6712328767123,1354.313217326916,1575.3424657534247
TAMPINES,1993-01,EXECUTIVE,220000.0,160000.0,250000.0,193750.0,241250.0,1499.3006993006993,1081.081081081081,1725.3521126760563,1327.0547945205478,1695.6878255836389
TAMPINES,1993-02,EXECUTIVE,235000.0,190000.0,275000.0,205000.0,246000.0,1614.8648648648648,1266.6666666666667,1883.5616438356165,1394.3909663087745,1693.903144896778
TAMPINES,1993-03,EXECUTIVE,232650.0,180000.0,256000.0,210000.0,235000.0,1551.0,1232.876712328767,1753.4246575342465,1471.8309859154929,1587.837837837838
TAMPINES,1993-04,EXECUTIVE,242000.0,160000.0,273000.0,207500.0,267000.0,1651.5151515151515,1126.7605633802816,1869.86301369863,1416.6049611255091,1792.3287671232877
TAMPINES,1993-05,EXECUTIVE,250000.0,173000.0,312000.0,240000.0,279500.0,1724.1379310344828,1184.9315068493152,2080.0,1610.7207207207207,1909.5045045045044
TAMPINES,1993-06,EXECUTIVE,267500.0,220000.0,305000.0,265000.0,286000.0,1815.0684931506848,1428.5714285714287,2089.041095890411,1775.0,1906.6666666666665
