town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TAMPINES,2000-02,MULTI-GENERATION,485000.0,485000.0,485000.0,485000.0,485000.0,3233.3333333333335,3233.3333333333335,3233.3333333333335,3233.3333333333335,3233.3333333333335
TAMPINES,2000-06,MULTI-GENERATION,550500.0,531000.0,570000.0,540750.0,560250.0,3486.867469879518,3433.734939759036,3540.0,3460.301204819277,3513.4337349397592
TAMPINES,2000-07,MULTI-GENERATION,572000.0,572000.0,572000.0,572000.0,572000.0,3445.7831325301204,3445.7831325301204,3445.7831325301204,3445.7831325301204,3445.7831325301204
TAMPINES,2000-09,MULTI-GENERATION,540000.0,540000.0,540000.0,540000.0,540000.0,3253.012048192771,3253.012048192771,3253.012048192771,3253.012048192771,3253.012048192771
TAMPINES,2000-10,MULTI-GENERATION,522500.0,522500.0,522500.0,522500.0,522500.0,3147.590361445783,3147.590361445783,3147.590361445783,3147.590361445783,3147.590361445783
TAMPINES,2000-11,MULTI-GENERATION,377500.0,377500.0,377500.0,377500.0,377500.0,2859.848484848485,2859.848484848485,2859.848484848485,2859.848484848485,2859.848484848485
TAMPINES,2001-01,MULTI-GENERATION,523000.0,523000.0,523000.0,523000.0,523000.0,3150.602409638554,3150.602409638554,3150.602409638554,3150.602409638554,3150.602409638554
TAMPINES,2001-02,MULTI-GENERATION,498000.0,498000.0,498000.0,498000.0,498000.0,3000.0,3000.0,3000.0,3000.0,3000.0
TAMPINES,2001-05,MULTI-GENERATION,530000.0,530000.0,530000.0,530000.0,530000.0,3192.7710843373493,3192.7710843373493,3192.7710843373493,3192.7710843373493,3192.7710843373493
TAMPINES,2001-06,MULTI-GENERATION,491500.0,478000.0,505000.0,484750.0,498250.0,2960.843373493976,2879.5180722891564,3042.1686746987953,2920.180722891566,3001.5060240963858
TAMPINES,2001-08,MULTI-GENERATION,485000.0,485000.0,485000.0,485000.0,485000.0,2921.6867469879517,2921.6867469879517,2921.6867469879517,2921.6867469879517,2921.6867469879517
TAMPINES,2002-07,MULTI-GENERATION,348000.0,348000.0,348000.0,348000.0,348000.0,2636.3636363636365,2636.3636363636365,2636.3636363636365,2636.3636363636365,2636.3636363636365
TAMPINES,2002-08,MULTI-GENERATION,476400.0,475000.0,477800.0,475700.0,477100.0,2869.879518072289,2861.4457831325303,2878.3132530120483,2865.66265060241,2874.0963855421687
TAMPINES,2002-12,MULTI-GENERATION,345000.0,345000.0,345000.0,345000.0,345000.0,2613.6363636363635,2613.6363636363635,2613.6363636363635,2613.6363636363635,2613.6363636363635
TAMPINES,2003-03,MULTI-GENERATION,460000.0,460000.0,460000.0,460000.0,460000.0,2771.0843373493976,2771.0843373493976,2771.0843373493976,2771.0843373493976,2771.0843373493976
TAMPINES,2003-10,MULTI-GENERATION,345000.0,345000.0,345000.0,345000.0,345000.0,2613.6363636363635,2613.6363636363635,2613.6363636363635,2613.6363636363635,2613.6363636363635
TAMPINES,2004-01,MULTI-GENERATION,440000.0,440000.0,440000.0,440000.0,440000.0,2650.602409638554,2650.602409638554,2650.602409638554,2650.602409638554,2650.602409638554
TAMPINES,2004-04,MULTI-GENERATION,402000.0,402000.0,402000.0,402000.0,402000.0,2421.6867469879517,2421.6867469879517,2421.6867469879517,2421.6867469879517,2421.6867469879517
TAMPINES,2004-07,MULTI-GENERATION,445500.0,401000.0,490000.0,423250.0,467750.0,2683.734939759036,2415.6626506024095,2951.8072289156626,2549.6987951807228,2817.7710843373493
TAMPINES,2004-10,MULTI-GENERATION,385000.0,385000.0,385000.0,385000.0,385000.0,2319.277108433735,2319.277108433735,2319.277108433735,2319.277108433735,2319.277108433735
TAMPINES,2004-12,MULTI-GENERATION,420000.0,420000.0,420000.0,420000.0,420000.0,2530.120481927711,2530.120481927711,2530.120481927711,2530.120481927711,2530.120481927711
TAMPINES,2005-02,MULTI-GENERATION,445000.0,445000.0,445000.0,445000.0,445000.0,2680.722891566265,2680.722891566265,2680.722891566265,2680.722891566265,2680.722891566265
TAMPINES,2006-09,MULTI-GENERATION,350000.0,350000.0,350000.0,350000.0,350000.0,2651.5151515151515,2651.5151515151515,2651.5151515151515,2651.5151515151515,2651.5151515151515
