town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TAMPINES,1992-08,MULTI GENERATION,290000.0,290000.0,290000.0,290000.0,290000.0,1746.987951807229,1746.987951807229,1746.987951807229,1746.987951807229,1746.987951807229
TAMPINES,1992-09,MULTI GENERATION,140000.0,140000.0,140000.0,140000.0,140000.0,933.3333333333334,933.3333333333334,933.3333333333334,933.3333333333334,933.3333333333334
TAMPINES,1992-11,MULTI GENERATION,265000.0,265000.0,265000.0,265000.0,265000.0,1596.3855421686746,1596.3855421686746,1596.3855421686746,1596.3855421686746,1596.3855421686746
TAMPINES,1993-03,MULTI GENERATION,262000.0,262000.0,262000.0,262000.0,262000.0,1578.313253012048,1578.313253012048,1578.313253012048,1578.313253012048,1578.313253012048
TAMPINES,1993-04,MULTI GENERATION,279000.0,279000.0,279000.0,279000.0,279000.0,1680.7228915662652,1680.7228915662652,1680.7228915662652,1680.7228915662652,1680.7228915662652
TAMPINES,1993-05,MULTI GENERATION,230000.0,230000.0,230000.0,230000.0,230000.0,1742.4242424242425,1742.4242424242425,1742.4242424242425,1742.4242424242425,1742.4242424242425
TAMPINES,1993-06,MULTI GENERATION,225000.0,220000.0,230000.0,222500.0,227500.0,1604.5454545454545,1466.6666666666667,1742.4242424242425,1535.6060606060607,1673.4848484848485
TAMPINES,1993-07,MULTI GENERATION,252500.0,220000.0,285000.0,236250.0,268750.0,1691.7670682730923,1666.6666666666667,1716.867469879518,1679.2168674698796,1704.3172690763051
TAMPINES,1993-08,MULTI GENERATION,356000.0,300000.0,412000.0,328000.0,384000.0,2144.5783132530123,1807.2289156626507,2481.9277108433735,1975.9036144578313,2313.253012048193
TAMPINES,1993-09,MULTI GENERATION,270000.0,270000.0,270000.0,270000.0,270000.0,2045.4545454545455,2045.4545454545455,2045.4545454545455,2045.4545454545455,2045.4545454545455
TAMPINES,1993-11,MULTI GENERATION,380000.0,380000.0,380000.0,380000.0,380000.0,2289.156626506024,2289.156626506024,2289.156626506024,2289.156626506024,2289.156626506024
TAMPINES,1993-12,MULTI GENERATION,365000.0,365000.0,365000.0,365000.0,365000.0,2198.7951807228915,2198.7951807228915,2198.7951807228915,2198.7951807228915,2198.7951807228915
TAMPINES,1994-02,MULTI GENERATION,365000.0,365000.0,365000.0,365000.0,365000.0,2198.7951807228915,2198.7951807228915,2198.7951807228915,2198.7951807228915,2198.7951807228915
TAMPINES,1994-03,MULTI GENERATION,500000.0,500000.0,500000.0,500000.0,500000.0,3012.0481927710844,3012.0481927710844,3012.0481927710844,3012.0481927710844,3012.0481927710844
TAMPINES,1994-05,MULTI GENERATION,265000.0,225000.0,305000.0,245000.0,285000.0,2007.5757575757575,1704.5454545454545,2310.6060606060605,1856.060606060606,2159.090909090909
TAMPINES,1994-06,MULTI GENERATION,410000.0,410000.0,410000.0,410000.0,410000.0,2469.879518072289,2469.879518072289,2469.879518072289,2469.879518072289,2469.879518072289
TAMPINES,1994-07,MULTI GENERATION,386500.0,370000.0,403000.0,378250.0,394750.0,2457.7911646586344,2228.9156626506024,2686.6666666666665,2343.3534136546186,2572.2289156626503
TAMPINES,1994-08,MULTI GENERATION,425000.0,420000.0,430000.0,422500.0,427500.0,2560.240963855422,2530.120481927711,2590.3614457831327,2545.1807228915663,2575.3012048192772
TAMPINES,1994-11,MULTI GENERATION,458000.0,458000.0,458000.0,458000.0,458000.0,2759.0361445783133,2759.0361445783133,2759.0361445783133,2759.0361445783133,2759.0361445783133
TAMPINES,1994-12,MULTI GENERATION,365000.0,365000.0,365000.0,365000.0,365000.0,2765.151515151515,2765.151515151515,2765.151515151515,2765.151515151515,2765.151515151515
TAMPINES,1995-01,MULTI GENERATION,470000.0,470000.0,470000.0,470000.0,470000.0,2831.3253012048194,2831.3253012048194,2831.3253012048194,2831.3253012048194,2831.3253012048194
TAMPINES,1995-06,MULTI GENERATION,480000.0,480000.0,480000.0,480000.0,480000.0,2891.5662650602408,2891.5662650602408,2891.5662650602408,2891.5662650602408,2891.5662650602408
TAMPINES,1996-01,MULTI GENERATION,500000.0,400000.0,585000.0,450000.0,542500.0,3030.3030303030305,3012.0481927710844,3524.0963855421687,3021.175611537057,3277.1997079225994
TAMPINES,1996-02,MULTI GENERATION,519000.0,460000.0,578000.0,489500.0,548500.0,3483.388097845929,3481.9277108433735,3484.848484848485,3482.6579043446513,3484.118291347207
TAMPINES,1996-03,MULTI GENERATION,570000.0,570000.0,570000.0,570000.0,570000.0,3433.734939759036,3433.734939759036,3433.734939759036,3433.734939759036,3433.734939759036
TAMPINES,1996-05,MULTI GENERATION,585000.0,550000.0,736000.0,567500.0,660500.0,4166.666666666667,3524.0963855421687,4433.734939759036,3845.381526104418,4300.2008032128515
TAMPINES,1996-07,MULTI GENERATION,645000.0,550000.0,740000.0,597500.0,692500.0,4550.0,4166.666666666667,4933.333333333333,4358.333333333334,4741.666666666666
TAMPINES,1996-09,MULTI GENERATION,728000.0,728000.0,728000.0,728000.0,728000.0,4385.542168674699,4385.542168674699,4385.542168674699,4385.542168674699,4385.542168674699
TAMPINES,1996-10,MULTI GENERATION,715000.0,715000.0,715000.0,715000.0,715000.0,4440.993788819876,4440.993788819876,4440.993788819876,4440.993788819876,4440.993788819876
TAMPINES,1996-11,MULTI GENERATION,648000.0,600000.0,680000.0,624000.0,664000.0,3903.614457831325,3614.4578313253014,4096.385542168675,3759.0361445783133,4000.0
TAMPINES,1997-01,MULTI GENERATION,620000.0,620000.0,620000.0,620000.0,620000.0,3734.9397590361446,3734.9397590361446,3734.9397590361446,3734.9397590361446,3734.9397590361446
TAMPINES,1997-03,MULTI GENERATION,610000.0,610000.0,610000.0,610000.0,610000.0,3674.6987951807228,3674.6987951807228,3674.6987951807228,3674.6987951807228,3674.6987951807228
TAMPINES,1997-04,MULTI GENERATION,648500.0,630000.0,667000.0,639250.0,657750.0,3906.6265060240967,3795.1807228915663,4018.0722891566265,3850.9036144578313,3962.3493975903616
TAMPINES,1997-05,MULTI GENERATION,480000.0,480000.0,480000.0,480000.0,480000.0,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365
TAMPINES,1997-06,MULTI GENERATION,605000.0,605000.0,605000.0,605000.0,605000.0,4033.3333333333335,4033.3333333333335,4033.3333333333335,4033.3333333333335,4033.3333333333335
TAMPINES,1997-07,MULTI GENERATION,600000.0,600000.0,600000.0,600000.0,600000.0,3614.4578313253014,3614.4578313253014,3614.4578313253014,3614.4578313253014,3614.4578313253014
TAMPINES,1997-08,MULTI GENERATION,480000.0,480000.0,480000.0,480000.0,480000.0,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365,3636.3636363636365
TAMPINES,1997-09,MULTI GENERATION,510000.0,510000.0,510000.0,510000.0,510000.0,3863.6363636363635,3863.6363636363635,3863.6363636363635,3863.6363636363635,3863.6363636363635
TAMPINES,1997-11,MULTI GENERATION,555000.0,555000.0,555000.0,555000.0,555000.0,3700.0,3700.0,3700.0,3700.0,3700.0
TAMPINES,1998-02,MULTI GENERATION,479000.0,479000.0,479000.0,479000.0,479000.0,3628.787878787879,3628.787878787879,3628.787878787879,3628.787878787879,3628.787878787879
TAMPINES,1998-04,MULTI GENERATION,527500.0,510000.0,545000.0,518750.0,536250.0,3177.710843373494,3072.289156626506,3283.132530120482,3125.0,3230.421686746988
TAMPINES,1998-07,MULTI GENERATION,514000.0,475000.0,553000.0,494500.0,533500.0,3248.995983935743,3166.6666666666665,3331.3253012048194,3207.8313253012047,3290.160642570281
TAMPINES,1998-08,MULTI GENERATION,378000.0,378000.0,378000.0,378000.0,378000.0,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635
TAMPINES,1998-10,MULTI GENERATION,460000.0,460000.0,460000.0,460000.0,460000.0,3066.6666666666665,3066.6666666666665,3066.6666666666665,3066.6666666666665,3066.6666666666665
TAMPINES,1999-01,MULTI GENERATION,490000.0,490000.0,490000.0,490000.0,490000.0,2951.8072289156626,2951.8072289156626,2951.8072289156626,2951.8072289156626,2951.8072289156626
TAMPINES,1999-03,MULTI GENERATION,378000.0,378000.0,378000.0,378000.0,378000.0,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635,2863.6363636363635
TAMPINES,1999-04,MULTI GENERATION,422000.0,357000.0,487000.0,389500.0,454500.0,2819.1401971522455,2704.5454545454545,2933.734939759036,2761.8428258488498,2876.4375684556408
TAMPINES,1999-05,MULTI GENERATION,363000.0,363000.0,363000.0,363000.0,363000.0,2750.0,2750.0,2750.0,2750.0,2750.0
TAMPINES,1999-07,MULTI GENERATION,439500.0,349000.0,530000.0,394250.0,484750.0,2918.355239138372,2643.939393939394,3192.7710843373493,2781.147316538883,3055.5631617378604
TAMPINES,1999-08,MULTI GENERATION,490000.0,490000.0,490000.0,490000.0,490000.0,2951.8072289156626,2951.8072289156626,2951.8072289156626,2951.8072289156626,2951.8072289156626
TAMPINES,1999-11,MULTI GENERATION,484000.0,484000.0,484000.0,484000.0,484000.0,2915.6626506024095,2915.6626506024095,2915.6626506024095,2915.6626506024095,2915.6626506024095
