town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TAMPINES,1990-01,high,3 ROOM,57120.0,46900.0,61100.0,55500.0,60100.0,782.4657534246576,689.7058823529412,825.6756756756756,750.2283105022832,817.7341725286931
TAMPINES,1990-01,high,4 ROOM,84000.0,57000.0,94000.0,76050.0,89000.0,809.5238095238095,678.5714285714286,894.2307692307693,779.9071338117349,847.0193267398603
TAMPINES,1990-01,high,5 ROOM,128500.0,120000.0,135000.0,125250.0,131250.0,1018.2506887052341,960.0,1115.702479338843,961.5909090909091,1084.7107438016528
TAMPINES,1990-01,low,3 ROOM,57000.0,35000.0,60400.0,50000.0,57300.0,721.5189873417721,514.7058823529412,827.3972602739726,684.931506849315,778.3783783783783
TAMPINES,1990-01,low,4 ROOM,88000.0,54000.0,94000.0,71000.0,88000.0,807.3394495412844,586.9565217391304,895.2380952380952,744.8979591836735,850.9615384615385
TAMPINES,1990-01,low,5 ROOM,132750.0,120000.0,145000.0,121500.0,143875.0,1028.9837496968225,953.125,1185.9504132231405,964.0877016129032,1114.156776238116
TAMPINES,1990-01,low,EXECUTIVE,167600.0,114000.0,205000.0,160050.0,186250.0,1147.4178403755868,760.0,1314.1025641025642,1082.042253521127,1241.6666666666667
TAMPINES,1990-01,mid,3 ROOM,52500.0,43500.0,60400.0,49750.0,57050.0,712.3287671232877,607.5949367088608,827.3972602739726,664.7303624067973,748.2432432432432
TAMPINES,1990-01,mid,4 ROOM,88000.0,71000.0,95000.0,85750.0,90000.0,842.1245421245421,720.3389830508474,922.3300970873786,782.2802197802198,871.6859596713965
TAMPINES,1990-01,mid,5 ROOM,127000.0,77700.0,130000.0,122000.0,128000.0,1008.2644628099174,616.6666666666666,1057.8512396694214,977.4436090225564,1049.5867768595042
TAMPINES,1990-01,very low,3 ROOM,52000.0,41000.0,57200.0,46500.0,55250.0,679.2682926829268,518.9873417721519,780.8219178082192,617.344883158743,738.3561643835617
TAMPINES,1990-01,very low,4 ROOM,88000.0,70000.0,108000.0,73250.0,88250.0,814.8148148148148,699.074074074074,990.8256880733945,744.9007870524333,844.5054945054945
TAMPINES,1990-01,very low,5 ROOM,90700.0,90700.0,90700.0,90700.0,90700.0,681.9548872180451,681.9548872180451,681.9548872180451,681.9548872180451,681.9548872180451
TAMPINES,1990-02,high,3 ROOM,56000.0,45000.0,57500.0,50000.0,57300.0,684.5238095238095,569.620253164557,736.8421052631579,675.6756756756756,734.6153846153846
TAMPINES,1990-02,high,4 ROOM,87000.0,60000.0,95000.0,70000.0,90500.0,838.0952380952381,618.5567010309278,904.7619047619048,794.5134575569359,869.4454817027633
TAMPINES,1990-02,high,5 ROOM,126500.0,108000.0,145000.0,117250.0,135750.0,991.3937736904244,892.5619834710744,1090.2255639097743,941.9778785807493,1040.8096688000994
TAMPINES,1990-02,high,EXECUTIVE,114000.0,114000.0,114000.0,114000.0,114000.0,775.5102040816327,775.5102040816327,775.5102040816327,775.5102040816327,775.5102040816327
TAMPINES,1990-02,low,3 ROOM,54000.0,45000.0,60900.0,48500.0,58550.0,721.5189873417721,526.8817204301075,834.2465753424658,628.2191780821918,791.6255707762557
TAMPINES,1990-02,low,4 ROOM,88000.0,70000.0,97000.0,75700.0,94000.0,869.5652173913044,673.0769230769231,941.747572815534,806.9478908188586,895.2380952380952
TAMPINES,1990-02,low,5 ROOM,127000.0,127000.0,127000.0,127000.0,127000.0,954.8872180451128,954.8872180451128,954.8872180451128,954.8872180451128,954.8872180451128
TAMPINES,1990-02,low,EXECUTIVE,170000.0,170000.0,170000.0,170000.0,170000.0,1197.1830985915492,1197.1830985915492,1197.1830985915492,1197.1830985915492,1197.1830985915492
TAMPINES,1990-02,mid,3 ROOM,51000.0,40800.0,60000.0,48000.0,55500.0,698.6301369863014,544.0,821.917808219178,648.7671232876712,760.2739726027398
TAMPINES,1990-02,mid,4 ROOM,90000.0,88000.0,97000.0,88500.0,90000.0,849.0566037735849,838.0952380952381,932.6923076923077,842.8571428571429,873.7864077669902
TAMPINES,1990-02,mid,5 ROOM,134490.0,126500.0,148000.0,126860.0,143500.0,1056.561859193438,954.7368421052631,1121.2121212121212,1022.7751196172248,1081.0549100022786
TAMPINES,1990-02,mid,EXECUTIVE,171500.0,160000.0,183000.0,165750.0,177250.0,1180.4006804006804,1081.081081081081,1279.7202797202797,1130.7408807408806,1230.0604800604801
TAMPINES,1990-02,very low,3 ROOM,45950.0,37000.0,60200.0,43400.0,54875.0,632.4379280821918,552.2388059701492,824.6575342465753,597.316629096584,745.0
TAMPINES,1990-02,very low,4 ROOM,88000.0,80000.0,94000.0,87500.0,90650.0,846.1538461538462,740.7407407407408,912.6213592233009,841.3777161349976,855.0747863247864
TAMPINES,1990-02,very low,EXECUTIVE,160000.0,159600.0,183000.0,159800.0,171500.0,1123.943661971831,1066.6666666666667,1220.0,1095.305164319249,1171.9718309859154
TAMPINES,1990-03,high,3 ROOM,48000.0,40000.0,60500.0,46950.0,55000.0,700.0,540.5405405405405,817.5675675675676,640.2238175675675,743.013698630137
TAMPINES,1990-03,high,4 ROOM,72700.0,55000.0,90000.0,70000.0,76600.0,727.3351648351648,604.3956043956044,857.1428571428571,683.3791208791209,793.1606699751861
TAMPINES,1990-03,high,5 ROOM,135000.0,135000.0,135000.0,135000.0,135000.0,1007.4626865671642,1007.4626865671642,1007.4626865671642,1007.4626865671642,1007.4626865671642
TAMPINES,1990-03,low,3 ROOM,57000.0,44500.0,62000.0,55500.0,57225.0,765.1351351351352,570.5128205128206,784.8101265822785,747.4324324324324,773.3108108108108
TAMPINES,1990-03,low,4 ROOM,80000.0,61000.0,100000.0,71700.0,88750.0,776.6990291262136,726.1904761904761,961.5384615384615,763.0434782608695,849.3131868131868
TAMPINES,1990-03,low,5 ROOM,120000.0,93000.0,155000.0,109000.0,127000.0,902.2556390977444,768.595041322314,1165.4135338345864,900.8264462809917,954.8872180451128
TAMPINES,1990-03,low,EXECUTIVE,177300.0,176000.0,182000.0,176650.0,179650.0,1239.4366197183099,1213.3333333333333,1248.5915492957747,1226.3849765258215,1244.0140845070423
TAMPINES,1990-03,mid,3 ROOM,53200.0,45000.0,60000.0,47250.0,57075.0,681.740276862228,548.780487804878,821.917808219178,624.2307692307693,732.1392405063291
TAMPINES,1990-03,mid,4 ROOM,88540.0,82000.0,94500.0,88000.0,89000.0,859.6116504854369,780.952380952381,900.0,854.3689320388349,872.5490196078431
TAMPINES,1990-03,mid,5 ROOM,140500.0,130000.0,151000.0,135250.0,145750.0,1043.8688633348077,977.4436090225564,1110.2941176470588,1010.656236178682,1077.0814904909332
