town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,2 ROOM,04 TO 06,18900.0,18900.0,18900.0,18900.0,18900.0,472.5,472.5,472.5,472.5,472.5
TOA PAYOH,1990-01,2 ROOM,10 TO 12,18000.0,17000.0,19000.0,17500.0,18500.0,450.0,425.0,475.0,437.5,462.5
TOA PAYOH,1990-01,3 ROOM,01 TO 03,37500.0,23500.0,55000.0,36600.0,39925.0,572.4941724941725,379.03225806451616,743.2432432432432,546.641791044776,595.4884667571234
TOA PAYOH,1990-01,3 ROOM,04 TO 06,34000.0,18000.0,73200.0,29750.0,40050.0,501.40692640692635,315.7894736842105,989.1891891891892,460.1244343891403,603.8461538461538
TOA PAYOH,1990-01,3 ROOM,07 TO 09,40000.0,23000.0,73000.0,34750.0,60875.0,596.1538461538462,325.0,986.4864864864865,491.9972505891595,842.5155925155925
TOA PAYOH,1990-01,3 ROOM,10 TO 12,38500.0,23500.0,40200.0,35000.0,40000.0,574.6268656716418,412.280701754386,670.0,533.0316742081448,601.6073478760046
TOA PAYOH,1990-01,3 ROOM,13 TO 15,40000.0,40000.0,40000.0,40000.0,40000.0,611.577964519141,588.2352941176471,634.9206349206349,599.906629318394,623.249299719888
TOA PAYOH,1990-01,3 ROOM,16 TO 18,40000.0,40000.0,40000.0,40000.0,40000.0,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471,588.2352941176471
TOA PAYOH,1990-01,4 ROOM,01 TO 03,113000.0,113000.0,113000.0,113000.0,113000.0,1097.0873786407767,1097.0873786407767,1097.0873786407767,1097.0873786407767,1097.0873786407767
TOA PAYOH,1990-01,4 ROOM,04 TO 06,80000.0,80000.0,80000.0,80000.0,80000.0,833.3333333333334,833.3333333333334,833.3333333333334,833.3333333333334,833.3333333333334
TOA PAYOH,1990-01,4 ROOM,07 TO 09,123000.0,118000.0,128000.0,120500.0,125500.0,1177.9629968858765,1113.2075471698113,1242.7184466019417,1145.585272027844,1210.340721743909
TOA PAYOH,1990-01,4 ROOM,10 TO 12,62700.0,60000.0,78000.0,61350.0,70350.0,764.6341463414634,740.7407407407408,896.551724137931,752.6874435411021,830.5929352396972
TOA PAYOH,1990-01,4 ROOM,13 TO 15,60000.0,60000.0,60000.0,60000.0,60000.0,740.7407407407408,740.7407407407408,740.7407407407408,740.7407407407408,740.7407407407408
TOA PAYOH,1990-01,4 ROOM,19 TO 21,84000.0,84000.0,84000.0,84000.0,84000.0,1000.0,1000.0,1000.0,1000.0,1000.0
TOA PAYOH,1990-01,5 ROOM,07 TO 09,168000.0,168000.0,168000.0,168000.0,168000.0,1272.7272727272727,1272.7272727272727,1272.7272727272727,1272.7272727272727,1272.7272727272727
TOA PAYOH,1990-01,5 ROOM,10 TO 12,128000.0,128000.0,128000.0,128000.0,128000.0,1094.017094017094,1094.017094017094,1094.017094017094,1094.017094017094,1094.017094017094
TOA PAYOH,1990-01,5 ROOM,13 TO 15,172000.0,172000.0,172000.0,172000.0,172000.0,1102.5641025641025,1102.5641025641025,1102.5641025641025,1102.5641025641025,1102.5641025641025
TOA PAYOH,1990-01,5 ROOM,22 TO 24,134500.0,134500.0,134500.0,134500.0,134500.0,1149.5726495726497,1149.5726495726497,1149.5726495726497,1149.5726495726497,1149.5726495726497
TOA PAYOH,1990-02,2 ROOM,01 TO 03,18200.0,18200.0,18200.0,18200.0,18200.0,478.94736842105266,478.94736842105266,478.94736842105266,478.94736842105266,478.94736842105266
TOA PAYOH,1990-02,2 ROOM,04 TO 06,17000.0,17000.0,17000.0,17000.0,17000.0,425.0,425.0,425.0,425.0,425.0
TOA PAYOH,1990-02,2 ROOM,07 TO 09,19000.0,19000.0,19000.0,19000.0,19000.0,380.0,380.0,380.0,380.0,380.0
TOA PAYOH,1990-02,3 ROOM,01 TO 03,53000.0,23400.0,60000.0,32800.0,55500.0,722.8915662650602,377.4193548387097,865.6716417910447,489.5522388059701,791.044776119403
TOA PAYOH,1990-02,3 ROOM,04 TO 06,40100.0,23400.0,73800.0,32750.0,66625.0,607.5757575757575,365.625,997.2972972972973,506.6464552238806,900.3378378378379
TOA PAYOH,1990-02,3 ROOM,07 TO 09,40000.0,28600.0,78000.0,36000.0,40000.0,597.0149253731344,433.3333333333333,1054.054054054054,566.6666666666666,606.060606060606
TOA PAYOH,1990-02,3 ROOM,10 TO 12,32250.0,24000.0,73200.0,29250.0,40150.0,492.6573426573426,387.0967741935484,989.1891891891892,431.7932396839333,597.0588235294117
TOA PAYOH,1990-02,3 ROOM,13 TO 15,71500.0,70000.0,73000.0,70750.0,72250.0,966.2162162162163,945.9459459459459,986.4864864864865,956.081081081081,976.3513513513514
TOA PAYOH,1990-02,3 ROOM,19 TO 21,38000.0,36000.0,40000.0,37000.0,39000.0,544.1176470588235,500.0,588.2352941176471,522.0588235294117,566.1764705882354
TOA PAYOH,1990-02,4 ROOM,01 TO 03,76500.0,76500.0,76500.0,76500.0,76500.0,879.3103448275862,879.3103448275862,879.3103448275862,879.3103448275862,879.3103448275862
TOA PAYOH,1990-02,4 ROOM,04 TO 06,74500.0,66000.0,112700.0,70250.0,93600.0,856.3218390804598,804.8780487804878,1063.2075471698113,830.5999439304737,959.7646931251355
TOA PAYOH,1990-02,4 ROOM,07 TO 09,79000.0,78000.0,80000.0,78500.0,79500.0,878.3833889506859,860.2150537634409,896.551724137931,869.2992213570634,887.4675565443085
TOA PAYOH,1990-02,4 ROOM,10 TO 12,65000.0,46000.0,66000.0,55500.0,65500.0,792.6829268292682,560.9756097560976,804.8780487804878,676.8292682926829,798.780487804878
TOA PAYOH,1990-02,4 ROOM,13 TO 15,128000.0,128000.0,128000.0,128000.0,128000.0,1242.7184466019417,1242.7184466019417,1242.7184466019417,1242.7184466019417,1242.7184466019417
TOA PAYOH,1990-02,4 ROOM,19 TO 21,74350.0,65000.0,83700.0,69675.0,79025.0,894.5557491289198,792.6829268292682,996.4285714285714,843.6193379790941,945.4921602787456
TOA PAYOH,1990-02,5 ROOM,04 TO 06,128100.0,99200.0,157000.0,113650.0,142550.0,1062.9158980665438,806.5040650406504,1319.327731092437,934.7099815535971,1191.1218145794903
TOA PAYOH,1990-02,5 ROOM,10 TO 12,110000.0,110000.0,110000.0,110000.0,110000.0,964.9122807017544,964.9122807017544,964.9122807017544,964.9122807017544,964.9122807017544
TOA PAYOH,1990-02,5 ROOM,13 TO 15,110000.0,110000.0,110000.0,110000.0,110000.0,940.1709401709402,940.1709401709402,940.1709401709402,940.1709401709402,940.1709401709402
TOA PAYOH,1990-02,5 ROOM,25 TO 27,128000.0,128000.0,128000.0,128000.0,128000.0,1094.017094017094,1094.017094017094,1094.017094017094,1094.017094017094,1094.017094017094
TOA PAYOH,1990-02,EXECUTIVE,01 TO 03,218000.0,218000.0,218000.0,218000.0,218000.0,1354.0372670807453,1354.0372670807453,1354.0372670807453,1354.0372670807453,1354.0372670807453
TOA PAYOH,1990-03,2 ROOM,04 TO 06,14750.0,13500.0,16000.0,14125.0,15375.0,328.75,320.0,337.5,324.375,333.125
TOA PAYOH,1990-03,3 ROOM,01 TO 03,38000.0,31500.0,40000.0,34750.0,39000.0,567.1641791044776,470.14925373134326,666.6666666666666,518.6567164179105,616.9154228855721
TOA PAYOH,1990-03,3 ROOM,04 TO 06,39000.0,27000.0,87000.0,34050.0,44350.0,595.1176321780927,442.62295081967216,989.1891891891892,507.23981900452486,669.2333785617368
TOA PAYOH,1990-03,3 ROOM,07 TO 09,40000.0,22800.0,46000.0,34725.0,40000.0,597.0149253731344,361.9047619047619,618.4615384615385,537.5,606.060606060606
TOA PAYOH,1990-03,3 ROOM,10 TO 12,37000.0,29000.0,63000.0,33000.0,40000.0,560.6060606060606,439.3939393939394,851.3513513513514,495.81447963800906,636.3636363636363
TOA PAYOH,1990-03,3 ROOM,13 TO 15,40000.0,32000.0,44000.0,38000.0,40200.0,591.1764705882352,410.2564102564103,612.9032258064516,564.1025641025641,597.0149253731344
TOA PAYOH,1990-03,4 ROOM,01 TO 03,92000.0,66000.0,118000.0,79000.0,105000.0,946.6180371352784,758.6206896551724,1134.6153846153845,852.6193633952255,1040.6167108753316
TOA PAYOH,1990-03,4 ROOM,04 TO 06,74500.0,63000.0,113000.0,70000.0,100000.0,897.4358974358975,768.2926829268292,1097.0873786407767,886.9047619047619,943.3962264150944
TOA PAYOH,1990-03,4 ROOM,07 TO 09,65000.0,65000.0,65000.0,65000.0,65000.0,792.6829268292682,792.6829268292682,792.6829268292682,792.6829268292682,792.6829268292682
TOA PAYOH,1990-03,4 ROOM,10 TO 12,65600.0,64000.0,80000.0,64800.0,72800.0,780.4878048780488,754.0229885057471,975.609756097561,767.2553966918979,878.0487804878048
TOA PAYOH,1990-03,4 ROOM,19 TO 21,46900.0,46900.0,46900.0,46900.0,46900.0,571.9512195121952,571.9512195121952,571.9512195121952,571.9512195121952,571.9512195121952
TOA PAYOH,1990-03,5 ROOM,10 TO 12,180000.0,130000.0,230000.0,155000.0,205000.0,1341.987519133404,1140.3508771929824,1543.6241610738255,1241.1691981631932,1442.8058401036146
TOA PAYOH,1990-03,5 ROOM,16 TO 18,162000.0,162000.0,162000.0,162000.0,162000.0,1227.2727272727273,1227.2727272727273,1227.2727272727273,1227.2727272727273,1227.2727272727273
TOA PAYOH,1990-03,5 ROOM,22 TO 24,118000.0,110000.0,126000.0,114000.0,122000.0,1008.5470085470085,940.1709401709402,1076.923076923077,974.3589743589744,1042.7350427350427
TOA PAYOH,1990-04,2 ROOM,01 TO 03,19100.0,19100.0,19100.0,19100.0,19100.0,502.63157894736844,502.63157894736844,502.63157894736844,502.63157894736844,502.63157894736844
TOA PAYOH,1990-04,3 ROOM,01 TO 03,38000.0,23000.0,40200.0,36750.0,39625.0,562.9389815627744,383.3333333333333,618.4615384615385,542.4989025460931,596.0895721925133
TOA PAYOH,1990-04,3 ROOM,04 TO 06,40000.0,27500.0,55000.0,36250.0,40200.0,600.0,436.5079365079365,820.8955223880597,541.044776119403,606.060606060606
TOA PAYOH,1990-04,3 ROOM,07 TO 09,38000.0,21000.0,42000.0,35500.0,40000.0,574.6268656716418,362.0689655172414,677.4193548387096,552.8128587830081,598.5074626865671
