town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-02,EXECUTIVE,218000.0,218000.0,218000.0,218000.0,218000.0,1354.0372670807453,1354.0372670807453,1354.0372670807453,1354.0372670807453,1354.0372670807453
TOA PAYOH,1990-05,EXECUTIVE,228000.0,228000.0,228000.0,228000.0,228000.0,1530.2013422818793,1530.2013422818793,1530.2013422818793,1530.2013422818793,1530.2013422818793
TOA PAYOH,1990-06,EXECUTIVE,226000.0,226000.0,226000.0,226000.0,226000.0,1496.6887417218543,1496.6887417218543,1496.6887417218543,1496.6887417218543,1496.6887417218543
TOA PAYOH,1990-07,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1309.0370614125293,1267.0807453416148,1350.9933774834437,1288.058903377072,1330.0152194479865
TOA PAYOH,1990-08,EXECUTIVE,202000.0,202000.0,202000.0,202000.0,202000.0,1337.7483443708609,1337.7483443708609,1337.7483443708609,1337.7483443708609,1337.7483443708609
TOA PAYOH,1990-10,EXECUTIVE,203000.0,203000.0,203000.0,203000.0,203000.0,1222.8915662650602,1222.8915662650602,1222.8915662650602,1222.8915662650602,1222.8915662650602
TOA PAYOH,1991-03,EXECUTIVE,203000.0,203000.0,203000.0,203000.0,203000.0,1390.4109589041095,1390.4109589041095,1390.4109589041095,1390.4109589041095,1390.4109589041095
TOA PAYOH,1991-07,EXECUTIVE,230000.0,200000.0,234000.0,215000.0,232000.0,1428.5714285714287,1369.86301369863,1453.416149068323,1399.2172211350294,1440.9937888198758
TOA PAYOH,1991-08,EXECUTIVE,205000.0,203000.0,258800.0,204000.0,231900.0,1404.109589041096,1260.8695652173913,1772.6027397260275,1332.4895771292436,1588.3561643835617
TOA PAYOH,1991-10,EXECUTIVE,212000.0,204000.0,220000.0,208000.0,216000.0,1427.1069581783545,1397.2602739726028,1456.953642384106,1412.1836160754785,1442.0303002812302
TOA PAYOH,1991-11,EXECUTIVE,204000.0,204000.0,218000.0,204000.0,211000.0,1267.0807453416148,1267.0807453416148,1493.150684931507,1267.0807453416148,1380.115715136561
TOA PAYOH,1991-12,EXECUTIVE,224500.0,204000.0,245000.0,214250.0,234750.0,1444.7986508165027,1267.0807453416148,1622.5165562913908,1355.9396980790589,1533.6576035539467
TOA PAYOH,1992-01,EXECUTIVE,204000.0,204000.0,204000.0,204000.0,204000.0,1397.2602739726028,1397.2602739726028,1397.2602739726028,1397.2602739726028,1397.2602739726028
TOA PAYOH,1992-02,EXECUTIVE,237000.0,237000.0,237000.0,237000.0,237000.0,1569.5364238410596,1569.5364238410596,1569.5364238410596,1569.5364238410596,1569.5364238410596
TOA PAYOH,1992-03,EXECUTIVE,251000.0,230000.0,272000.0,240500.0,261500.0,1719.178082191781,1575.3424657534247,1863.013698630137,1647.2602739726028,1791.0958904109589
TOA PAYOH,1992-04,EXECUTIVE,240000.0,190000.0,280000.0,215000.0,260000.0,1643.835616438356,1301.3698630136987,1917.8082191780823,1472.6027397260273,1780.821917808219
TOA PAYOH,1992-05,EXECUTIVE,240000.0,204000.0,270000.0,222000.0,255000.0,1643.835616438356,1228.9156626506024,1677.0186335403728,1436.3756395444793,1660.4271249893645
TOA PAYOH,1992-06,EXECUTIVE,252000.0,252000.0,252000.0,252000.0,252000.0,1726.027397260274,1726.027397260274,1726.027397260274,1726.027397260274,1726.027397260274
TOA PAYOH,1992-07,EXECUTIVE,247500.0,245000.0,250000.0,246250.0,248750.0,1656.0345599426985,1633.986928104575,1678.0821917808219,1645.0107440236368,1667.0583758617602
TOA PAYOH,1992-08,EXECUTIVE,209500.0,204000.0,215000.0,206750.0,212250.0,1420.8651282522756,1369.1275167785234,1472.6027397260275,1394.9963225153995,1446.7339339891514
TOA PAYOH,1992-09,EXECUTIVE,278500.0,259000.0,298000.0,268750.0,288250.0,1824.895771292436,1608.695652173913,2041.0958904109589,1716.7957117331744,1932.9958308516975
TOA PAYOH,1992-12,EXECUTIVE,310000.0,245000.0,323000.0,277500.0,316500.0,2123.2876712328766,1678.0821917808219,2212.328767123288,1900.6849315068494,2167.8082191780823
TOA PAYOH,1993-01,EXECUTIVE,265000.0,220000.0,310000.0,242500.0,287500.0,1724.294438026077,1325.301204819277,2123.2876712328766,1524.7978214226769,1923.7910546294768
TOA PAYOH,1993-02,EXECUTIVE,225250.0,220000.0,230500.0,222625.0,227875.0,1517.8603828358887,1456.953642384106,1578.7671232876712,1487.4070126099973,1548.3137530617798
TOA PAYOH,1993-03,EXECUTIVE,224000.0,204000.0,230000.0,214000.0,227000.0,1483.4437086092714,1267.0807453416148,1483.8709677419354,1375.2622269754431,1483.6573381756034
TOA PAYOH,1993-05,EXECUTIVE,274000.0,274000.0,274000.0,274000.0,274000.0,1814.569536423841,1814.569536423841,1814.569536423841,1814.569536423841,1814.569536423841
TOA PAYOH,1993-06,EXECUTIVE,320500.0,290000.0,351000.0,305250.0,335750.0,2167.0319134365154,1946.3087248322147,2387.7551020408164,2056.670319134365,2277.393507738666
TOA PAYOH,1993-07,EXECUTIVE,330000.0,300000.0,375000.0,330000.0,350000.0,2260.27397260274,2054.794520547945,2568.4931506849316,2258.064516129032,2260.27397260274
TOA PAYOH,1993-08,EXECUTIVE,331500.0,282000.0,360000.0,318000.0,339750.0,2133.1490344941412,1855.2631578947369,2517.4825174825173,1968.3338617628408,2324.576108822684
TOA PAYOH,1993-09,EXECUTIVE,373000.0,373000.0,373000.0,373000.0,373000.0,2316.7701863354037,2316.7701863354037,2316.7701863354037,2316.7701863354037,2316.7701863354037
TOA PAYOH,1993-10,EXECUTIVE,380000.0,355000.0,385000.0,367500.0,382500.0,2602.7397260273974,2431.5068493150684,2636.986301369863,2517.123287671233,2619.8630136986303
TOA PAYOH,1993-11,EXECUTIVE,360000.0,340000.0,370000.0,340000.0,360000.0,2328.7671232876714,2168.6746987951806,2534.246575342466,2222.222222222222,2416.1073825503354
TOA PAYOH,1993-12,EXECUTIVE,350000.0,250000.0,402000.0,340000.0,390000.0,2397.2602739726026,1712.3287671232877,2830.9859154929577,2251.655629139073,2671.2328767123286
TOA PAYOH,1994-01,EXECUTIVE,353000.0,345000.0,395000.0,350000.0,375000.0,2417.8082191780823,2363.013698630137,2568.4931506849316,2397.2602739726026,2453.416149068323
TOA PAYOH,1994-02,EXECUTIVE,342500.0,335000.0,435000.0,335000.0,371250.0,2276.2925320371187,2080.745341614907,2979.4520547945203,2213.734722500501,2465.753424657534
TOA PAYOH,1994-03,EXECUTIVE,372500.0,335000.0,421000.0,355000.0,417000.0,2483.3333333333335,2294.5205479452056,2856.1643835616437,2431.5068493150684,2751.6339869281046
TOA PAYOH,1994-04,EXECUTIVE,367500.0,365000.0,398000.0,365000.0,377000.0,2517.123287671233,2500.0,2726.027397260274,2500.0,2582.1917808219177
TOA PAYOH,1994-05,EXECUTIVE,415000.0,358000.0,420000.0,386500.0,417500.0,2842.4657534246576,2452.054794520548,2876.7123287671234,2647.2602739726026,2859.5890410958905
TOA PAYOH,1994-06,EXECUTIVE,376500.0,360000.0,430000.0,369750.0,392500.0,2519.2273256334497,2465.753424657534,2945.205479452055,2479.1834542035995,2652.3972602739723
TOA PAYOH,1994-07,EXECUTIVE,404500.0,399000.0,410000.0,401750.0,407250.0,2779.9716580066133,2751.7241379310344,2808.219178082192,2765.847897968824,2794.0954180444023
TOA PAYOH,1994-08,EXECUTIVE,396500.0,350000.0,443000.0,373250.0,419750.0,2676.0636850222263,2317.880794701987,3034.246575342466,2496.9722398621066,2855.155130182346
TOA PAYOH,1994-09,EXECUTIVE,377500.0,350000.0,405000.0,353750.0,401250.0,2577.9404818138873,2204.968944099379,2773.972602739726,2349.1874415042967,2762.458667926311
TOA PAYOH,1994-10,EXECUTIVE,407250.0,380000.0,468000.0,381500.0,441375.0,2644.537564877053,2529.801324503311,3205.4794520547944,2584.5051256463757,2816.1214158087296
TOA PAYOH,1994-11,EXECUTIVE,451500.0,375000.0,485000.0,423750.0,468500.0,3091.816635329931,2568.4931506849316,3171.2328767123286,2902.3972602739723,3170.2591995702387
