town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,40000.0,17000.0,172000.0,34500.0,59750.0,590.9090909090909,315.7894736842105,1272.7272727272727,497.15239591516104,741.991991991992
TOA PAYOH,1990-02,40200.0,17000.0,218000.0,34250.0,73100.0,609.0909090909091,365.625,1354.0372670807453,530.0904977375565,875.4659832246039
TOA PAYOH,1990-03,40000.0,13500.0,230000.0,35000.0,64000.0,606.060606060606,320.0,1543.6241610738255,541.6666666666666,780.4878048780488
TOA PAYOH,1990-04,40000.0,19100.0,138000.0,35000.0,40200.0,600.0,362.0689655172414,1179.4871794871794,536.7647058823529,655.7377049180328
TOA PAYOH,1990-05,40000.0,15000.0,228000.0,36750.0,73000.0,615.3846153846154,311.1111111111111,1530.2013422818793,541.8414918414919,887.6421944332392
TOA PAYOH,1990-06,40000.0,20000.0,226000.0,36500.0,64000.0,597.0149253731344,317.46031746031747,1496.6887417218543,538.4615384615385,735.6321839080459
TOA PAYOH,1990-07,40000.0,19000.0,204000.0,34000.0,68000.0,606.060606060606,306.4516129032258,1350.9933774834437,507.6923076923077,794.5205479452055
TOA PAYOH,1990-08,40000.0,17500.0,202000.0,36300.0,59000.0,609.0909090909091,261.1940298507463,1492.5925925925926,529.4117647058823,792.6829268292682
TOA PAYOH,1990-09,40000.0,14000.0,170000.0,37000.0,64000.0,600.0,280.0,1428.5714285714287,545.5797933409874,747.1264367816092
TOA PAYOH,1990-10,40000.0,23000.0,203000.0,40000.0,65000.0,618.4615384615385,370.96774193548384,1222.8915662650602,595.5553116769096,817.3154497781363
TOA PAYOH,1990-11,40000.0,18000.0,172000.0,35000.0,59000.0,606.060606060606,281.25,1213.5922330097087,536.7647058823529,805.9701492537314
TOA PAYOH,1990-12,40000.0,18000.0,172500.0,39100.0,59800.0,606.060606060606,322.5806451612903,1357.7235772357724,562.802868773018,772.7782450238295
TOA PAYOH,1991-01,40000.0,19000.0,130000.0,40000.0,56750.0,615.3846153846154,312.5,1111.111111111111,597.0149253731344,747.1264367816092
TOA PAYOH,1991-02,40000.0,14000.0,151000.0,34500.0,46225.0,605.6618819776714,350.0,1227.6422764227643,526.9804822043628,688.1575727917789
TOA PAYOH,1991-03,40000.0,20000.0,203000.0,38500.0,59800.0,606.060606060606,350.87719298245617,1390.4109589041095,588.2352941176471,792.6829268292682
TOA PAYOH,1991-04,40000.0,23000.0,158000.0,35750.0,65250.0,615.3846153846154,377.04918032786884,1327.7310924369747,539.3947963800905,838.0608267137394
TOA PAYOH,1991-05,40000.0,17000.0,148000.0,36000.0,66000.0,606.060606060606,265.625,1243.6974789915967,553.8461538461538,792.6829268292682
TOA PAYOH,1991-06,45250.0,23000.0,170000.0,39250.0,70000.0,650.0,329.5774647887324,1452.991452991453,588.2352941176471,906.3805970149253
TOA PAYOH,1991-07,40000.0,20000.0,234000.0,37475.0,79125.0,615.3846153846154,344.82758620689657,1453.416149068323,574.7931985294117,931.7205156772243
TOA PAYOH,1991-08,46000.0,19000.0,258800.0,40000.0,70000.0,677.9661016949152,327.8688524590164,1772.6027397260275,588.2352941176471,895.5223880597015
TOA PAYOH,1991-09,40000.0,18000.0,184500.0,32000.0,47000.0,603.8961038961039,295.08196721311475,1537.5,492.3076923076923,671.6417910447761
TOA PAYOH,1991-10,40000.0,16000.0,220000.0,40000.0,60500.0,615.3846153846154,320.0,1487.8048780487804,588.2352941176471,895.5223880597015
TOA PAYOH,1991-11,44000.0,18900.0,218000.0,40000.0,65800.0,676.9230769230769,379.3103448275862,1493.150684931507,597.0149253731344,895.5223880597015
TOA PAYOH,1991-12,40500.0,18900.0,245000.0,40000.0,68500.0,626.8656716417911,317.46031746031747,1666.6666666666667,597.0149253731344,939.4998446722584
TOA PAYOH,1992-01,40000.0,15000.0,210000.0,35750.0,65250.0,615.3846153846154,319.44444444444446,1569.1056910569105,556.1423650975889,868.2204749679076
TOA PAYOH,1992-02,47000.0,16000.0,237000.0,38000.0,73000.0,701.4925373134329,270.96774193548384,1569.5364238410596,560.6060606060606,909.0909090909091
TOA PAYOH,1992-03,44000.0,18000.0,272000.0,40000.0,67000.0,666.6666666666666,450.0,1863.013698630137,597.0149253731344,905.4054054054054
TOA PAYOH,1992-04,40000.0,16000.0,280000.0,40000.0,80500.0,615.3846153846154,286.88524590163934,1917.8082191780823,597.0149253731344,912.3931623931624
TOA PAYOH,1992-05,54000.0,20000.0,270000.0,40000.0,110000.0,800.0,333.3333333333333,1677.0186335403728,597.0149253731344,1072.289156626506
TOA PAYOH,1992-06,42800.0,16000.0,252000.0,38500.0,63000.0,630.4104477611941,317.46031746031747,1726.027397260274,591.99196326062,906.2571756601608
TOA PAYOH,1992-07,43150.0,21400.0,252500.0,40000.0,77000.0,696.3995810421577,403.50877192982455,1912.878787878788,597.0149253731344,1001.7885532591415
TOA PAYOH,1992-08,50000.0,20000.0,240000.0,40000.0,82000.0,719.2881745120551,350.87719298245617,1818.1818181818182,590.8713784021072,1008.9285714285714
TOA PAYOH,1992-09,45850.0,23000.0,298000.0,40000.0,70000.0,673.1343283582089,377.04918032786884,2041.0958904109589,597.0149253731344,1005.2494802494803
TOA PAYOH,1992-10,50000.0,18000.0,245000.0,40000.0,74000.0,708.955223880597,422.22222222222223,2041.6666666666667,597.0149253731344,1013.2773631840796
TOA PAYOH,1992-11,50000.0,19000.0,215000.0,40000.0,68250.0,747.1264367816092,368.42105263157896,1809.5238095238096,597.0149253731344,981.6715542521995
TOA PAYOH,1992-12,59750.0,23000.0,323000.0,40000.0,78600.0,905.3030303030303,377.04918032786884,2212.328767123288,640.1249024199844,1041.044776119403
TOA PAYOH,1993-01,54500.0,15000.0,310000.0,40000.0,72750.0,805.6648308418569,375.0,2123.2876712328766,606.060606060606,1025.4677754677755
TOA PAYOH,1993-02,59750.0,25000.0,230500.0,40000.0,100750.0,828.3582089552239,436.5079365079365,1578.7671232876712,608.3916083916083,1147.6127320954906
TOA PAYOH,1993-03,55000.0,30000.0,250000.0,40000.0,89250.0,817.8551686014373,447.76119402985074,1890.7563025210084,615.3846153846154,1045.7317073170732
TOA PAYOH,1993-04,58500.0,20000.0,253000.0,40760.0,93250.0,821.9982277359327,400.0,2108.3333333333335,649.9266862170088,1196.7699406723796
TOA PAYOH,1993-05,70000.0,30000.0,274000.0,50000.0,90000.0,1052.6315789473683,454.54545454545456,1818.1818181818182,808.8235294117648,1205.8823529411766
TOA PAYOH,1993-06,73000.0,34000.0,351000.0,60000.0,165000.0,1060.6060606060605,539.6825396825396,2387.7551020408164,912.280701754386,1463.4146341463415
TOA PAYOH,1993-07,79000.0,30000.0,375000.0,65000.0,131000.0,1164.1791044776119,476.1904761904762,2568.4931506849316,984.6153846153846,1546.2577962577961
TOA PAYOH,1993-08,81000.0,30000.0,360000.0,66500.0,173500.0,1255.7692307692307,588.2352941176471,2517.4825174825173,1039.9923459624952,1830.904397068621
TOA PAYOH,1993-09,85000.0,30000.0,373000.0,72750.0,159500.0,1283.4224598930482,526.3157894736842,2373.9837398373984,1126.316944688323,1833.3333333333333
TOA PAYOH,1993-10,89000.0,35000.0,385000.0,80000.0,150750.0,1352.2962112514351,546.875,2663.934426229508,1207.5983717774761,1770.6639566395663
TOA PAYOH,1993-11,91500.0,30000.0,370000.0,80000.0,180000.0,1384.6153846153845,483.8709677419355,2827.8688524590166,1212.121212121212,1810.1479426722144
TOA PAYOH,1993-12,100000.0,52000.0,402000.0,83500.0,186500.0,1466.6666666666667,925.3731343283582,2830.9859154929577,1279.4871794871794,1822.3300970873786
TOA PAYOH,1994-01,96000.0,35000.0,395000.0,82000.0,170000.0,1409.8258706467664,597.0149253731344,2908.3333333333335,1272.6934523809523,1894.9747687132044
TOA PAYOH,1994-02,94500.0,35000.0,435000.0,82250.0,175000.0,1439.6396396396397,820.8955223880597,3071.4285714285716,1250.0,1776.61249149081
TOA PAYOH,1994-03,92500.0,40000.0,421000.0,82250.0,179750.0,1388.474295190713,936.5079365079365,3252.032520325203,1268.9528547737505,1920.531787285086
TOA PAYOH,1994-04,100000.0,42000.0,398000.0,87000.0,195500.0,1513.157894736842,933.3333333333334,2797.6190476190477,1333.3333333333333,2045.9770114942528
TOA PAYOH,1994-05,101000.0,70000.0,420000.0,85125.0,175000.0,1513.3398247322298,1029.4117647058824,2876.7123287671234,1294.7540473225404,1966.6182873730043
TOA PAYOH,1994-06,116500.0,45000.0,430000.0,88000.0,187500.0,1658.5760517799354,671.6417910447761,2950.8196721311474,1356.2937062937062,2063.008130081301
TOA PAYOH,1994-07,102000.0,48000.0,410000.0,90000.0,192000.0,1541.289592760181,960.0,2950.8196721311474,1383.2891246684349,1925.3174010455564
TOA PAYOH,1994-08,109500.0,40000.0,443000.0,90000.0,172250.0,1651.6647531572903,1000.0,3034.246575342466,1340.7960199004974,2116.1008569545156
TOA PAYOH,1994-09,120000.0,40000.0,405000.0,93000.0,187000.0,1746.2686567164178,860.0,2991.8032786885246,1447.7611940298507,2211.5384615384614
TOA PAYOH,1994-10,120000.0,66500.0,468000.0,98250.0,222500.0,1813.097713097713,1136.3636363636363,3247.863247863248,1452.8846153846152,2259.6469622331692
TOA PAYOH,1994-11,115000.0,67500.0,485000.0,94000.0,165000.0,1718.75,1111.111111111111,3171.2328767123286,1426.4705882352941,2010.8108108108108
TOA PAYOH,1994-12,115000.0,64000.0,460000.0,96000.0,200000.0,1726.4150943396226,1129.8701298701299,3013.698630136986,1462.686567164179,2119.6581196581196
TOA PAYOH,1995-01,115000.0,33000.0,450000.0,92000.0,200000.0,1662.162162162162,825.0,3520.3252032520327,1415.3846153846155,2014.9253731343283
TOA PAYOH,1995-02,120000.0,61000.0,465000.0,100000.0,210000.0,1769.2307692307693,1238.8059701492537,3184.931506849315,1522.3880597014925,2264.957264957265
TOA PAYOH,1995-03,117500.0,78000.0,450000.0,100000.0,203750.0,1758.2089552238806,1264.7058823529412,3082.1917808219177,1537.6004592422505,2055.197750362845
TOA PAYOH,1995-04,118500.0,65000.0,500000.0,105000.0,195000.0,1790.2592301649647,1410.2564102564102,3731.3432835820895,1617.081447963801,2140.251539505271
TOA PAYOH,1995-05,148250.0,67500.0,450000.0,116250.0,223250.0,2023.4234234234234,1384.6153846153845,3583.3333333333335,1708.5162423178226,2493.9024390243903
TOA PAYOH,1995-06,131000.0,60000.0,520000.0,118000.0,198000.0,1996.923076923077,1238.095238095238,3636.3636363636365,1756.7567567567567,2330.097087378641
TOA PAYOH,1995-07,132000.0,65000.0,545000.0,118000.0,201000.0,1940.2985074626865,1203.7037037037037,3732.876712328767,1780.1377726750861,2228.2822327044023
TOA PAYOH,1995-08,135500.0,76000.0,541500.0,118000.0,248500.0,1992.5373134328358,1590.909090909091,3813.3802816901407,1766.1764705882354,2652.2988505747126
TOA PAYOH,1995-09,138500.0,63000.0,457000.0,120000.0,223750.0,2007.4626865671642,1353.8461538461538,3273.809523809524,1833.955223880597,2517.4718574108815
TOA PAYOH,1995-10,155000.0,68000.0,550000.0,128000.0,255000.0,2279.4117647058824,1360.0,3594.7712418300653,1907.8947368421052,2695.121951219512
TOA PAYOH,1995-11,140000.0,70000.0,545000.0,126000.0,237000.0,2108.108108108108,1636.3636363636363,3786.764705882353,1967.2131147540983,2528.735632183908
TOA PAYOH,1995-12,150000.0,80500.0,455000.0,135000.0,224000.0,2218.75,1611.9402985074628,3376.068376068376,2059.7014925373132,2467.5324675324673
TOA PAYOH,1996-01,150000.0,40000.0,598000.0,130000.0,250000.0,2244.402985074627,606.060606060606,4095.890410958904,1989.8648648648648,2678.274139844617
TOA PAYOH,1996-02,160000.0,76000.0,508000.0,140000.0,258750.0,2386.337543053961,1660.0,4047.6190476190477,2152.097902097902,2838.623350759273
TOA PAYOH,1996-03,164000.0,80000.0,615000.0,150000.0,255000.0,2388.0597014925374,1865.6716417910447,4212.328767123287,2236.842105263158,2864.0776699029125
TOA PAYOH,1996-04,168000.0,62500.0,650000.0,148000.0,290000.0,2430.769230769231,946.969696969697,4452.054794520548,2229.5081967213114,3016.3934426229507
TOA PAYOH,1996-05,180000.0,101000.0,690000.0,159500.0,238000.0,2611.9402985074626,1917.8082191780823,4509.803921568628,2402.9850746268658,2946.56368221942
TOA PAYOH,1996-06,184000.0,88000.0,688000.0,165000.0,273250.0,2766.968325791855,1538.4615384615386,4657.534246575343,2459.9339368730116,3268.2926829268295
TOA PAYOH,1996-07,192000.0,97000.0,615000.0,175000.0,255000.0,2848.7525987525987,1865.3846153846155,4738.0952380952385,2637.284730195178,3350.2824858757062
TOA PAYOH,1996-08,207000.0,105000.0,665000.0,181000.0,330000.0,3029.8507462686566,1910.44776119403,4940.476190476191,2784.6153846153848,3518.5185185185187
TOA PAYOH,1996-09,198000.0,120000.0,668000.0,180000.0,223500.0,2917.7927927927926,1764.7058823529412,5059.523809523809,2725.601604278075,3176.6285516285516
TOA PAYOH,1996-10,197500.0,102000.0,650000.0,183625.0,245000.0,2985.0746268656717,2040.0,4672.131147540984,2774.6842709529274,3250.8400537634407
TOA PAYOH,1996-11,209000.0,80000.0,650000.0,189000.0,283000.0,3059.7014925373132,1702.127659574468,4577.4647887323945,2835.820895522388,3412.6984126984125
TOA PAYOH,1996-12,220000.0,95000.0,650000.0,198000.0,355500.0,3220.0,2140.0,4508.196721311476,2893.9205955334987,3574.3321718931475
TOA PAYOH,1997-01,225000.0,102000.0,635000.0,200000.0,390000.0,3250.0,2040.0,4583.333333333333,3029.8507462686566,3771.9298245614036
TOA PAYOH,1997-02,230000.0,113000.0,580000.0,205625.0,323750.0,3357.2653971521704,2661.5384615384614,4761.9047619047615,3003.787878787879,3723.8552854720183
TOA PAYOH,1997-03,236000.0,130000.0,650000.0,198000.0,330000.0,3215.6862745098038,2388.0597014925374,4713.11475409836,2955.223880597015,3658.5365853658536
TOA PAYOH,1997-04,223900.0,120000.0,625000.0,200500.0,320000.0,3250.0,2411.764705882353,4368.9320388349515,2985.0746268656717,3537.9924953095688
TOA PAYOH,1997-05,215000.0,117000.0,603000.0,200000.0,317000.0,3123.076923076923,2507.6923076923076,5081.9672131147545,2985.0746268656717,3537.313432835821
TOA PAYOH,1997-06,220000.0,103000.0,630000.0,200000.0,325000.0,3150.0,2225.8064516129034,4918.0327868852455,2945.945945945946,3597.560975609756
TOA PAYOH,1997-07,243000.0,165000.0,630000.0,206333.0,415500.0,3328.3582089552237,2403.846153846154,5245.901639344263,2996.3784021071115,3735.4497354497353
TOA PAYOH,1997-08,259750.0,131000.0,530000.0,205000.0,354250.0,3307.043650793651,2222.222222222222,5327.868852459016,2956.268656716418,3678.062678062678
TOA PAYOH,1997-09,241500.0,87000.0,598000.0,190500.0,381750.0,3138.262599469496,2175.0,5213.11475409836,2827.106518282989,3712.131147540984
TOA PAYOH,1997-10,259000.0,125500.0,696000.0,190000.0,405000.0,3142.8571428571427,2415.3846153846152,5087.7192982456145,2791.6666666666665,3688.5245901639346
TOA PAYOH,1997-11,272888.0,154000.0,675000.0,189000.0,362500.0,3137.2549019607845,2426.470588235294,4918.0327868852455,2805.9701492537315,3558.9201197720467
TOA PAYOH,1997-12,195000.0,95000.0,630000.0,175000.0,290000.0,2902.7027027027025,2290.3225806451615,4606.299212598426,2600.337837837838,3296.7284240150093
TOA PAYOH,1998-01,198000.0,153000.0,655000.0,174250.0,377250.0,2863.201663201663,2283.582089552239,4548.611111111111,2547.1850733390856,3375.1252923488137
TOA PAYOH,1998-02,199000.0,105000.0,685000.0,173000.0,340000.0,2815.3846153846152,2201.2987012987014,4756.944444444444,2567.6808266360504,3300.970873786408
TOA PAYOH,1998-03,189000.0,113000.0,660000.0,165000.0,387500.0,2661.5384615384614,2092.5925925925926,4551.724137931034,2419.4934418815014,3314.8882113821137
TOA PAYOH,1998-04,179000.0,120000.0,650000.0,163000.0,309500.0,2573.529411764706,2105.2631578947367,4577.4647887323945,2418.4146833400564,3156.938195595548
TOA PAYOH,1998-05,173250.0,90000.0,640000.0,159000.0,350500.0,2575.192220714609,2194.0298507462685,4413.793103448276,2383.056133056133,3086.301678132836
TOA PAYOH,1998-06,172000.0,95000.0,555000.0,159500.0,280500.0,2538.4615384615386,1960.0,3827.5862068965516,2326.341266639774,2867.5508399646333
TOA PAYOH,1998-07,172800.0,86000.0,628000.0,156000.0,295000.0,2537.313432835821,1720.0,4422.5352112676055,2283.582089552239,2932.6923076923076
TOA PAYOH,1998-08,168000.0,85000.0,623000.0,153000.0,288000.0,2459.4594594594596,1700.0,4296.551724137931,2313.3333333333335,2903.846153846154
TOA PAYOH,1998-09,168000.0,91000.0,620000.0,152500.0,288000.0,2433.3333333333335,1900.0,4275.862068965517,2270.2702702702704,2916.6666666666665
TOA PAYOH,1998-10,161000.0,78000.0,590000.0,147000.0,264000.0,2368.4210526315787,1796.2962962962963,4097.222222222223,2194.0298507462685,2875.8059994393047
TOA PAYOH,1998-11,164000.0,100000.0,610000.0,147000.0,263000.0,2372.8813559322034,1851.851851851852,4236.111111111111,2227.2727272727275,2804.878048780488
TOA PAYOH,1998-12,152550.0,84000.0,610000.0,143250.0,235000.0,2253.731343283582,1680.0,4149.659863945578,2156.4293915040184,2681.9198925934215
TOA PAYOH,1999-01,158000.0,89000.0,556000.0,143000.0,237000.0,2301.5873015873017,1918.918918918919,4032.2580645161293,2152.9850746268658,2734.0201850294366
TOA PAYOH,1999-02,155000.0,110000.0,580000.0,145000.0,243750.0,2307.6923076923076,1780.8219178082193,4000.0,2152.1464646464647,2637.3730610422945
TOA PAYOH,1999-03,161000.0,90000.0,565000.0,144000.0,260000.0,2328.205128205128,1791.044776119403,3869.8630136986303,2149.2537313432836,2743.9024390243903
TOA PAYOH,1999-04,167000.0,78000.0,575000.0,143000.0,295500.0,2363.6363636363635,1560.0,3944.4444444444443,2099.928876244666,2838.4372979961217
TOA PAYOH,1999-05,157500.0,98000.0,577000.0,140000.0,253000.0,2281.5533980582522,1844.7761194029852,4063.3802816901407,2098.3926521239955,2713.385124808966
TOA PAYOH,1999-06,168000.0,90000.0,585000.0,145000.0,267000.0,2388.0597014925374,1694.4444444444443,4072.5806451612902,2169.1176470588234,2839.080459770115
TOA PAYOH,1999-07,173000.0,93000.0,508000.0,148000.0,241500.0,2500.0,1722.2222222222222,4096.774193548387,2202.9138513513512,2966.346153846154
TOA PAYOH,1999-08,177000.0,110000.0,638000.0,146000.0,277850.0,2574.643493761141,1692.3076923076924,4400.0,2214.5687645687644,3015.5617802676625
TOA PAYOH,1999-09,191000.0,110000.0,600000.0,163500.0,263000.0,2686.5671641791046,1940.2985074626865,4148.148148148148,2429.532664546122,3221.766848816029
TOA PAYOH,1999-10,204500.0,95000.0,531000.0,167750.0,306250.0,2741.1819887429647,1900.0,4258.064516129032,2393.8899253731342,3318.08937790061
TOA PAYOH,1999-11,192000.0,95000.0,535000.0,160500.0,255500.0,2661.367249602544,1893.939393939394,4120.967741935484,2450.0,3229.7945205479455
TOA PAYOH,1999-12,200000.0,92000.0,648000.0,171500.0,236000.0,2907.6923076923076,1955.2238805970148,4468.9655172413795,2467.829770068576,3483.6065573770493
