town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,high,40000.0,17000.0,172000.0,38000.0,62700.0,615.3846153846154,412.280701754386,1149.5726495726497,567.1641791044776,764.6341463414634
TOA PAYOH,1990-02,high,46000.0,24000.0,128000.0,35250.0,73100.0,626.8656716417911,387.0967741935484,1242.7184466019417,515.3846153846154,955.4291133238502
TOA PAYOH,1990-03,high,44000.0,29000.0,230000.0,38000.0,80000.0,612.9032258064516,410.2564102564103,1543.6241610738255,564.1025641025641,940.1709401709402
TOA PAYOH,1990-04,high,40000.0,29000.0,130000.0,32000.0,54000.0,606.060606060606,426.47058823529414,1111.111111111111,490.7692307692308,728.579325594251
TOA PAYOH,1990-05,high,40000.0,19600.0,189000.0,34000.0,110000.0,615.3846153846154,311.1111111111111,1321.6783216783217,514.7058823529412,924.3697478991596
TOA PAYOH,1990-06,high,46000.0,28000.0,148000.0,38500.0,65075.0,640.2597402597403,383.56164383561645,1264.957264957265,550.0,743.6095385143249
TOA PAYOH,1990-07,high,40000.0,19000.0,162000.0,36200.0,72000.0,599.9780509218613,306.4516129032258,1227.2727272727273,511.53846153846155,815.399877899878
TOA PAYOH,1990-08,high,44500.0,25000.0,201500.0,40000.0,75000.0,657.8947368421053,347.22222222222223,1492.5925925925926,588.2352941176471,952.3809523809524
TOA PAYOH,1990-09,high,74200.0,15900.0,170000.0,40000.0,106250.0,950.8547008547009,318.0,1428.5714285714287,608.5972850678733,1013.9682952182952
TOA PAYOH,1990-10,high,50000.0,23000.0,90000.0,40000.0,65000.0,704.2253521126761,370.96774193548384,1013.5135135135135,606.060606060606,873.7864077669902
TOA PAYOH,1990-11,high,40000.0,23000.0,172000.0,36500.0,59000.0,597.0149253731344,359.375,1042.4242424242425,548.3870967741935,797.2972972972973
TOA PAYOH,1990-12,high,50000.0,27600.0,172500.0,40000.0,81250.0,731.7073170731708,438.0952380952381,1357.7235772357724,597.0149253731344,967.0441347270616
TOA PAYOH,1991-01,high,49000.0,35000.0,130000.0,40000.0,64250.0,628.2051282051282,514.7058823529412,1111.111111111111,610.7226107226106,803.4317211948792
TOA PAYOH,1991-02,high,41000.0,23000.0,73000.0,27550.0,46050.0,606.1997703788749,370.96774193548384,986.4864864864865,445.61938382541723,662.3134328358209
TOA PAYOH,1991-03,high,42750.0,30000.0,140000.0,40000.0,68750.0,610.7226107226106,441.1764705882353,1250.0,593.4845005740528,882.8176192209684
TOA PAYOH,1991-04,high,40000.0,29000.0,138500.0,35000.0,78750.0,603.030303030303,426.47058823529414,1225.6637168141592,528.3242876526458,879.1275797373359
TOA PAYOH,1991-05,high,42500.0,20000.0,148000.0,35750.0,73020.0,630.8991554893194,350.87719298245617,1243.6974789915967,544.0610859728506,951.7498267498268
TOA PAYOH,1991-06,high,54000.0,30000.0,170000.0,40000.0,73000.0,792.6829268292682,447.76119402985074,1452.991452991453,592.6251097453908,986.4864864864865
TOA PAYOH,1991-07,high,94000.0,36000.0,150000.0,62250.0,134500.0,984.6962346962347,553.8461538461538,1436.893203883495,782.9737335834897,1103.418640183346
TOA PAYOH,1991-08,high,40000.0,19000.0,180000.0,40000.0,60000.0,615.3846153846154,380.0,1512.6050420168067,588.2352941176471,786.5853658536586
TOA PAYOH,1991-09,high,44750.0,30000.0,132000.0,39250.0,62500.0,623.7842617152962,441.1764705882353,1141.8918918918919,568.7554872695347,762.4226428831453
