town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,low,34000.0,18000.0,80000.0,29250.0,40150.0,501.40692640692635,315.7894736842105,989.1891891891892,463.8009049773756,611.5384615384615
TOA PAYOH,1990-02,low,65250.0,17000.0,157000.0,35500.0,74325.0,805.6910569105692,365.625,1319.327731092437,549.9526515151515,957.7702702702702
TOA PAYOH,1990-03,low,40000.0,13500.0,113000.0,33700.0,66500.0,606.060606060606,320.0,1097.0873786407767,506.7873303167421,857.6314854299928
TOA PAYOH,1990-04,low,40100.0,27500.0,138000.0,40000.0,51300.0,606.060606060606,436.5079365079365,1179.4871794871794,597.0149253731344,770.2870264064294
TOA PAYOH,1990-05,low,40000.0,15000.0,135000.0,34875.0,47875.0,637.6357560568088,328.125,1153.8461538461538,505.64312736443884,713.451867816092
TOA PAYOH,1990-06,low,39000.0,30000.0,74000.0,37250.0,40150.0,590.8151549942595,454.54545454545456,850.5747126436781,555.9701492537313,611.5384615384615
TOA PAYOH,1990-07,low,40000.0,20000.0,131000.0,30250.0,72500.0,610.7226107226106,312.5,1119.6581196581196,455.4001928640308,811.7816091954023
TOA PAYOH,1990-08,low,40000.0,17500.0,72000.0,34000.0,40500.0,606.060606060606,261.1940298507463,878.0487804878048,511.19402985074623,618.2548794489093
TOA PAYOH,1990-09,low,40000.0,23000.0,88000.0,40000.0,50000.0,615.3846153846154,377.04918032786884,977.7777777777778,597.0149253731344,657.8947368421053
TOA PAYOH,1990-10,low,43100.0,23400.0,107000.0,40000.0,67750.0,698.3580508474577,402.5974025974026,1038.8349514563106,613.053613053613,985.4275917708753
TOA PAYOH,1990-11,low,42000.0,25500.0,125000.0,32500.0,81500.0,615.3846153846154,411.2903225806452,1213.5922330097087,492.8817451205511,960.4448198198198
TOA PAYOH,1990-12,low,43750.0,35000.0,88000.0,40000.0,50750.0,665.2532790592493,530.3030303030303,1086.4197530864199,610.7921928817451,750.7183908045977
TOA PAYOH,1991-01,low,40000.0,19000.0,108000.0,40000.0,59000.0,606.060606060606,387.0967741935484,1012.3456790123457,588.2352941176471,792.6829268292682
TOA PAYOH,1991-02,low,38500.0,27000.0,46000.0,30500.0,40000.0,601.1390416339357,447.76119402985074,737.7049180327868,479.04228855721396,613.053613053613
TOA PAYOH,1991-03,low,45500.0,38500.0,203000.0,40000.0,46800.0,689.3939393939394,592.3076923076923,1390.4109589041095,628.7878787878788,698.5074626865671
TOA PAYOH,1991-04,low,37500.0,23000.0,158000.0,35000.0,70000.0,568.1818181818181,377.04918032786884,1327.7310924369747,522.3880597014926,880.5970149253732
TOA PAYOH,1991-05,low,30500.0,17000.0,43000.0,23250.0,39250.0,495.1417004048583,265.625,641.7910447761194,383.4889643463497,603.8461538461538
TOA PAYOH,1991-06,low,46000.0,35000.0,112000.0,40000.0,85000.0,696.969696969697,538.4615384615385,1089.7435897435898,588.2352941176471,910.0
TOA PAYOH,1991-07,low,40000.0,20000.0,200000.0,35000.0,47375.0,606.060606060606,344.82758620689657,1369.86301369863,536.4219114219114,628.2051282051282
TOA PAYOH,1991-08,low,60000.0,30500.0,205000.0,40000.0,92000.0,810.8108108108108,476.5625,1404.109589041096,609.0909090909091,989.247311827957
TOA PAYOH,1991-09,low,35000.0,20000.0,184500.0,32000.0,44500.0,538.4615384615385,350.87719298245617,1537.5,470.5882352941176,666.6666666666666
TOA PAYOH,1991-10,low,40200.0,23200.0,110000.0,40000.0,60000.0,615.3846153846154,374.19354838709677,1166.6666666666667,588.2352941176471,837.8378378378378
TOA PAYOH,1991-11,low,40000.0,18900.0,78000.0,38500.0,58750.0,615.3846153846154,379.3103448275862,928.5714285714286,587.7152698048221,740.3592617007251
TOA PAYOH,1991-12,low,40250.0,34000.0,128000.0,40000.0,45750.0,615.3846153846154,523.0769230769231,1094.017094017094,599.2763455450023,709.5295055821372
TOA PAYOH,1992-01,low,40000.0,28700.0,90000.0,39250.0,44750.0,615.3846153846154,428.35820895522386,986.4864864864865,597.0149253731344,678.5591274397244
TOA PAYOH,1992-02,low,52000.0,23000.0,112000.0,45750.0,70750.0,781.7729534147445,370.96774193548384,1087.378640776699,685.2103120759838,956.081081081081
TOA PAYOH,1992-03,low,44500.0,18000.0,272000.0,40000.0,82000.0,682.7309236947791,450.0,1863.013698630137,615.3846153846154,926.1786600496278
TOA PAYOH,1992-04,low,92000.0,17500.0,280000.0,40000.0,150000.0,884.6153846153846,286.88524590163934,1917.8082191780823,588.2352941176471,1456.3106796116506
TOA PAYOH,1992-05,low,37500.0,20000.0,134000.0,31750.0,47750.0,567.7382319173364,333.3333333333333,1300.9708737864078,484.5579793340987,723.4848484848485
TOA PAYOH,1992-06,low,40000.0,18000.0,252000.0,32500.0,72250.0,601.7316017316017,412.280701754386,1726.027397260274,537.1847658260423,976.3513513513514
TOA PAYOH,1992-07,low,40000.0,28000.0,245000.0,40000.0,57875.0,606.060606060606,447.76119402985074,1678.0821917808219,588.2352941176471,803.7486938349007
