town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,mid,40200.0,23000.0,168000.0,37000.0,73000.0,606.060606060606,325.0,1272.7272727272727,507.46268656716416,986.4864864864865
TOA PAYOH,1990-02,mid,40000.0,19000.0,80000.0,35500.0,41025.0,598.5074626865671,380.0,1054.054054054054,557.3529411764705,643.7138379942141
TOA PAYOH,1990-03,mid,40000.0,22800.0,65000.0,34962.5,40050.0,597.0149253731344,361.9047619047619,792.6829268292682,539.5833333333333,608.3916083916083
TOA PAYOH,1990-04,mid,38500.0,21000.0,95000.0,36000.0,40200.0,590.1639344262295,362.0689655172414,989.5833333333334,567.1641791044776,655.7377049180328
TOA PAYOH,1990-05,mid,40000.0,23000.0,125000.0,38750.0,73000.0,615.3846153846154,377.04918032786884,1096.4912280701753,580.5065581184983,808.498475609756
TOA PAYOH,1990-06,mid,38000.0,20000.0,110000.0,34750.0,42000.0,564.179104477612,317.46031746031747,1018.2926829268292,519.7368421052631,616.8023518769787
TOA PAYOH,1990-07,mid,38250.0,23000.0,83000.0,30250.0,41175.0,574.6268656716418,370.96774193548384,954.0229885057471,476.461038961039,644.2307692307693
TOA PAYOH,1990-08,mid,37000.0,24000.0,70000.0,33500.0,43500.0,569.2307692307693,393.44262295081967,853.6585365853658,505.2036199095023,658.4385763490241
TOA PAYOH,1990-09,mid,39500.0,14000.0,40200.0,31250.0,40000.0,589.5522388059701,280.0,606.060606060606,468.39665309814563,597.0149253731344
TOA PAYOH,1990-10,mid,40000.0,29000.0,115000.0,40000.0,40000.0,615.3846153846154,432.8358208955224,1105.7692307692307,592.4355495251018,653.8461538461538
TOA PAYOH,1990-11,mid,35000.0,18900.0,46500.0,33000.0,40000.0,538.4615384615385,461.53846153846155,686.5671641791045,507.6923076923077,606.060606060606
TOA PAYOH,1990-12,mid,40000.0,18000.0,150000.0,29375.0,40000.0,597.0149253731344,322.5806451612903,1136.3636363636363,448.9974937343359,606.060606060606
TOA PAYOH,1991-01,mid,40000.0,20000.0,128000.0,40000.0,44250.0,610.7226107226106,312.5,1094.017094017094,591.1377708978328,640.3695806680881
TOA PAYOH,1991-02,mid,40000.0,14000.0,115000.0,38750.0,48750.0,601.5377657168701,350.0,1116.504854368932,582.3765786452354,696.0390355912745
TOA PAYOH,1991-03,mid,40000.0,20000.0,65000.0,25000.0,40000.0,592.6251097453908,350.87719298245617,792.6829268292682,438.5964912280702,643.3184302036761
TOA PAYOH,1991-04,mid,40000.0,34000.0,115000.0,38000.0,46000.0,638.4615384615385,522.3880597014926,1236.5591397849462,584.6153846153846,754.0983606557377
TOA PAYOH,1991-05,mid,40000.0,39000.0,83000.0,40000.0,55000.0,606.060606060606,597.0149253731344,808.8235294117648,597.0149253731344,758.6206896551724
TOA PAYOH,1991-06,mid,42750.0,34000.0,115000.0,40000.0,57000.0,650.0,523.0769230769231,1369.047619047619,603.7991858887381,817.0633319887052
TOA PAYOH,1991-07,mid,40000.0,28000.0,97000.0,33000.0,55000.0,647.0588235294117,447.76119402985074,1045.9770114942528,523.0769230769231,712.1212121212121
TOA PAYOH,1991-08,mid,40000.0,20000.0,258800.0,36500.0,47500.0,609.0909090909091,327.8688524590164,1772.6027397260275,502.67891312667433,740.0645802285146
TOA PAYOH,1991-09,mid,38250.0,20000.0,45000.0,31250.0,42750.0,583.9160839160838,350.87719298245617,671.6417910447761,469.74741676234214,652.5258323765787
TOA PAYOH,1991-10,mid,40000.0,23000.0,112000.0,40000.0,43500.0,611.9402985074627,377.04918032786884,1056.6037735849056,597.0149253731344,675.2450980392157
TOA PAYOH,1991-11,mid,40000.0,26000.0,218000.0,40000.0,52250.0,615.3846153846154,456.140350877193,1493.150684931507,601.6042780748662,749.4252873563219
TOA PAYOH,1991-12,mid,40000.0,21500.0,66500.0,26000.0,40200.0,597.0149253731344,381.9672131147541,810.9756097560976,456.140350877193,659.016393442623
TOA PAYOH,1992-01,mid,40000.0,15000.0,204000.0,32000.0,90000.0,606.060606060606,375.0,1397.2602739726028,477.6119402985075,1033.9449541284403
TOA PAYOH,1992-02,mid,41000.0,17000.0,90000.0,30000.0,57250.0,611.8538324420676,425.0,1148.6486486486488,496.7405475880052,755.7223264540338
TOA PAYOH,1992-03,mid,40000.0,32000.0,180000.0,40000.0,65000.0,630.8991554893194,522.3880597014926,1444.4444444444443,599.2763455450023,899.2033077853973
TOA PAYOH,1992-04,mid,40000.0,16000.0,190000.0,37500.0,41800.0,601.1390416339357,400.0,1301.3698630136987,579.3401413982718,609.9300699300699
TOA PAYOH,1992-05,mid,40040.0,30000.0,205000.0,33000.0,87500.0,597.6119402985074,447.76119402985074,1593.4959349593496,527.8637770897833,947.3581973581973
TOA PAYOH,1992-06,mid,50500.0,23200.0,110000.0,33750.0,61500.0,796.3653308480895,380.327868852459,1091.9540229885058,595.6730769230769,906.2571756601608
TOA PAYOH,1992-07,mid,40000.0,23000.0,200000.0,40000.0,60000.0,634.9206349206349,403.50877192982455,1680.672268907563,597.0149253731344,880.5970149253732
TOA PAYOH,1992-08,mid,42000.0,25000.0,110000.0,40000.0,56000.0,626.8656716417911,438.5964912280702,1149.4252873563219,588.2352941176471,746.2686567164179
TOA PAYOH,1992-09,mid,40000.0,30000.0,165000.0,40000.0,60000.0,611.8421052631579,461.53846153846155,1512.1951219512196,597.0149253731344,895.5223880597015
TOA PAYOH,1992-10,mid,55000.0,35000.0,220000.0,40000.0,69275.0,797.3593570608496,530.3030303030303,1571.4285714285713,623.2893450635386,990.8783783783783
TOA PAYOH,1992-11,mid,47500.0,40000.0,140000.0,40000.0,61250.0,739.046701974001,555.5555555555555,1176.4705882352941,607.7935222672065,948.7832484436899
TOA PAYOH,1992-12,mid,63000.0,36000.0,323000.0,47000.0,66300.0,900.0,588.2352941176471,2212.328767123288,835.820895522388,969.2307692307693
TOA PAYOH,1993-01,mid,45000.0,19000.0,310000.0,40000.0,67125.0,725.8771929824561,380.0,2123.2876712328766,601.6042780748662,1053.43631778058
TOA PAYOH,1993-02,mid,56000.0,40000.0,125000.0,45000.0,68000.0,835.820895522388,506.32911392405066,1073.5294117647059,687.6456876456876,1002.4828113063407
TOA PAYOH,1993-03,mid,45000.0,30000.0,250000.0,40000.0,90000.0,692.3076923076923,447.76119402985074,1851.851851851852,597.0149253731344,1022.9885057471264
TOA PAYOH,1993-04,mid,58500.0,40000.0,120000.0,47000.0,65250.0,762.3839009287926,605.2631578947369,1428.5714285714287,704.6747967479675,973.8805970149253
TOA PAYOH,1993-05,mid,55000.0,53000.0,75000.0,54000.0,65000.0,808.8235294117648,791.044776119403,1229.5081967213114,799.9341527655838,1019.1658630665381
TOA PAYOH,1993-06,mid,75500.0,48000.0,260000.0,60000.0,216750.0,1145.718774548311,727.2727272727273,2032.520325203252,945.748987854251,1852.2114347357065
TOA PAYOH,1993-07,mid,79500.0,30000.0,260000.0,65750.0,85750.0,1206.060606060606,526.3157894736842,1925.9259259259259,920.297670405522,1401.5645371577575
TOA PAYOH,1993-08,mid,87000.0,65000.0,330000.0,77000.0,138500.0,1261.5384615384614,955.8823529411765,2260.27397260274,1202.834799608993,1545.257521672616
TOA PAYOH,1993-09,mid,75000.0,30000.0,295000.0,72000.0,97750.0,1195.970695970696,526.3157894736842,2304.6875,1060.2272727272727,1534.090909090909
TOA PAYOH,1993-10,mid,86000.0,40000.0,325000.0,80000.0,111000.0,1298.611111111111,888.8888888888889,2663.934426229508,1203.0755314337403,1621.8663961744674
TOA PAYOH,1993-11,mid,100000.0,63000.0,320000.0,85000.0,167000.0,1492.5373134328358,1000.0,2424.242424242424,1268.6567164179105,2012.3456790123457
TOA PAYOH,1993-12,mid,87000.0,65000.0,325000.0,82500.0,178250.0,1337.8205128205127,1065.5737704918033,2579.3650793650795,1241.0287081339711,1580.5680336183161
TOA PAYOH,1994-01,mid,91000.0,40000.0,330000.0,80000.0,162750.0,1390.8371040723982,597.0149253731344,2598.4251968503936,1260.6421356421356,1922.5268958278666
TOA PAYOH,1994-02,mid,93925.0,55000.0,346500.0,85750.0,196000.0,1485.788787483703,964.9122807017544,2750.0,1293.006993006993,2151.2077861163225
TOA PAYOH,1994-03,mid,85000.0,50000.0,372500.0,80000.0,108500.0,1310.5625717566015,1105.2631578947369,2809.9173553719006,1254.6641791044776,1460.2468427095293
TOA PAYOH,1994-04,mid,99000.0,42000.0,370000.0,90000.0,113000.0,1477.6119402985075,933.3333333333334,2534.246575342466,1343.2835820895523,1712.0551090700344
TOA PAYOH,1994-05,mid,94500.0,76000.0,210000.0,82000.0,98000.0,1430.7692307692307,1147.0588235294117,2000.0,1294.5205479452054,1500.0
TOA PAYOH,1994-06,mid,117500.0,50000.0,275000.0,96000.0,170000.0,1658.5760517799354,1149.2537313432836,2291.6666666666665,1465.6716417910447,1924.2568597560976
TOA PAYOH,1994-07,mid,100000.0,48000.0,360000.0,85000.0,105000.0,1538.4615384615386,960.0,2950.8196721311474,1307.6923076923076,1544.1176470588234
TOA PAYOH,1994-08,mid,102000.0,40000.0,443000.0,90000.0,119000.0,1569.2307692307693,1000.0,3034.246575342466,1313.4328358208954,1803.030303030303
TOA PAYOH,1994-09,mid,105500.0,88000.0,365000.0,94000.0,217500.0,1664.3034825870648,1313.4328358208954,2991.8032786885246,1423.4787600459242,2219.551282051282
TOA PAYOH,1994-10,mid,107500.0,75000.0,372000.0,93250.0,186250.0,1664.102564102564,1229.5081967213114,2929.1338582677167,1439.4736842105262,2045.977011494253
TOA PAYOH,1994-11,mid,98000.0,67500.0,195000.0,90000.0,120000.0,1573.5294117647059,1323.076923076923,2241.3793103448274,1484.8484848484848,1729.7297297297298
TOA PAYOH,1994-12,mid,109500.0,80000.0,385000.0,93750.0,180750.0,1665.800415800416,1157.8947368421052,2857.1428571428573,1431.974741676234,1942.2413793103449
TOA PAYOH,1995-01,mid,115000.0,49000.0,450000.0,89000.0,137250.0,1717.948717948718,1197.3684210526317,3082.1917808219177,1344.0709617180205,1962.3915139826422
TOA PAYOH,1995-02,mid,112500.0,61000.0,378000.0,92500.0,197250.0,1705.5109070034443,1307.6923076923076,2454.5454545454545,1500.652985074627,2104.6486486486488
TOA PAYOH,1995-03,mid,117500.0,82000.0,320000.0,102250.0,186250.0,1823.076923076923,1268.6567164179105,2735.042735042735,1545.2927669345581,1999.2255702618982
TOA PAYOH,1995-04,mid,120000.0,95000.0,390000.0,107500.0,154000.0,1855.2631578947369,1410.2564102564102,3250.0,1702.429149797571,2163.1372549019607
TOA PAYOH,1995-05,mid,125000.0,102000.0,430000.0,122500.0,171500.0,1892.3076923076924,1500.0,3583.3333333333335,1770.1831750339213,2289.813486370158
TOA PAYOH,1995-06,mid,120000.0,64000.0,520000.0,108000.0,212500.0,1846.1538461538462,1439.3939393939395,3636.3636363636365,1722.7459016393443,2453.3922063358564
TOA PAYOH,1995-07,mid,150000.0,108000.0,545000.0,127500.0,221000.0,2059.7014925373132,1588.235294117647,3732.876712328767,1856.222917669716,2591.4634146341464
TOA PAYOH,1995-08,mid,130000.0,105000.0,541500.0,119500.0,209000.0,1992.5373134328358,1590.909090909091,3813.3802816901407,1834.6153846153848,2521.3920817369094
TOA PAYOH,1995-09,mid,129000.0,65000.0,275000.0,122250.0,226250.0,1930.3030303030305,1483.8709677419354,2777.777777777778,1835.8208955223881,2493.885362210605
