town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TOA PAYOH,1990-01,very low,38000.0,23500.0,113000.0,36700.0,40000.0,575.7575757575758,379.03225806451616,1097.0873786407767,548.5074626865671,606.1997703788749
TOA PAYOH,1990-02,very low,53000.0,18200.0,218000.0,30700.0,59500.0,756.9681711922316,377.4193548387097,1354.0372670807453,497.2702278083268,847.0149253731342
TOA PAYOH,1990-03,very low,40000.0,31500.0,118000.0,38000.0,66000.0,666.6666666666666,470.14925373134326,1134.6153846153845,567.1641791044776,758.6206896551724
TOA PAYOH,1990-04,very low,37500.0,19100.0,40200.0,29750.0,39250.0,559.7014925373135,383.3333333333333,618.4615384615385,519.6981424148607,586.1185383244206
TOA PAYOH,1990-05,very low,40100.0,27600.0,228000.0,34000.0,45675.0,633.5074626865671,438.0952380952381,1530.2013422818793,518.4845005740528,699.2164179104477
TOA PAYOH,1990-06,very low,40000.0,28600.0,226000.0,31000.0,56250.0,594.5600942655145,433.3333333333333,1496.6887417218543,496.87092568448503,766.8382668382669
TOA PAYOH,1990-07,very low,40000.0,28600.0,204000.0,37500.0,75000.0,615.3846153846154,433.3333333333333,1350.9933774834437,576.9230769230769,929.0151863782789
TOA PAYOH,1990-08,very low,40000.0,23000.0,202000.0,31500.0,40000.0,598.4848484848485,377.04918032786884,1337.7483443708609,470.14925373134326,615.3846153846154
TOA PAYOH,1990-09,very low,38500.0,18000.0,90000.0,31250.0,51000.0,587.8787878787879,333.3333333333333,945.9459459459459,470.39473684210526,660.6907894736842
TOA PAYOH,1990-10,very low,40000.0,32000.0,203000.0,36000.0,40200.0,615.3846153846154,500.0,1222.8915662650602,553.8461538461538,618.4615384615385
TOA PAYOH,1990-11,very low,40000.0,18000.0,130000.0,37750.0,60950.0,615.3846153846154,281.25,1111.111111111111,574.1258741258741,808.5872009813944
TOA PAYOH,1990-12,very low,40000.0,34000.0,59600.0,38250.0,40000.0,598.5074626865671,500.0,889.5522388059702,574.6268656716418,606.060606060606
TOA PAYOH,1991-01,very low,40300.0,31000.0,47000.0,40000.0,45025.0,606.0153776571688,525.4237288135594,701.4925373134329,603.2010997643363,633.4615384615385
TOA PAYOH,1991-02,very low,40000.0,30000.0,151000.0,36650.0,69750.0,606.8764568764568,447.76119402985074,1227.6422764227643,559.9885189437429,942.5675675675675
TOA PAYOH,1991-03,very low,39000.0,22000.0,73000.0,34000.0,48250.0,595.3379953379954,354.83870967741933,986.4864864864865,527.1712158808933,701.1670761670762
TOA PAYOH,1991-04,very low,40500.0,38500.0,66000.0,40000.0,55250.0,623.0769230769231,574.6268656716418,895.5223880597015,608.3916083916083,761.3508442776736
TOA PAYOH,1991-05,very low,58000.0,33000.0,86000.0,37750.0,70000.0,678.9756649688738,492.53731343283584,988.5057471264367,555.1619433198381,828.415945449777
TOA PAYOH,1991-06,very low,35500.0,23000.0,91000.0,25550.0,39750.0,541.6083916083916,329.5774647887324,910.0,420.49071618037135,609.2657342657342
TOA PAYOH,1991-07,very low,40000.0,27000.0,234000.0,40000.0,80500.0,597.0149253731344,369.86301369863014,1453.416149068323,597.0149253731344,781.5533980582525
TOA PAYOH,1991-08,very low,47750.0,36000.0,203000.0,39500.0,91000.0,749.021287007585,553.8461538461538,1325.2032520325204,591.7005879692447,1055.0822561692125
TOA PAYOH,1991-09,very low,42500.0,18000.0,87780.0,36250.0,55250.0,615.3846153846154,295.08196721311475,986.4864864864865,571.1038961038961,760.6319554848966
TOA PAYOH,1991-10,very low,40000.0,29000.0,220000.0,34250.0,72250.0,597.0149253731344,432.8358208955224,1456.953642384106,517.1302578018996,917.5209692451072
TOA PAYOH,1991-11,very low,45000.0,29000.0,204000.0,35000.0,84750.0,701.0031808172254,454.54545454545456,1290.3225806451612,538.8327205882354,1056.6350512002687
TOA PAYOH,1991-12,very low,63500.0,18900.0,245000.0,38500.0,118250.0,900.4638967325534,317.46031746031747,1622.5165562913908,585.5203619909503,1134.9804376177367
TOA PAYOH,1992-01,very low,37500.0,19000.0,55000.0,28250.0,46900.0,559.7014925373135,383.3333333333333,820.8955223880597,468.19029850746267,705.5223880597015
TOA PAYOH,1992-02,very low,46500.0,16800.0,237000.0,39250.0,91750.0,694.0298507462686,270.96774193548384,1569.5364238410596,552.0334928229665,920.5569205569205
TOA PAYOH,1992-03,very low,40000.0,20000.0,74000.0,32000.0,47500.0,657.8947368421053,492.3076923076923,1000.0,530.9517983851235,708.955223880597
TOA PAYOH,1992-04,very low,40000.0,30000.0,42000.0,37250.0,40000.0,601.5377657168701,461.53846153846155,626.8656716417911,562.4151967435549,615.3846153846154
TOA PAYOH,1992-05,very low,73000.0,32000.0,270000.0,45250.0,162750.0,893.4235074626865,479.45205479452056,1677.0186335403728,677.8041610131162,1279.8598239110288
TOA PAYOH,1992-06,very low,40000.0,20000.0,185000.0,31750.0,59250.0,610.7226107226106,317.46031746031747,1541.6666666666667,473.88059701492534,775.0
TOA PAYOH,1992-07,very low,63000.0,30000.0,250000.0,40000.0,76000.0,804.5977011494252,441.1764705882353,1633.986928104575,615.3846153846154,969.2307692307693
TOA PAYOH,1992-08,very low,63000.0,40000.0,215000.0,40000.0,84250.0,827.6315789473684,597.0149253731344,1472.6027397260275,666.6666666666666,1046.4601769911505
TOA PAYOH,1992-09,very low,43000.0,23000.0,259000.0,38500.0,76000.0,641.7910447761194,377.04918032786884,1608.695652173913,585.7843137254902,1058.2838936497474
TOA PAYOH,1992-10,very low,50500.0,18000.0,88000.0,40000.0,64000.0,715.1924651924652,473.6842105263158,1189.1891891891892,597.0149253731344,894.2539388322521
TOA PAYOH,1992-11,very low,50000.0,19000.0,110000.0,37500.0,60000.0,769.2307692307693,368.42105263157896,1190.4761904761904,566.1764705882354,893.1113662456946
TOA PAYOH,1992-12,very low,49000.0,23000.0,78800.0,41625.0,59250.0,741.7517674783975,377.04918032786884,1176.1194029850747,618.2051282051282,948.6111111111111
TOA PAYOH,1993-01,very low,62000.0,27000.0,220000.0,41500.0,96375.0,953.8461538461538,426.47058823529414,1666.6666666666667,633.8691159586682,1096.0978342046303
TOA PAYOH,1993-02,very low,40000.0,30000.0,220000.0,40000.0,101000.0,666.6666666666666,454.54545454545456,1456.953642384106,606.060606060606,1160.9195402298851
TOA PAYOH,1993-03,very low,50000.0,30000.0,224000.0,40000.0,73000.0,746.2686567164179,483.8709677419355,1483.4437086092714,606.060606060606,1089.55223880597
TOA PAYOH,1993-04,very low,50000.0,25000.0,200000.0,40000.0,75250.0,782.9703939319795,438.5964912280702,1481.4814814814815,640.1515151515151,998.2629953679876
TOA PAYOH,1993-05,very low,75000.0,30000.0,274000.0,40000.0,130000.0,1097.560975609756,454.54545454545456,1818.1818181818182,820.8955223880597,1300.0
TOA PAYOH,1993-06,very low,94000.0,37000.0,290000.0,60875.0,156000.0,1259.9439775910364,560.6060606060606,1946.3087248322147,914.8392652123995,1465.3494371482177
TOA PAYOH,1993-07,very low,72500.0,40000.0,330000.0,60000.0,117500.0,1079.002079002079,615.3846153846154,2260.27397260274,897.7871443624869,1348.3573717948716
TOA PAYOH,1993-08,very low,64000.0,30000.0,333000.0,57500.0,73500.0,1000.0,588.2352941176471,2006.0240963855422,895.5223880597015,1133.3022388059703
TOA PAYOH,1993-09,very low,92000.0,58000.0,373000.0,80000.0,140000.0,1393.939393939394,892.3076923076923,2316.7701863354037,1176.4705882352941,1707.3170731707316
TOA PAYOH,1993-10,very low,85000.0,47000.0,287000.0,74000.0,96500.0,1268.6567164179105,945.9459459459459,2411.764705882353,1140.5502392344497,1386.3825363825363
TOA PAYOH,1993-11,very low,123000.0,58000.0,360000.0,82000.0,253500.0,1658.8050314465409,968.75,2721.311475409836,1232.6203208556149,2132.187842278204
TOA PAYOH,1993-12,very low,89000.0,63000.0,350000.0,77000.0,155000.0,1328.358208955224,1032.7868852459017,2397.2602739726026,1225.2374491180462,1678.9012550319678
TOA PAYOH,1994-01,very low,89000.0,35000.0,395000.0,82000.0,133750.0,1323.055028462998,921.0526315789474,2453.416149068323,1233.2950631458093,1619.4420226678292
TOA PAYOH,1994-02,very low,91500.0,55000.0,335000.0,79000.0,174750.0,1401.7671517671517,820.8955223880597,2109.756097560976,1207.5983717774761,1658.694092322411
TOA PAYOH,1994-03,very low,90000.0,40000.0,421000.0,75000.0,155000.0,1388.888888888889,1052.6315789473683,2751.6339869281046,1205.8823529411766,1862.7450980392157
TOA PAYOH,1994-04,very low,100000.0,57500.0,280000.0,83000.0,178000.0,1492.5373134328358,1076.923076923077,2295.0819672131147,1318.1818181818182,1892.1568627450981
TOA PAYOH,1994-05,very low,103000.0,78000.0,415000.0,82000.0,175000.0,1418.918918918919,1200.0,2842.4657534246576,1232.876712328767,1846.8468468468468
TOA PAYOH,1994-06,very low,97000.0,45000.0,380000.0,85250.0,197000.0,1492.3076923076924,671.6417910447761,2483.6601307189544,1326.866515837104,1995.1923076923076
TOA PAYOH,1994-07,very low,100000.0,80000.0,399000.0,94000.0,109000.0,1515.4994259471873,1250.0,2751.7241379310344,1407.6170869788987,1626.865671641791
TOA PAYOH,1994-08,very low,101500.0,53000.0,350000.0,90000.0,147500.0,1467.829770068576,1238.8059701492537,2582.6771653543306,1329.5708955223881,1877.24175035868
TOA PAYOH,1994-09,very low,132500.0,40000.0,355000.0,93000.0,190500.0,1733.2835820895523,1052.6315789473683,2397.2602739726026,1425.3496503496503,2060.388577488259
TOA PAYOH,1994-10,very low,115000.0,66500.0,432500.0,96000.0,348000.0,1716.4179104477612,1231.4814814814815,2958.3333333333335,1418.918918918919,2529.801324503311
TOA PAYOH,1994-11,very low,110000.0,85000.0,220000.0,91750.0,155250.0,1604.4776119402986,1268.6567164179105,2135.9223300970875,1394.9807414540203,1922.0250100847115
TOA PAYOH,1994-12,very low,108500.0,64000.0,433000.0,97000.0,175000.0,1679.8076923076924,1276.923076923077,2689.44099378882,1522.1153846153848,1888.11303435615
TOA PAYOH,1995-01,very low,92000.0,33000.0,208000.0,88000.0,121500.0,1475.4098360655737,825.0,2094.5945945945946,1369.318181818182,1754.2070372259052
TOA PAYOH,1995-02,very low,152500.0,87000.0,340000.0,105000.0,235000.0,1917.5070592981042,1338.4615384615386,2809.9173553719006,1492.1268656716418,2195.5128205128203
TOA PAYOH,1995-03,very low,175500.0,78000.0,235000.0,104250.0,223500.0,1962.686567164179,1368.421052631579,2175.925925925926,1555.9701492537313,2115.3846153846152
TOA PAYOH,1995-04,very low,103000.0,92000.0,270000.0,97500.0,113000.0,1586.2068965517242,1415.3846153846155,2500.0,1526.0096575943812,1771.7151945192072
TOA PAYOH,1995-05,very low,196000.0,67500.0,383000.0,113000.0,225000.0,2142.8571428571427,1492.5373134328358,3165.289256198347,1687.5,2433.9622641509436
