town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1990-01,3 ROOM,01 TO 03,41400.0,23600.0,46400.0,33500.0,46100.0,547.1544715447155,302.56410256410254,565.8536585365854,475.64102564102564,562.1951219512196
WOODLANDS,1990-01,3 ROOM,04 TO 06,33700.0,20400.0,42500.0,26475.0,37725.0,475.55643879173294,313.84615384615387,625.0,407.3076923076923,551.4705882352941
WOODLANDS,1990-01,3 ROOM,07 TO 09,33000.0,20400.0,50000.0,23600.0,38400.0,434.2105263157895,310.5263157894737,675.6756756756756,313.84615384615387,573.1343283582089
WOODLANDS,1990-01,3 ROOM,10 TO 12,25650.0,23600.0,38500.0,23900.0,30100.0,344.8810382119683,310.5263157894737,520.2702702702703,314.4736842105263,410.5470196223621
WOODLANDS,1990-01,3 ROOM,13 TO 15,28000.0,20400.0,30500.0,24200.0,29250.0,368.42105263157896,313.84615384615387,448.52941176470586,341.1336032388664,408.4752321981424
WOODLANDS,1990-01,4 ROOM,04 TO 06,61500.0,46000.0,78000.0,55000.0,68250.0,668.1436842727164,522.7272727272727,750.0,608.7037962037962,711.6935483870967
WOODLANDS,1990-01,4 ROOM,07 TO 09,61000.0,58000.0,64000.0,59500.0,62500.0,670.3296703296703,637.3626373626373,703.2967032967033,653.8461538461538,686.8131868131868
WOODLANDS,1990-01,4 ROOM,10 TO 12,70000.0,70000.0,70000.0,70000.0,70000.0,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693,769.2307692307693
WOODLANDS,1990-01,4 ROOM,13 TO 15,54250.0,50000.0,58500.0,52125.0,56375.0,576.530612244898,510.2040816326531,642.8571428571429,543.3673469387755,609.6938775510205
WOODLANDS,1990-01,5 ROOM,04 TO 06,98600.0,98500.0,98700.0,98550.0,98650.0,814.8760330578513,814.0495867768595,815.702479338843,814.4628099173553,815.2892561983472
WOODLANDS,1990-01,5 ROOM,07 TO 09,77000.0,77000.0,77000.0,77000.0,77000.0,620.9677419354839,620.9677419354839,620.9677419354839,620.9677419354839,620.9677419354839
WOODLANDS,1990-01,5 ROOM,19 TO 21,95000.0,80000.0,110000.0,87500.0,102500.0,795.7211870255348,634.9206349206349,956.5217391304348,715.3209109730849,876.1214630779848
WOODLANDS,1990-02,3 ROOM,01 TO 03,31800.0,26300.0,37300.0,29050.0,34550.0,427.36036036036035,350.6666666666667,504.05405405405406,389.01351351351354,465.7072072072072
WOODLANDS,1990-02,3 ROOM,04 TO 06,28000.0,20400.0,33000.0,24200.0,30500.0,402.4390243902439,313.84615384615387,430.7692307692308,358.1425891181989,416.60412757973734
WOODLANDS,1990-02,3 ROOM,07 TO 09,31200.0,20400.0,46400.0,20400.0,43100.0,439.84990619136966,313.84615384615387,617.6470588235294,313.84615384615387,578.8020086083213
WOODLANDS,1990-02,3 ROOM,10 TO 12,34000.0,31000.0,37000.0,32500.0,35500.0,481.3658340048348,455.88235294117646,506.8493150684931,468.62409347300564,494.10757453666395
WOODLANDS,1990-02,3 ROOM,13 TO 15,25950.0,20400.0,31500.0,23175.0,28725.0,372.6765015806112,313.84615384615387,431.5068493150685,343.2613277133825,402.09167544783986
WOODLANDS,1990-02,4 ROOM,04 TO 06,62000.0,49000.0,75000.0,55500.0,68500.0,626.8812709030101,532.6086956521739,721.1538461538462,579.7449832775919,674.0175585284281
