town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1992-06,EXECUTIVE,192500.0,192500.0,192500.0,192500.0,192500.0,1291.9463087248323,1291.9463087248323,1291.9463087248323,1291.9463087248323,1291.9463087248323
WOODLANDS,1992-07,EXECUTIVE,170000.0,170000.0,170000.0,170000.0,170000.0,1164.3835616438357,1164.3835616438357,1164.3835616438357,1164.3835616438357,1164.3835616438357
WOODLANDS,1993-01,EXECUTIVE,196500.0,180000.0,213000.0,188250.0,204750.0,1331.2034568355243,1232.876712328767,1429.5302013422818,1282.0400845821457,1380.3668290889032
WOODLANDS,1993-03,EXECUTIVE,216000.0,216000.0,216000.0,216000.0,216000.0,1479.4520547945206,1479.4520547945206,1479.4520547945206,1479.4520547945206,1479.4520547945206
WOODLANDS,1993-05,EXECUTIVE,235000.0,235000.0,235000.0,235000.0,235000.0,1556.291390728477,1556.291390728477,1556.291390728477,1556.291390728477,1556.291390728477
WOODLANDS,1993-12,EXECUTIVE,310000.0,290000.0,325000.0,300000.0,317500.0,2123.2876712328766,1959.4594594594594,2226.027397260274,2041.373565346168,2174.6575342465753
WOODLANDS,1994-01,EXECUTIVE,271000.0,252000.0,290000.0,261500.0,280500.0,1856.1643835616437,1726.027397260274,1986.3013698630136,1791.0958904109589,1921.2328767123288
WOODLANDS,1994-02,EXECUTIVE,280000.0,280000.0,280000.0,280000.0,280000.0,1848.6882245271509,1818.1818181818182,1879.1946308724832,1833.4350213544844,1863.941427699817
WOODLANDS,1994-03,EXECUTIVE,292500.0,275000.0,326000.0,282500.0,306500.0,1989.5409107737876,1821.1920529801325,2187.9194630872485,1919.3391091354442,2067.2501360420824
WOODLANDS,1994-04,EXECUTIVE,310000.0,270000.0,345000.0,290000.0,327500.0,2012.987012987013,1788.0794701986756,2284.7682119205297,1900.5332415928442,2148.8776124537712
WOODLANDS,1994-05,EXECUTIVE,278000.0,278000.0,278000.0,278000.0,278000.0,1865.7718120805368,1865.7718120805368,1865.7718120805368,1865.7718120805368,1865.7718120805368
WOODLANDS,1994-06,EXECUTIVE,297000.0,297000.0,297000.0,297000.0,297000.0,2034.2465753424658,2034.2465753424658,2034.2465753424658,2034.2465753424658,2034.2465753424658
WOODLANDS,1994-07,EXECUTIVE,284000.0,284000.0,284000.0,284000.0,284000.0,1945.2054794520548,1945.2054794520548,1945.2054794520548,1945.2054794520548,1945.2054794520548
WOODLANDS,1994-08,EXECUTIVE,330000.0,320000.0,365000.0,325000.0,347500.0,2222.222222222222,1907.5144508670521,2570.4225352112676,2064.8683365446373,2396.322378716745
WOODLANDS,1994-09,EXECUTIVE,363000.0,351500.0,405000.0,356375.0,377250.0,2389.19758686383,2288.135593220339,2469.798657718121,2350.1795936693234,2423.100349361037
WOODLANDS,1994-10,EXECUTIVE,335000.0,270000.0,380000.0,295000.0,348000.0,2134.969325153374,1849.3150684931506,2317.0731707317073,1953.6423841059602,2294.5205479452056
WOODLANDS,1994-11,EXECUTIVE,307500.0,290000.0,345000.0,301250.0,318750.0,2071.5776104508755,1986.3013698630136,2363.013698630137,2011.476004717409,2183.219178082192
WOODLANDS,1994-12,EXECUTIVE,335000.0,300000.0,370000.0,317500.0,352500.0,2234.988221698742,1986.7549668874171,2483.221476510067,2110.8715942930794,2359.104849104405
WOODLANDS,1995-01,EXECUTIVE,335000.0,310000.0,450000.0,320000.0,378000.0,2263.5135135135133,2119.205298013245,2589.041095890411,2123.2876712328766,2513.9664804469276
WOODLANDS,1995-02,EXECUTIVE,302500.0,300000.0,370000.0,300000.0,321250.0,2010.0008830801837,1986.7549668874171,2534.246575342466,2001.6229522481701,2143.6287579295763
WOODLANDS,1995-03,EXECUTIVE,365000.0,337000.0,368000.0,351000.0,366500.0,2469.798657718121,2231.7880794701987,2534.722222222222,2350.79336859416,2502.2604399701713
WOODLANDS,1995-04,EXECUTIVE,344000.0,305000.0,373000.0,331250.0,354250.0,2356.164383561644,2089.041095890411,2503.3557046979868,2268.8356164383563,2413.510159051209
WOODLANDS,1995-05,EXECUTIVE,365000.0,365000.0,365000.0,365000.0,365000.0,2500.0,2500.0,2500.0,2500.0,2500.0
WOODLANDS,1995-06,EXECUTIVE,395000.0,390000.0,400000.0,392500.0,397500.0,2465.559941181023,2259.8870056497176,2671.2328767123286,2362.7234734153703,2568.396408946676
WOODLANDS,1995-07,EXECUTIVE,384000.0,380000.0,480000.0,380000.0,400000.0,2602.7397260273974,2577.181208053691,2777.777777777778,2602.7397260273974,2774.566473988439
WOODLANDS,1995-08,EXECUTIVE,387500.0,372000.0,480000.0,378000.0,416250.0,2626.873218718397,2415.5844155844156,2727.2727272727275,2555.950898416652,2670.0732153752288
WOODLANDS,1995-09,EXECUTIVE,387500.0,383000.0,392000.0,385250.0,389750.0,2681.9248826291077,2666.6666666666665,2697.1830985915494,2674.2957746478874,2689.5539906103286
WOODLANDS,1995-10,EXECUTIVE,485000.0,420000.0,492000.0,452500.0,488500.0,2727.2727272727275,2603.1746031746034,2740.1129943502824,2665.223665223665,2733.692860811505
WOODLANDS,1995-11,EXECUTIVE,396000.0,380000.0,412000.0,388000.0,404000.0,2651.3605442176868,2500.0,2802.721088435374,2575.6802721088434,2727.0408163265306
WOODLANDS,1995-12,EXECUTIVE,460000.0,405000.0,545000.0,432500.0,502500.0,2961.9565217391305,2682.119205298013,3150.6849315068494,2822.0378635185716,3056.32072662299
WOODLANDS,1996-01,EXECUTIVE,610000.0,610000.0,610000.0,610000.0,610000.0,3446.3276836158193,3446.3276836158193,3446.3276836158193,3446.3276836158193,3446.3276836158193
WOODLANDS,1996-02,EXECUTIVE,460000.0,460000.0,460000.0,460000.0,460000.0,3046.3576158940396,3046.3576158940396,3046.3576158940396,3046.3576158940396,3046.3576158940396
WOODLANDS,1996-03,EXECUTIVE,480000.0,465000.0,505000.0,480000.0,505000.0,3297.872340425532,3116.883116883117,3659.4202898550725,3287.671232876712,3435.374149659864
WOODLANDS,1996-05,EXECUTIVE,690040.0,680080.0,700000.0,685060.0,695020.0,3909.4465844889573,3864.090909090909,3954.8022598870057,3886.768746789933,3932.1244221879815
