town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1990-01,low,40750.0,20400.0,98700.0,32050.0,63250.0,558.8235294117646,313.84615384615387,815.702479338843,461.3076311605723,683.5342077277561
WOODLANDS,1990-02,low,33000.0,20400.0,75000.0,28000.0,49000.0,430.7692307692308,313.84615384615387,721.1538461538462,402.4390243902439,532.6086956521739
WOODLANDS,1990-03,low,30400.0,20400.0,45700.0,30100.0,31600.0,434.05572755417955,313.84615384615387,507.77777777777777,401.3157894736842,447.05882352941177
WOODLANDS,1990-04,low,27500.0,20400.0,42000.0,22125.0,34675.0,390.46132151490735,313.84615384615387,552.2388059701492,330.24762908324556,484.5139885222382
WOODLANDS,1990-05,low,38000.0,20400.0,122000.0,23000.0,64500.0,558.8235294117648,313.84615384615387,991.869918699187,353.84615384615387,658.1632653061224
WOODLANDS,1990-06,low,46250.0,31000.0,58500.0,34000.0,57750.0,523.6305048335123,455.88235294117646,704.8192771084338,459.3653250773994,616.2558396852717
WOODLANDS,1990-07,low,61000.0,20400.0,92000.0,39375.0,78125.0,701.3107374553158,313.84615384615387,798.0769230769231,500.10844418739157,746.4527531614059
WOODLANDS,1990-08,low,47000.0,25000.0,83000.0,33650.0,76500.0,522.2222222222222,384.61538461538464,805.8252427184466,447.6337823079723,629.5731707317073
WOODLANDS,1990-09,low,56700.0,22800.0,67000.0,41600.0,64000.0,680.9841047218326,350.7692307692308,728.2608695652174,513.3218451749735,705.81226387678
WOODLANDS,1990-10,low,27300.0,26300.0,52000.0,26800.0,39650.0,401.47058823529414,350.6666666666667,571.4285714285714,376.06862745098044,486.4495798319328
WOODLANDS,1990-11,low,51700.0,36000.0,84500.0,38775.0,68900.0,618.2432432432432,529.4117647058823,820.3883495145631,534.7178060413354,730.0970873786407
WOODLANDS,1990-12,low,48700.0,20400.0,103000.0,33900.0,70000.0,606.5287653522948,313.84615384615387,851.2396694214876,501.99095022624437,699.0736536191082
WOODLANDS,1991-01,low,38100.0,25500.0,58000.0,33500.0,44800.0,522.7549467275494,335.5263157894737,637.3626373626373,520.9665144596652,530.8219178082193
WOODLANDS,1991-02,low,43000.0,20400.0,55000.0,28350.0,55000.0,472.52954488307773,313.84615384615387,753.4246575342465,361.99812382739213,613.6138963423246
WOODLANDS,1991-03,low,34950.0,23500.0,46400.0,29225.0,40675.0,463.69606003752347,361.53846153846155,565.8536585365854,412.6172607879925,514.7748592870544
WOODLANDS,1991-04,low,33000.0,27300.0,80500.0,30150.0,56750.0,485.29411764705884,401.47058823529414,781.5533980582525,443.38235294117646,633.4237578526556
WOODLANDS,1991-05,low,32000.0,20400.0,80000.0,24000.0,70000.0,421.05263157894734,313.84615384615387,776.6990291262136,369.2307692307692,752.6881720430108
WOODLANDS,1991-06,low,35500.0,27000.0,53000.0,30800.0,40000.0,493.9024390243902,383.56164383561645,686.5671641791045,439.5718774548311,561.4773258532024
WOODLANDS,1991-07,low,36100.0,23000.0,57300.0,25250.0,48975.0,481.7073170731707,353.84615384615387,629.6703296703297,388.46153846153845,579.9785580273385
WOODLANDS,1991-08,low,47600.0,21000.0,100000.0,35250.0,73500.0,594.8572355613238,323.0769230769231,847.457627118644,522.9638009049775,696.969696969697
WOODLANDS,1991-09,low,46000.0,28000.0,54800.0,28500.0,47000.0,522.2222222222222,430.7692307692308,750.6849315068494,438.46153846153845,522.7272727272727
WOODLANDS,1991-10,low,27000.0,21000.0,99000.0,23000.0,37000.0,415.38461538461536,323.0769230769231,818.1818181818181,353.84615384615387,544.1176470588235
WOODLANDS,1991-11,low,49100.0,31000.0,80000.0,36375.0,67500.0,607.3886764524484,431.5068493150685,769.2307692307693,548.2843137254902,670.3296703296703
WOODLANDS,1991-12,low,31500.0,21000.0,84000.0,23500.0,36375.0,455.38461538461536,323.0769230769231,815.5339805825242,361.53846153846155,537.2585601404741
WOODLANDS,1992-01,low,42500.0,27300.0,58000.0,35750.0,55250.0,536.7647058823529,397.72727272727275,753.4246575342465,495.9720426632191,617.1283070426034
WOODLANDS,1992-02,low,29000.0,27300.0,41000.0,28000.0,36000.0,446.15384615384613,401.47058823529414,529.4117647058823,430.7692307692308,506.17283950617286
WOODLANDS,1992-03,low,28500.0,23000.0,42000.0,27750.0,34000.0,434.2105263157895,353.84615384615387,626.8656716417911,421.10694183864916,438.46153846153845
WOODLANDS,1992-04,low,33500.0,24000.0,46000.0,26750.0,37250.0,496.1589113257244,315.7894736842105,633.3333333333334,407.86452353616534,594.8926868044516
WOODLANDS,1992-05,low,29500.0,20400.0,90000.0,23850.0,48000.0,446.0390355912744,313.84615384615387,731.7073170731708,366.92307692307696,563.5238441936658
WOODLANDS,1992-06,low,37500.0,32000.0,88000.0,32750.0,53500.0,491.39167862266856,434.2105263157895,727.2727272727273,461.4938080495356,565.9645232815965
WOODLANDS,1992-07,low,35000.0,20500.0,125000.0,25000.0,38200.0,514.7058823529412,315.38461538461536,1008.0645161290323,384.61538461538464,523.2876712328767
WOODLANDS,1992-08,low,58300.0,21000.0,60000.0,39650.0,59150.0,659.3406593406594,323.0769230769231,694.047619047619,491.20879120879124,676.6941391941392
WOODLANDS,1992-09,low,38000.0,28500.0,61000.0,29000.0,42000.0,558.8235294117648,438.46153846153845,655.9139784946236,446.15384615384613,617.6470588235294
WOODLANDS,1992-10,low,38000.0,25000.0,88000.0,34900.0,55250.0,558.8235294117648,384.61538461538464,967.032967032967,483.7719298245614,670.818907120277
WOODLANDS,1992-11,low,48500.0,23000.0,121000.0,37750.0,59250.0,584.5588235294117,353.84615384615387,1174.7572815533981,530.766253869969,626.0302197802198
WOODLANDS,1992-12,low,42000.0,29000.0,78000.0,29000.0,46500.0,528.4090909090909,446.15384615384613,644.6280991735537,446.15384615384613,626.8656716417911
WOODLANDS,1993-01,low,37500.0,28000.0,70000.0,32000.0,55750.0,547.5277067348679,430.7692307692308,753.4246575342465,486.8778280542987,646.2912087912088
WOODLANDS,1993-02,low,46750.0,21000.0,110000.0,38375.0,61500.0,623.4756097560976,323.0769230769231,1057.6923076923076,563.5760401721665,680.4435483870967
WOODLANDS,1993-03,low,38200.0,23000.0,90000.0,37250.0,61000.0,536.7647058823529,389.8305084745763,873.7864077669902,521.9178082191781,685.9954781220907
WOODLANDS,1993-04,low,29000.0,24000.0,100000.0,25000.0,33000.0,426.47058823529414,369.2307692307692,826.4462809917355,384.61538461538464,434.2105263157895
WOODLANDS,1993-05,low,50000.0,49000.0,78000.0,49500.0,64000.0,753.8461538461538,684.931506849315,838.7096774193549,719.3888303477345,796.2779156327543
WOODLANDS,1993-06,low,66000.0,42000.0,162000.0,57000.0,120000.0,891.8918918918919,617.6470588235294,1338.8429752066115,764.7058823529412,1165.0485436893205
