town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1990-01,mid,36200.0,20400.0,77000.0,25625.0,52000.0,536.5671641791045,310.5263157894737,703.2967032967033,364.33110367892976,625.0664657922723
WOODLANDS,1990-02,mid,31200.0,20400.0,46400.0,20400.0,43100.0,439.84990619136966,313.84615384615387,617.6470588235294,313.84615384615387,578.8020086083213
WOODLANDS,1990-03,mid,38000.0,20400.0,99000.0,26150.0,62500.0,558.8235294117648,313.84615384615387,838.9830508474577,358.1425891181989,648.9820565907523
WOODLANDS,1990-04,mid,35700.0,20400.0,63400.0,29925.0,58000.0,494.67146505688413,313.84615384615387,637.3626373626373,444.9095022624434,577.809929942126
WOODLANDS,1990-05,mid,45000.0,26300.0,54000.0,41000.0,53000.0,551.0204081632653,381.15942028985506,726.027397260274,500.0,602.9411764705883
WOODLANDS,1990-06,mid,24450.0,20400.0,28500.0,22425.0,26475.0,344.4230769230769,313.84615384615387,375.0,329.1346153846154,359.71153846153845
WOODLANDS,1990-07,mid,42750.0,20400.0,65000.0,31100.0,49000.0,628.6764705882354,313.84615384615387,706.5217391304348,461.8470149253731,682.0608380338438
WOODLANDS,1990-08,mid,27750.0,20400.0,42000.0,25350.0,31875.0,414.88294314381267,313.84615384615387,567.5675675675676,371.9397993311037,470.73804573804574
WOODLANDS,1990-09,mid,34000.0,24000.0,46000.0,29000.0,40000.0,465.75342465753425,315.7894736842105,560.9756097560976,390.7714491708724,513.3645172068159
WOODLANDS,1990-10,mid,50000.0,22000.0,98700.0,34000.0,85500.0,650.7936507936508,338.46153846153845,815.702479338843,432.60489510489515,719.5843974924542
WOODLANDS,1990-11,mid,34750.0,20400.0,78000.0,25000.0,57000.0,503.62318840579707,313.84615384615387,666.6666666666666,384.61538461538464,593.4065934065934
WOODLANDS,1990-12,mid,49000.0,42700.0,51500.0,45850.0,50250.0,627.9411764705883,565.934065934066,671.2328767123288,596.9376212023271,649.5870265914585
WOODLANDS,1991-01,mid,37360.0,23000.0,99000.0,28750.0,47000.0,515.8746654070226,353.84615384615387,804.8780487804878,422.2408026755853,594.2920532472772
WOODLANDS,1991-02,mid,36300.0,20400.0,52200.0,28350.0,44250.0,509.6257796257796,313.84615384615387,705.4054054054054,411.73596673596677,607.5155925155925
WOODLANDS,1991-03,mid,47000.0,35500.0,82000.0,46900.0,55000.0,532.9545454545455,486.3013698630137,677.6859504132232,522.2222222222222,561.2244897959183
WOODLANDS,1991-04,mid,41000.0,25000.0,65000.0,33000.0,53000.0,602.9411764705883,384.61538461538464,698.9247311827957,493.77828054298647,650.932953826692
WOODLANDS,1991-05,mid,38700.0,35000.0,82000.0,37550.0,49750.0,549.7784045124899,522.3880597014926,666.6666666666666,525.1175628705787,596.813725490196
WOODLANDS,1991-06,mid,45000.0,24500.0,54500.0,27000.0,54000.0,500.0,376.9230769230769,746.5753424657535,415.38461538461536,739.7260273972603
WOODLANDS,1991-07,mid,37000.0,22000.0,75000.0,29000.0,46700.0,506.8493150684931,338.46153846153845,619.8347107438017,426.47058823529414,530.6818181818181
WOODLANDS,1991-08,mid,40000.0,28000.0,80000.0,32450.0,55500.0,520.8955223880597,430.7692307692308,769.2307692307693,461.29374337221634,593.5760667903526
WOODLANDS,1991-09,mid,42500.0,23000.0,109000.0,37000.0,48000.0,559.7014925373135,353.84615384615387,923.728813559322,463.265306122449,625.0
WOODLANDS,1991-10,mid,42500.0,28000.0,52000.0,34625.0,49625.0,634.3283582089553,430.7692307692308,702.7027027027027,516.7910447761194,685.6091165792659
WOODLANDS,1991-11,mid,56200.0,38000.0,60000.0,50750.0,58050.0,611.0428786899375,558.8235294117648,753.4246575342465,561.7647058823529,682.8616588890561
WOODLANDS,1991-12,mid,38000.0,28500.0,98000.0,30500.0,60000.0,537.3134328358209,438.46153846153845,809.9173553719008,452.8735632183908,625.0
WOODLANDS,1992-01,mid,37500.0,21000.0,61500.0,27250.0,50000.0,530.5380989787902,323.0769230769231,791.044776119403,419.2307692307692,661.5082824760244
WOODLANDS,1992-02,mid,32000.0,25000.0,46400.0,30000.0,35000.0,470.5882352941176,384.61538461538464,514.7058823529412,447.76119402985074,509.8901098901099
WOODLANDS,1992-03,mid,62500.0,28000.0,142000.0,31750.0,94750.0,699.076324744774,381.57894736842104,1154.4715447154472,470.13574660633486,887.9632098107172
WOODLANDS,1992-04,mid,38000.0,31000.0,46000.0,33000.0,38200.0,476.9230769230769,434.2105263157895,570.1492537313433,464.64646464646466,520.5479452054794
WOODLANDS,1992-05,mid,42500.0,38000.0,58000.0,40250.0,50250.0,597.9381443298969,558.8235294117648,625.0,578.3808368708308,611.4690721649484
WOODLANDS,1992-06,mid,60000.0,30000.0,192500.0,32500.0,71500.0,612.2448979591836,400.0,1291.9463087248323,470.49525816649106,666.5355363231051
WOODLANDS,1992-07,mid,80000.0,25000.0,170000.0,52650.0,111500.0,769.2307692307693,384.61538461538464,1181.8181818181818,618.0830314850933,1021.7522203823573
WOODLANDS,1992-08,mid,42000.0,28500.0,68000.0,38000.0,52650.0,617.6470588235294,438.46153846153845,755.5555555555555,539.685737308622,668.772386844676
WOODLANDS,1992-09,mid,52000.0,28000.0,63000.0,41500.0,59250.0,628.9926289926291,430.7692307692308,698.7951807228916,573.908523908524,651.9715224534502
WOODLANDS,1992-10,mid,56000.0,38000.0,85000.0,44750.0,65000.0,653.4775465498357,472.5274725274725,825.242718446602,575.9755439669125,779.7949002217294
WOODLANDS,1992-11,mid,42000.0,22700.0,81500.0,28500.0,53000.0,547.6190476190476,378.3333333333333,981.9277108433735,438.46153846153845,681.1594202898551
WOODLANDS,1992-12,mid,42500.0,31700.0,140000.0,38000.0,80000.0,634.3283582089553,528.3333333333334,1157.0247933884298,558.8235294117648,824.7422680412371
WOODLANDS,1993-01,mid,53000.0,42000.0,75000.0,42375.0,66375.0,662.3339347219944,625.0,728.1553398058253,626.3992537313434,705.3904833031047
WOODLANDS,1993-02,mid,40000.0,30000.0,159000.0,35900.0,46450.0,533.3333333333334,434.7826086956522,1314.0495867768595,518.716577540107,611.0095389507154
WOODLANDS,1993-03,mid,35500.0,21000.0,46000.0,28700.0,36000.0,486.3013698630137,323.0769230769231,560.9756097560976,441.53846153846155,537.3134328358209
WOODLANDS,1993-04,mid,75000.0,38000.0,90000.0,65000.0,80000.0,706.5217391304348,567.1641791044776,873.7864077669902,635.5932203389831,769.2307692307693
WOODLANDS,1993-05,mid,42000.0,28000.0,97500.0,38000.0,65000.0,637.3626373626373,430.7692307692308,1059.7826086956522,575.2828054298643,690.3286034353996
WOODLANDS,1993-06,mid,59500.0,39500.0,100000.0,49500.0,93000.0,808.8235294117648,607.6923076923077,1086.9565217391305,725.0248756218905,986.6562009419151
WOODLANDS,1993-07,mid,74000.0,34000.0,95000.0,48000.0,80000.0,840.9090909090909,465.75342465753425,969.3877551020408,563.6412459720731,926.372155287818
WOODLANDS,1993-08,mid,80000.0,45000.0,135000.0,63500.0,103500.0,998.7732570026578,661.7647058823529,1310.6796116504854,899.1371268656716,1075.3889343782898
WOODLANDS,1993-09,mid,45000.0,36000.0,143000.0,40000.0,90000.0,661.7647058823529,526.3157894736842,1211.864406779661,584.6153846153845,1025.3456221198157
WOODLANDS,1993-10,mid,81000.0,58000.0,185000.0,63250.0,115250.0,1054.054054054054,892.3076923076923,1692.3076923076924,943.6813186813188,1266.4835164835165
WOODLANDS,1993-11,mid,106000.0,80000.0,130000.0,81500.0,114500.0,1174.1531664212075,879.1208791208791,1325.301204819277,967.3395009812167,1273.1325539924708
WOODLANDS,1993-12,mid,131500.0,58500.0,325000.0,79000.0,152750.0,1276.6990291262136,900.0,2226.027397260274,1056.3914027149322,1430.5578410399867
