town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1990-01,very low,41400.0,23600.0,46400.0,33500.0,46100.0,547.1544715447155,302.56410256410254,565.8536585365854,475.64102564102564,562.1951219512196
WOODLANDS,1990-02,very low,31800.0,26300.0,37300.0,29050.0,34550.0,427.36036036036035,350.6666666666667,504.05405405405406,389.01351351351354,465.7072072072072
WOODLANDS,1990-03,very low,57000.0,20400.0,78300.0,35000.0,58000.0,557.6923076923077,313.84615384615387,647.1074380165289,522.3880597014926,619.5652173913044
WOODLANDS,1990-04,very low,32650.0,27300.0,88700.0,27300.0,50675.0,480.14705882352945,401.47058823529414,751.6949152542373,401.47058823529414,607.0413758723829
WOODLANDS,1990-05,very low,33000.0,27300.0,75000.0,32000.0,58000.0,470.5882352941176,402.4390243902439,637.3626373626373,407.46268656716416,604.8387096774194
WOODLANDS,1990-06,very low,27300.0,27300.0,89000.0,27300.0,42725.0,404.46663740122915,401.47058823529414,754.2372881355932,401.47058823529414,494.1563369592714
WOODLANDS,1990-07,very low,64250.0,46900.0,76500.0,59350.0,67875.0,677.2404614019521,521.1111111111111,735.5769230769231,616.2471655328798,713.7855351170568
WOODLANDS,1990-08,very low,27300.0,20400.0,67000.0,23850.0,47150.0,401.47058823529414,313.84615384615387,736.2637362637363,357.658371040724,568.8671622495152
WOODLANDS,1990-09,very low,58500.0,58500.0,58500.0,58500.0,58500.0,596.9387755102041,596.9387755102041,596.9387755102041,596.9387755102041,596.9387755102041
WOODLANDS,1990-10,very low,35150.0,30000.0,78000.0,32250.0,47475.0,494.6740858505565,441.1764705882353,650.0,474.2647058823529,540.5405405405405
WOODLANDS,1990-11,very low,38400.0,23000.0,65000.0,30700.0,51700.0,564.7058823529412,353.84615384615387,714.2857142857143,459.2760180995475,639.4957983193278
WOODLANDS,1990-12,very low,60500.0,56000.0,65000.0,58250.0,62750.0,635.1766513056835,571.4285714285714,698.9247311827957,603.3026113671275,667.0506912442396
WOODLANDS,1991-01,very low,58000.0,34000.0,58500.0,37000.0,58400.0,596.9387755102041,500.0,602.0618556701031,544.1176470588235,597.9381443298969
WOODLANDS,1991-03,very low,39000.0,27300.0,58500.0,33150.0,48750.0,573.5294117647059,401.47058823529414,596.9387755102041,487.5,585.234093637455
WOODLANDS,1991-04,very low,33100.0,28000.0,38200.0,30550.0,35650.0,486.7647058823529,411.7647058823529,561.7647058823529,449.2647058823529,524.2647058823529
WOODLANDS,1991-05,very low,58000.0,38000.0,65000.0,48000.0,61500.0,591.8367346938776,558.8235294117648,698.9247311827957,575.3301320528212,645.3807329383367
WOODLANDS,1991-06,very low,58000.0,38000.0,78000.0,48000.0,68000.0,598.0982185844969,567.1641791044776,629.0322580645161,582.6311988444872,613.5652383245065
WOODLANDS,1991-07,very low,35000.0,28000.0,77500.0,28500.0,58000.0,514.7058823529412,411.7647058823529,745.1923076923077,438.46153846153845,630.4347826086956
WOODLANDS,1991-08,very low,57000.0,32000.0,83000.0,55000.0,75000.0,635.5932203389831,470.5882352941176,805.8252427184466,558.8235294117648,753.4246575342465
WOODLANDS,1991-09,very low,32000.0,25000.0,75000.0,30250.0,42750.0,456.68016194331983,384.61538461538464,619.8347107438017,411.94331983805665,524.1894469167197
WOODLANDS,1991-10,very low,37500.0,28500.0,38200.0,34875.0,38050.0,526.0784313725491,438.46153846153845,570.1492537313433,479.6153846153846,561.6549604916594
WOODLANDS,1991-11,very low,48250.0,28000.0,78000.0,36500.0,61000.0,579.0066026410564,411.7647058823529,688.1720430107526,536.7647058823529,629.1208791208792
WOODLANDS,1991-12,very low,35000.0,22500.0,42000.0,28000.0,38000.0,514.7058823529412,346.15384615384613,626.8656716417911,430.7692307692308,520.5479452054794
WOODLANDS,1992-01,very low,38000.0,26000.0,56000.0,32000.0,48000.0,520.5479452054794,400.0,617.6470588235294,431.70731707317077,604.4460553340582
WOODLANDS,1992-02,very low,57000.0,57000.0,57000.0,57000.0,57000.0,581.6326530612245,581.6326530612245,581.6326530612245,581.6326530612245,581.6326530612245
WOODLANDS,1992-03,very low,38000.0,38000.0,38000.0,38000.0,38000.0,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648
WOODLANDS,1992-04,very low,32000.0,28000.0,42000.0,28750.0,36750.0,469.0078037904125,397.26027397260276,617.6470588235294,422.39199157007374,534.846547314578
WOODLANDS,1992-05,very low,33000.0,30000.0,90000.0,30000.0,65000.0,447.76119402985074,434.2105263157895,743.801652892562,441.1764705882353,670.1030927835052
WOODLANDS,1992-06,very low,49350.0,31700.0,67000.0,40525.0,58175.0,606.0034013605442,528.3333333333334,683.6734693877551,567.1683673469388,644.8384353741496
WOODLANDS,1992-07,very low,41000.0,32000.0,50000.0,36500.0,45500.0,510.2040816326531,477.6119402985075,554.0540540540541,493.9080109655803,532.1290678433536
WOODLANDS,1992-08,very low,33000.0,25000.0,60000.0,29000.0,46500.0,434.2105263157895,384.61538461538464,618.5567010309278,409.41295546558706,526.3836136733587
WOODLANDS,1992-09,very low,50000.0,25000.0,63000.0,37500.0,56500.0,515.4639175257732,384.61538461538464,684.7826086956521,450.03965107057894,600.1232631107127
WOODLANDS,1992-10,very low,35000.0,30000.0,46000.0,32500.0,40500.0,507.2463768115942,441.1764705882353,621.6216216216217,474.21142369991475,564.433999216608
WOODLANDS,1992-11,very low,56440.0,54880.0,58000.0,55660.0,57220.0,725.2880013203498,698.7951807228916,751.7808219178082,712.0415910216208,738.534411619079
