town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
WOODLANDS,1990-01,high,3 ROOM,27300.0,20400.0,38500.0,23800.0,29250.0,368.42105263157896,310.5263157894737,520.2702702702703,314.8178137651822,411.2510072522159
WOODLANDS,1990-01,high,4 ROOM,58500.0,50000.0,70000.0,54250.0,64250.0,642.8571428571429,510.2040816326531,769.2307692307693,576.530612244898,706.0439560439561
WOODLANDS,1990-01,high,5 ROOM,95000.0,80000.0,110000.0,87500.0,102500.0,795.7211870255348,634.9206349206349,956.5217391304348,715.3209109730849,876.1214630779848
WOODLANDS,1990-01,low,3 ROOM,33700.0,20400.0,42500.0,26475.0,37725.0,475.55643879173294,313.84615384615387,625.0,407.3076923076923,551.4705882352941
WOODLANDS,1990-01,low,4 ROOM,61500.0,46000.0,78000.0,55000.0,68250.0,668.1436842727164,522.7272727272727,750.0,608.7037962037962,711.6935483870967
WOODLANDS,1990-01,low,5 ROOM,98600.0,98500.0,98700.0,98550.0,98650.0,814.8760330578513,814.0495867768595,815.702479338843,814.4628099173553,815.2892561983472
WOODLANDS,1990-01,mid,3 ROOM,33000.0,20400.0,50000.0,23600.0,38400.0,434.2105263157895,310.5263157894737,675.6756756756756,313.84615384615387,573.1343283582089
WOODLANDS,1990-01,mid,4 ROOM,61000.0,58000.0,64000.0,59500.0,62500.0,670.3296703296703,637.3626373626373,703.2967032967033,653.8461538461538,686.8131868131868
WOODLANDS,1990-01,mid,5 ROOM,77000.0,77000.0,77000.0,77000.0,77000.0,620.9677419354839,620.9677419354839,620.9677419354839,620.9677419354839,620.9677419354839
WOODLANDS,1990-01,very low,3 ROOM,41400.0,23600.0,46400.0,33500.0,46100.0,547.1544715447155,302.56410256410254,565.8536585365854,475.64102564102564,562.1951219512196
WOODLANDS,1990-02,high,3 ROOM,31250.0,20400.0,37000.0,28350.0,32875.0,443.6946011281225,313.84615384615387,506.8493150684931,402.09167544783986,468.62409347300564
WOODLANDS,1990-02,high,4 ROOM,60750.0,57500.0,64000.0,59125.0,62375.0,592.4327674995232,586.734693877551,598.1308411214953,589.5837306885371,595.2818043105092
WOODLANDS,1990-02,high,5 ROOM,80000.0,74000.0,86000.0,77000.0,83000.0,647.9805927091529,596.7741935483871,699.1869918699186,622.37739312877,673.5837922895357
WOODLANDS,1990-02,low,3 ROOM,28000.0,20400.0,33000.0,24200.0,30500.0,402.4390243902439,313.84615384615387,430.7692307692308,358.1425891181989,416.60412757973734
WOODLANDS,1990-02,low,4 ROOM,62000.0,49000.0,75000.0,55500.0,68500.0,626.8812709030101,532.6086956521739,721.1538461538462,579.7449832775919,674.0175585284281
WOODLANDS,1990-02,mid,3 ROOM,31200.0,20400.0,46400.0,20400.0,43100.0,439.84990619136966,313.84615384615387,617.6470588235294,313.84615384615387,578.8020086083213
WOODLANDS,1990-02,very low,3 ROOM,31800.0,26300.0,37300.0,29050.0,34550.0,427.36036036036035,350.6666666666667,504.05405405405406,389.01351351351354,465.7072072072072
WOODLANDS,1990-03,high,3 ROOM,35000.0,20400.0,42700.0,28000.0,37300.0,504.05405405405406,313.84615384615387,627.9411764705883,430.7692307692308,529.4117647058823
WOODLANDS,1990-03,high,4 ROOM,46700.0,46700.0,46700.0,46700.0,46700.0,518.8888888888889,518.8888888888889,518.8888888888889,518.8888888888889,518.8888888888889
WOODLANDS,1990-03,high,5 ROOM,77000.0,76000.0,78000.0,76500.0,77500.0,618.6604723190089,603.1746031746031,634.1463414634146,610.917537746806,626.4034068912117
WOODLANDS,1990-03,low,3 ROOM,30400.0,20400.0,32000.0,30000.0,30400.0,421.05263157894734,313.84615384615387,447.05882352941177,394.7368421052632,447.05882352941177
WOODLANDS,1990-03,low,4 ROOM,45700.0,45700.0,45700.0,45700.0,45700.0,507.77777777777777,507.77777777777777,507.77777777777777,507.77777777777777,507.77777777777777
