town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,3 ROOM,01 TO 03,41250.0,30400.0,52000.0,34000.0,42500.0,611.0074626865671,447.05882352941177,702.7027027027027,507.4626865671642,625.0
YISHUN,1990-01,3 ROOM,04 TO 06,36250.0,33000.0,42700.0,35250.0,38050.0,533.0882352941176,492.53731343283584,637.3134328358209,520.1931518876207,561.9018876207199
YISHUN,1990-01,3 ROOM,07 TO 09,42250.0,32000.0,42700.0,40500.0,42500.0,621.3235294117646,470.5882352941176,634.3283582089553,595.5882352941177,627.2058823529412
YISHUN,1990-01,3 ROOM,10 TO 12,37000.0,31000.0,42500.0,34000.0,40000.0,544.1176470588235,455.88235294117646,634.3283582089553,500.0,588.2352941176471
YISHUN,1990-01,4 ROOM,01 TO 03,65100.0,59900.0,81000.0,62100.0,77500.0,700.0,611.2244897959183,833.3333333333334,690.0,778.8461538461538
YISHUN,1990-01,4 ROOM,04 TO 06,65000.0,63800.0,68000.0,64400.0,66500.0,701.0989010989011,698.9247311827957,731.1827956989247,700.0118161408484,716.1408483989129
YISHUN,1990-01,4 ROOM,07 TO 09,80000.0,65000.0,85000.0,72500.0,82500.0,769.2307692307693,698.9247311827957,809.5238095238095,734.0777502067824,789.3772893772893
YISHUN,1990-01,4 ROOM,10 TO 12,65000.0,60000.0,86000.0,65000.0,74500.0,714.2857142857143,698.9247311827957,857.1428571428571,706.605222734255,770.6043956043957
YISHUN,1990-01,5 ROOM,01 TO 03,96350.0,94000.0,98700.0,95175.0,97525.0,796.2809917355372,776.8595041322315,815.702479338843,786.5702479338843,805.9917355371902
YISHUN,1990-01,5 ROOM,04 TO 06,100000.0,100000.0,100000.0,100000.0,100000.0,813.0081300813008,813.0081300813008,813.0081300813008,813.0081300813008,813.0081300813008
YISHUN,1990-01,5 ROOM,07 TO 09,110000.0,98000.0,127000.0,104000.0,118500.0,909.0909090909091,809.9173553719008,1016.0,859.504132231405,962.5454545454545
YISHUN,1990-01,5 ROOM,10 TO 12,120000.0,111000.0,133000.0,115500.0,126500.0,991.7355371900826,902.439024390244,1099.1735537190082,947.0872807901633,1045.4545454545455
YISHUN,1990-01,EXECUTIVE,10 TO 12,192000.0,192000.0,192000.0,192000.0,192000.0,1315.0684931506848,1315.0684931506848,1315.0684931506848,1315.0684931506848,1315.0684931506848
YISHUN,1990-02,3 ROOM,01 TO 03,42500.0,37000.0,46500.0,39900.0,44350.0,625.0,504.05405405405406,676.4705882352941,575.4151776329619,628.1597774244833
YISHUN,1990-02,3 ROOM,04 TO 06,42000.0,31000.0,50000.0,42000.0,42500.0,626.8656716417911,436.61971830985914,746.2686567164179,626.8656716417911,634.3283582089553
YISHUN,1990-02,3 ROOM,07 TO 09,51500.0,35000.0,52000.0,43250.0,51750.0,628.0487804878048,514.7058823529412,702.7027027027027,571.377331420373,665.3757415952538
YISHUN,1990-02,3 ROOM,10 TO 12,40250.0,33000.0,42700.0,36750.0,42550.0,596.0820895522388,492.53731343283584,637.3134328358209,548.5074626865671,628.0783582089553
YISHUN,1990-02,4 ROOM,01 TO 03,65000.0,60000.0,80000.0,60000.0,70000.0,698.9247311827957,625.0,769.2307692307693,652.1739130434783,769.2307692307693
YISHUN,1990-02,4 ROOM,04 TO 06,70950.0,57000.0,84900.0,63975.0,77925.0,747.4587912087911,678.5714285714286,816.3461538461538,713.0151098901099,781.9024725274725
YISHUN,1990-02,4 ROOM,07 TO 09,69000.0,69000.0,69000.0,69000.0,69000.0,821.4285714285714,821.4285714285714,821.4285714285714,821.4285714285714,821.4285714285714
YISHUN,1990-02,4 ROOM,10 TO 12,58000.0,53000.0,86000.0,55500.0,72000.0,690.4761904761905,569.8924731182796,826.9230769230769,630.184331797235,758.6996336996338
YISHUN,1990-02,5 ROOM,01 TO 03,99000.0,99000.0,99000.0,99000.0,99000.0,818.1818181818181,818.1818181818181,818.1818181818181,818.1818181818181,818.1818181818181
YISHUN,1990-02,5 ROOM,10 TO 12,100000.0,95000.0,120000.0,97500.0,110000.0,800.0,753.968253968254,991.7355371900826,776.984126984127,895.8677685950413
YISHUN,1990-02,EXECUTIVE,01 TO 03,150000.0,150000.0,150000.0,150000.0,150000.0,1034.4827586206898,1034.4827586206898,1034.4827586206898,1034.4827586206898,1034.4827586206898
YISHUN,1990-03,3 ROOM,01 TO 03,42000.0,30400.0,48000.0,40000.0,42500.0,617.6470588235294,410.81081081081084,657.5342465753424,564.7058823529412,625.0
YISHUN,1990-03,3 ROOM,04 TO 06,42700.0,32000.0,50000.0,38500.0,45350.0,627.9411764705883,477.6119402985075,649.3506493506494,569.9626865671642,642.9810407422348
YISHUN,1990-03,3 ROOM,07 TO 09,40000.0,30400.0,50000.0,33000.0,42500.0,588.2352941176471,447.05882352941177,675.6756756756756,485.29411764705884,634.3283582089553
YISHUN,1990-03,3 ROOM,10 TO 12,46650.0,35000.0,51500.0,40475.0,51125.0,622.0050215208034,522.3880597014926,628.0487804878048,597.0604295595195,623.55631276901
YISHUN,1990-03,4 ROOM,01 TO 03,63000.0,47000.0,81000.0,57000.0,69750.0,667.3387096774193,505.3763440860215,778.8461538461538,589.2396907216495,732.1068548387098
YISHUN,1990-03,4 ROOM,04 TO 06,77750.0,75500.0,80000.0,76625.0,78875.0,782.5481256332321,761.9047619047619,803.1914893617021,772.226443768997,792.869807497467
YISHUN,1990-03,4 ROOM,07 TO 09,80400.0,52000.0,88000.0,65000.0,85000.0,765.7142857142857,559.1397849462365,838.0952380952381,698.9247311827957,817.3076923076923
YISHUN,1990-03,4 ROOM,10 TO 12,71100.0,50000.0,90000.0,65250.0,85900.0,748.421052631579,595.2380952380952,865.3846153846154,737.6152073732719,822.032967032967
YISHUN,1990-03,5 ROOM,01 TO 03,123000.0,123000.0,123000.0,123000.0,123000.0,968.503937007874,968.503937007874,968.503937007874,968.503937007874,968.503937007874
YISHUN,1990-03,5 ROOM,04 TO 06,99350.0,98700.0,100000.0,99025.0,99675.0,821.0743801652893,815.702479338843,826.4462809917355,818.3884297520661,823.7603305785124
YISHUN,1990-03,5 ROOM,07 TO 09,113500.0,80000.0,128000.0,106250.0,117750.0,938.0165289256199,661.1570247933885,1015.8730158730159,878.0991735537191,973.1404958677685
YISHUN,1990-03,5 ROOM,10 TO 12,133000.0,133000.0,133000.0,133000.0,133000.0,1099.1735537190082,1099.1735537190082,1099.1735537190082,1099.1735537190082,1099.1735537190082
YISHUN,1990-04,3 ROOM,01 TO 03,46750.0,42000.0,51500.0,44375.0,49125.0,627.457226064798,626.8656716417911,628.0487804878048,627.1614488532946,627.7530032763013
YISHUN,1990-04,3 ROOM,04 TO 06,44500.0,39000.0,50000.0,41750.0,47250.0,577.922077922078,506.4935064935065,649.3506493506494,542.2077922077922,613.6363636363637
