town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,EXECUTIVE,192000.0,192000.0,192000.0,192000.0,192000.0,1315.0684931506848,1315.0684931506848,1315.0684931506848,1315.0684931506848,1315.0684931506848
YISHUN,1990-02,EXECUTIVE,150000.0,150000.0,150000.0,150000.0,150000.0,1034.4827586206898,1034.4827586206898,1034.4827586206898,1034.4827586206898,1034.4827586206898
YISHUN,1990-06,EXECUTIVE,192050.0,192050.0,192050.0,192050.0,192050.0,1315.4109589041095,1315.4109589041095,1315.4109589041095,1315.4109589041095,1315.4109589041095
YISHUN,1990-07,EXECUTIVE,145300.0,115000.0,188000.0,130150.0,166650.0,988.4353741496599,756.578947368421,1323.943661971831,872.5071607590405,1156.1895180607455
YISHUN,1990-09,EXECUTIVE,190000.0,190000.0,190000.0,190000.0,190000.0,1250.0,1250.0,1250.0,1250.0,1250.0
YISHUN,1990-10,EXECUTIVE,145190.0,145180.0,145200.0,145185.0,145195.0,974.826063446287,955.1315789473684,994.5205479452055,964.9788211968278,984.6733056957462
YISHUN,1990-11,EXECUTIVE,150000.0,150000.0,150000.0,150000.0,150000.0,1027.3972602739725,1027.3972602739725,1027.3972602739725,1027.3972602739725,1027.3972602739725
YISHUN,1990-12,EXECUTIVE,155000.0,155000.0,155000.0,155000.0,155000.0,1061.6438356164383,1061.6438356164383,1061.6438356164383,1061.6438356164383,1061.6438356164383
YISHUN,1991-01,EXECUTIVE,155000.0,148000.0,164000.0,149500.0,161000.0,1065.4227680680208,1020.6896551724138,1131.0344827586207,1025.720358998583,1110.344827586207
YISHUN,1991-02,EXECUTIVE,158000.0,145180.0,190000.0,151590.0,174000.0,1112.6760563380283,994.3835616438356,1250.0,1053.529808990932,1181.3380281690143
YISHUN,1991-03,EXECUTIVE,188250.0,187500.0,189000.0,187875.0,188625.0,1307.6162454177118,1284.2465753424658,1330.9859154929577,1295.931410380089,1319.3010804553346
YISHUN,1991-04,EXECUTIVE,145500.0,145000.0,146000.0,145250.0,145750.0,996.5753424657535,993.1506849315068,1000.0,994.8630136986301,998.2876712328767
