town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,2000-01,MULTI-GENERATION,453000.0,453000.0,453000.0,453000.0,453000.0,2530.72625698324,2530.72625698324,2530.72625698324,2530.72625698324,2530.72625698324
YISHUN,2000-02,MULTI-GENERATION,435000.0,435000.0,435000.0,435000.0,435000.0,2543.8596491228072,2543.8596491228072,2543.8596491228072,2543.8596491228072,2543.8596491228072
YISHUN,2000-05,MULTI-GENERATION,425000.0,425000.0,425000.0,425000.0,425000.0,2891.156462585034,2891.156462585034,2891.156462585034,2891.156462585034,2891.156462585034
YISHUN,2000-06,MULTI-GENERATION,459000.0,438000.0,480000.0,448500.0,469500.0,2840.7731247123793,2754.7169811320755,2926.829268292683,2797.7450529222274,2883.801196502531
YISHUN,2000-07,MULTI-GENERATION,470000.0,470000.0,470000.0,470000.0,470000.0,2865.8536585365855,2865.8536585365855,2865.8536585365855,2865.8536585365855,2865.8536585365855
YISHUN,2000-09,MULTI-GENERATION,489000.0,489000.0,489000.0,489000.0,489000.0,2731.8435754189945,2731.8435754189945,2731.8435754189945,2731.8435754189945,2731.8435754189945
YISHUN,2001-01,MULTI-GENERATION,430000.0,390000.0,440000.0,410000.0,435000.0,2638.036809815951,2582.781456953642,2993.197278911565,2610.4091333847964,2815.617044363758
YISHUN,2001-02,MULTI-GENERATION,450000.0,450000.0,450000.0,450000.0,450000.0,2513.9664804469276,2513.9664804469276,2513.9664804469276,2513.9664804469276,2513.9664804469276
YISHUN,2001-03,MULTI-GENERATION,450000.0,425000.0,498800.0,437500.0,474400.0,2891.156462585034,2760.7361963190183,3041.4634146341464,2825.9463294520265,2966.30993860959
YISHUN,2001-04,MULTI-GENERATION,435000.0,430000.0,440000.0,432500.0,437500.0,2660.6688612898397,2621.951219512195,2699.3865030674847,2641.3100404010174,2680.0276821786624
YISHUN,2001-06,MULTI-GENERATION,430000.0,430000.0,430000.0,430000.0,430000.0,2621.951219512195,2621.951219512195,2621.951219512195,2621.951219512195,2621.951219512195
YISHUN,2001-07,MULTI-GENERATION,470000.0,470000.0,470000.0,470000.0,470000.0,2625.6983240223462,2625.6983240223462,2625.6983240223462,2625.6983240223462,2625.6983240223462
YISHUN,2001-08,MULTI-GENERATION,447750.0,433000.0,462500.0,440375.0,455125.0,2730.182926829268,2640.243902439024,2820.121951219512,2685.213414634146,2775.1524390243903
YISHUN,2001-10,MULTI-GENERATION,455000.0,455000.0,455000.0,455000.0,455000.0,2774.390243902439,2774.390243902439,2774.390243902439,2774.390243902439,2774.390243902439
YISHUN,2001-11,MULTI-GENERATION,395000.0,388000.0,402000.0,391500.0,398500.0,2550.273768043803,2365.8536585365855,2734.6938775510203,2458.0637132901943,2642.4838227974114
YISHUN,2002-07,MULTI-GENERATION,408000.0,408000.0,408000.0,408000.0,408000.0,2487.8048780487807,2487.8048780487807,2487.8048780487807,2487.8048780487807,2487.8048780487807
YISHUN,2002-08,MULTI-GENERATION,448500.0,448500.0,448500.0,448500.0,448500.0,2734.756097560976,2734.756097560976,2734.756097560976,2734.756097560976,2734.756097560976
YISHUN,2003-01,MULTI-GENERATION,360000.0,360000.0,360000.0,360000.0,360000.0,2384.1059602649007,2384.1059602649007,2384.1059602649007,2384.1059602649007,2384.1059602649007
YISHUN,2003-02,MULTI-GENERATION,447000.0,447000.0,447000.0,447000.0,447000.0,2497.2067039106146,2497.2067039106146,2497.2067039106146,2497.2067039106146,2497.2067039106146
YISHUN,2003-06,MULTI-GENERATION,365000.0,365000.0,365000.0,365000.0,365000.0,2225.609756097561,2225.609756097561,2225.609756097561,2225.609756097561,2225.609756097561
YISHUN,2003-07,MULTI-GENERATION,427000.0,427000.0,427000.0,427000.0,427000.0,2603.6585365853657,2603.6585365853657,2603.6585365853657,2603.6585365853657,2603.6585365853657
