town,month,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1991-04,MULTI GENERATION,150000.0,150000.0,150000.0,150000.0,150000.0,993.3774834437086,993.3774834437086,993.3774834437086,993.3774834437086,993.3774834437086
YISHUN,1991-06,MULTI GENERATION,180000.0,180000.0,180000.0,180000.0,180000.0,1097.560975609756,1097.560975609756,1097.560975609756,1097.560975609756,1097.560975609756
YISHUN,1992-07,MULTI GENERATION,141000.0,141000.0,141000.0,141000.0,141000.0,787.7094972067039,787.7094972067039,787.7094972067039,787.7094972067039,787.7094972067039
YISHUN,1992-08,MULTI GENERATION,200000.0,200000.0,200000.0,200000.0,200000.0,1169.5906432748538,1169.5906432748538,1169.5906432748538,1169.5906432748538,1169.5906432748538
YISHUN,1992-09,MULTI GENERATION,200000.0,141400.0,278000.0,190000.0,200000.0,1219.5121951219512,862.1951219512196,1553.072625698324,1165.644171779141,1257.861635220126
YISHUN,1992-10,MULTI GENERATION,231750.0,145000.0,258000.0,216375.0,250500.0,1412.0221794323206,810.0558659217877,1508.7719298245613,1325.3918524614694,1481.1635287405506
YISHUN,1992-11,MULTI GENERATION,241000.0,220000.0,262000.0,230500.0,251500.0,1409.3567251461986,1286.5497076023391,1532.1637426900584,1347.953216374269,1470.7602339181285
YISHUN,1992-12,MULTI GENERATION,245000.0,245000.0,245000.0,245000.0,245000.0,1493.9024390243903,1493.9024390243903,1493.9024390243903,1493.9024390243903,1493.9024390243903
YISHUN,1993-01,MULTI GENERATION,251000.0,251000.0,251000.0,251000.0,251000.0,1530.4878048780488,1530.4878048780488,1530.4878048780488,1530.4878048780488,1530.4878048780488
YISHUN,1993-02,MULTI GENERATION,255000.0,250000.0,278000.0,252500.0,266500.0,1524.3902439024391,1424.5810055865923,1553.072625698324,1474.4856247445157,1538.7314348003815
YISHUN,1993-03,MULTI GENERATION,198000.0,198000.0,198000.0,198000.0,198000.0,1346.938775510204,1346.938775510204,1346.938775510204,1346.938775510204,1346.938775510204
YISHUN,1993-04,MULTI GENERATION,220000.0,200000.0,240000.0,210000.0,230000.0,1393.95897270231,1324.5033112582782,1463.4146341463415,1359.231141980294,1428.6868034243257
YISHUN,1993-05,MULTI GENERATION,238000.0,185000.0,320000.0,230000.0,260000.0,1451.219512195122,1128.0487804878048,1871.345029239766,1345.029239766082,1575.7575757575758
YISHUN,1993-06,MULTI GENERATION,270000.0,250000.0,280000.0,261250.0,276250.0,1550.2793296089385,1396.6480446927374,1754.9668874172185,1501.3966480446927,1611.926079396204
YISHUN,1993-07,MULTI GENERATION,240000.0,235000.0,245000.0,237500.0,242500.0,1455.367979697672,1432.748538011696,1477.9874213836479,1444.058258854684,1466.6777005406598
YISHUN,1993-08,MULTI GENERATION,290000.0,280000.0,300000.0,285000.0,295000.0,1768.2926829268292,1707.3170731707316,1829.2682926829268,1737.8048780487804,1798.780487804878
YISHUN,1993-09,MULTI GENERATION,282000.0,282000.0,282000.0,282000.0,282000.0,1719.5121951219512,1719.5121951219512,1719.5121951219512,1719.5121951219512,1719.5121951219512
YISHUN,1993-10,MULTI GENERATION,340000.0,340000.0,340000.0,340000.0,340000.0,2073.170731707317,2073.170731707317,2073.170731707317,2073.170731707317,2073.170731707317
YISHUN,1993-11,MULTI GENERATION,368000.0,361000.0,375000.0,364500.0,371500.0,2285.5268742524213,2270.4402515723273,2300.6134969325153,2277.9835629123745,2293.070185592468
YISHUN,1993-12,MULTI GENERATION,325000.0,300000.0,350000.0,312500.0,337500.0,1988.2537782433037,1829.2682926829268,2147.239263803681,1908.7610354631154,2067.7465210234923
YISHUN,1994-01,MULTI GENERATION,350000.0,300000.0,375000.0,320000.0,360000.0,2105.2631578947367,1787.7094972067039,2286.5853658536585,2040.8163265306123,2147.239263803681
YISHUN,1994-02,MULTI GENERATION,387000.0,387000.0,387000.0,387000.0,387000.0,2562.9139072847684,2562.9139072847684,2562.9139072847684,2562.9139072847684,2562.9139072847684
YISHUN,1994-03,MULTI GENERATION,380000.0,320000.0,385000.0,350000.0,382500.0,2222.222222222222,1787.7094972067039,2347.560975609756,2004.965859714463,2284.891598915989
YISHUN,1994-04,MULTI GENERATION,372500.0,345000.0,400000.0,358750.0,386250.0,2304.4178554993096,2169.811320754717,2439.0243902439024,2237.1145881270136,2371.721122871606
YISHUN,1994-06,MULTI GENERATION,420000.0,420000.0,420000.0,420000.0,420000.0,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976,2560.9756097560976
YISHUN,1994-07,MULTI GENERATION,430000.0,410000.0,430000.0,420000.0,430000.0,2514.6198830409357,2290.5027932960893,2514.6198830409357,2402.5613381685125,2514.6198830409357
YISHUN,1994-08,MULTI GENERATION,345000.0,345000.0,345000.0,345000.0,345000.0,2103.6585365853657,2103.6585365853657,2103.6585365853657,2103.6585365853657,2103.6585365853657
YISHUN,1994-09,MULTI GENERATION,420000.0,420000.0,420000.0,420000.0,420000.0,2456.1403508771928,2456.1403508771928,2456.1403508771928,2456.1403508771928,2456.1403508771928
YISHUN,1994-11,MULTI GENERATION,425000.0,425000.0,425000.0,425000.0,425000.0,2672.9559748427673,2672.9559748427673,2672.9559748427673,2672.9559748427673,2672.9559748427673
YISHUN,1995-01,MULTI GENERATION,508000.0,402000.0,515000.0,455000.0,511500.0,2877.094972067039,2662.251655629139,2970.7602339181285,2769.673313848089,2923.927602992584
YISHUN,1995-02,MULTI GENERATION,429000.0,368000.0,460000.0,409250.0,441250.0,2561.5639709028674,2152.0467836257308,2804.878048780488,2445.906432748538,2635.6707317073174
YISHUN,1995-04,MULTI GENERATION,465000.0,455000.0,510000.0,460000.0,487500.0,2835.3658536585367,2660.8187134502923,2849.1620111731845,2748.0922835544143,2842.263932415861
YISHUN,1995-05,MULTI GENERATION,500000.0,500000.0,500000.0,500000.0,500000.0,2793.2960893854747,2793.2960893854747,2793.2960893854747,2793.2960893854747,2793.2960893854747
YISHUN,1995-06,MULTI GENERATION,470000.0,470000.0,470000.0,470000.0,470000.0,2865.8536585365855,2865.8536585365855,2865.8536585365855,2865.8536585365855,2865.8536585365855
YISHUN,1995-07,MULTI GENERATION,475000.0,440800.0,516000.0,455200.0,496500.0,2896.3414634146343,2772.327044025157,3146.3414634146343,2796.7402975916552,3027.439024390244
YISHUN,1995-08,MULTI GENERATION,505000.0,505000.0,505000.0,505000.0,505000.0,2821.2290502793294,2821.2290502793294,2821.2290502793294,2821.2290502793294,2821.2290502793294
YISHUN,1995-11,MULTI GENERATION,497500.0,485000.0,510000.0,491250.0,503750.0,3080.03528148489,3050.314465408805,3109.756097560976,3065.174873446848,3094.895689522933
YISHUN,1996-01,MULTI GENERATION,523000.0,516000.0,530000.0,519500.0,526500.0,3189.0243902439024,3146.3414634146343,3231.7073170731705,3167.6829268292686,3210.3658536585363
YISHUN,1996-02,MULTI GENERATION,507500.0,465000.0,580000.0,476250.0,546250.0,3172.388160562238,2988.8268156424583,3536.5853658536585,3056.809352917237,3333.1259333001494
YISHUN,1996-03,MULTI GENERATION,560000.0,516000.0,560000.0,538000.0,560000.0,3274.8538011695905,2882.68156424581,3414.6341463414633,3078.7676827077003,3344.743973755527
YISHUN,1996-04,MULTI GENERATION,578000.0,578000.0,578000.0,578000.0,578000.0,3524.390243902439,3524.390243902439,3524.390243902439,3524.390243902439,3524.390243902439
YISHUN,1996-05,MULTI GENERATION,571000.0,562000.0,580000.0,566500.0,575500.0,3607.4710585988782,3391.812865497076,3823.1292517006805,3499.6419620479774,3715.300155149779
YISHUN,1996-07,MULTI GENERATION,594000.0,588000.0,600000.0,591000.0,597000.0,3829.2682926829266,3658.5365853658536,4000.0,3743.9024390243903,3914.6341463414633
YISHUN,1996-08,MULTI GENERATION,655000.0,640000.0,670000.0,647500.0,662500.0,3971.6429438375812,3918.12865497076,4025.1572327044023,3944.885799404171,3998.4000882709915
YISHUN,1996-09,MULTI GENERATION,670000.0,580000.0,705000.0,632500.0,693750.0,3950.9810600899305,3536.5853658536585,4035.0877192982457,3838.0569559885544,3981.3329054343176
YISHUN,1996-10,MULTI GENERATION,663500.0,645000.0,682000.0,654250.0,672750.0,3871.49134759504,3810.0558659217877,3932.9268292682927,3840.7736067584137,3902.2090884316667
YISHUN,1996-11,MULTI GENERATION,639000.0,638000.0,640000.0,638500.0,639500.0,3878.075692375593,3730.9941520467837,4025.1572327044023,3804.534922211188,3951.616462539998
YISHUN,1997-01,MULTI GENERATION,645000.0,590000.0,650000.0,617500.0,647500.0,4013.605442176871,3603.3519553072624,4304.635761589404,3808.4786987420666,4159.120601883137
YISHUN,1997-02,MULTI GENERATION,640000.0,640000.0,640000.0,640000.0,640000.0,3742.690058479532,3742.690058479532,3742.690058479532,3742.690058479532,3742.690058479532
YISHUN,1997-03,MULTI GENERATION,590000.0,590000.0,590000.0,590000.0,590000.0,3619.6319018404906,3619.6319018404906,3619.6319018404906,3619.6319018404906,3619.6319018404906
YISHUN,1997-06,MULTI GENERATION,585000.0,575000.0,595000.0,580000.0,590000.0,3567.0731707317073,3506.0975609756097,3628.048780487805,3536.5853658536585,3597.560975609756
YISHUN,1997-07,MULTI GENERATION,590000.0,585000.0,590000.0,587500.0,590000.0,3597.560975609756,3567.0731707317073,3597.560975609756,3582.3170731707314,3597.560975609756
YISHUN,1997-08,MULTI GENERATION,535000.0,530000.0,540000.0,532500.0,537500.0,3313.008130081301,3292.682926829268,3333.3333333333335,3302.8455284552847,3323.170731707317
YISHUN,1997-09,MULTI GENERATION,582000.0,556000.0,608000.0,569000.0,595000.0,3472.89972899729,3390.243902439024,3555.5555555555557,3431.5718157181573,3514.2276422764226
YISHUN,1997-10,MULTI GENERATION,545000.0,545000.0,545000.0,545000.0,545000.0,3323.170731707317,3323.170731707317,3323.170731707317,3323.170731707317,3323.170731707317
YISHUN,1997-11,MULTI GENERATION,570000.0,570000.0,570000.0,570000.0,570000.0,3584.9056603773583,3584.9056603773583,3584.9056603773583,3584.9056603773583,3584.9056603773583
YISHUN,1997-12,MULTI GENERATION,545000.0,530000.0,620000.0,537500.0,582500.0,3509.933774834437,3427.672955974843,3625.7309941520466,3468.80336540464,3567.832384493242
YISHUN,1998-01,MULTI GENERATION,573000.0,573000.0,573000.0,573000.0,573000.0,3201.117318435754,3201.117318435754,3201.117318435754,3201.117318435754,3201.117318435754
YISHUN,1998-02,MULTI GENERATION,528000.0,528000.0,528000.0,528000.0,528000.0,3219.512195121951,3219.512195121951,3219.512195121951,3219.512195121951,3219.512195121951
