town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,63800.0,30400.0,192000.0,42000.0,84000.0,698.9247311827957,447.05882352941177,1315.0684931506848,611.2244897959183,809.5238095238095
YISHUN,1990-02,51500.0,31000.0,150000.0,42500.0,69500.0,637.3134328358209,436.61971830985914,1034.4827586206898,625.0,761.5995115995116
YISHUN,1990-03,51000.0,30400.0,133000.0,42400.0,80700.0,637.3134328358209,410.81081081081084,1099.1735537190082,596.1265103056148,791.018821603928
YISHUN,1990-04,57500.0,33000.0,132000.0,42375.0,80000.0,676.8433179723502,464.7887323943662,1090.909090909091,623.1617647058823,733.1730769230769
YISHUN,1990-05,53500.0,31500.0,132000.0,42925.0,65000.0,643.1871890547263,463.2352941176471,1056.0,613.3241758241759,698.9247311827957
YISHUN,1990-06,57000.0,31000.0,192050.0,44500.0,65750.0,670.7865168539325,455.88235294117646,1315.4109589041095,616.2559618441971,750.0
YISHUN,1990-07,62000.0,30400.0,188000.0,42500.0,98975.0,673.5209235209236,453.7313432835821,1323.943661971831,613.3669885864794,791.8
YISHUN,1990-08,60000.0,28000.0,140980.0,43350.0,67500.0,674.1573033707865,437.5,1165.1239669421489,610.7320540156361,738.0952380952381
YISHUN,1990-09,62000.0,31000.0,190000.0,50000.0,80000.0,714.2857142857143,462.6865671641791,1250.0,612.2448979591836,795.6989247311828
YISHUN,1990-10,60000.0,32000.0,145200.0,42500.0,80200.0,674.1573033707865,470.5882352941176,1198.3471074380166,595.2380952380952,792.0
YISHUN,1990-11,60000.0,30000.0,150000.0,42925.0,85000.0,714.2857142857143,441.1764705882353,1147.5409836065573,623.5119047619048,810.8015447667087
YISHUN,1990-12,65000.0,31000.0,155000.0,51000.0,89900.0,714.2857142857143,455.88235294117646,1099.1735537190082,634.3283582089553,818.1818181818181
YISHUN,1991-01,60000.0,31000.0,164000.0,42500.0,76430.0,662.5417552383844,462.6865671641791,1170.8333333333333,617.6470588235294,807.7075621364357
YISHUN,1991-02,59950.0,31000.0,190000.0,49250.0,79500.0,697.6766513056835,462.6865671641791,1250.0,614.5357985837923,759.3151403831016
YISHUN,1991-03,53500.0,30400.0,189000.0,42500.0,75000.0,644.0092165898618,447.05882352941177,1330.9859154929577,601.0154061624651,738.0952380952381
YISHUN,1991-04,60000.0,30000.0,150000.0,42665.0,85525.0,678.2467532467533,428.57142857142856,1213.1147540983607,623.1617647058823,818.5096153846154
YISHUN,1991-05,63000.0,33000.0,166000.0,51000.0,95000.0,714.2857142857143,472.9166666666667,1371.900826446281,625.0,803.2786885245902
YISHUN,1991-06,63650.0,31000.0,182000.0,51500.0,90000.0,717.7197802197802,462.6865671641791,1281.6901408450703,634.3283582089553,843.3179723502304
YISHUN,1991-07,62000.0,31500.0,152000.0,50500.0,84960.0,729.6245421245421,470.14925373134326,1256.198347107438,634.3283582089553,816.1852352193262
YISHUN,1991-08,63000.0,28000.0,150000.0,45000.0,86000.0,721.1538461538462,437.5,1181.8181818181818,625.0,826.9230769230769
YISHUN,1991-09,60000.0,30500.0,193000.0,42500.0,96000.0,692.3076923076923,455.2238805970149,1359.1549295774648,615.3711484593837,884.1269841269841
YISHUN,1991-10,59500.0,31000.0,186000.0,42500.0,85700.0,712.5645438898451,455.88235294117646,1273.972602739726,625.0,810.0117096018735
YISHUN,1991-11,62000.0,30000.0,195000.0,42850.0,88000.0,716.2162162162163,422.53521126760563,1382.9787234042553,625.4411764705883,843.0232558139535
YISHUN,1991-12,62000.0,31000.0,170000.0,42530.0,88500.0,729.7297297297297,462.6865671641791,1272.7272727272727,625.4411764705883,825.8444997191688
YISHUN,1992-01,63000.0,35000.0,210000.0,52000.0,100000.0,756.7567567567568,511.9047619047619,1478.8732394366198,654.7619047619048,950.4132231404959
YISHUN,1992-02,58300.0,31000.0,186000.0,51000.0,85000.0,707.3170731707318,436.61971830985914,1309.8591549295775,647.8485370051635,817.3076923076923
YISHUN,1992-03,62150.0,37000.0,217000.0,51500.0,110000.0,742.4549549549549,520.0,1528.1690140845071,642.590618336887,1017.1930342384887
YISHUN,1992-04,65000.0,31000.0,207000.0,55750.0,99000.0,756.6959721938254,484.375,1417.8082191780823,670.3980099502487,909.75935828877
YISHUN,1992-05,62500.0,34000.0,172000.0,53875.0,90000.0,738.0952380952381,507.46268656716416,1421.4876033057851,672.1754807692307,876.6025641025641
YISHUN,1992-06,62000.0,30000.0,205000.0,45000.0,91000.0,714.2857142857143,468.75,1463.1147540983607,632.3529411764706,869.047619047619
YISHUN,1992-07,70000.0,31000.0,225000.0,56000.0,118000.0,787.6712328767123,455.88235294117646,1541.0958904109589,677.827380952381,1002.7170836635344
YISHUN,1992-08,65000.0,32000.0,215000.0,51000.0,101000.0,752.6881720430108,478.8732394366197,1472.6027397260275,635.1351351351351,977.9411764705883
YISHUN,1992-09,82500.0,31000.0,278000.0,56000.0,150000.0,833.3333333333334,454.54545454545456,1678.0821917808219,690.4761904761905,1220.189701897019
YISHUN,1992-10,77500.0,30000.0,258000.0,55250.0,118750.0,807.4088853418463,462.6865671641791,1602.7397260273972,698.9247311827957,1063.268049155146
YISHUN,1992-11,65500.0,27000.0,262000.0,48750.0,101250.0,800.3663003663004,421.875,1676.056338028169,671.2571164794584,1019.7944006999124
YISHUN,1992-12,77000.0,31000.0,253000.0,55000.0,118500.0,835.7142857142858,484.375,1744.8275862068965,661.0463400236127,1125.595238095238
YISHUN,1993-01,81000.0,30000.0,260000.0,60000.0,116500.0,932.3019530392803,455.88235294117646,1830.9859154929577,721.5882761816497,1177.2088353413656
YISHUN,1993-02,70000.0,28000.0,278000.0,55000.0,122000.0,861.1764705882352,417.910447761194,1816.9014084507041,671.1867491809246,1155.9622726251964
YISHUN,1993-03,86000.0,42000.0,250000.0,60000.0,136000.0,928.5714285714286,579.4392523364486,1760.5633802816901,738.0952380952381,1229.5081967213114
YISHUN,1993-04,98850.0,33000.0,270000.0,63500.0,138750.0,966.0633484162896,492.53731343283584,1849.3150684931506,760.9018264840182,1287.9807692307693
YISHUN,1993-05,117500.0,37000.0,320000.0,86000.0,179250.0,1199.183832102604,535.7142857142857,1979.4520547945206,963.0893300248139,1433.3465538515775
YISHUN,1993-06,137000.0,50000.0,295000.0,95000.0,180000.0,1322.314049586777,690.4761904761905,2295.0819672131147,1072.4789915966385,1517.8874674516019
YISHUN,1993-07,138000.0,30500.0,343000.0,95000.0,205000.0,1369.047619047619,448.52941176470586,2349.3150684931506,1169.2307692307693,1600.0
YISHUN,1993-08,149000.0,45000.0,380000.0,109250.0,221500.0,1485.8508977361437,703.125,2676.056338028169,1250.0,1773.5688829491035
YISHUN,1993-09,142750.0,35000.0,365000.0,109750.0,213500.0,1481.7045961624276,522.3880597014926,2500.0,1250.0,1748.7033342832715
YISHUN,1993-10,160000.0,37500.0,374000.0,124250.0,237250.0,1608.2589285714284,585.9375,2579.310344827586,1440.2472527472528,1922.1311475409836
YISHUN,1993-11,147000.0,63000.0,375000.0,110000.0,220000.0,1559.5238095238096,984.375,2500.0,1369.047619047619,1836.5384615384614
YISHUN,1993-12,160000.0,50000.0,385000.0,115000.0,235000.0,1622.0238095238096,735.2941176470588,2711.2676056338028,1408.403189531793,1942.267959313414
YISHUN,1994-01,155000.0,65000.0,378800.0,116500.0,232500.0,1571.4285714285713,955.8823529411765,2667.605633802817,1428.5714285714287,1893.036173960168
YISHUN,1994-02,154500.0,65000.0,395000.0,99000.0,230000.0,1607.142857142857,970.1492537313433,2705.4794520547944,1346.1852568235547,1911.2762237762238
YISHUN,1994-03,159500.0,60000.0,402000.0,119750.0,250000.0,1666.6666666666667,810.8108108108108,2753.4246575342468,1438.8736263736264,2032.6547067123563
YISHUN,1994-04,150000.0,70000.0,405000.0,101500.0,240000.0,1634.6153846153845,1011.9047619047619,2773.972602739726,1403.952205882353,1967.2131147540983
YISHUN,1994-05,147000.0,75000.0,380000.0,100000.0,223750.0,1661.6915422885572,914.6341463414634,2612.676056338028,1446.932006633499,2001.8939393939395
YISHUN,1994-06,163500.0,73000.0,420000.0,118750.0,255000.0,1669.1542288557214,1089.55223880597,2873.239436619718,1544.8606271777003,2088.4750495406233
YISHUN,1994-07,153000.0,70000.0,430000.0,99250.0,228500.0,1666.6666666666667,1000.0,2852.112676056338,1397.4384832593787,2017.8911997093815
YISHUN,1994-08,160000.0,45000.0,413000.0,120500.0,238750.0,1754.7387887193713,703.125,2908.450704225352,1548.2142857142858,2033.0351466715103
YISHUN,1994-09,161000.0,78000.0,443000.0,125000.0,240000.0,1741.9354838709678,1175.6756756756756,3119.718309859155,1562.5,2064.516129032258
YISHUN,1994-10,165000.0,79000.0,422000.0,112500.0,219500.0,1715.9842845326716,1128.5714285714287,2971.830985915493,1546.1225922953452,2113.397965670693
YISHUN,1994-11,170000.0,76000.0,443000.0,133000.0,265000.0,1819.047619047619,1187.5,3119.718309859155,1608.3333333333335,2165.611028315946
YISHUN,1994-12,160000.0,76000.0,415000.0,106000.0,208000.0,1726.1904761904761,1187.5,2862.0689655172414,1500.0,2047.6190476190477
YISHUN,1995-01,168000.0,70000.0,515000.0,118000.0,240000.0,1785.7142857142858,1093.75,2970.7602339181285,1593.9153439153438,2088.7616320687184
YISHUN,1995-02,164000.0,79000.0,460000.0,121500.0,219000.0,1770.8333333333333,1181.8181818181818,3014.0845070422533,1585.7843137254902,2084.6547314578006
YISHUN,1995-03,166000.0,80000.0,418000.0,111250.0,212750.0,1785.7142857142858,1216.2162162162163,2887.323943661972,1576.0380993150684,2085.3494623655915
YISHUN,1995-04,179000.0,85000.0,515000.0,147500.0,284000.0,1964.2857142857142,1328.125,2957.7464788732395,1757.866075030254,2305.260127354017
YISHUN,1995-05,195000.0,88000.0,505000.0,152000.0,295000.0,2031.25,1304.3478260869565,3169.0140845070423,1851.851851851852,2401.6393442622953
YISHUN,1995-06,194000.0,93000.0,550000.0,150250.0,257000.0,2067.3076923076924,1432.8358208955224,3154.9295774647885,1843.5706084959816,2404.594892812106
YISHUN,1995-07,197750.0,95000.0,558000.0,139500.0,304250.0,2111.4682368193603,1369.86301369863,3205.4794520547944,1815.842245989305,2506.1983471074377
YISHUN,1995-08,200000.0,95000.0,530000.0,162750.0,252750.0,2093.2301953039278,1342.4657534246576,3239.43661971831,1926.2974120224567,2414.286287410736
YISHUN,1995-09,185000.0,78000.0,543000.0,137750.0,268250.0,2119.0476190476193,1218.75,3310.9756097560976,1907.7380952380954,2444.8297914207005
YISHUN,1995-10,190000.0,97000.0,555000.0,138250.0,254400.0,2142.8571428571427,1515.625,3384.1463414634145,1932.508351047677,2466.1111111111113
YISHUN,1995-11,213000.0,101000.0,570000.0,156125.0,324000.0,2211.5384615384614,1578.125,3380.281690140845,2023.8095238095239,2657.220016919373
YISHUN,1995-12,216500.0,103000.0,593000.0,150750.0,310000.0,2285.714285714286,1363.6363636363637,3655.1724137931033,2014.9356617647059,2652.2698612862546
YISHUN,1996-01,203490.0,106000.0,576000.0,149500.0,275875.0,2297.6190476190477,1617.6470588235295,3911.5646258503402,2042.8413488114982,2641.640216579537
YISHUN,1996-02,220000.0,116000.0,620000.0,150000.0,280000.0,2336.996336996337,1616.4383561643835,3862.0689655172414,2137.065637065637,2666.6666666666665
YISHUN,1996-03,217400.0,90000.0,590000.0,158750.0,288000.0,2432.6933566052144,1343.2835820895523,3689.655172413793,2205.1930147058824,2788.4615384615386
YISHUN,1996-04,233000.0,109000.0,726800.0,158000.0,354000.0,2547.169811320755,1626.865671641791,4431.707317073171,2220.2380952380954,2979.418122860746
YISHUN,1996-05,230000.0,110000.0,630000.0,170000.0,308000.0,2640.625,1702.7027027027027,4219.178082191781,2369.0476190476193,2976.190476190476
YISHUN,1996-06,240000.0,104000.0,883000.0,175000.0,326250.0,2771.554847123605,1625.0,4721.92513368984,2457.8758445945946,3134.5215573035944
YISHUN,1996-07,278000.0,126000.0,667000.0,190000.0,380000.0,2942.8571428571427,1961.5384615384614,4246.575342465753,2611.9402985074626,3307.0866141732286
YISHUN,1996-08,263000.0,131000.0,730000.0,190000.0,379375.0,2962.2507122507122,1898.5507246376812,4382.191780821918,2660.957675753228,3350.0480102421852
YISHUN,1996-09,260000.0,135000.0,705000.0,190000.0,341000.0,2964.4444444444443,1891.8918918918919,4452.054794520548,2731.3432835820895,3314.285714285714
YISHUN,1996-10,263000.0,152000.0,715000.0,197000.0,350000.0,3009.7087378640776,2054.054054054054,4508.196721311476,2738.095238095238,3355.371900826446
YISHUN,1996-11,264000.0,114000.0,720000.0,210000.0,345000.0,3028.846153846154,1701.4925373134329,4467.213114754099,2809.5238095238096,3317.3076923076924
YISHUN,1996-12,260000.0,132000.0,625000.0,205000.0,338500.0,2982.9219288174513,2062.5,4401.408450704225,2808.219178082192,3246.9262295081967
YISHUN,1997-01,270500.0,152000.0,650000.0,218000.0,330000.0,2987.1983039791257,1404.109589041096,4310.3448275862065,2857.1428571428573,3241.559645174103
YISHUN,1997-02,300000.0,157000.0,640000.0,242875.0,331500.0,3032.612548741581,2397.2602739726026,3978.8732394366198,2881.868131868132,3213.992974238876
YISHUN,1997-03,278500.0,135000.0,600000.0,217250.0,330000.0,3000.0,2109.375,4137.931034482759,2857.1428571428573,3210.806939360178
YISHUN,1997-04,291000.0,146000.0,700000.0,226500.0,330900.0,2980.9523809523807,2073.170731707317,4330.985915492958,2857.1428571428573,3251.970458635884
YISHUN,1997-05,292750.0,150000.0,630000.0,235000.0,353250.0,3013.3053221288515,2238.805970149254,4295.774647887324,2857.1428571428573,3256.810631229236
YISHUN,1997-06,290000.0,154000.0,615000.0,235000.0,395500.0,3004.8076923076924,2406.25,4109.58904109589,2853.228962818004,3236.650485436893
YISHUN,1997-07,252500.0,132000.0,655000.0,222250.0,330000.0,2916.6666666666665,2062.5,4006.849315068493,2764.705882352941,3173.076923076923
YISHUN,1997-08,270000.0,155000.0,605000.0,222000.0,330000.0,2894.230769230769,2421.875,3732.394366197183,2752.8750826173164,3125.0
YISHUN,1997-09,251750.0,149000.0,608000.0,210500.0,315750.0,2835.820895522388,2292.3076923076924,4084.507042253521,2676.9957983193276,3054.6783313773603
YISHUN,1997-10,255000.0,134000.0,590000.0,204500.0,314000.0,2767.4418604651164,2093.75,3873.239436619718,2625.759264419058,3045.895620246525
YISHUN,1997-11,238000.0,130000.0,660000.0,191000.0,307000.0,2716.417910447761,2031.25,3753.4246575342468,2540.5405405405404,2951.923076923077
YISHUN,1997-12,217500.0,133000.0,620000.0,190000.0,290000.0,2585.404062229905,2078.125,4084.507042253521,2476.190476190476,2884.6153846153848
YISHUN,1998-01,223500.0,128000.0,605000.0,188000.0,290000.0,2577.140996418105,1938.2716049382716,3830.9859154929577,2440.4761904761904,2788.4615384615386
YISHUN,1998-02,245000.0,130000.0,528000.0,190875.0,289250.0,2559.5238095238096,2031.25,3861.788617886179,2416.1585365853657,2789.230769230769
YISHUN,1998-03,239400.0,125000.0,554000.0,185250.0,279500.0,2500.0,1953.125,3661.9718309859154,2336.049678164714,2697.27047146402
YISHUN,1998-04,240000.0,122000.0,512500.0,167000.0,280000.0,2451.923076923077,1906.25,3569.6338028169016,2265.0602409638554,2692.3076923076924
YISHUN,1998-05,225000.0,117000.0,530000.0,160000.0,269250.0,2380.9523809523807,1828.125,3732.394366197183,2208.955223880597,2584.5223325062034
YISHUN,1998-06,230000.0,120000.0,528800.0,165250.0,267375.0,2359.126984126984,1820.5128205128206,3309.8591549295775,2205.58017727639,2624.350112253338
YISHUN,1998-07,235000.0,117000.0,515000.0,160000.0,265000.0,2361.1111111111113,1828.125,3356.1643835616437,2166.6666666666665,2557.6923076923076
YISHUN,1998-08,221000.0,110000.0,545000.0,160000.0,260000.0,2296.296296296296,1692.3076923076924,3345.0704225352115,2134.439586645469,2536.061494712521
YISHUN,1998-09,220000.0,114000.0,536000.0,152000.0,260000.0,2288.4615384615386,1781.25,3415.492957746479,2097.143334447043,2527.4725274725274
YISHUN,1998-10,214000.0,110000.0,540000.0,151000.0,259750.0,2238.095238095238,1580.2469135802469,3415.492957746479,2053.8127413127413,2502.3809523809523
YISHUN,1998-11,212000.0,100000.0,530000.0,147250.0,251500.0,2211.5384615384614,1562.5,3352.112676056338,2034.2465753424658,2478.7998562702123
YISHUN,1998-12,180000.0,108000.0,482880.0,142080.0,244000.0,2142.8571428571427,1687.5,3400.56338028169,1990.4761904761904,2373.8317757009345
YISHUN,1999-01,207000.0,105000.0,480000.0,145875.0,246000.0,2190.2398676592225,1571.4285714285713,3082.1917808219177,2000.0,2375.0
YISHUN,1999-02,181000.0,106000.0,460000.0,161250.0,242000.0,2136.904761904762,1656.25,3116.4383561643835,2000.0,2386.482449589246
YISHUN,1999-03,212000.0,105000.0,570000.0,152500.0,241000.0,2166.6666666666665,1640.625,3049.2957746478874,1985.0746268656717,2374.313186813187
YISHUN,1999-04,215000.0,100000.0,454000.0,148000.0,250250.0,2182.8355155482814,1487.179487179487,3196.72131147541,1976.1904761904761,2410.5082417582416
YISHUN,1999-05,214550.0,104000.0,458000.0,141000.0,246500.0,2163.4615384615386,1625.0,2978.8732394366198,1970.1492537313434,2382.547559966915
YISHUN,1999-06,222000.0,103000.0,500000.0,150000.0,269500.0,2190.4761904761904,1609.375,3057.8512396694214,2005.952380952381,2479.3388429752067
YISHUN,1999-07,215000.0,105000.0,545000.0,148000.0,263875.0,2210.5311355311355,1640.625,3063.3802816901407,2027.7329568374344,2476.8510710069154
YISHUN,1999-08,219000.0,110000.0,503000.0,160500.0,269000.0,2321.4285714285716,1621.6216216216217,3273.972602739726,2104.4973544973545,2537.2517577402245
YISHUN,1999-09,212000.0,104000.0,470000.0,165000.0,261000.0,2361.1111111111113,1528.5714285714287,3274.6478873239435,2191.780821917808,2586.466165413534
YISHUN,1999-10,227000.0,123000.0,525000.0,173000.0,280000.0,2402.9850746268658,1833.3333333333333,3611.2676056338028,2229.5131485429993,2646.2249373433588
YISHUN,1999-11,228000.0,121000.0,470000.0,170000.0,276000.0,2416.6666666666665,1789.4736842105262,3197.278911564626,2238.095238095238,2648.1481481481483
YISHUN,1999-12,203000.0,119500.0,484000.0,166000.0,265000.0,2403.846153846154,1838.4615384615386,3346.7741935483873,2232.5119236883943,2630.8396464646466
YISHUN,2000-01,210000.0,120000.0,530000.0,169250.0,264750.0,2391.9465174129355,1707.3170731707316,3262.2950819672133,2250.9328358208954,2600.2579737335836
