town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,high,65000.0,31000.0,192000.0,41875.0,92250.0,714.2857142857143,455.88235294117646,1315.0684931506848,622.8050921861281,868.4668989547038
YISHUN,1990-02,high,55500.0,33000.0,120000.0,42550.0,92750.0,663.8948116560057,492.53731343283584,991.7355371900826,583.6693548387096,788.4920634920635
YISHUN,1990-03,high,65250.0,35000.0,133000.0,50750.0,85850.0,737.6152073732719,522.3880597014926,1099.1735537190082,622.0319225251076,819.5879120879121
YISHUN,1990-04,high,47250.0,37000.0,80000.0,41250.0,63750.0,637.1641791044776,552.2388059701492,769.2307692307693,606.6176470588235,701.7582098227259
YISHUN,1990-05,high,70000.0,42500.0,100000.0,42500.0,99000.0,673.0769230769231,634.3283582089553,826.4462809917355,634.3283582089553,818.1818181818181
YISHUN,1990-06,high,56000.0,42000.0,192050.0,51800.0,98700.0,654.7619047619048,569.2307692307693,1315.4109589041095,617.6470588235294,817.3076923076923
YISHUN,1990-07,high,94500.0,42500.0,145300.0,43775.0,103750.0,822.3140495867768,559.5238095238095,1023.6220472440945,635.0746268656717,859.7775175644028
YISHUN,1990-08,high,60000.0,32000.0,140000.0,51000.0,65000.0,674.1573033707865,470.5882352941176,1138.2113821138212,621.9512195121952,738.0952380952381
YISHUN,1990-09,high,66950.0,31000.0,99000.0,59750.0,81250.0,746.9102144674664,462.6865671641791,831.4606741573034,685.7590778786431,779.1771752837327
YISHUN,1990-10,high,60000.0,40000.0,140000.0,52000.0,62375.0,682.3167469234885,582.5242718446602,1157.0247933884298,621.8173836698859,714.2857142857143
YISHUN,1990-11,high,62000.0,40000.0,127500.0,45100.0,76650.0,698.5294117647059,550.561797752809,1036.5853658536585,614.1370611730083,810.0503663003662
YISHUN,1990-12,high,65000.0,35000.0,155000.0,50000.0,76500.0,698.9247311827957,514.7058823529412,1061.6438356164383,608.4494773519164,795.5586080586081
YISHUN,1991-01,high,60000.0,38000.0,100000.0,53500.0,80000.0,698.7951807228916,489.7959183673469,869.047619047619,619.047619047619,815.2380952380952
YISHUN,1991-02,high,56000.0,43000.0,158000.0,52500.0,82000.0,756.7567567567568,537.6344086021505,1112.6760563380283,617.9214929214929,792.1489917849141
