town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,low,53250.0,33000.0,100000.0,36375.0,65750.0,668.1190820093083,492.53731343283584,813.0081300813008,534.9264705882352,708.619874748907
YISHUN,1990-02,low,42500.0,31000.0,84900.0,42000.0,53500.0,634.3283582089553,436.61971830985914,816.3461538461538,626.8656716417911,712.4200426439232
YISHUN,1990-03,low,48000.0,32000.0,100000.0,42600.0,77750.0,648.6486486486486,477.6119402985075,826.4462809917355,626.4705882352941,782.5481256332321
YISHUN,1990-04,low,55000.0,39000.0,100000.0,48200.0,86500.0,654.7619047619048,498.9247311827957,809.9173553719008,577.922077922078,760.5769230769231
YISHUN,1990-05,low,58500.0,42000.0,132000.0,50500.0,65000.0,675.3246753246754,583.3333333333334,1056.0,623.4943977591037,698.9247311827957
YISHUN,1990-06,low,50250.0,36000.0,130000.0,41875.0,64000.0,627.4034240561897,529.4117647058823,1074.3801652892562,594.7206534893103,677.8210704361484
YISHUN,1990-07,low,58000.0,30400.0,126000.0,42000.0,80000.0,640.0,453.7313432835821,1041.3223140495868,617.6470588235294,738.0952380952381
YISHUN,1990-08,low,62000.0,28000.0,140980.0,37000.0,86500.0,690.4761904761905,437.5,1165.1239669421489,521.1267605633802,803.2786885245902
YISHUN,1990-09,low,60000.0,32000.0,141000.0,41750.0,63500.0,685.4010025062657,477.6119402985075,1165.2892561983472,597.0149253731344,752.9761904761905
YISHUN,1990-10,low,42000.0,32000.0,121500.0,38000.0,80200.0,617.6470588235294,477.6119402985075,972.0,558.8235294117648,771.1538461538462
YISHUN,1990-11,low,62000.0,32000.0,150000.0,43750.0,85000.0,714.2857142857143,477.6119402985075,1033.0578512396694,630.5970149253732,817.3076923076923
YISHUN,1990-12,low,64000.0,32000.0,127000.0,52200.0,83000.0,708.1081081081081,470.5882352941176,1049.5867768595042,656.8199841395717,756.1029879211698
YISHUN,1991-01,low,54500.0,31000.0,150000.0,42000.0,72250.0,634.3283582089553,462.6865671641791,1125.0,612.4540441176471,767.5675675675676
YISHUN,1991-02,low,57750.0,32000.0,131000.0,49250.0,73750.0,688.0201109570041,477.6119402985075,1082.6446280991736,633.0677692617991,756.1183230474569
YISHUN,1991-03,low,58000.0,30400.0,140000.0,42000.0,78000.0,662.1621621621622,447.05882352941177,1102.3622047244094,625.0,738.0952380952381
YISHUN,1991-04,low,60000.0,30400.0,150000.0,44425.0,65000.0,650.289369479135,447.05882352941177,993.3774834437086,616.296518607443,702.7649769585253
YISHUN,1991-05,low,62000.0,35000.0,145000.0,51000.0,91250.0,714.2857142857143,472.9166666666667,993.1506849315068,622.0238095238095,789.4426229508197
YISHUN,1991-06,low,58000.0,31000.0,128000.0,45250.0,87750.0,716.2162162162163,462.6865671641791,1049.1803278688524,634.1918456497998,894.6164252745504
YISHUN,1991-07,low,59000.0,35000.0,152000.0,43500.0,75875.0,683.9477726574501,496.42857142857144,1256.198347107438,603.1548465758992,752.5675675675676
YISHUN,1991-08,low,75000.0,33000.0,150000.0,44250.0,103500.0,716.0714285714286,492.53731343283584,1157.0247933884298,626.4880952380952,900.5681818181819
YISHUN,1991-09,low,89500.0,30500.0,146000.0,44375.0,116750.0,781.6710064530737,455.2238805970149,1206.611570247934,614.2331932773109,991.2572444678609
YISHUN,1991-10,low,51500.0,31000.0,170000.0,42500.0,62000.0,634.3283582089553,455.88235294117646,1164.3835616438357,557.1750321750321,738.0952380952381
YISHUN,1991-11,low,56000.0,30500.0,195000.0,42000.0,72000.0,698.7951807228916,455.2238805970149,1373.2394366197184,606.9004524886877,815.2426620168555
YISHUN,1991-12,low,64300.0,42000.0,170000.0,52500.0,85000.0,743.2432432432432,535.7142857142857,1164.3835616438357,634.3283582089553,864.7992652847022
YISHUN,1992-01,low,74000.0,35000.0,175000.0,50000.0,100000.0,756.7567567567568,511.9047619047619,1295.0819672131147,626.8656716417911,952.3809523809524
YISHUN,1992-02,low,58300.0,31000.0,186000.0,46250.0,87500.0,738.0952380952381,436.61971830985914,1309.8591549295775,627.9761904761905,817.7447552447552
YISHUN,1992-03,low,59500.0,40000.0,170000.0,50000.0,130000.0,743.2432432432432,520.0,1229.5081967213114,617.6470588235294,1063.8297872340424
YISHUN,1992-04,low,65000.0,37500.0,178000.0,58300.0,98000.0,726.1904761904761,561.7977528089888,1219.1780821917807,671.6417910447761,857.1428571428571
YISHUN,1992-05,low,64000.0,42000.0,141300.0,58000.0,108000.0,738.0952380952381,598.5915492957746,1167.7685950413222,684.931506849315,901.639344262295
YISHUN,1992-06,low,58000.0,37000.0,205000.0,46500.0,90500.0,690.4761904761905,480.5194805194805,1443.661971830986,629.6093064091308,841.9871794871794
YISHUN,1992-07,low,63000.0,31000.0,163000.0,52500.0,118000.0,776.6990291262136,455.88235294117646,1325.2032520325204,643.5574229691877,988.2920110192838
YISHUN,1992-08,low,65000.0,34000.0,210000.0,51000.0,102000.0,739.7260273972603,478.8732394366197,1438.3561643835617,670.7485817074858,1005.7789432789433
YISHUN,1992-09,low,68000.0,35000.0,245000.0,55000.0,98700.0,809.016393442623,454.54545454545456,1678.0821917808219,670.7317073170732,1023.8095238095239
YISHUN,1992-10,low,59000.0,31000.0,220500.0,51000.0,85000.0,756.7567567567568,462.6865671641791,1450.8196721311476,662.9213483146067,906.25
YISHUN,1992-11,low,71500.0,40000.0,180000.0,48250.0,87050.0,816.0278745644599,547.6190476190476,1241.3793103448277,679.6218487394958,963.6422136422136
YISHUN,1992-12,low,75000.0,36000.0,230000.0,55000.0,108750.0,787.6213592233009,537.3134328358209,1575.3424657534247,654.7619047619048,1063.2659557536208
YISHUN,1993-01,low,83500.0,40000.0,260000.0,60000.0,108500.0,872.2527472527472,547.945205479452,1830.9859154929577,731.8493150684932,1228.6009445100353
YISHUN,1993-02,low,66000.0,30000.0,258000.0,44750.0,106900.0,820.8955223880597,468.75,1816.9014084507041,634.7317466720451,1067.4230568596765
YISHUN,1993-03,low,85000.0,47000.0,215000.0,60000.0,110000.0,850.7462686567164,587.6288659793814,1514.0845070422536,738.0952380952381,1055.5072005064092
YISHUN,1993-04,low,85000.0,38000.0,270000.0,58000.0,177000.0,833.3333333333334,584.6153846153846,1849.3150684931506,702.3809523809524,1416.0
YISHUN,1993-05,low,100000.0,56000.0,289000.0,86000.0,173000.0,1071.4285714285713,656.25,1979.4520547945206,865.3846153846154,1322.314049586777
YISHUN,1993-06,low,138000.0,60000.0,295000.0,95000.0,233640.0,1380.952380952381,810.8108108108108,2020.5479452054794,1079.5454545454545,1532.142857142857
YISHUN,1993-07,low,105000.0,45000.0,305000.0,80000.0,170000.0,1223.8805970149253,661.7647058823529,2089.041095890411,1102.9411764705883,1509.433962264151
YISHUN,1993-08,low,162500.0,68000.0,380000.0,130000.0,265000.0,1528.8461538461538,1000.0,2676.056338028169,1307.414470642626,1875.0
YISHUN,1993-09,low,137000.0,52000.0,365000.0,96250.0,221250.0,1459.6368212873067,690.4761904761905,2500.0,1154.532967032967,1822.3742277140336
YISHUN,1993-10,low,170000.0,37500.0,350000.0,125000.0,232500.0,1634.6153846153845,585.9375,2422.5352112676055,1483.843537414966,1913.8963692079117
YISHUN,1993-11,low,156000.0,63000.0,320000.0,120000.0,187500.0,1547.6190476190477,984.375,2352.4590163934427,1402.815934065934,1789.3522202769377
YISHUN,1993-12,low,149000.0,57600.0,357000.0,92250.0,234250.0,1632.1225071225072,778.3783783783783,2480.314960629921,1279.8763736263736,1940.307222421847
YISHUN,1994-01,low,156000.0,72000.0,365000.0,120000.0,200250.0,1572.7513227513227,1102.9411764705883,2570.4225352112676,1432.0054945054947,1854.5416197975253
YISHUN,1994-02,low,160000.0,72000.0,395000.0,120000.0,245000.0,1642.857142857143,974.025974025974,2705.4794520547944,1428.5714285714287,1967.2131147540983
YISHUN,1994-03,low,150000.0,73000.0,402000.0,93000.0,250000.0,1628.5714285714287,970.8737864077669,2753.4246575342468,1322.2124670763828,2029.0633608815426
YISHUN,1994-04,low,168000.0,73000.0,388000.0,109000.0,244000.0,1666.6666666666667,1119.402985074627,2732.394366197183,1435.907335907336,2004.0983606557377
YISHUN,1994-05,low,138000.0,80000.0,375000.0,100000.0,192875.0,1611.2637362637363,1121.6216216216217,2568.4931506849316,1429.860830980234,2037.2208436724568
YISHUN,1994-06,low,171500.0,85000.0,408000.0,141250.0,271875.0,1710.0840336134454,1175.6756756756756,2873.239436619718,1588.8560687432869,2228.4836065573772
YISHUN,1994-07,low,145000.0,77000.0,399000.0,105000.0,194000.0,1666.6666666666667,1189.1891891891892,2809.8591549295775,1452.1984671238401,1880.2910052910051
YISHUN,1994-08,low,140000.0,75000.0,413000.0,97000.0,199500.0,1666.6666666666667,1171.875,2908.450704225352,1383.2190399354577,1974.7841444270016
YISHUN,1994-09,low,172000.0,82000.0,420000.0,120000.0,255000.0,1796.116504854369,1229.7297297297298,2823.943661971831,1567.0103092783504,2023.8095238095239
YISHUN,1994-10,low,169000.0,80000.0,407000.0,138500.0,248250.0,1698.9605543710022,1148.6486486486488,2866.1971830985917,1616.3003663003665,2125.2201598699367
YISHUN,1994-11,low,157000.0,80000.0,390000.0,133000.0,245000.0,1728.5714285714287,1189.1891891891892,2650.4065040650407,1583.3333333333333,2026.923076923077
YISHUN,1994-12,low,165000.0,81000.0,398000.0,136000.0,211500.0,1738.095238095238,1195.121951219512,2744.8275862068967,1619.047619047619,2071.5316024127983
YISHUN,1995-01,low,172000.0,85000.0,515000.0,136000.0,270000.0,1839.2857142857142,1246.5753424657535,2970.7602339181285,1596.1538461538462,2198.4732824427483
YISHUN,1995-02,low,164500.0,79000.0,428000.0,140750.0,225500.0,1794.1849816849817,1189.1891891891892,3014.0845070422533,1670.3980099502487,2132.499884882811
YISHUN,1995-03,low,151000.0,80000.0,410000.0,117250.0,200000.0,1778.5714285714284,1250.0,2852.112676056338,1607.6038725292458,2023.2142857142858
YISHUN,1995-04,low,174500.0,99500.0,515000.0,131500.0,201250.0,1832.4561403508771,1485.0746268656717,2917.8082191780823,1691.001400560224,2134.6153846153848
YISHUN,1995-05,low,201000.0,88000.0,505000.0,163750.0,303500.0,2103.1746031746034,1375.0,3079.268292682927,1931.4143567874912,2438.5123966942147
YISHUN,1995-06,low,190000.0,93000.0,450000.0,145000.0,308000.0,2028.8461538461538,1453.125,3082.1917808219177,1865.6716417910447,2537.190082644628
YISHUN,1995-07,low,215500.0,95000.0,545000.0,148250.0,305000.0,2087.1161548731643,1394.3661971830986,3205.4794520547944,1844.8660714285713,2489.6694214876034
YISHUN,1995-08,low,200000.0,95000.0,520000.0,166600.0,280750.0,2114.8351648351645,1472.972972972973,3140.243902439024,1944.2883895131085,2328.397673188789
YISHUN,1995-09,low,192500.0,108000.0,543000.0,162500.0,282000.0,2140.2503216750497,1617.6470588235295,3310.9756097560976,1957.273320287019,2398.4821996185633
YISHUN,1995-10,low,186750.0,107000.0,530000.0,134000.0,249250.0,2133.333333333333,1558.4415584415585,3231.7073170731705,1901.1194029850747,2409.8264195351576
YISHUN,1995-11,low,221000.0,105000.0,517000.0,166000.0,327375.0,2222.5274725274726,1621.6216216216217,3380.281690140845,2023.8095238095239,2700.5895988711954
YISHUN,1995-12,low,205000.0,107000.0,590000.0,143000.0,277000.0,2259.6153846153848,1611.9402985074628,3259.6685082872928,1972.972972972973,2653.846153846154
YISHUN,1996-01,low,232000.0,112000.0,555000.0,177000.0,306800.0,2368.9320388349515,1750.0,3561.6438356164385,2165.3333333333335,2644.230769230769
YISHUN,1996-02,low,230500.0,116000.0,600000.0,147500.0,268500.0,2303.471107544141,1616.4383561643835,3658.5365853658536,2044.7761194029852,2600.9615384615386
YISHUN,1996-03,low,202250.0,129000.0,590000.0,150000.0,327500.0,2380.9523809523807,1911.764705882353,3626.760563380282,2176.2035472972975,2801.795088113986
YISHUN,1996-04,low,225000.0,125000.0,585000.0,160000.0,295000.0,2576.923076923077,1911.764705882353,4049.2957746478874,2208.955223880597,2836.5384615384614
YISHUN,1996-05,low,252500.0,110000.0,630000.0,178250.0,311000.0,2659.683510160043,1718.75,4219.178082191781,2395.7745058491328,3050.669983150124
YISHUN,1996-06,low,237500.0,104000.0,635000.0,172750.0,311750.0,2750.7893226176807,1625.0,4154.929577464789,2438.432835820896,3094.8621553884714
YISHUN,1996-07,low,256000.0,126000.0,667000.0,187250.0,350500.0,2918.2692307692305,1968.75,4246.575342465753,2565.556628056628,3258.0511863503066
YISHUN,1996-08,low,263500.0,140000.0,660000.0,183750.0,348500.0,2934.523809523809,1958.9041095890411,4246.575342465753,2645.2702702702704,3280.325443786982
YISHUN,1996-09,low,270000.0,151000.0,616000.0,185000.0,348000.0,2916.6666666666665,2253.731343283582,4338.028169014085,2702.7027027027025,3349.5145631067962
YISHUN,1996-10,low,242000.0,153000.0,680000.0,193250.0,329500.0,2902.9850746268658,2390.625,4508.196721311476,2656.25,3265.5423280423283
YISHUN,1996-11,low,257000.0,155000.0,720000.0,226500.0,349000.0,3009.7087378640776,2279.4117647058824,4212.328767123287,2827.824812764572,3279.208023159636
YISHUN,1996-12,low,270000.0,155000.0,625000.0,205000.0,335000.0,3000.0,2384.6153846153848,4401.408450704225,2833.3333333333335,3214.285714285714
YISHUN,1997-01,low,272000.0,152000.0,650000.0,205000.0,321000.0,2980.769230769231,2229.7297297297296,4304.635761589404,2840.804394046775,3172.5111323155215
YISHUN,1997-02,low,303500.0,163000.0,630000.0,248500.0,342000.0,2980.769230769231,2546.875,3841.4634146341464,2880.8635394456287,3233.173076923077
YISHUN,1997-03,low,288000.0,145000.0,590000.0,210000.0,326500.0,3014.9253731343283,2260.27397260274,4042.553191489362,2797.6190476190477,3213.1147540983607
YISHUN,1997-04,low,288000.0,168000.0,555000.0,212000.0,318000.0,2918.269230769231,2554.054054054054,3801.3698630136987,2833.3333333333335,3076.923076923077
YISHUN,1997-05,low,258500.0,172000.0,620000.0,226250.0,332750.0,2950.7090132090134,2675.675675675676,3958.904109589041,2838.6056511056513,3193.9234808702176
YISHUN,1997-06,low,304500.0,170000.0,585000.0,237125.0,385750.0,3010.80674988442,2656.25,4006.849315068493,2883.6996336996335,3204.176891070095
YISHUN,1997-07,low,301250.0,176000.0,580000.0,224250.0,413500.0,3002.835332606325,2608.108108108108,3943.6619718309857,2794.9929971988795,3319.062774363477
YISHUN,1997-08,low,263000.0,180000.0,580000.0,215000.0,385000.0,2916.6666666666665,2428.5714285714284,3732.394366197183,2726.190476190476,3183.3333333333335
YISHUN,1997-09,low,257000.0,149000.0,600000.0,199000.0,303000.0,2771.153846153846,2292.3076923076924,4084.507042253521,2641.653290529695,2983.4656084656085
YISHUN,1997-10,low,257500.0,134000.0,550000.0,197750.0,302750.0,2734.719260838664,2093.75,3873.239436619718,2575.626831650928,2963.2591093117408
YISHUN,1997-11,low,223000.0,136000.0,409000.0,180000.0,310000.0,2643.8356164383563,2125.0,3380.1652892561983,2432.4324324324325,2892.561983471074
YISHUN,1997-12,low,228000.0,140000.0,620000.0,207125.0,288750.0,2619.0476190476193,2187.5,3625.7309941520466,2525.3872633390706,2834.867294520548
YISHUN,1998-01,low,238000.0,130000.0,555000.0,185000.0,291750.0,2613.662456946039,2031.25,3801.3698630136987,2459.381644223955,2795.6730769230767
YISHUN,1998-02,low,245000.0,131000.0,528000.0,193000.0,300000.0,2557.6923076923076,2046.875,3561.6438356164385,2388.0597014925374,2798.076923076923
YISHUN,1998-03,low,231000.0,126500.0,554000.0,188000.0,273000.0,2524.2718446601943,1976.5625,3661.9718309859154,2340.316489839957,2674.7572815533977
YISHUN,1998-04,low,233500.0,126000.0,500888.0,179500.0,277125.0,2471.5319792566984,1968.75,3430.7397260273974,2264.271371199082,2692.3076923076924
YISHUN,1998-05,low,227000.0,125000.0,511000.0,160000.0,259000.0,2380.9523809523807,1953.125,3556.3380281690143,2211.6204690831555,2558.8457344182534
YISHUN,1998-06,low,238000.0,120000.0,476500.0,162000.0,259000.0,2388.349514563107,1820.5128205128206,3263.698630136986,2202.3809523809523,2586.9565217391305
YISHUN,1998-07,low,233000.0,118000.0,490000.0,155000.0,259500.0,2336.5384615384614,1843.75,3356.1643835616437,2147.6316223799304,2509.9587912087914
YISHUN,1998-08,low,194750.0,122000.0,545000.0,154500.0,257375.0,2297.6190476190477,1906.25,3345.0704225352115,2096.5707178393745,2501.3440860215055
YISHUN,1998-09,low,194000.0,114500.0,536000.0,147500.0,318000.0,2287.128712871287,1789.0625,3347.1074380165287,2129.609306409131,2628.099173553719
YISHUN,1998-10,low,187000.0,113000.0,498000.0,148125.0,259000.0,2211.5384615384614,1646.341463414634,3410.958904109589,2032.3660714285716,2471.2615009422457
