town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,mid,53850.0,32000.0,127000.0,42375.0,88250.0,666.6265446958755,470.5882352941176,1016.0,623.1617647058823,809.6221959858324
YISHUN,1990-02,mid,51750.0,35000.0,69000.0,47375.0,56250.0,665.3757415952538,514.7058823529412,821.4285714285714,599.713055954089,732.3841698841699
YISHUN,1990-03,mid,58500.0,30400.0,128000.0,41875.0,92250.0,668.416350234532,447.05882352941177,1015.8730158730159,584.5588235294117,845.5135773317592
YISHUN,1990-04,mid,52000.0,33000.0,110000.0,39910.0,70000.0,702.7027027027027,464.7887323943662,909.0909090909091,595.6716417910447,717.7197802197802
YISHUN,1990-05,mid,47500.0,31500.0,77000.0,40700.0,57250.0,648.2764747690121,463.2352941176471,777.7777777777778,600.4499561018438,686.3139735480161
YISHUN,1990-06,mid,57000.0,31000.0,85000.0,48725.0,65375.0,693.8419064225516,455.88235294117646,913.9784946236559,638.7811512811513,750.0
YISHUN,1990-07,mid,65000.0,33000.0,188000.0,42375.0,99000.0,747.4259974259974,485.29411764705884,1323.943661971831,592.2020889381231,817.5262237762238
YISHUN,1990-08,mid,64000.0,46500.0,76000.0,58750.0,65000.0,661.4583333333334,609.5238095238095,817.2043010752689,623.7129987129987,714.3272304562627
YISHUN,1990-09,mid,62300.0,48000.0,135000.0,51700.0,110000.0,741.6666666666666,537.6344086021505,1115.702479338843,698.6486486486486,909.090909090909
YISHUN,1990-10,mid,60000.0,32000.0,145000.0,44975.0,88000.0,694.7004608294931,470.5882352941176,1198.3471074380166,637.2631225893007,817.5619834710743
YISHUN,1990-11,mid,57444.0,30000.0,140000.0,51250.0,85000.0,716.2160278745645,441.1764705882353,1147.5409836065573,634.9724591329069,810.9875097580016
YISHUN,1990-12,mid,70000.0,31000.0,133000.0,49000.0,105000.0,796.2962962962963,455.88235294117646,1099.1735537190082,679.8220436280137,904.7437848807713
YISHUN,1991-01,mid,62000.0,35000.0,164000.0,48000.0,93000.0,738.0952380952381,522.3880597014926,1170.8333333333333,645.1612903225806,833.3333333333334
YISHUN,1991-02,mid,56650.0,31000.0,70000.0,39750.0,62750.0,639.6971691902568,462.6865671641791,756.7567567567568,546.875,720.2380952380953
YISHUN,1991-03,mid,50000.0,37000.0,189000.0,42000.0,75000.0,671.6417910447761,552.2388059701492,1330.9859154929577,617.6470588235294,803.2786885245902
YISHUN,1991-04,mid,63700.0,34000.0,148000.0,51000.0,86000.0,677.922077922078,507.46268656716416,1213.1147540983607,641.7910447761194,826.4462809917355
YISHUN,1991-05,mid,62500.0,42000.0,155000.0,55875.0,105000.0,714.2857142857143,571.4285714285714,1091.5492957746478,625.0,859.5380029806258
YISHUN,1991-06,mid,65000.0,42000.0,182000.0,50000.0,78000.0,684.2105263157895,595.2380952380952,1281.6901408450703,626.8656716417911,814.6341463414634
YISHUN,1991-07,mid,59000.0,31500.0,135000.0,42200.0,84980.0,710.843373493976,470.14925373134326,1106.5573770491803,620.5882352941177,817.3076923076923
YISHUN,1991-08,mid,60000.0,33000.0,143000.0,50000.0,80000.0,728.1553398058253,485.29411764705884,1181.8181818181818,627.9761904761905,822.6323407775021
YISHUN,1991-09,mid,60000.0,31000.0,193000.0,42500.0,110000.0,698.9247311827957,455.88235294117646,1359.1549295774648,627.9411764705883,873.015873015873
YISHUN,1991-10,mid,68000.0,33500.0,180000.0,42500.0,99000.0,776.6990291262136,492.6470588235294,1232.876712328767,626.8656716417911,826.4462809917355
YISHUN,1991-11,mid,62000.0,30000.0,195000.0,42500.0,100000.0,738.0952380952381,422.53521126760563,1382.9787234042553,625.0,885.7142857142857
YISHUN,1991-12,mid,56000.0,31000.0,154000.0,41000.0,63580.0,714.2857142857143,462.6865671641791,1272.7272727272727,607.9640858208955,761.9400222139948
YISHUN,1992-01,mid,65500.0,40000.0,195500.0,50750.0,114750.0,785.7142857142858,537.6344086021505,1339.041095890411,645.7352941176471,1036.9834710743803
YISHUN,1992-02,mid,61000.0,38000.0,160000.0,53000.0,77500.0,740.0,535.7142857142857,1095.890410958904,677.1235521235521,901.1698265429609
YISHUN,1992-03,mid,58440.0,37500.0,190000.0,44250.0,78875.0,699.565637065637,567.1641791044776,1338.0281690140846,636.1940298507463,766.1122661122662
YISHUN,1992-04,mid,75000.0,31000.0,207000.0,55000.0,104500.0,792.6829268292682,484.375,1417.8082191780823,666.2087912087912,887.3812754409769
YISHUN,1992-05,mid,61000.0,34000.0,148000.0,56500.0,78250.0,753.0487804878048,507.46268656716416,1233.009708737864,703.1370656370657,857.1428571428571
YISHUN,1992-06,mid,64000.0,32000.0,178500.0,43000.0,85000.0,738.0952380952381,470.5882352941176,1463.1147540983607,634.3283582089553,869.047619047619
YISHUN,1992-07,mid,65000.0,42000.0,225000.0,60000.0,140000.0,825.242718446602,578.3132530120482,1541.0958904109589,714.2857142857143,1157.0247933884298
YISHUN,1992-08,mid,61000.0,32000.0,174000.0,45500.0,88750.0,726.1904761904761,493.82716049382714,1438.01652892562,611.7288378766141,893.1024332810048
YISHUN,1992-09,mid,138500.0,40000.0,278000.0,73750.0,174500.0,1140.5143935818783,540.5405405405405,1553.072625698324,751.4799635701276,1377.7265953122883
YISHUN,1992-10,mid,99500.0,30000.0,258000.0,54500.0,142000.0,960.8785822021116,468.75,1508.7719298245613,748.2904591338327,1237.603305785124
YISHUN,1992-11,mid,63000.0,32000.0,238000.0,47000.0,85500.0,817.0731707317074,477.6119402985075,1676.056338028169,671.6417910447761,952.3809523809524
YISHUN,1992-12,mid,70000.0,31000.0,248000.0,52000.0,108000.0,833.3333333333334,484.375,1698.6301369863013,675.6756756756756,1065.5737704918033
YISHUN,1993-01,mid,85000.0,41000.0,182000.0,62250.0,121750.0,975.67424643046,604.1666666666666,1491.8032786885246,765.4087013843111,1190.6602789109193
YISHUN,1993-02,mid,86000.0,28000.0,278000.0,58000.0,125000.0,799.2125984251968,417.910447761194,1654.9295774647887,679.6116504854369,1303.27868852459
YISHUN,1993-03,mid,91500.0,45000.0,208000.0,78875.0,135375.0,1013.3526383526385,579.4392523364486,1557.377049180328,826.4471939902784,1235.8330706179067
YISHUN,1993-04,mid,99000.0,37500.0,240000.0,73875.0,127250.0,941.6126042632067,585.9375,1690.1408450704225,806.7859394703657,1260.3394346617238
YISHUN,1993-05,mid,123500.0,40000.0,280000.0,76500.0,165000.0,1160.2564102564102,547.6190476190476,1931.0344827586207,970.2380952380952,1371.6283716283717
YISHUN,1993-06,mid,136400.0,70000.0,295000.0,98750.0,177500.0,1305.1953783198267,1000.0,2077.4647887323945,1135.949104412407,1531.9401165153772
YISHUN,1993-07,mid,140000.0,30500.0,343000.0,100500.0,212000.0,1404.7619047619048,448.52941176470586,2349.3150684931506,1164.2813330607237,1664.7425536827523
YISHUN,1993-08,mid,157000.0,68000.0,345000.0,123000.0,224500.0,1522.0856102003643,986.3013698630137,2363.013698630137,1336.996336996337,1787.190082644628
YISHUN,1993-09,mid,128000.0,45000.0,320000.0,91000.0,189750.0,1498.6169652265544,535.7142857142857,2276.4227642276423,1206.2728937728937,1699.567840834964
YISHUN,1993-10,mid,165000.0,63000.0,350000.0,119700.0,247250.0,1644.3821564885498,851.3513513513514,2397.2602739726026,1405.786607970343,2026.725122623127
YISHUN,1993-11,mid,164000.0,80000.0,361000.0,123750.0,245000.0,1635.7103372028746,1081.081081081081,2500.0,1419.986263736264,2026.725122623127
YISHUN,1993-12,mid,159000.0,50000.0,375000.0,94750.0,241250.0,1645.6043956043957,781.25,2640.845070422535,1380.0482879719052,1983.4710743801652
