town,month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
YISHUN,1990-01,very low,59900.0,30400.0,98700.0,42500.0,77500.0,690.0,447.05882352941177,833.3333333333334,611.2244897959183,776.8595041322315
YISHUN,1990-02,very low,53250.0,37000.0,150000.0,42550.0,68750.0,640.2761457109283,504.05405405405406,1034.4827586206898,625.0,751.6542597187758
YISHUN,1990-03,very low,44750.0,30400.0,123000.0,41500.0,61500.0,625.0,410.81081081081084,968.503937007874,574.1661613098847,670.5700397702165
YISHUN,1990-04,very low,79000.0,42000.0,132000.0,61625.0,98175.0,755.46973518285,625.0,1090.909090909091,627.7530032763013,811.7649396058487
YISHUN,1990-05,very low,53500.0,42300.0,85800.0,47750.0,62390.0,609.106334841629,536.5853658536586,825.0,576.5625,641.087160262418
YISHUN,1990-06,very low,76500.0,63000.0,90000.0,69750.0,83250.0,767.2811059907833,677.4193548387096,857.1428571428571,722.3502304147465,812.2119815668202
YISHUN,1990-07,very low,42560.0,36000.0,115000.0,40000.0,58150.0,625.8823529411765,493.1506849315069,756.578947368421,546.7583807716635,666.1290322580645
YISHUN,1990-08,very low,50000.0,41000.0,86000.0,42550.0,64350.0,621.3235294117646,520.8333333333334,819.047619047619,599.4136460554371,699.7311827956989
YISHUN,1990-09,very low,56000.0,31000.0,190000.0,42375.0,79000.0,683.0821205821205,462.6865671641791,1250.0,569.5665508076058,757.669413919414
YISHUN,1990-10,very low,57000.0,35000.0,145200.0,47250.0,82795.0,584.841628959276,479.45205479452056,994.5205479452055,556.2836021505376,774.4971804511279
YISHUN,1990-11,very low,58400.0,31000.0,117000.0,42375.0,95000.0,675.7423756019261,455.88235294117646,966.9421487603306,580.4794520547946,809.9173553719008
YISHUN,1990-12,very low,72000.0,37500.0,100000.0,56000.0,86600.0,727.5132275132275,535.7142857142857,923.0769230769231,651.0063319764813,818.1818181818181
YISHUN,1991-01,very low,49500.0,38000.0,135000.0,42125.0,65000.0,622.4173553719008,520.5479452054794,1115.702479338843,581.6441441441441,675.5091292134832
YISHUN,1991-02,very low,81000.0,38000.0,190000.0,65000.0,117000.0,778.8461538461538,558.8235294117648,1250.0,698.9247311827957,975.0
YISHUN,1991-03,very low,44000.0,31500.0,91000.0,41000.0,52000.0,590.9090909090909,463.2352941176471,1083.3333333333333,516.1290322580645,625.0
YISHUN,1991-04,very low,60000.0,30000.0,102500.0,42545.0,75500.0,714.2857142857143,428.57142857142856,940.3669724770642,614.9597099113619,781.25
YISHUN,1991-05,very low,63500.0,42000.0,160000.0,50750.0,83750.0,730.4934021801491,561.7977528089888,1095.890410958904,621.6124661246613,773.2040686586141
YISHUN,1991-06,very low,60500.0,38000.0,126000.0,46500.0,65475.0,694.3253968253969,506.0240963855422,1041.3223140495868,613.0063965884862,725.3891941391942
YISHUN,1991-07,very low,63500.0,34000.0,134000.0,51875.0,88200.0,726.1904761904761,507.46268656716416,1098.360655737705,634.3283582089553,838.1282108554835
YISHUN,1991-08,very low,63000.0,28000.0,127400.0,42750.0,86500.0,714.2857142857143,437.5,1019.2,608.2600695154365,763.6994792958096
YISHUN,1991-09,very low,50500.0,35000.0,165000.0,42000.0,60625.0,625.9328358208955,522.3880597014926,1161.9718309859154,585.2864583333334,721.7261904761905
YISHUN,1991-10,very low,62000.0,33000.0,150000.0,46000.0,86000.0,730.3370786516854,492.53731343283584,1188.5245901639344,686.5671641791045,796.7479674796748
YISHUN,1991-11,very low,52000.0,34000.0,145000.0,42500.0,66600.0,691.1764705882352,500.0,1074.3801652892562,593.75,738.0952380952381
YISHUN,1991-12,very low,62000.0,33000.0,148000.0,41500.0,99000.0,692.7590511860175,515.625,1213.1147540983607,584.4993781094528,820.2479338842975
YISHUN,1992-01,very low,62500.0,37500.0,133000.0,43125.0,68750.0,720.3989703989704,535.7142857142857,1090.1639344262296,598.0352145522388,790.0432900432901
YISHUN,1992-02,very low,60000.0,31000.0,130000.0,54000.0,82500.0,690.4761904761905,455.88235294117646,1116.504854368932,650.4065040650406,789.3772893772893
YISHUN,1992-03,very low,75000.0,37000.0,115000.0,58000.0,87500.0,776.6990291262136,528.5714285714286,1011.9047619047619,692.2619047619048,816.9421487603306
YISHUN,1992-04,very low,65000.0,34000.0,195000.0,54140.0,89025.0,718.7024901703801,531.25,1373.2394366197184,657.6052295918367,818.6925434116445
YISHUN,1992-05,very low,64250.0,36000.0,140000.0,50250.0,82150.0,727.2565742714996,522.2222222222222,1166.6666666666667,645.0140449438202,826.4023210831721
YISHUN,1992-06,very low,62000.0,30000.0,163000.0,45000.0,99350.0,710.843373493976,468.75,1347.107438016529,604.5224541429475,821.0743801652893
YISHUN,1992-07,very low,65000.0,40000.0,151000.0,54100.0,92500.0,756.7567567567568,583.3333333333334,1231.404958677686,669.4240196078431,834.9098874838196
YISHUN,1992-08,very low,65000.0,36000.0,194000.0,51000.0,120000.0,714.2857142857143,486.4864864864865,1328.7671232876712,595.2380952380952,909.0909090909091
YISHUN,1992-09,very low,60000.0,40000.0,157000.0,53500.0,87000.0,756.7567567567568,614.8648648648649,1297.5206611570247,675.3267973856209,1007.2314049586777
YISHUN,1992-10,very low,80000.0,30000.0,150000.0,50500.0,103000.0,817.3076923076923,468.75,1289.1566265060242,653.5164196454518,987.6710472835659
YISHUN,1992-11,very low,55000.0,27000.0,220770.0,42500.0,80000.0,690.4761904761905,421.875,1554.718309859155,585.9375,791.2087912087912
